nu,[0]Dichloromethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9998780774331604
600.119202,1.0
600.238404,1.0
600.357606,0.9999498942553348
600.476808,1.0
600.59601,0.9997287268012298
600.715212,0.9999382069092717
600.834414,0.9993386987561154
600.953616,1.0
601.072818,0.9999389358644902
601.19202,1.0
601.311222,1.0
601.430424,0.9997350151146981
601.549626,1.0
601.668828,0.9999372229705602
601.78803,1.0
601.907232,0.9996072471476022
602.026434,0.9996406945656638
602.145636,0.9996344168418141
602.264838,0.9997553299366031
602.38404,1.0
602.503242,0.9997940812041862
602.622444,0.9999023747656534
602.741646,1.0
602.860848,0.9999671245404098
602.98005,0.9998599998009426
603.099252,0.9998009798071467
603.218454,1.0
603.337656,0.9998745578685222
603.456858,1.0
603.57606,0.9997649876197369
603.695262,0.9997593489611077
603.814464,0.9998941755997969
603.933666,1.0
604.052868,1.0
604.17207,0.9998637392843347
604.291272,1.0
604.410474,0.9999089771428317
604.529676,0.9998822469334366
604.648878,1.0
604.76808,0.9997446925964834
604.887282,0.9992400888788134
605.006484,0.9999464754324908
605.125686,1.0
605.244888,0.9993417667306299
605.36409,0.999933544208284
605.483292,0.9997011846542012
605.602494,1.0
605.721696,1.0
605.840898,0.9999874020793544
605.9601,0.9999947637137094
606.079302,1.0
606.198504,0.9999812111765122
606.317706,0.9999795412092839
606.436908,0.9997218087023769
606.55611,1.0
606.675312,1.0
606.794514,1.0
606.913716,0.9999175883960228
607.032918,1.0
607.15212,1.0
607.271322,0.9996146442686004
607.390524,1.0
607.509726,1.0
607.628928,0.9998673188029287
607.74813,0.9997986102816324
607.867332,0.9998620595146638
607.986534,1.0
608.105736,0.999956719936609
608.224938,0.9997940012206629
608.34414,0.9996437834601825
608.463342,1.0
608.582544,0.9998322740675673
608.701746,1.0
608.820948,0.9994670420725575
608.94015,0.9999673475331035
609.059352,1.0
609.178554,0.9998799072117163
609.297756,0.9998233456052255
609.416958,0.9996656758987615
609.53616,0.9996798712521461
609.655362,1.0
609.774564,0.9997185996005217
609.893766,1.0
610.012968,0.9996613673489834
610.13217,0.9998918758458377
610.251372,0.9996378256009875
610.370574,1.0
610.489776,0.9999264337061325
610.608978,0.9999989297005728
610.72818,1.0
610.847382,0.9999820201616393
610.966584,0.9999301054427384
611.085786,0.9999342991583948
611.204988,1.0
611.32419,1.0
611.443392,1.0
611.562594,1.0
611.681796,0.9997517208263765
611.800998,0.9999424706548763
611.9202,0.99980846834453
612.039402,0.9999185263191607
612.158604,0.9999046565454761
612.277806,0.9996421740349867
612.397008,0.9997905319414978
612.51621,0.9999162605063472
612.635412,0.9998863564579166
612.754614,0.9998686686247202
612.873816,0.9999682775031691
612.993018,0.9999131907681394
613.11222,0.9997875325744011
613.231422,0.9996932270644426
613.350624,1.0
613.469826,0.9999530381027444
613.589028,0.9997865427852338
613.70823,1.0
613.827432,1.0
613.946634,0.9999715414049535
614.065836,1.0
614.185038,0.9992179959246869
614.30424,0.9999731043616942
614.423442,0.9997144107883649
614.542644,0.9999167594646856
614.661846,1.0
614.781048,1.0
614.90025,0.9999179003703591
615.019452,1.0
615.138654,1.0
615.257856,0.9997553899219247
615.377058,1.0
615.49626,1.0
615.615462,0.9989158880743977
615.734664,1.0
615.853866,0.9999919791321673
615.973068,0.9995987805100751
616.09227,0.999944721527911
616.211472,0.9999849271135971
616.330674,1.0
616.449876,0.9997317759784965
616.569078,0.9999861530958692
616.68828,0.999330044520457
616.807482,1.0
616.926684,1.0
617.045886,1.0
617.165088,0.9994926987208292
617.28429,0.9999886660642295
617.403492,0.9998629593909223
617.522694,1.0
617.641896,0.9992994255169785
617.761098,1.0
617.8803,0.9999450515097236
617.999502,0.9999578408887203
618.118704,0.9994551884637306
618.237906,0.9999746633209791
618.357108,0.9993392583859434
618.47631,1.0
618.595512,0.9994650131565215
618.714714,1.0
618.833916,0.9997233082862147
618.953118,0.9998317541549199
619.07232,0.999720898955945
619.191522,0.9998094281611203
619.310724,1.0
619.429926,0.9999692474728686
619.549128,1.0
619.66833,0.9997920616221819
619.787532,0.999632537530877
619.906734,0.9998047490639456
620.025936,0.9998284647138599
620.145138,0.9999546840267998
620.26434,0.9996221813914331
620.383542,0.9995007746544616
620.502744,1.0
620.621946,0.9997359248739758
620.741148,0.9999420176810396
620.86035,0.999766497266008
620.979552,0.9998631093703774
621.098754,0.9999914121368759
621.217956,0.999931442350183
621.337158,1.0
621.45636,1.0
621.575562,1.0
