nu,[0]Pentadecane-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
570,0.7669988323315025
570.118602,0.7076469272504612
570.237205,0.7516458575993336
570.355807,0.9150779738637271
570.474409,0.7316961110922627
570.593012,0.6955168783335615
570.711614,0.7568425797075962
570.830217,0.8777267082767501
570.948819,0.6846072245439111
571.067421,0.6723340256326572
571.186024,0.7076256981610816
571.304626,0.8679162978673118
571.423228,0.6969999081504704
571.541831,0.6833350386059529
571.660433,0.7072224664450864
571.779036,0.7978138335816742
571.897638,0.7091558216075198
572.01624,0.8302985035634091
572.134843,0.8170704154620875
572.253445,0.9363377720750953
572.372047,0.7280467615135566
572.49065,0.802270055692154
572.609252,0.7562297854332187
572.727855,0.8179860469853439
572.846457,0.7757228303391196
572.965059,0.7708357215819426
573.083662,0.8160333946820302
573.202264,0.6630731255043179
573.320866,0.723315337830908
573.439469,0.8549177615441172
573.558071,0.7277483235253043
573.676674,0.741411112383323
573.795276,0.6760217695374006
573.913878,0.7772680557608518
574.032481,0.7898280621948723
574.151083,0.7384144696756884
574.269685,0.842063375295853
574.388288,0.8431081815272088
574.50689,0.731249912568882
574.625493,0.7237639323903066
574.744095,0.7856451905372529
574.862697,0.9314544404622618
574.9813,0.5655197834734262
575.099902,0.7970562703392868
575.218504,0.7632802614528666
575.337107,0.7245170384272518
575.455709,0.7670525241289566
575.574311,0.7258150853314265
575.692914,0.7387985450508627
575.811516,0.7739871558802972
575.930119,0.6430968139884446
576.048721,0.8571091548002453
576.167323,0.8194187758396715
576.285926,0.7260836866011697
576.404528,0.8059448202881804
576.52313,0.7323256404066073
576.641733,0.7498965614725109
576.760335,0.6268988970971883
576.878938,0.8186243249980568
576.99754,0.8450664632367805
577.116142,0.7716763905998485
577.234745,0.604623094127653
577.353347,0.7615038887215592
577.471949,0.9042313800112847
577.590552,0.636876194145023
577.709154,0.7977500110279239
577.827757,0.7431331829935541
577.946359,0.8137598346019803
578.064961,0.6875092465531502
578.183564,0.6442425457160703
578.302166,0.6892163854618834
578.420768,0.8039003180616685
578.539371,0.6351208393530947
578.657973,0.7439808378936589
578.776576,0.7643801767783277
578.895178,0.7369612250863392
579.01378,0.6181340102297339
579.132383,0.7749707440145279
579.250985,0.8938744052279091
579.369587,0.699177943832742
579.48819,0.6838614092123558
579.606792,0.7912905965370725
579.725395,0.82268656114669
579.843997,0.649332738185689
579.962599,0.6638560136055516
580.081202,0.744501806798028
580.199804,0.7164190627947716
580.318406,0.6510362205471805
580.437009,0.7417819106313517
580.555611,0.678595539327141
580.674213,0.7192257448179191
580.792816,0.7477549213119423
580.911418,0.8139307421119072
581.030021,0.8130846941613022
581.148623,0.6262347363336574
581.267225,0.7258804116287455
581.385828,0.7884864951442282
581.50443,0.8108923265152521
581.623032,0.731600996780385
581.741635,0.6761569874126448
581.860237,0.7843734756957282
581.97884,0.7827671571096488
582.097442,0.6987865137948356
582.216044,0.8448974668443356
582.334647,0.7967932851650152
582.453249,0.6530379728618707
582.571851,0.6663234937614978
582.690454,0.8661908618128383
582.809056,0.7878717154732567
582.927659,0.6335920410721333
583.046261,0.7176810705863808
583.164863,0.856766379697916
583.283466,0.7886363218113882
583.402068,0.5791116427779898
583.52067,0.708269930627723
583.639273,0.8181742054135404
583.757875,0.6873098977786192
583.876478,0.6875092465531502
583.99508,0.7271954449199071
584.113682,0.811825389098899
584.232285,0.7177313100196815
584.350887,0.7141301859499547
584.469489,0.7919080439755678
584.588092,0.7972156975355429
584.706694,0.7216608408293709
584.825297,0.813995859175924
584.943899,0.7422568030035052
585.062501,0.6317193815339672
585.181104,0.6874886215851297
585.299706,0.7280686032440264
585.418308,0.7853545555875355
585.536911,0.7170928133269383
585.655513,0.6508409389747168
585.774115,0.7462385184912873
585.892718,0.8694017043972917
586.01132,0.6066641111368886
586.129923,0.7438915655495594
586.248525,0.7802116889734164
586.367127,0.7783336427576704
586.48573,0.6752853072534655
586.604332,0.685922933091055
586.722934,0.8097497740236645
586.841537,0.6333766563956387
586.960139,0.6460747951085255
587.078742,0.71671285483377
587.197344,0.7642808138140791
587.315946,0.6641946665216437
587.434549,0.6993457666771976
587.553151,0.7532335047375687
587.671753,0.7411813105596071
587.790356,0.6767928738005926
587.908958,0.7064096280803158
588.027561,0.7757073160376564
588.146163,0.7971200373915621
588.264765,0.6745901214691336
588.383368,0.7140230744556251
588.50197,0.7212135497826093
588.620572,0.6566133119872983
588.739175,0.6828432144560974
588.857777,0.6863483371712092
588.97638,0.8051151244899717
589.094982,0.6526658472832046
589.213584,0.7015732259984723
589.332187,0.7813125633889445
589.450789,0.7604233205845233
589.569391,0.6348985859559344
589.687994,0.6920479734310321
589.806596,0.810365417766912
589.925199,0.701222527067512
590.043801,0.6162577362201112
590.162403,0.6863963832364038
590.281006,0.7793695152050193
590.399608,0.711777440501426
590.51821,0.7806175045545893
590.636813,0.7611993480782597
590.755415,0.7652673722572841
590.874017,0.642293445181069
590.99262,0.7465744013925931
591.111222,0.8212152694011968
591.229825,0.7406478520841009
591.348427,0.6209529281513319
591.467029,0.7529322715863204
591.585632,0.8292778642258957
591.704234,0.7655122970022756
591.822836,0.6353431705525585
591.941439,0.732486769771077
592.060041,0.7506393266764794
592.178644,0.6729057525039426
592.297246,0.6648591933962253
592.415848,0.7444422490358265
592.534451,0.7287897480690269
592.653053,0.713837452588155
592.771655,0.7359964379550197
592.890258,0.7726261365342967
593.00886,0.740936761080006
593.127463,0.680933927704473
593.246065,0.7897648784772792
593.364667,0.7053790225484267
593.48327,0.6849496137463505
593.601872,0.641831160343051
593.720474,0.7854330949699979
593.839077,0.7480166813397342
593.957679,0.6389430194630096
594.076282,0.6911765421015369
594.194884,0.742724572121198
594.313486,0.7523527368866921
594.432089,0.657704195267817
594.550691,0.687522996875584
594.669293,0.7706661563760512
594.787896,0.6953569278465558
594.906498,0.6939190277459557
595.025101,0.7360332386969283
595.143703,0.7673056932325237
595.262305,0.6615961199077667
595.380908,0.6651650989780773
595.49951,0.7588888158485086
595.618112,0.7885180352348315
595.736715,0.6827066594691601
595.855317,0.6612323420898876
595.973919,0.7912510329963424
596.092522,0.7782635958819788
596.211124,0.6639821582314965
596.329727,0.7135020278164346
596.448329,0.7443082614902409
596.566931,0.7532636346803531
596.685534,0.6894369699968744
596.804136,0.7585398072713453
596.922738,0.8034261567653491
597.041341,0.6780460994934593
597.159943,0.7431257516988807
597.278546,0.7515556655080553
597.397148,0.757569497448804
597.51575,0.6190433354150361
597.634353,0.7425092132238323
