nu,[0]Propylenecarbonate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
600,0.9858855560803916
600.118002,0.9789360111774336
600.236005,0.9833875345048332
600.354007,0.9824960063801597
600.472009,0.9815493365981556
600.590012,0.9857781004112192
600.708014,0.9845830765039469
600.826017,0.9781473066430495
600.944019,0.9875254602574838
601.062021,0.988266382163661
601.180024,0.9828959636405379
601.298026,0.9823103321817183
601.416028,0.9830729008378631
601.534031,0.9834740764156578
601.652033,0.9812931856504562
601.770035,0.9819587280236968
601.888038,0.9845210497239912
602.00604,0.982740678346144
602.124042,0.9807575458140733
602.242045,0.986350017549395
602.360047,0.9907850205715913
602.47805,0.9807771611611423
602.596052,0.9876222424948412
602.714054,0.9897904746702487
602.832057,0.9911844865203366
602.950059,0.9886805525404222
603.068061,0.9886953828599374
603.186064,0.9811263799877786
603.304066,0.9838793512160172
603.422068,0.9821148718745597
603.540071,0.984802663012993
603.658073,0.9853523362435233
603.776076,0.9848863747970495
603.894078,0.9844521356625309
604.01208,0.9822013017861451
604.130083,0.9896529033556974
604.248085,0.9904044340820338
604.366087,0.9798047126314872
604.48409,0.9876647111643383
604.602092,0.9929960428402905
604.720094,0.9865818370412426
604.838097,0.985625316646703
604.956099,0.9853513508916797
605.074101,0.9860423243465553
605.192104,0.9873872163703457
605.310106,0.9941354639213918
605.428109,0.9854016050920463
605.546111,0.988228828754658
605.664113,0.990440881635839
605.782116,0.9868008825222145
605.900118,0.9886311197486252
606.01812,0.9875639745014567
606.136123,0.9864999541469552
606.254125,0.9868137110170724
606.372127,0.9843655076862794
606.49013,0.9837022688706875
606.608132,0.9886894507054367
606.726135,0.9859131612624326
606.844137,0.9882673704305373
606.962139,0.9836402975798648
607.080142,0.9855701231744025
607.198144,0.9899934025169498
607.316146,0.989389690692241
607.434149,0.9899290550371019
607.552151,0.9864447116963261
607.670153,0.9899854826014093
607.788156,0.9867910145627291
607.906158,0.9864368201701986
608.02416,0.9882871359756007
608.142163,0.9836304612260709
608.260165,0.986527576532383
608.378168,0.9923778966841936
608.49617,0.9858451356012178
608.614172,0.9883138200885059
608.732175,0.9855849068371273
608.850177,0.9919909447650157
608.968179,0.9883928883568016
609.086182,0.9927948822202699
609.204184,0.9893204358378408
609.322186,0.9852961727610319
609.440189,0.9907534150335461
609.558191,0.9860364081103579
609.676194,0.9896044115514919
609.794196,0.9824380408257839
609.912198,0.9887201005534787
610.030201,0.9894411402938351
610.148203,0.9927600357314634
610.266205,0.9879403080627327
610.384208,0.9894955610531084
610.50221,0.9851690777525499
610.620212,0.987332911566841
610.738215,0.9894361931005016
610.856217,0.9889712673558528
610.974219,0.9846766163392866
611.092222,0.9878504095851418
611.210224,0.9882100525852859
611.328227,0.9847524393578935
611.446229,0.9871512590236592
611.564231,0.987922525297233
611.682234,0.9862474424815659
611.800236,0.9834032688312595
611.918238,0.9866163680098274
612.036241,0.989209638153813
612.154243,0.9915706280740221
612.272245,0.9865769041443896
612.390248,0.9833049334212288
612.50825,0.9901666665225485
612.626253,0.987646933359538
612.744255,0.9883019603938232
612.862257,0.9896162868756824
612.98026,0.9837416177484146
613.098262,0.9901670625892943
613.216264,0.9903845271529741
