nu,[0]Methylsalicylate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
550,0.8940800199859023
550.119002,0.9039601512836246
550.238005,0.9308035813101532
550.357007,0.900720752540401
550.47601,0.9154102074649901
550.595012,0.9354112563816823
550.714014,0.9150807191017666
550.833017,0.929761664881201
550.952019,0.9193613819749117
551.071021,0.9222683921589532
551.190024,0.9033366339174683
551.309026,0.8889449223494864
551.428029,0.9440529720039755
551.547031,0.8865125471380633
551.666033,0.9575101092687905
551.785036,0.8936509645578495
551.904038,0.9337841222156112
552.02304,0.9208685299357878
552.142043,0.9351755624437575
552.261045,0.8996315395365875
552.380048,0.8695147339656261
552.49905,0.9414867540213414
552.618052,0.9095275410082746
552.737055,0.9081715377470689
552.856057,0.9264677891722896
552.97506,0.8737246488908372
553.094062,0.8866810005245844
553.213064,0.8856176214789878
553.332067,0.8962104646569865
553.451069,0.8984807478297944
553.570071,0.9199380023129954
553.689074,0.9035896035890665
553.808076,0.883706751898686
553.927079,0.9162481911238796
554.046081,0.9102572746802517
554.165083,0.8678902607689343
554.284086,0.9061250121068225
554.403088,0.9160713722865592
554.52209,0.9076431356920134
554.641093,0.8927577602698694
554.760095,0.8615691148989583
554.879098,0.8837332634989149
554.9981,0.891927881506257
555.117102,0.9003695399378193
555.236105,0.8774722044361903
555.355107,0.8935705395902171
555.474109,0.8862111841066548
555.593112,0.9006216787067822
555.712114,0.8716738066493921
555.831117,0.8656366770193282
555.950119,0.85527690241827
556.069121,0.8847235992385248
556.188124,0.8732093033898638
556.307126,0.9122410633376987
556.426129,0.872013825733397
556.545131,0.8640108088614726
556.664133,0.8868317491079402
556.783136,0.8558843646425581
556.902138,0.8761745061072614
557.02114,0.8462334599986104
557.140143,0.874651288050652
557.259145,0.8696625640356002
557.378148,0.8525870189662863
557.49715,0.8745463361933232
557.616152,0.876454926814136
557.735155,0.8681680300931018
557.854157,0.88097150279439
557.973159,0.868081217630788
558.092162,0.8776477164276918
558.211164,0.8650655453066927
558.330167,0.8694451755692818
558.449169,0.8740392463885899
558.568171,0.8510452321999016
558.687174,0.8571948700014139
558.806176,0.8647022940657643
558.925179,0.8441374012050179
559.044181,0.8779725061651661
559.163183,0.8672309147539721
559.282186,0.8680030938368247
559.401188,0.8813504019980821
559.52019,0.8784203863430479
559.639193,0.8784730931474168
559.758195,0.8614915771678676
559.877198,0.8819058276920638
559.9962,0.8832385114148685
560.115202,0.8883139954601682
560.234205,0.8770072673870406
560.353207,0.8921955000114775
560.472209,0.9100188185134074
560.591212,0.8585846511095687
560.710214,0.9063715116325313
560.829217,0.8850598580913711
560.948219,0.9114267956927531
561.067221,0.9111634314067701
561.186224,0.9124937891131472
561.305226,0.9113648207778169
561.424228,0.9125868682265909
561.543231,0.8913572302899605
561.662233,0.9153406389328606
561.781236,0.9451345317317016
561.900238,0.9137292287962957
562.01924,0.9290590306917396
562.138243,0.9066733836047988
562.257245,0.9279169905826384
562.376248,0.9255186462072569
562.49525,0.9009009147065251
562.614252,0.9231606570347094
562.733255,0.9062971922157151
562.852257,0.9000724670093689
562.971259,0.8979597800913017
563.090262,0.8911611532685598
563.209264,0.9000634663297024
563.328267,0.9041590443943469
563.447269,0.891865448739724
563.566271,0.8962283890455228
563.685274,0.8933739756943287
563.804276,0.8874793726386178
563.923278,0.8868051445545372
564.042281,0.8784555238612473
564.161283,0.8752375007729786
564.280286,0.8833710071285109
564.399288,0.8834416796359438
564.51829,0.8875059974191667
564.637293,0.8738994112962735
564.756295,0.8634407498677851
564.875298,0.8790882395887559
564.9943,0.8762095537884547
565.113302,0.8802317974517813
565.232305,0.8839542244337557
565.351307,0.8670661565326955
565.470309,0.8701236073602278
565.589312,0.8859985189433096
565.708314,0.8919100431270113
565.827317,0.879782993689768
565.946319,0.8879143440905134
566.065321,0.8776213873911365
566.184324,0.8944645570640428
566.303326,0.8857681892725391
566.422328,0.8918565301298297
566.541331,0.8937045852243269
566.660333,0.891089863227938
566.779336,0.903815529229492
566.898338,0.8910274891206313
567.01734,0.8980585610999676
567.136343,0.9029121654574289
567.255345,0.9177052668396481
567.374347,0.9038245674299753
567.49335,0.9018203024475628
567.612352,0.8981573529751422
567.731355,0.9279587477867447
567.850357,0.9112600198495964
567.969359,0.9109912377910435
568.088362,0.9106660719647057
568.207364,0.9167348481093611
568.326367,0.9184048247506945
568.445369,0.9246314992804866
568.564371,0.925631566370084
568.683374,0.9365353601898161
568.802376,0.9416072720388446
568.921378,0.9331922907125373
569.040381,0.9405739546492072
569.159383,0.9357649086726666
569.278386,0.9405871227767489
569.397388,0.9505542913099625
569.51639,0.9368810055053649
569.635393,0.9467350530185608
569.754395,0.9437018496112043
569.873397,0.9512760358844842
569.9924,0.9556619856000098
570.111402,0.9482994036071629
570.230405,0.9568707061002337
570.349407,0.9542982742062464
570.468409,0.9624020348253244
570.587412,0.9596131926874134
570.706414,0.9608355581522496
570.825417,0.9565138598828152
570.944419,0.9555645130486633
571.063421,0.9648255222008597
571.182424,0.962087380808672
571.301426,0.9794931842685053
571.420428,0.9693185307539591
571.539431,0.9614689574672235
571.658433,0.9683864947085906
571.777436,0.9784632992531545
571.896438,0.977818704356293
572.01544,0.9704775587795287
572.134443,0.9700962360337558
572.253445,0.9710192363713208
572.372447,0.9729320838530463
572.49145,0.9697325181466093
572.610452,0.9777580814759517
572.729455,0.9779820137158726
572.848457,0.9847406223995231
572.967459,0.9771979865777789
573.086462,0.9770523949246264
573.205464,0.9815140014580743
573.324466,0.9835203007835135
573.443469,0.9790534905473961
573.562471,0.9793149327303505
573.681474,0.9864841702739603
573.800476,0.9865206708635171
573.919478,0.9785454936224068
574.038481,0.9808487605072514
574.157483,0.9860975442628619
574.276486,0.990925127478825
574.395488,0.9854331384479403
574.51449,0.9862158830683597
574.633493,0.9825647835077777
574.752495,0.9797606224114561
574.871497,0.9904321657944303
574.9905,0.9877802746958793
575.109502,0.9807595073311264
575.228505,0.9915551596928778
575.347507,0.997472100532746
575.466509,0.9981683794679653
575.585512,0.9878187988778091
575.704514,0.989301638928131
575.823516,0.9768355133676966
575.942519,0.9909277038875058
576.061521,0.9871137479885305
576.180524,0.9791837133212614
576.299526,0.9974564403437005
576.418528,0.9912045086491871
576.537531,1.0017795815792103
576.656533,0.991445499756522
576.775536,0.9905292329028889
576.894538,0.9925486003625188
577.01354,0.9919889607851101
577.132543,0.9909628824454095
577.251545,0.9900916147337249
577.370547,0.9914789120328575
577.48955,0.9944170429544835
577.608552,0.9926206620067112
577.727555,0.9977974292266903
577.846557,0.993338685577544
577.965559,1.0037187976326052
578.084562,0.9944978923465589
578.203564,0.9930164987694683
578.322566,0.9953550214361587
578.441569,0.9943582746438656
578.560571,0.9993652015698321
578.679574,0.9959577918063172
578.798576,0.9963914266068574
578.917578,0.9997035139606751
579.036581,0.9932451174804892
579.155583,0.9968262470354649
579.274585,0.9958736369285032
579.393588,1.0085087957597239
579.51259,0.9938443242834906
579.631593,1.0058866586776856
579.750595,0.9943652351761499
579.869597,0.9922113896434614
579.9886,0.9973040406432496
580.107602,0.99957818898729
580.226605,0.9904501918238842
580.345607,0.9986987473643807
580.464609,1.0065322426390817
580.583612,0.9981323462398702
580.702614,1.002944526627364
580.821616,0.9931950591880476
580.940619,0.9957356184073293
581.059621,0.9963327408801419
581.178624,0.9972176778528927
581.297626,1.0060716582444051
581.416628,1.0025886447698351
581.535631,0.9944477709158553
581.654633,1.0013749443704723
581.773635,0.9995461730106353
581.892638,1.0036152191974288
582.01164,0.9947666419835118
582.130643,1.0018851747117692
582.249645,1.002100202341902
582.368647,1.0045510245992995
582.48765,1.0057929144096476
582.606652,0.9960895657388266
582.725655,1.007553988496487
582.844657,0.9937394792379521
582.963659,1.00436620421477
583.082662,0.9914490689667457
583.201664,1.0014929132871517
583.320666,0.999430642145732
583.439669,1.0073896698415137
583.558671,1.0059936907121723
583.677674,0.9917664826130658
583.796676,1.0011590712044294
583.915678,0.9998895960949598
584.034681,0.99837731797444
584.153683,0.9931428185018765
584.272685,0.9957243666584138
584.391688,0.9962995635522761
584.51069,1.0033567212129333
584.629693,1.0022702731763413
584.748695,1.0012122341625744
584.867697,1.0022148491627227
584.9867,0.9913788768574928
585.105702,1.0036312771693994
585.224704,1.0104593202497605
585.343707,1.0040432519769977
585.462709,1.0002027605531427
585.581712,1.0008870231725695
585.700714,0.9975133967325336
585.819716,1.0008699381769046
585.938719,0.9968392058609086
586.057721,0.9983235068872229
586.176724,1.003309464224275
586.295726,0.9979045984254723
586.414728,0.9950699925761004
586.533731,1.0046341044043363
586.652733,0.9967676353753389
586.771735,1.0021420910058267
586.890738,1.0013049507081677
587.00974,1.0017755744688983
587.128743,0.9976879768522767
587.247745,1.0014467455280243
587.366747,0.9972247581235404
587.48575,1.0042551274552418
587.604752,0.9960715366808501
587.723754,1.0031914819687748
587.842757,1.0003605549843286
587.961759,0.995541269783659
588.080762,1.0026959274943488
588.199764,0.9952094116481383
588.318766,0.9985049187491929
588.437769,1.0015351771798544
588.556771,1.0003840637335975
588.675774,0.9985777124110665
588.794776,1.001325377537515
588.913778,1.0084398161172246
589.032781,1.0028373175878929
589.151783,0.998924578680428
