nu,[0]1-2-Dibromoethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
570,0.9473515781952472
570.119202,0.9881695368037091
570.238404,0.9855582964038851
570.357606,0.9971494704964458
570.476808,0.9899538035728332
570.59601,0.9482956104171348
570.715212,0.9727832366313196
570.834414,0.9771716025883268
570.953616,0.9769732568857713
571.072818,0.9637522687709766
571.19202,0.9256926600695344
571.311222,0.9973400439689729
571.430424,0.9862898520333914
571.549626,0.9574201075486665
571.668828,0.9758728282332806
571.78803,0.9880628202565316
571.907232,0.9671390486686054
572.026434,0.9732950552102734
572.145636,0.9840879557497743
572.264838,0.9530899439316992
572.38404,0.9732201143762813
572.503242,0.9959077959800742
572.622444,0.9850961779381227
572.741646,0.9784075284345805
572.860848,0.9686625241919156
572.98005,0.9617651355152014
573.099252,0.9768247682361479
573.218454,0.9631963441115836
573.337656,0.9807595073311264
573.456858,0.9558149037508317
573.57606,0.9464614861205591
573.695262,0.9468666583372881
573.814464,0.9857337413947861
573.933666,0.9544939254060214
574.052868,0.9544127968703735
574.17207,0.9741100441967955
574.291272,1.0
574.410474,0.9773338265385718
574.529676,0.9591076097676677
574.648878,0.9609402949361393
574.76808,0.9500411305585278
574.887282,0.9718148268757496
575.006484,0.9289921408495929
575.125686,0.9613920430272448
575.244888,0.9407385694946497
575.36409,0.9737389789623724
575.483292,0.9773445772697926
575.602494,0.935279372692551
575.721696,0.9840810671581941
575.840898,0.9776358693541839
575.9601,0.9519145563042061
576.079302,0.9692933287997864
576.198504,0.9547698140144475
576.317706,0.9575455377982572
576.436908,0.9790534905473961
576.55611,0.9901974611847318
576.675312,1.0
576.794514,0.9732532044226977
576.913716,0.9862001037404656
577.032918,0.9790368467795292
577.15212,0.9834839112055959
577.271322,0.9982806797274266
577.390524,0.9758318424352025
577.509726,0.9820097912051853
577.628928,0.962904539829899
577.74813,0.9523572995027035
577.867332,0.9781629571251592
577.986534,0.9467823909546502
578.105736,0.9543593512502402
578.224938,0.9488021355032591
578.34414,0.9526687712624982
578.463342,0.9592207911431901
578.582544,0.9694426114668919
578.701746,0.9745806529910174
578.820948,0.9734576090573619
578.94015,0.9654103836624377
579.059352,0.9465949465988448
579.178554,0.9505552418647291
579.297756,0.9691925275353478
579.416958,0.9557661584337566
579.53616,0.9578366758924961
579.655362,0.9485981649717438
579.774564,0.9680176097311571
579.893766,0.9628072913825054
580.012968,0.944635632419956
580.13217,0.9613382065802698
580.251372,0.9582457594862338
580.370574,0.9433036914479496
580.489776,0.9437244987273832
580.608978,0.9539357097536568
580.72818,0.9494076644088913
580.847382,0.946888436520878
580.966584,0.9584105919320495
581.085786,0.9589436163882311
581.204988,0.9397644690078303
581.32419,0.9503860580894798
581.443392,0.9616276129339216
581.562594,0.9623539159265656
581.681796,0.9667445364227195
581.800998,0.9413766065148756
581.9202,0.9733086814364296
582.039402,0.9757098710782668
582.158604,0.9599711951715985
582.277806,0.9344772471518458
582.397008,0.9619084491969974
582.51621,0.9579564129603936
582.635412,0.9517879600870527
582.754614,0.9600499160371139
582.873816,0.9312858624653071
582.993018,0.9447357691041429
583.11222,0.9338158714154999
583.231422,0.928755278054966
583.350624,0.9568955850620174
583.469826,0.9501636937695269
583.589028,0.9481069183661436
583.70823,0.9259213343966884
583.827432,0.9347351984677038
583.946634,0.9260898674155881
584.065836,0.9288853128961203
584.185038,0.9433348209834018
584.30424,0.9286651931621827
584.423442,0.9436197511216241
584.542644,0.9254695950188759
584.661846,0.9145620154004317
584.781048,0.9095921197562046
584.90025,0.9228975937357552
585.019452,0.9175584457429548
585.138654,0.9125239019050463
585.257856,0.9061947864190313
585.377058,0.9111196966117061
585.49626,0.9110468099514825
585.615462,0.889941098416982
585.734664,0.9145281772318719
585.853866,0.896040200844276
585.973068,0.9092083528621774
586.09227,0.8931238659981258
586.211472,0.8906533361528239
586.330674,0.8964883329683931
586.449876,0.8768844949638765
586.569078,0.8679683744074644
586.68828,0.8516156235652454
586.807482,0.8635961831913408
586.926684,0.8516837555403733
587.045886,0.8666587311915803
587.165088,0.8819763829804531
587.28429,0.8512239704655246
587.403492,0.8324684131579271
587.522694,0.8479784976979344
587.641896,0.824416018219449
587.761098,0.8434201892722472
587.8803,0.8260912825544349
587.999502,0.8270335636147021
588.118704,0.8229580925120795
588.237906,0.8220368954151361
588.357108,0.8139470208895367
588.47631,0.8017888380384713
588.595512,0.8030566657226923
588.714714,0.7785438212140297
588.833916,0.7838794760322729
588.953118,0.7709667747938189
589.07232,0.7627080158756924
589.191522,0.7713060748152589
589.310724,0.7513227193602663
589.429926,0.7490271857965808
589.549128,0.7431406143625409
589.66833,0.733982567976837
589.787532,0.7312279754005642
589.906734,0.718801526785102
590.025936,0.7121832692927295
590.145138,0.6944952196255366
590.26434,0.6972648184453358
590.383542,0.6852305006658703
590.502744,0.6850112619857169
590.621946,0.6650387296147412
590.741148,0.6580660320712138
590.86035,0.6478409890569726
590.979552,0.6395183270300981
591.098754,0.6405936208133777
591.217956,0.6257902674759764
591.337158,0.6172568828430389
591.45636,0.6032099301340934
591.575562,0.5887698021453336
591.694764,0.5857630047281838
591.813966,0.5819678926735756
591.933168,0.5664989794591433
592.05237,0.5535406985985133
592.171572,0.545845123537543
592.290774,0.5464677418033577
592.409976,0.5295699589527626
592.529178,0.5162882734611127
592.64838,0.5027209671914192
592.767582,0.4927122237588863
592.886784,0.4810327133819243
593.005986,0.4768468065258417
593.125188,0.4660650790469962
593.24439,0.4516760769399893
593.363592,0.44339688814100703
593.482794,0.43554811786935876
593.601996,0.4196433899154872
593.721198,0.4185914057991657
593.8404,0.4018445325960561
593.959602,0.3915038224489861
594.078804,0.38259817193237894
594.198006,0.3746923461496532
594.317208,0.3614614073742308
594.43641,0.3507084596299173
594.555612,0.3403434582255305
594.674814,0.3281448999528107
594.794016,0.321711531458613
594.913218,0.31232842518219145
595.03242,0.30173684972115994
595.151622,0.2953482826123466
595.270824,0.2839662176025474
595.390026,0.2756288678124085
595.509228,0.26713530196585034
595.62843,0.25833450572935945
595.747632,0.24992360195567373
595.866834,0.23974006621696034
595.986036,0.23403139639419787
596.105238,0.2260950031769818
596.22444,0.22018217656489278
596.343642,0.21226919968540098
596.462844,0.20599569674461377
596.582046,0.19695106147773095
596.701248,0.1915320732598003
596.82045,0.18743934110880806
596.939652,0.18092006049468184
597.058854,0.17760380928096575
597.178056,0.16719407760192403
597.297258,0.16401457223727242
597.41646,0.15703289080526914
597.535662,0.15387726112934133
597.654864,0.1492548546903349
597.774066,0.1453224808703222
597.893268,0.13906692317865593
598.01247,0.13529468874112047
598.131672,0.12907004983845932
598.250874,0.12675489727235567
598.370076,0.12319337545326038
598.489278,0.11951660061241234
598.60848,0.11831555841914514
598.727682,0.11250023145072507
598.846884,0.11152572468821438
598.966086,0.1064585043792528
599.085288,0.10418365747656975
599.20449,0.10052990837346194
599.323692,0.09676208938449064
599.442894,0.09477022512640557
599.562096,0.09384601295656525
599.681298,0.09301448921066349
599.8005,0.09014822670679389
599.919702,0.08749269279675725
600.038904,0.0849408624933791
600.158106,0.08577737516301644
600.277308,0.08451721817430186
600.39651,0.08393605668180469
600.515712,0.08290996657517266
600.634914,0.08149610917980565
600.754116,0.08109775500958162
600.873318,0.08152871414403569
600.99252,0.08300951825412407
601.111722,0.08209320753419988
601.230924,0.08143908186526852
601.350126,0.08108153708042669
601.469328,0.08260376651827296
601.58853,0.08567450404783447
601.707732,0.08652689400631891
601.826934,0.08563167750333887
601.946136,0.08588036979763346
602.065338,0.0868476365218824
602.18454,0.09199693662884734
602.303742,0.09350877470299528
602.422944,0.09429755665667344
602.542146,0.09193256130719842
602.661348,0.09343399759806298
602.78055,0.10098331235498195
602.899752,0.10520967660199483
603.018954,0.1055785556318401
603.138156,0.10302331058489304
603.257358,0.10130697654102218
603.37656,0.10640528843215864
603.495762,0.11332448801639727
603.614964,0.11347190565152011
603.734166,0.11074777063123942
603.853368,0.1030439173076136
603.97257,0.10734578709513519
604.091772,0.11374456528576828
604.210974,0.11555600208422448
604.330176,0.10906622635687724
604.449378,0.1010742382466152
604.56858,0.10175370932920802
604.687782,0.1043296167446846
604.806984,0.1050204695215695
604.926186,0.10013860526783795
605.045388,0.09330328152402777
605.16459,0.09050954176197816
605.283792,0.09348072627805847
605.402994,0.09248581477568764
605.522196,0.08897498643895477
605.641398,0.08638856167128771
605.7606,0.08309256929097569
605.879802,0.08288509731577556
605.999004,0.08275258719643463
606.118206,0.08116265917179265
606.237408,0.07881909414391373
606.35661,0.07856727616630203
606.475812,0.07859084988503294
606.595014,0.08025870895953036
606.714216,0.08114642826310327
606.833418,0.08365115869012409
606.95262,0.08619009630210844
607.071822,0.09066353884340511
607.191024,0.09532148955360054
607.310226,0.10260177974022087
607.429428,0.10979942354126966
607.54863,0.11824459037663544
607.667832,0.12877352985253057
607.787034,0.13851176653942845
607.906236,0.1557816393579502
608.025438,0.17081058952306485
608.14464,0.18837888471598832
608.263842,0.20723538627460505
608.383044,0.23040883604638718
608.502246,0.26004515239151543
608.621448,0.29243876051236223
608.74065,0.320171016301776
608.859852,0.3554040385261131
608.979054,0.3861034269275907
609.098256,0.4312660905121915
609.217458,0.48670358316805584
609.33666,0.5237608981702401
609.455862,0.5654349618676847
609.575064,0.6078482603238355
609.694266,0.6517006162763573
609.813468,0.710817189272167
609.93267,0.7503916565664919
610.051872,0.789149102056091
