nu,[0]Hexadecane-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
550,0.4647154482283132
550.119002,0.4574260713507594
550.238004,0.5184975378114058
550.357006,0.6083773184172175
550.476008,0.5738943263767872
550.59501,0.45929618215369145
550.714012,0.6215990551243977
550.833014,0.5984753147685766
550.952016,0.5725071812295565
551.071018,0.595913355001133
551.19002,0.6194582334250769
551.309022,0.6982137437213483
551.428024,0.557674399696251
551.547026,0.7648618880128043
551.666028,0.7039203981688226
551.78503,0.7676894420083392
551.904032,0.7967773494586695
552.023034,0.7004446018908136
552.142036,0.4853427192337909
552.261038,0.6315804185565178
552.38004,0.7881711636166804
552.499042,0.6177632410654684
552.618044,0.5784576162162518
552.737046,0.628066014128148
552.856048,0.640856318047164
552.97505,0.40984755725336697
553.094052,0.8684719420851307
553.213054,0.5213623445393009
553.332056,0.7836600205041916
553.451058,0.6552293185255803
553.57006,0.7143015977631775
553.689062,0.6540313453524563
553.808064,0.6043752494706872
553.927066,0.6450354515844445
554.046068,0.6896921088735547
554.16507,0.6037651386265627
554.284072,0.7813906985519764
554.403074,0.6527506993586168
554.522076,0.5936947384790743
554.641078,0.7872967789983065
554.76008,0.5537898479672861
554.879082,0.747538103824817
554.998084,0.6150141520358327
555.117086,0.601384970256233
555.236088,0.653678263766574
555.35509,0.9220710478396265
555.474092,0.6451644715763305
555.593094,0.7640592045129748
555.712096,0.5660459615069179
555.831098,0.7189668701500207
555.9501,0.8376373740648568
556.069102,0.7345626433051247
556.188104,0.6534887245545958
556.307106,0.7276100644788599
556.426108,0.6737945745907682
556.54511,0.840145657828846
556.664112,0.8886605054834601
556.783114,0.6955446995651157
556.902116,0.7645636500366648
557.021118,0.6901267518002911
557.14012,0.9445581754738757
557.259122,0.8876923932495019
557.378124,0.7436015044045948
557.497126,0.6771652122648746
557.616128,0.9732619637409543
557.73513,0.9214543886041354
557.854132,0.9430641227368362
557.973134,0.8222588753428399
558.092136,0.6584412366326358
558.211138,0.9497096240552124
558.33014,0.7942476218860325
558.449142,0.8747212629526547
558.568144,0.7101777415964388
558.687146,0.9181862704114019
558.806148,0.7505642664968832
558.92515,0.7679581803395067
559.044152,0.918967060530042
559.163154,0.8379641163513466
559.282156,0.8349445195428641
559.401158,0.8312123344321619
559.52016,0.9926782356747278
559.639162,0.7357756721401612
559.758164,0.8678468673407406
559.877166,0.7066003844308459
559.996168,0.880997932335915
560.11517,0.8558758058417058
560.234172,0.9913963252792712
560.353174,0.8583957832625495
560.472176,0.856766379697916
560.591178,0.8261986814019407
560.71018,0.8550289080774861
560.829182,0.7884628409041893
560.948184,0.7569031295359336
561.067186,0.9243033133546905
561.186188,0.9993007645791058
561.30519,0.9469234720411823
561.424192,0.792732056753676
561.543194,0.9912932254227276
561.662196,0.8543109853644544
561.781198,0.8379724960344084
561.9002,0.8282584795030213
562.019202,0.7687726476020544
562.138204,0.9206512306050526
562.257206,0.9113921621325585
562.376208,0.8176752713386021
562.49521,0.9605300610213755
562.614212,1.0
562.733214,0.8706980784957069
562.852216,0.9145135448980951
562.971218,0.9288314391103272
563.09022,0.9096794447912359
563.209222,0.8976545256622642
563.328224,0.9489444664981423
563.447226,0.8851129632759962
563.566228,0.942513534076695
563.68523,0.9341436983166223
563.804232,1.0
563.923234,0.9978030169079395
564.042236,0.9032011435844097
564.161238,0.9112235701778006
564.28024,0.9707105013456255
564.399242,0.9613064829428956
564.518244,0.9357985968157618
564.637246,0.9977971298875065
564.756248,0.9842838087396947
564.87525,0.9798213694531845
564.994252,0.9002074880057419
565.113254,0.9916060277773252
565.232256,1.0
565.351258,0.8775073040263549
565.47026,0.9778832425205166
565.589262,0.959374278748454
565.708264,0.9958849899526763
565.827266,0.9128132178361025
565.946268,0.9971062948591326
566.06527,0.9809929558731457
566.184272,1.0
566.303274,0.9853365707322678
566.422276,0.9305895211043191
566.541278,0.9612459225421428
566.66028,1.0
566.779282,0.8914641995756241
566.898284,0.9498729881594602
567.017286,0.9285983316753175
567.136288,0.9444684467093895
567.25529,0.9996145443071409
567.374292,0.9071676552756595
567.493294,0.9872203620303679
567.612296,0.8890782740889692
567.731298,0.986313523273894
567.8503,0.9941928271925745
567.969302,0.9796087712837488
568.088304,1.0
568.207306,1.0
568.326308,1.0
568.44531,0.9715621878652565
568.564312,0.9638197337910387
568.683314,0.9477542881857915
568.802316,0.9400624215674914
568.921318,0.9635470113984146
569.04032,1.0
569.159322,0.953232918146087
569.278324,0.972133634420544
569.397326,1.0
569.516328,1.0
569.63533,0.9731714545870673
569.754332,0.9969026068505313
569.873334,1.0
569.992336,1.0
570.111338,1.0
570.23034,0.8680464950765385
570.349342,0.998359147672603
570.468344,0.9690549119673744
570.587346,0.9993633327586525
570.706348,0.995185427390329
570.82535,1.0
570.944352,0.9894757713397851
571.063354,1.0
571.182356,0.993629478366261
571.301358,0.9889564328981012
571.42036,1.0
571.539362,0.9918490010171371
571.658364,0.9767778817725566
571.777366,1.0
571.896368,1.0
