nu,[0]Vinyltoluene-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
550,0.97478338685043
550.119002,0.9723436379651451
550.238005,0.9752621230134837
550.357007,0.9736727669630364
550.47601,0.9677272480046745
550.595012,0.9675230790959228
550.714014,0.974278579812352
550.833017,0.974432527989548
550.952019,0.9803388517395573
551.071021,0.968696427973575
551.190024,0.9615987645382618
551.309026,0.9699681917817059
551.428029,0.9593023283757206
551.547031,0.9733154946210458
551.666033,0.9660352062889906
551.785036,0.9782333873935315
551.904038,0.9573023521175454
552.02304,0.9695162919051846
552.142043,0.9688359303031299
552.261045,0.9669881867445492
552.380048,0.9592965725790178
552.49905,0.9675424297510107
552.618052,0.9699992312604719
552.737055,0.9545855612213092
552.856057,0.9693631204319286
552.97506,0.9659984976486202
553.094062,0.9805604333578302
553.213064,0.9645573379850211
553.332067,0.9734741579773812
553.451069,0.9757586577914783
553.570071,0.9760953526049321
553.689074,0.9658903118754
553.808076,0.9642651213846622
553.927079,0.9701379510687721
554.046081,0.9654943780195179
554.165083,0.9680127696552087
554.284086,0.9613651244269021
554.403088,0.9682848194646899
554.52209,0.9677446672519113
554.641093,0.9739210851778388
554.760095,0.9711571308931649
554.879098,0.9670171968253006
554.9981,0.9608134591885512
555.117102,0.9705716996684896
555.236105,0.9643528735033691
555.355107,0.9669804508699988
555.474109,0.9663878734971363
555.593112,0.9658024198561669
555.712114,0.9706367301508643
555.831117,0.9682732001165726
555.950119,0.9778284825922278
556.069121,0.9694261310825806
556.188124,0.9688620892263919
556.307126,0.9639604617450629
556.426129,0.9650310519252271
556.545131,0.9631876753834959
556.664133,0.9704571789647831
556.783136,0.9608787967252271
556.902138,0.9648274518538337
557.02114,0.9665695714964305
557.140143,0.9633485411572033
557.259145,0.9627235307917936
557.378148,0.964836135339976
557.49715,0.9705328775769498
557.616152,0.9614016569957448
557.735155,0.9632175346642493
557.854157,0.964004804946189
557.973159,0.9719635259194483
558.092162,0.969604521902152
558.211164,0.9662931721259765
558.330167,0.9713144710925816
558.449169,0.9651516883463369
558.568171,0.9699361833595189
558.687174,0.9663337572914883
558.806176,0.9685036765638096
558.925179,0.9637368488580359
559.044181,0.9692157884351383
559.163183,0.9669495079906597
559.282186,0.9726052335867914
559.401188,0.9636973364572424
559.52019,0.9711192565036155
559.639193,0.9653765948903165
559.758195,0.9679866336632654
559.877198,0.9653833525501325
559.9962,0.9706629376963786
560.115202,0.9696646392461282
560.234205,0.9657357817882366
560.353207,0.9707337986772248
560.472209,0.9616170350883576
560.591212,0.9753879399423698
560.710214,0.963718538031861
560.829217,0.970058403018299
560.948219,0.9683003121457425
561.067221,0.9717584632503518
561.186224,0.9683225833090392
561.305226,0.9717263957501812
561.424228,0.9732308198564195
561.543231,0.9670694171638656
561.662233,0.9698062206186469
561.781236,0.9678404787165585
561.900238,0.9714358929901787
562.01924,0.9620585186201828
562.138243,0.9682761049405302
562.257245,0.9657116386954818
562.376248,0.9724457394073635
562.49525,0.9674805090169912
562.614252,0.9746937109039965
562.733255,0.9688243043417222
562.852257,0.9705105555774696
562.971259,0.9735676159824596
563.090262,0.9673702225254127
563.209264,0.9719382551962953
563.328267,0.9685627570900177
563.447269,0.9724826930475756
563.566271,0.9684000522144188
563.685274,0.9728707910625067
563.804276,0.968910533541951
563.923278,0.97283090417776
564.042281,0.9722016861567364
564.161283,0.9716389443099375
564.280286,0.969172174705975
564.399288,0.9728795469390277
564.51829,0.9746625212042854
564.637293,0.9701369809313061
564.756295,0.9726723456632489
564.875298,0.96975191299092
564.9943,0.9773856266040679
565.113302,0.9706745857215189
565.232305,0.9717730397366239
565.351307,0.970929906710802
565.470309,0.9762573978828505
565.589312,0.9693718447392718
565.708314,0.9751665520084841
565.827317,0.9753021095802463
565.946319,0.9754298825255465
566.065321,0.9780426504804433
566.184324,0.9687952400485584
566.303326,0.977048486722863
566.422328,0.9736717932907563
566.541331,0.979002581089545
566.660333,0.9725993979728967
566.779336,0.9758152534348881
566.898338,0.9745699326627963
567.01734,0.9775117174825867
567.136343,0.9755508433303945
567.255345,0.9770983174663591
