nu,[0]Vinyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
620.97222,1.0
621.032485,1.0
621.09275,1.0
621.153015,1.0
621.21328,1.0
621.273545,1.0
621.33381,1.0
621.394075,1.0
621.45434,1.0
621.514605,1.0
621.57487,1.0
621.635135,1.0
621.6954,1.0
621.755665,1.0
621.81593,1.0
621.876195,1.0
621.93646,1.0
621.996725,1.0
622.05699,1.0
622.117255,1.0
622.17752,1.0
622.237785,1.0
622.29805,1.0
622.358315,1.0
622.41858,1.0
622.478845,1.0
622.53911,1.0
622.599375,1.0
622.65964,1.0
622.719905,1.0
622.78017,1.0
622.840435,1.0
622.9007,1.0
622.960965,1.0
623.02123,1.0
623.081495,1.0
623.14176,1.0
623.202025,1.0
623.26229,1.0
623.322555,1.0
623.38282,1.0
623.443085,1.0
623.50335,1.0
623.563615,1.0
623.62388,1.0
623.684145,1.0
623.74441,1.0
623.804675,1.0
623.86494,1.0
623.925205,1.0
623.98547,1.0
624.045735,1.0
624.106,1.0
624.166265,1.0
624.22653,1.0
624.286795,1.0
624.34706,1.0
624.407325,1.0
624.46759,1.0
624.527855,1.0
624.58812,1.0
624.648385,1.0
624.70865,1.0
624.768915,1.0
624.82918,1.0
624.889445,1.0
624.94971,1.0
625.009975,1.0
625.07024,1.0
625.130505,1.0
625.19077,1.0
625.251035,1.0
625.3113,1.0
625.371565,1.0
625.43183,1.0
625.492095,1.0
625.55236,1.0
625.612625,1.0
625.67289,1.0
625.733155,1.0
625.79342,1.0
625.853685,1.0
625.91395,1.0
625.974215,1.0
626.03448,1.0
626.094745,1.0
626.15501,1.0
626.215275,1.0
626.27554,1.0
626.335805,1.0
626.39607,1.0
626.456335,1.0
626.5166,1.0
626.576865,1.0
626.63713,1.0
626.697395,1.0
626.75766,1.0
626.817925,1.0
626.87819,1.0
626.938455,1.0
626.99872,1.0
627.058985,1.0
627.11925,1.0
627.179515,1.0
627.23978,1.0
627.300045,1.0
627.36031,1.0
627.420575,1.0
627.48084,1.0
627.541105,1.0
627.60137,1.0
627.661635,1.0
627.7219,1.0
627.782165,1.0
627.84243,1.0
627.902695,1.0
627.96296,1.0
628.023225,1.0
628.08349,1.0
628.143755,1.0
628.20402,1.0
628.264285,1.0
628.32455,1.0
628.384815,1.0
628.44508,1.0
628.505345,1.0
628.56561,1.0
628.625875,1.0
628.68614,1.0
628.746405,1.0
628.80667,1.0
628.866935,1.0
628.9272,1.0
628.987465,1.0
629.04773,1.0
629.107995,1.0
629.16826,1.0
629.228525,1.0
629.28879,1.0
629.349055,1.0
629.40932,1.0
629.469585,1.0
629.52985,1.0
629.590115,1.0
629.65038,1.0
629.710645,1.0
629.77091,1.0
629.831175,1.0
629.89144,1.0
629.951705,1.0
630.01197,1.0
630.072235,1.0
630.1325,1.0
630.192765,1.0
630.25303,1.0
630.313295,1.0
630.37356,1.0
630.433825,1.0
630.49409,1.0
630.554355,1.0
630.61462,1.0
630.674885,1.0
630.73515,1.0
630.795415,1.0
630.85568,1.0
630.915945,1.0
630.97621,1.0
631.036475,1.0
631.09674,1.0
631.157005,1.0
631.21727,1.0
631.277535,1.0
631.3378,1.0
631.398065,1.0
631.45833,1.0
631.518595,1.0
631.57886,1.0
631.639125,1.0
631.69939,1.0
631.759655,1.0
631.81992,1.0
631.880185,1.0
631.94045,1.0
632.000715,1.0
632.06098,1.0
632.121245,1.0
632.18151,1.0
632.241775,1.0
632.30204,1.0
632.362305,1.0
632.42257,1.0
632.482835,1.0
632.5431,1.0
632.603365,1.0
632.66363,1.0
632.723895,1.0
632.78416,1.0
632.844425,1.0
632.90469,1.0
632.964955,1.0
633.02522,1.0
633.085485,1.0
633.14575,1.0
633.206015,1.0
633.26628,1.0
633.326545,1.0
633.38681,1.0
633.447075,1.0
633.50734,1.0
633.567605,1.0
633.62787,1.0
633.688135,1.0
633.7484,1.0
633.808665,1.0
633.86893,1.0
633.929195,1.0
633.98946,1.0
634.049725,1.0
634.10999,1.0
634.170255,1.0
634.23052,1.0
634.290785,1.0
634.35105,1.0
634.411315,1.0
634.47158,1.0
634.531845,1.0
634.59211,1.0
634.652375,1.0
634.71264,1.0
634.772905,1.0
634.83317,1.0
634.893435,1.0
634.9537,1.0
635.013965,1.0
635.07423,1.0
635.134495,1.0
635.19476,1.0
635.255025,1.0
