nu,[0]4-Methyl-1-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.8939101609192273
520.134603,0.9663105655596153
520.269205,0.9066416505917035
520.403808,0.9255612210441962
520.538411,0.9223744591227849
520.673013,0.9391124987261943
520.807616,0.938811091992472
520.942219,0.9576240597517128
521.076822,0.9453037259553128
521.211424,0.896165655253998
521.346027,0.8818793709140867
521.48063,0.9188512779748693
521.615232,0.8840603053054127
521.749835,0.8918119384181252
521.884438,0.891383971407984
522.01904,0.8738295021397733
522.153643,0.9365540910843282
522.288246,0.9197687492923252
522.422848,0.8865391429134121
522.557451,0.9258898536064953
522.692054,0.9339270021163439
522.826657,0.9132103779619258
522.961259,0.880346235023731
523.095862,0.8686890872126619
523.230465,0.8643737696176177
523.365067,0.9077829234982947
523.49967,0.9036438205917756
523.634273,0.9016038915453224
523.768875,0.9148126397266161
523.903478,0.9074171606862819
524.038081,0.9171722349403753
524.172683,0.8826822463945571
524.307286,0.8989750481612314
524.441889,0.8747737478029617
524.576492,0.8662341724386856
524.711094,0.9182744205244991
524.845697,0.8631817564937733
524.9803,0.8755526429954534
525.114902,0.8772002302109981
525.249505,0.8922936469144594
525.384108,0.9193531077597079
525.51871,0.8916960104016152
525.653313,0.9017030734282959
525.787916,0.8742402985353699
525.922518,0.8532266990805689
526.057121,0.8918922051045296
526.191724,0.8702367307820478
526.326327,0.8932935756545722
526.460929,0.8733228279782428
526.595532,0.9216165788488526
526.730135,0.8649184966634794
526.864737,0.8378300528180991
526.99934,0.8932221150269831
527.133943,0.8987323576629195
527.268545,0.8646331206492126
527.403148,0.8716389403944559
527.537751,0.8806279908974741
527.672353,0.8437323124815108
527.806956,0.8754913564554976
527.941559,0.8947239894014621
528.076162,0.8831855186939812
528.210764,0.8788333409613627
528.345367,0.885024456405086
528.47997,0.8982831038069116
528.614572,0.8551315177029098
528.749175,0.8498970963025355
528.883778,0.9014596464625895
529.01838,0.8562096625038015
529.152983,0.8705065459877863
529.287586,0.8587649728194185
529.422188,0.875657715616844
529.556791,0.8706458381782224
529.691394,0.8809891224006413
529.825997,0.8641490616508186
529.960599,0.8686369674310382
530.095202,0.8514197744953319
530.229805,0.8723627010340989
530.364407,0.8762884161970508
530.49901,0.9155255564179622
530.633613,0.8624569882635916
530.768215,0.8429732950093736
530.902818,0.8757102566559964
531.037421,0.8769897274170931
531.172023,0.8790003351600918
531.306626,0.8802229951778182
531.441229,0.8600196853970379
531.575832,0.8635098278908586
531.710434,0.8467413524271014
531.845037,0.8751762362922063
531.97964,0.8545673171079028
532.114242,0.8763409950793732
532.248845,0.8600024851753326
532.383448,0.8696712607047238
532.51805,0.8476732803811766
532.652653,0.8666067332276634
532.787256,0.8593233515051645
532.921858,0.8974570633882651
533.056461,0.8590655931653971
533.191064,0.8947866222728452
533.325667,0.8591600955781827
533.460269,0.8839895833099058
533.594872,0.8619655278598027
533.729475,0.87132520685134
533.864077,0.8761745061072614
533.99868,0.8974839875040265
534.133283,0.8869293059658708
534.267885,0.8514027462701248
534.402488,0.8777618180472719
534.537091,0.8816236629759647
534.671693,0.8481565918816858
534.806296,0.8918119384181252
534.940899,0.8728513609586865
535.075502,0.855807338515968
535.210104,0.880495906605409
535.344707,0.8650741960053991
535.47931,0.8620775906623488
535.613912,0.8704891360309667
535.748515,0.9049116177463851
535.883118,0.876875726162771
536.01772,0.8719179094880566
536.152323,0.8657405596534039
536.286926,0.8770423483793512
536.421528,0.8725197404534087
536.556131,0.8829912392513908
536.690734,0.872702988839311
536.825337,0.8847235992385248
536.959939,0.8747300102090205
537.094542,0.8610178870771412
537.229145,0.887071226008126
537.363747,0.8634666534788333
537.49835,0.8835653701292253
537.632953,0.8826116346393534
537.767555,0.8723365305456271
537.902158,0.8872309132002236
538.036761,0.8718220037929227
538.171363,0.8859719393864366
538.305966,0.8800205671690406
538.440569,0.8782095907468089
538.575172,0.8816060306790288
538.709774,0.8702367307820478
538.844377,0.8787103129057928
538.97898,0.8833356729949131
539.113582,0.8974570633882651
539.248185,0.8862554957736426
539.382788,0.8812798967861684
539.51739,0.8819587436291876
539.651993,0.8804871016903676
539.786596,0.8718743146824613
539.921198,0.882417481437368
540.055801,0.8851129632759962
540.190404,0.8832561763617458
540.325007,0.886237770840977
540.459609,0.8822057266534136
540.594212,0.881323961882626
540.728815,0.8949745471949487
540.863417,0.8755351321177028
540.99802,0.8930524189467661
541.132623,0.8993167235937534
541.267225,0.8797566005958557
541.401828,0.8949476983612674
541.536431,0.8879853800794423
541.671033,0.8902526323166802
541.805636,0.895207270829981
541.940239,0.8982112440330362
542.074841,0.8889093652637389
542.209444,0.8949745471949487
542.344047,0.8903505654924609
542.47865,0.9052410655311041
542.613252,0.8963180163657187
542.747855,0.8912235367326844
542.882458,0.880258204801813
543.01706,0.8934722522367659
543.151663,0.894670307572569
543.286266,0.8770598894017285
543.420868,0.8939459180408017
543.555471,0.901594875551487
543.690074,0.8917762666540285
543.824676,0.9024517976568133
543.959279,0.8962015025971503
544.093882,0.8938654665285504
544.228485,0.9021630592821669
544.363087,0.8977263408968883
544.49769,0.886902698485806
544.632293,0.9008828968684099
544.766895,0.8927756156036275
544.901498,0.9004505768430198
545.036101,0.8889182544018371
545.170703,0.9089801702037306
545.305306,0.9093820282430449
545.439909,0.8888560323018279
545.574511,0.9148839978954473
545.709114,0.895610204755188
545.843717,0.9066235179400188
545.97832,0.9189321404452276
546.112922,0.9024157003068588
546.247525,0.9032734025662171
546.382128,0.9007477745683056
546.51673,0.9068928251149829
546.651333,0.9126416250813737
546.785936,0.9164992775255136
546.920538,0.9171768208130147
547.055141,0.905112530426007
547.189744,0.9077311813463207
547.324346,0.9190644762013975
547.458949,0.9097840639428727
547.593552,0.9052564547600261
547.728155,0.919200507809966
547.862757,0.9283383605401058
547.99736,0.9142054057578259
548.131963,0.9058840149076506
548.266565,0.9075768801614641
548.401168,0.9138187786485888
548.535771,0.8988941440476367
548.670373,0.9071694696127843
548.804976,0.9107006779329496
548.939579,0.9112554635608878
549.074181,0.9176162537459696
549.208784,0.915645498121863
549.343387,0.9123523635366
549.47799,0.9162069608829663
549.612592,0.9146763427976703
549.747195,0.9180972106626396
549.881798,0.9115735472200405
550.0164,0.9251337105226084
