nu,[0]Butane-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
600,1.000111576224164
600.119202,1.0003990596031065
600.238404,1.0001783759070906
600.357606,0.9998255752137721
600.476808,0.9996741830898614
600.59601,1.000625375465748
600.715212,0.999406626115955
600.834414,0.999617633120855
600.953616,0.9998729080768628
601.072818,1.000351451744698
601.19202,0.9999974967031332
601.311222,1.0006519424221412
601.430424,0.9999489623024675
601.549626,0.9998253652504234
601.668828,0.9995647747380035
601.78803,1.00008176334244
601.907232,1.0001859772916326
602.026434,1.0000434129423146
602.145636,0.9998502612119716
602.264838,1.0001605928936583
602.38404,0.9999978058024073
602.503242,0.9999249128191835
602.622444,1.0002873012631048
602.741646,0.9999337841923633
602.860848,1.0006241046723279
602.98005,0.9997711461910289
603.099252,0.9998165568277567
603.218454,0.9997372645210126
603.337656,1.000226385621358
603.456858,1.0001884477540475
603.57606,0.9997242780182941
603.695262,0.9998234755822688
603.814464,0.9997099120836385
603.933666,1.0002237250227108
604.052868,0.9999082192121143
604.17207,0.9998191163614184
604.291272,1.000278858873909
604.410474,1.0004469098344566
604.529676,1.0003859544612645
604.648878,1.0001110761685008
604.76808,0.9997853430421023
604.887282,0.9999644806308278
605.006484,0.9999459384613777
605.125686,1.0005272189310714
605.244888,1.000262064332859
605.36409,0.9999664305634661
605.483292,1.0001629832803318
605.602494,1.0006140184321877
605.721696,1.0003127288894866
605.840898,0.9997912617888526
605.9601,1.0010587600911653
606.079302,0.9999100460460996
606.198504,1.0004548934326516
606.317706,1.0001186970439366
606.436908,0.99964802195881
606.55611,0.9999170584398414
606.675312,0.9995921232043657
606.794514,1.0001475308816103
606.913716,0.9998333538870063
607.032918,1.0001960592170966
607.15212,0.9992399989472095
607.271322,1.0001052555389756
607.390524,1.0000028070039397
607.509726,0.9998640892367047
607.628928,0.9998705683769954
607.74813,0.9998998650138424
607.867332,0.999479395561542
607.986534,1.0000187941766083
608.105736,1.0004222391178512
608.224938,0.9999775862511918
608.34414,1.0005633486212646
608.463342,0.9998562903272245
608.582544,0.9998393029131603
608.701746,1.0003373468886678
608.820948,1.0001703645103852
608.94015,1.0005846408358716
609.059352,1.0001009850986518
609.178554,0.9997290667090547
609.297756,0.999291631011858
609.416958,1.0000298144444417
609.53616,1.0004049319628217
609.655362,0.9992885032339479
609.774564,1.0006097858438416
609.893766,0.9998764276356936
610.012968,1.0000138250955657
610.13217,1.0005083791809157
610.251372,1.0003347560182947
610.370574,1.0006418158757244
610.489776,0.9989719288276471
610.608978,0.9993470132886774
610.72818,0.9998466117651784
610.847382,1.0003461098822084
610.966584,1.0006821525603027
611.085786,1.0003560833826417
611.204988,1.000382092978933
611.32419,1.0007416849123307
611.443392,1.0000008767803843
611.562594,1.0000667342266294
611.681796,0.9996697645397372
611.800998,0.9992504810297769
611.9202,0.9999847291166011
612.039402,1.0002733373498476
612.158604,1.000935367183287
612.277806,1.000478774575978
612.397008,1.000358024075326
612.51621,1.0000301074532203
612.635412,1.0000069994244958
612.754614,1.0003124588050862
612.873816,0.9993966021177655
612.993018,0.9997261575017035
613.11222,1.0002195040874975
613.231422,1.0002097019843876
613.350624,1.000279529060969
613.469826,0.9997497713124217
613.589028,1.0002452300639773
613.70823,1.000362005508185
613.827432,0.999867878728784
613.946634,0.9994311518554895
614.065836,1.0001447604767868
614.185038,1.0005664003441317
614.30424,1.0003497111346862
614.423442,1.000327913751964
614.542644,1.0002835001785821
614.661846,0.9999859260990382
614.781048,1.0000066169218917
614.90025,0.9996769122041066
615.019452,1.000506438196543
615.138654,1.0003289440902459
615.257856,0.9999097810699724
615.377058,0.9998638592679906
615.49626,0.9998576801284339
615.615462,1.0002615942097994
615.734664,1.0001681941430491
615.853866,1.0001291483389287
615.973068,0.9993589455632517
616.09227,1.000111456210782
616.211472,1.000291182385363
