nu,[0]Propane-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
600,0.9855573108460816
600.118002,0.9857771146336117
600.236005,0.986344099467044
600.354007,0.985268584854427
600.472009,0.9849572891689218
600.590012,0.9843428675399652
600.708014,0.9854016050920463
600.826017,0.9866518868384109
600.944019,0.986191227979473
601.062021,0.9859762617239466
601.180024,0.9850971630347931
601.298026,0.9847327445060555
601.416028,0.9852173522200747
601.534031,0.9849582741267033
601.652033,0.9870634064711027
601.770035,0.9871660664035996
601.888038,0.9857889440299635
602.00604,0.9879156098637599
602.124042,0.9856519288895162
602.242045,0.9863667856422218
602.360047,0.9852183374379194
602.47805,0.9854222987430359
602.596052,0.9872598516346359
602.714054,0.9877852136096
602.832057,0.987975874554016
602.950059,0.988201158734835
603.068061,0.9854686146794928
603.186064,0.9856943128337068
603.304066,0.9864654272527843
603.422068,0.9885965182649635
603.540071,0.9868956199542606
603.658073,0.9879610550270445
603.776076,0.9862099657908132
603.894078,0.98720259222378
604.01208,0.9859299219286393
604.130083,0.9882080761671571
604.248085,0.9886588018075252
604.366087,0.9889959919465928
604.48409,0.9877881769696859
604.602092,0.9876459457130985
604.720094,0.9875600242534592
604.838097,0.9867209548878431
604.956099,0.9873171143666339
605.074101,0.9902554884561398
605.192104,0.9899815226673988
605.310106,0.9889099530380403
605.428109,0.9868679872637613
605.546111,0.9889237978742965
605.664113,0.9875708874734735
605.782116,0.989613318031275
605.900118,0.9898944081265001
606.01812,0.9896548826634834
606.136123,0.9898251179431159
606.254125,0.9888605087765052
606.372127,0.988792279755328
606.49013,0.9881586669985883
606.608132,0.9890256622714039
606.726135,0.9881685486346664
606.844137,0.9891275371610846
606.962139,0.9898577827109738
607.080142,0.9887982125268048
607.198144,0.9877486662328271
607.316146,0.9887319652658735
607.434149,0.9897558326098749
607.552151,0.9902828198847932
607.670153,0.9901973621649908
607.788156,0.9921927362446786
607.906158,0.9893194465178996
608.02416,0.9889040195961224
608.142163,0.9897983930257195
608.260165,0.9904516775002862
608.378168,0.9907249808185675
608.49617,0.9897053563495674
608.614172,0.9914724674408742
608.732175,0.9911667444768196
608.850177,0.990410277485433
608.968179,0.9881725013167663
609.086182,0.9895955051518668
609.204184,0.9906866405036998
609.322186,0.9903821502329613
609.440189,0.9912283969656986
609.558191,0.9906846591324001
609.676194,0.9897112945995201
609.794196,0.9899815226673988
609.912198,0.9902019170833329
610.030201,0.9911945966536607
610.148203,0.9916265542345484
610.266205,0.991769854624839
610.384208,0.991554068982802
610.50221,0.9903017344672866
610.620212,0.9913268308326779
610.738215,0.9906623689783348
610.856217,0.9915198609575139
610.974219,0.9914368742181953
611.092222,0.9918941311733868
611.210224,0.9913615278789518
611.328227,0.9910901302486497
611.446229,0.9898785699426759
611.564231,0.9894213516689161
611.682234,0.9910211527760282
611.800236,0.9936014584100543
611.918238,0.9945214622259095
612.036241,0.9913031384045466
612.154243,0.9913252447110175
612.272245,0.9906201676603108
612.390248,0.9906041197435832
612.50825,0.9917594410960366
612.626253,0.9924569923544799
612.744255,0.9920380654539995
612.862257,0.9909912243891353
612.98026,0.9917122344701671
613.098262,0.9918941311733868
613.216264,0.9921980940999205
613.334267,0.9924956989319551
613.452269,0.9937804221479148
613.570271,0.992972906302034
613.688274,0.9924784296570368
613.806276,0.9915186711343946
613.924278,0.9933161370453082
614.042281,0.9909033273658227
614.160283,0.9920947124447931
614.278286,0.9941290020618774
614.396288,0.9960993274644031
614.51429,0.9922174421513984
614.632293,0.9934115993129667
614.750295,0.9920864780928524
614.868297,0.9923633088363334
614.9863,0.9936982399052858
615.104302,0.9925934645731788
615.222304,0.9930463890159272
615.340307,0.9931079598007209
615.458309,0.9936845269641946
615.576312,0.9928020303691553
615.694314,0.9926164930086857
615.812316,0.9932175056500294
615.930319,0.9941052426626541
616.048321,0.9951370625538329
616.166323,0.994076414028634
616.284326,0.9939388433730414
616.402328,0.9925257720072376
616.52033,0.9924559998979838
616.638333,0.992858323840182
616.756335,0.9941303938434545
616.874337,0.9947714168748532
616.99234,0.9945767591564497
617.110342,0.9941444111808297
617.228345,0.9926403160903937
617.346347,0.9933375929055908
617.464349,0.9938318019238956
617.582352,0.9946224112774031
617.700354,0.9946486696556699
617.818356,0.9934248117751002
617.936359,0.9954025010030598
618.054361,0.9947424694478092
618.172363,0.9928755997253166
618.290366,0.9933323282302998
618.408368,0.9943142255479935
618.526371,0.995001733115936
618.644373,0.9948428440267888
618.762375,0.9941408322673915
618.880378,0.9942875782838237
618.99838,0.9938038756426277
619.116382,0.9938764259736045
619.234385,0.9942285193557412
619.352387,0.9953865746904547
619.470389,0.9950853167719821
619.588392,0.9925902882791742
619.706394,0.99513109174937
619.824396,0.9943193959954095
619.942399,0.9951895076589459
620.060401,0.9948888068279154
620.178404,0.9958054219207643
620.296406,0.9956435171223768
620.414408,0.9948487136168839
620.532411,0.9943891996670886
620.650413,0.9944207223043492
620.768415,0.9946468792896759
620.886418,0.9945605476873993
621.00442,0.9957425885810537
621.122422,0.9962870102568613
621.240425,0.9950216333495999
621.358427,0.9941270138058615
621.47643,0.995706344210481
621.594432,0.9953571116838985
621.712434,0.9956451101532785
621.830437,0.9962743574921763
621.948439,0.9956777678484748
622.066441,0.995043026544693
622.184444,0.9946198252624957
622.302446,0.9939624993990194
622.420448,0.9958334044462729
622.538451,0.9972699334282963
622.656453,0.9962088047961607
622.774455,0.9958351969480141
622.892458,0.9958505329281339
623.01046,0.9957520481805783
623.128463,0.9961731411593319
623.246465,0.9957090326212397
623.364467,0.996527542972268
623.48247,0.9960915579199502
623.600472,0.9964534040810719
623.718474,0.9965290377647036
623.836477,0.995661538433129
623.954479,0.9957291461468445
624.072481,0.9948400584707253
624.190484,0.9960843860865518
624.308486,0.9966218189370161
624.426489,0.9957356184073293
624.544491,0.9963638269465974
624.662493,0.996184696834792
624.780496,0.9955468448303799
624.898498,0.9959907585548226
625.0165,0.9963213827516373
625.134503,0.9969511571896762
625.252505,0.9971314222543668
625.370507,0.9961448502438558
625.48851,0.995880309304223
625.606512,0.9950397429081234
625.724514,0.995542165771205
625.842517,0.9965207666080155
625.960519,0.996409561095845
626.078522,0.9974193356542712
626.196524,0.9972683377976793
626.314526,0.9964085646867821
626.432529,0.9969280281911268
626.550531,0.9955522207978571
626.668533,0.9957813237211431
626.786536,0.9970122721687669
626.904538,0.9974837710245945
627.02254,0.9964877823165338
627.140543,0.9955732271713323
627.258545,0.996959033134928
627.376548,0.9969788728170915
627.49455,0.9966166365170318
627.612552,0.9968453862831441
627.730555,0.997406668509145
627.848557,0.9975280602872424
627.966559,0.995413450490793
628.084562,0.9978342486311427
628.202564,0.9963404126717831
628.320566,0.9975717529731458
628.438569,0.9955809926727897
628.556571,0.9975213768716279
628.674573,0.9973097252924825
628.792576,0.9980048928773259
628.910578,0.9967267687400603
629.028581,0.9972300434287645
629.146583,0.9963429035259282
629.264585,0.9969608276628026
629.382588,0.9977412548127494
629.50059,0.996741022034764
629.618592,0.9968857593388375
629.736595,0.99587184435757
629.854597,0.99642719770116
629.972599,0.9969652143000949
630.090602,0.9967948475032284
630.208604,0.9964058743872893
630.326607,0.9978904282807829
630.444609,0.9972648473646053
630.562611,0.996627101046654
630.680614,0.9966187294141661
630.798616,0.9971026055726667
630.916618,0.9965927180047788
631.034621,0.9967789985911524
631.152623,0.9978861373611667
631.270625,0.9968520651696064
631.388628,0.9965921200493273
631.50663,0.995764993041346
631.624632,0.9966358714037327
631.742635,0.9972783105309209
631.860637,0.997964973480004
631.97864,0.9955955282613923
632.096642,0.9973950986588955
632.214644,0.9972605591349814
632.332647,0.9967744134183047
632.450649,0.9960612771968588
632.568651,0.9967743137408684
632.686654,0.9966625816030014
632.804656,0.9971208527173095
632.922658,0.9958150812802047
633.040661,0.9970407871275129
633.158663,0.997679696076434
633.276666,0.9965234572177176
633.394668,0.9951211404882089
633.51267,0.9973388471616382
633.630673,0.9979979068675268
633.748675,0.9956062807511609
633.866677,0.9970426815068081
633.98468,0.9955212596052393
634.102682,0.9961903751037471
634.220684,0.9962243457747348
634.338687,0.997854305301109
634.456689,0.9970304179572465
634.574691,0.9978220751275678
634.692694,0.995830616116644
634.810696,0.996772918257806
634.928699,0.9965146878498794
635.046701,0.9968005292500522
635.164703,0.9971811803537916
635.282706,0.9974772874011547
635.400708,0.9975746459354242
635.51871,0.9970868514759564
635.636713,0.997234830144461
635.754715,0.9965903261851257
635.872717,0.9969413871162092
635.99072,0.9973468259043305
636.108722,0.9978153897420606
636.226725,0.9978226738209925
636.344727,0.997786653072646
636.462729,0.9966881961604942
636.580732,0.9972425088822163
636.698734,0.9984824526412658
636.816736,0.9964593828194325
636.934739,0.9969352060987702
637.052741,0.9979890247256812
637.170743,0.9989679329479235
637.288746,0.9964826005935382
637.406748,0.9967911593691158
637.52475,0.9973780433485318
637.642753,0.9976096614200147
637.760755,0.9976262218778457
637.878758,0.9989113929630153
637.99676,0.9982488350816682
638.114762,0.9982827761190552
638.232765,0.9969058966345621
638.350767,0.9980574891210793
638.468769,0.9991840430740475
638.586772,0.9982573202328282
638.704774,0.9987538770568007
638.822776,0.9980446142625127
638.940779,0.9975461157085347
639.058781,0.9984711698532988
639.176784,0.9988823250644201
639.294786,0.9974372893638959
639.412788,0.9989597414444585
639.530791,0.9979452139691489
639.648793,0.9998178965828405
639.766795,0.9983251042061119
639.884798,0.998316119320606
640.0028,0.9971404961915957
640.120802,0.998714626800705
640.238805,0.9989679329479235
640.356807,0.999079423990325
640.474809,0.9974685096396477
640.592812,0.9983629414445724
640.710814,0.9987241146347268
640.828817,0.9976228299544576
640.946819,0.9977389600105024
641.064821,0.9983286981829561
641.182824,0.9990162741758055
641.300826,0.9983457697496565
641.418828,0.998392693103525
641.536831,0.9975173867941006
641.654833,0.998484150062878
641.772835,0.9984468074539768
641.890838,0.9993690091585036
642.00884,0.9991472937607673
642.126843,0.9987436898192098
642.244845,0.9983373836804121
642.362847,0.9985267862463617
642.48085,0.9977387604627304
642.598852,0.996384651168193
642.716854,0.9980068888891076
642.834857,0.9991641395261495
642.952859,0.9998681786891926
643.070861,0.9977214997314802
643.188864,0.9984158560826945
643.306866,0.9976021793756118
643.424868,0.9986894595092188
643.542871,0.9983405783651514
643.660873,0.9996218215275126
643.778876,0.9982296688880307
643.896878,0.9989487529477395
644.01488,0.9975456169356015
644.132883,0.9978859377839593
644.250885,0.9978793517585037
644.368887,0.9980387258166594
644.48689,0.9992297867666046
644.604892,0.9991203171480216
644.722894,0.9998849166225999
644.840897,0.9967333471584426
644.958899,0.9977916420183838
645.076902,0.9978093030867474
645.194904,0.9993943934537154
645.312906,0.9989535479132616
645.430909,0.9998299344627832
645.548911,0.9982551240691394
645.666913,0.9979988050660471
645.784916,0.9964551976988134
645.902918,0.9979436172580839
646.02092,0.99848095491871
646.138923,0.9988287864066455
646.256925,0.9987837402441772
646.374927,0.9991188084774818
646.49293,0.9983155203311141
646.610932,0.9975923031629232
646.728935,0.9983713277285029
646.846937,0.9978663794112513
646.964939,0.9990406704510981
647.082942,0.9985599378859793
647.200944,0.9997062731461813
647.318946,0.9985404661570405
647.436949,0.9985267862463617
647.554951,0.9971086879171118
647.672953,0.9980914236525932
647.790956,0.998959341860642
647.908958,0.9993166735739132
648.026961,0.9990543374209517
648.144963,0.9986087686608447
648.262965,0.9974827735413223
648.380968,0.9977375631769362
648.49897,0.9991410291268751
648.616972,0.9996089464813668
648.734975,0.9988067125343831
648.852977,0.9979239579624686
648.970979,0.9986995463236982
649.088982,0.9987551754376849
649.206984,0.9987114309190126
649.324986,0.9979747535846665
649.442989,0.9998171767142141
649.560991,0.9988636461395899
649.678994,0.9996178430405801
649.796996,0.9980118789360272
649.914998,0.9976649305261975
650.033001,0.9969503596290694
650.151003,0.9979579877496397
650.269005,0.9986163581163263
650.387008,0.9990126877138189
650.50501,0.9984904405328384
650.623012,0.99775203047649
650.741015,0.9988047149229556
650.859017,0.9984696721476672
650.97702,0.9984988278877657
651.095022,0.9983817108443034
651.213024,0.9992049062546777
651.331027,0.9998741179238135
651.449029,0.998869939000383
651.567031,0.9981286531570214
651.685034,0.9980413207207199
651.803036,0.998351060996258
651.921038,0.998841671381098
652.039041,0.9990792241744602
652.157043,0.9991129636495484
652.275046,0.9987430905731757
652.393048,0.9974677116651592
652.51105,0.9979071929808011
652.629053,0.9984384205360193
652.747055,0.9992259197548125
652.865057,0.9981394330046865
652.98306,1.0001318786952307
653.101062,0.9982007206473844
653.219064,0.9991168801800423
653.337067,0.9972062099155382
653.455069,0.9992958979962324
653.573071,0.9986521092218879
653.691074,0.9986707841909408
653.809076,0.9988823250644201
653.927079,0.9988887179317577
654.045081,0.997636597244505
654.163083,0.9968642268389876
654.281086,0.9978829441306364
654.399088,0.9985874985205999
654.51709,0.9992845960235389
654.635093,0.998533875811712
654.753095,0.9991261720102349
654.871097,0.9976328062326384
654.9891,0.9976504644895838
655.107102,0.99745883424203
655.225105,0.999596861282259
655.343107,0.999959031839218
655.461109,0.9988808267420562
655.579112,0.997594697387324
655.697114,0.9982934578019067
655.815116,0.9984108640158943
655.933119,0.9974636220559251
656.051121,0.9986636936535445
656.169123,0.9985862003576957
656.287126,0.999075437671376
656.405128,0.9986062721420437
656.52313,0.9987653627924298
656.641133,0.9971928474418541
656.759135,0.9974287114400925
656.877138,0.9979387273463396
656.99514,1.000310308135612
657.113142,0.9992618425723364
657.231145,0.9992404985673339
657.349147,0.9969849544067645
657.467149,0.9977891475423968
657.585152,0.9974543456873751
657.703154,0.9989090954694536
657.821156,0.9989977026358915
657.939159,0.9990615106568463
658.057161,0.9983068350238684
658.175164,0.9972646479116558
658.293166,0.9983393803571762
658.411168,0.9971633309704158
658.529171,0.9980881299563297
658.647173,0.9973902114348858
658.765175,0.9988174997051291
658.883178,0.9981514107497489
659.00118,0.998905299622103
659.119182,0.9964365641608406
659.237185,0.9981450226011622
659.355187,0.9977108241685474
659.473189,0.9990444568224143
659.591192,0.9987919303044264
659.709194,0.9986220502457902
659.827197,0.9983133240393853
659.945199,0.997181978099055
660.063201,0.9975618770616772
660.181204,0.9979987052661716
660.299206,0.9990427184865718
660.417208,0.9981681798343094
660.535211,0.9987964248782255
660.653213,0.9980055914809953
660.771215,0.9977882495325682
660.889218,0.9964594824653757
661.00722,0.9975958945016791
661.125223,0.9986945528384503
661.243225,0.999185811631369
661.361227,0.998782541704408
661.47923,0.9983791150552297
