nu,[0]Formicacid-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
540,0.9783615443613782
540.133203,0.9511856689535723
540.266405,0.9351736920945031
540.399608,0.9368144893153267
540.532811,0.9355964861475875
540.666013,0.9340941900125931
540.799216,0.9487157984373243
540.932419,0.9681424920575493
541.065621,0.9428557285941123
541.198824,0.9476547792098446
541.332027,0.960779831305971
541.465229,0.8985346582919619
541.598432,0.8741266546835706
541.731635,0.9625589191427254
541.864837,0.9297681732356344
541.99804,0.9259991150555197
542.131243,0.9482965587132194
542.264445,0.9679914736085337
542.397648,0.9731091736069863
542.530851,0.9393369734370492
542.664053,0.9362909563568942
542.797256,0.9546027439160549
542.930459,0.9818300998556546
543.063661,0.9616651171421534
543.196864,0.9555033588767825
543.330067,0.9944048117000776
543.463269,0.899037978617143
543.596472,0.9384957044536362
543.729675,0.947614030930433
543.862877,0.9530861315795482
543.99608,0.9444571131560304
544.129283,0.9639064814706669
544.262485,0.9767905799675578
544.395688,0.9485080524264851
544.528891,0.923752592710985
544.662093,0.9286141179811391
544.795296,0.965536860706763
544.928499,0.946003509600535
545.061701,0.9483193181037401
545.194904,0.942818015119243
545.328107,0.9582563002475623
545.461309,0.9430424325114517
545.594512,0.9176823244947576
545.727715,0.951986904559684
545.860917,0.9402551541183242
545.99412,0.9374095554295377
546.127323,0.9368603943499674
546.260525,0.9162335312701007
546.393728,0.9216543659032147
546.526931,0.9254584894503692
546.660133,0.944373060213371
546.793336,0.9359090275654721
546.926539,0.9699963212671431
547.059741,0.9502083525126064
547.192944,0.9252132754429558
547.326147,0.9575666040318166
547.459349,0.9325075788911338
547.592552,0.9482813860896614
547.725755,0.9421158772768008
547.858957,0.944410835891288
547.99216,0.9536467110191208
548.125363,0.9529574736363916
548.258565,0.9476519362497715
548.391768,0.9284042749036363
548.52497,0.978302844429732
548.658173,0.9487546965824668
548.791376,0.9878681910525471
548.924578,0.9522963505859214
549.057781,0.9454502593888836
549.190984,0.9670829562304791
549.324186,0.9538985069864352
549.457389,0.9779164911159852
549.590592,0.9581125725823695
549.723794,0.951492000055636
549.856997,0.9334452200937036
549.9902,0.9519040853016774
550.123402,0.9569185508316471
550.256605,0.9629729084792853
550.389808,0.942830271833108
550.52301,0.936521312264773
550.656213,0.9552530497886792
550.789416,0.9450617591745376
550.922618,0.9534626749639448
551.055821,0.971272705468292
551.189024,0.9470124870311932
551.322226,0.9400624215674914
551.455429,0.949907184202559
551.588632,0.9694658783687689
551.721834,0.9380603434583317
551.855037,0.9232631335549819
551.98824,0.912437216251999
552.121442,0.9276989557099525
552.254645,0.9194809067235087
552.387848,0.9154678801247302
552.52105,0.9515671708928494
552.654253,0.9344576233357064
552.787456,0.9656546633895868
552.920658,0.9753616048235172
553.053861,0.966274812730121
553.187064,0.9555377576168758
553.320266,0.9484340716836823
553.453469,0.9551489328807268
553.586672,0.9704552380523661
553.719874,0.9474832692169303
553.853077,0.9685685684839944
553.98628,0.9550753892443613
