nu,[0]Methylpropionate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
530,1.0
530.119402,0.997524768450075
530.238805,0.9964357670119082
530.358207,0.9967303569628865
530.47761,0.9915575394281168
530.597012,0.9964909710825393
530.716414,0.9862425112566815
530.835817,0.9960674527959217
530.955219,0.9968281410071336
531.074621,0.9998184564810193
531.194024,0.9959343870732164
531.313426,0.9988768312267403
531.432829,0.992569245588116
531.552231,0.9964304859163379
531.671633,0.9941887510103392
531.791036,0.9941486860109887
531.910438,1.0
532.029841,0.9959160620490849
532.149243,0.9997770648537336
532.268645,0.9916573942999456
532.388048,0.9984482052804857
532.50745,0.9932770011604906
532.626853,0.9990082221370854
532.746255,0.9988487631821408
532.865657,0.9997191094571375
532.98506,0.9997289967280225
533.104462,0.9808026616988381
533.223864,0.9971650261495193
533.343267,0.9969673079292433
533.462669,0.9990095408288089
533.582072,0.9936148721202852
533.701474,0.9976750069928819
533.820876,0.9948523945639339
533.940279,0.9938135155869751
534.059681,0.9984356249123557
534.179084,0.9889574218550287
534.298486,0.9987686587235652
534.417888,0.9975052171562167
534.537291,0.9972132901047632
534.656693,0.9925726203292881
534.776096,1.0
534.895498,0.9976100604639591
535.0149,0.9993357507113024
535.134303,0.9994667822111605
535.253705,0.996095044246504
535.373107,0.9998427923584166
535.49251,0.9921734878923051
535.611912,0.996929623277248
535.731315,0.9979799430668778
535.850717,1.0
535.970119,0.9982027170508221
536.089522,0.9985860006404756
536.208924,0.9938189815763423
536.328327,0.9986793727966158
536.447729,0.9979941144826862
536.567131,0.9976464738957072
536.686534,0.9989842162579392
536.805936,0.9992419474671073
536.925339,0.9956566597035436
537.044741,0.9919141676372041
537.164143,0.9982965525164227
537.283546,0.9993506309314134
537.402948,0.9971452824774645
537.52235,0.9989505510571132
537.641753,0.9961018177158346
537.761155,0.9899864725873869
537.880558,1.0
537.99996,0.9991548373513122
538.119362,0.9948703020682031
538.238765,0.999710052043036
538.358167,0.9922565362887686
538.47757,0.9969720933838064
538.596972,0.9964050772629087
538.716374,0.9947266531682847
538.835777,1.0
538.955179,1.0
539.074581,0.9963680116834586
539.193984,0.999456087973805
539.313386,1.0
539.432789,0.997144185618257
539.552191,0.9999545040349728
539.671593,0.9969481663406908
539.790996,0.997776076590179
539.910398,0.9926896515400792
540.029801,0.9998510011014387
540.149203,0.9992232318407036
540.268605,0.9991985813076397
540.388008,0.9987059380212481
540.50741,0.9893788074655013
540.626813,0.9985763144032477
540.746215,1.0
540.865617,0.9996026489648411
540.98502,0.9961220387879774
541.104422,0.9965694976649673
541.223824,1.0
541.343227,1.0
541.462629,0.9967837831418285
541.582032,0.9996836900365481
541.701434,0.998479057806698
541.820836,0.9979589857081265
541.940239,0.9991759796913557
542.059641,0.9971077905196966
542.179044,0.9988564543472281
542.298446,0.9980065894870858
542.417848,1.0
542.537251,0.9962058161742292
542.656653,0.9998974652570461
542.776056,0.9995129686382956
542.895458,1.0
543.01486,1.0
543.134263,0.9999938698187897
543.253665,0.9997197692719675
543.373067,0.9988605496670864
543.49247,0.9988147030200453
543.611872,0.9999984964011304
543.731275,0.9999234899270449
543.850677,0.9998593198963739
543.970079,0.999978565229728
544.089482,1.0
544.208884,0.9993165836354166
544.328287,1.0
544.447689,0.9988621478452444
544.567091,0.9976522602620361
544.686494,0.9971953404270889
544.805896,0.9994199383008738
544.925299,0.9958192637123292
545.044701,0.9990339269493319
545.164103,0.9999333432216618
545.283506,0.9999519951522696
545.402908,1.0
545.52231,0.9982190877096208
545.641713,0.9986014788434413
545.761115,0.9971666216148375
545.880518,1.0
545.99992,0.9999986778008741
546.119322,0.9999972728037189
546.238725,0.9965849446118946
546.358127,0.9972048138278216
546.47753,0.9976997496398629
546.596932,0.9997702963859159
546.716334,0.9999697764567405
546.835737,1.0
546.955139,0.9963822598478997
547.074541,0.9973425373221996
547.193944,0.9968158800964039
547.313346,0.9974241232785727
547.432749,1.0
547.552151,0.9997139809112607
547.671553,1.0
547.790956,0.9979373302330993
547.910358,1.0
548.029761,0.9997750053151013
548.149163,1.0
548.268565,0.998243644201222
548.387968,1.0
548.50737,0.9980144737702856
548.626773,0.9973951983984104
548.746175,0.9972686369782255
548.865577,0.9996464025303261
548.98498,1.0
549.104382,0.9997162702588983
549.223784,1.0
549.343187,0.998841072076275
549.462589,1.0
549.581992,1.0
549.701394,0.9981820544684376
549.820796,0.9988805270778531
549.940199,0.998761667367424
550.059601,1.0
550.179004,0.999579698351495
550.298406,1.0
550.417808,0.996996320100029
550.537211,1.0
550.656613,0.9993662708911699
550.776016,0.9997482516939242
550.895418,0.9977318760890344
551.01482,1.0
551.134223,0.9994389374544873
551.253625,0.9974413788651657
551.373027,0.9999680365108432
551.49243,1.0
551.611832,0.9975835243892821
551.731235,0.9986985476246512
551.850637,1.0
551.970039,0.9981072934323937
552.089442,0.9970112751569932
552.208844,1.0
552.328247,0.9978930227992693
552.447649,0.9973802375826408
552.567051,1.0
552.686454,1.0
552.805856,1.0
552.925259,0.999674163096378
553.044661,1.0
553.164063,0.9999909929405638
553.283466,0.9988823250644201
553.402868,0.9997097721242606
553.52227,0.9995113694188251
553.641673,0.9973245853180963
553.761075,0.9964204220192528
553.880478,0.9972496890541288
553.99988,0.9991150717801257
554.119282,0.9971096850262984
554.238685,0.9995149576710822
554.358087,0.997791342680936
554.47749,0.9996380055358123
554.596892,0.9992047763580484
554.716294,0.9986014788434413
554.835697,0.9997175498965432
554.955099,1.0
555.074501,0.9989528486460227
555.193904,0.9987938280108968
555.313306,0.9994937881684646
555.432709,0.9976297135757327
555.552111,0.9975815292242285
555.671513,0.998825989689959
555.790916,0.9985091124786585
555.910318,0.9960721343239514
556.029721,0.9979269517388332
556.149123,0.997243905022706
556.268525,0.9971763938956134
556.387928,0.996741022034764
556.50733,0.9990185619256928
556.626733,0.9978505134619533
556.746135,0.9984237435991132
556.865537,1.0
556.98494,0.995597419894693
557.104342,0.9963516713820578
557.223744,0.998363939808013
557.343147,0.9994035579423225
557.462549,0.9967209877415665
557.581952,0.9977655002198219
557.701354,0.995169006966246
557.820756,0.9950633256294844
557.940159,0.9957008678406478
558.059561,0.9984174535493422
558.178964,0.9954106633370337
558.298366,0.9993649217476148
558.417768,0.9992656697525225
558.537171,0.998855055949171
558.656573,0.9966516183749016
558.775976,0.994275845759622
558.895378,0.9960140650112572
559.01478,0.9946487691205419
559.134183,0.997315310242582
559.253585,0.9990051451964996
559.372987,0.9975258657279238
559.49239,0.9972730249698818
559.611792,0.9986564034351901
559.731195,0.993702214706195
559.850597,0.9940114035570222
559.969999,0.9959633691855678
560.089402,0.9924157070023393
560.208804,0.9956151416864907
560.328207,0.9965765733335192
560.447609,0.9950088971542049
560.567011,0.9946590140556252
560.686414,0.9958139858842178
560.805816,0.9936876073910028
560.925219,0.9955824860453988
561.044621,0.996052611501443
561.164023,0.994648570190808
561.283426,0.9957257606735029
561.402828,0.9965862401731647
561.52223,0.9942129100905204
561.641633,0.9943476350672487
561.761035,0.9942337887808578
561.880438,0.9957338260848293
561.99984,0.9956369458968488
562.119242,0.9943891002281736
562.238645,0.9960369735982002
562.358047,0.9931037887560489
562.47745,0.9942277239732439
562.596852,0.9922820376094418
562.716254,0.9955684484313109
562.835657,0.9920622714781089
562.955059,0.9917637056708022
563.074461,0.9935277359169786
563.193864,0.9940031532966113
563.313266,0.994848514647161
563.432669,0.9914265633283201
563.552071,0.9970402886072439
563.671473,0.9942604346034496
563.790876,0.9952826617564065
563.910278,0.9937939376535613
564.029681,0.9911033118350393
564.149083,0.9932667704600668
564.268485,0.9913232620625108
564.387888,0.9917331598190761
564.50729,0.9949994446145816
564.626693,0.9942579489554701
564.746095,0.9892274440875527
564.865497,0.993618747225843
564.9849,0.9912577377604904
565.104302,0.9929950498447442
565.223704,0.9911822067986393
565.343107,0.992522099668675
565.462509,0.9921204080306019
565.581912,0.9913463601636087
565.701314,0.9922816406967061
565.820716,0.9919745770494611
565.940119,0.9915514909455742
566.059521,0.9901564678584065
566.178924,0.9916773268138921
566.298326,0.9892343687038975
566.417728,0.9901734986961185
566.537131,0.9906754458079122
566.656533,0.9916429162076791
566.775936,0.9920422320226242
566.895338,0.9906693036391889
567.01474,0.9918575309552247
567.134143,0.9907182439116035
567.253545,0.9898805497017955
567.372947,0.9883523650791118
567.49235,0.990640970902265
567.611752,0.9891018201794406
567.731155,0.9907409316191623
567.850557,0.9897835461611758
567.969959,0.9917655900236331
568.089362,0.989301638928131
568.208764,0.9890454429824558
568.328167,0.9889119308599242
568.447569,0.9890543444314991
568.566971,0.9892323902371386
568.686374,0.9899755827960824
568.805776,0.9882238876228672
568.925179,0.9890098379874022
569.044581,0.9901540914857353
569.163983,0.9861576980477337
569.283386,0.9895945155568564
569.402788,0.988950499177305
569.52219,0.9879729106308383
569.641593,0.9875916266798714
569.760995,0.9882485935288803
569.880398,0.9879185736150352
569.9998,0.9872776224719024
570.119202,0.9893184571989477
570.238605,0.9872489918359969
570.358007,0.9875244727325173
570.47741,0.9872825588723557
570.596812,0.9864230101513867
570.716214,0.98773681331995
570.835617,0.9851956776767467
570.955019,0.985106028949157
571.074421,0.9857731715330393
571.193824,0.9850488944563943
571.313226,0.9860827529106334
571.432629,0.9829333143968161
571.552031,0.9858816125460543
571.671433,0.9851286866483854
571.790836,0.9843330241605068
571.910238,0.9849907782860652
572.029641,0.9846894172185046
572.149043,0.9849917632773361
572.268445,0.982338819594417
572.387848,0.9850557898227892
572.50725,0.9842326273123688
572.626653,0.9849464546983305
572.746055,0.9808046233061231
572.865457,0.9836196413505068
572.98486,0.9829195534267415
573.104262,0.9824616196217082
573.223664,0.9816229555590769
573.343067,0.982739695605957
573.462469,0.9823840082194488
573.581872,0.9823289962553379
573.701274,0.9840850034903355
573.820676,0.9815670046452263
573.940079,0.9817996635943236
574.059481,0.9804761087865699
574.178884,0.979585260955363
574.298286,0.9812058544432296
574.417688,0.9799899132230792
574.537091,0.9811646446627544
574.656493,0.9798027530240215
574.775896,0.9816877448121657
574.895298,0.9790270564600131
575.0147,0.9808065849173313
575.134103,0.9780993785992707
575.253505,0.9801869109932496
575.372907,0.9793315812257187
575.49231,0.9784691700505623
575.611712,0.977761014754596
575.731115,0.9782353438622627
575.850517,0.9781277438925448
575.969919,0.9780045075608662
576.089322,0.9779604983482407
576.208724,0.9763843195943078
576.328127,0.9779067119999697
576.447529,0.9782304526977714
576.566931,0.9784515577640125
576.686334,0.9763794376849145
576.805736,0.9773220986030211
576.925139,0.9775733026607007
577.044541,0.9757879309903079
577.163943,0.9756610868043298
577.283346,0.9776212049261271
577.402748,0.9769117095093501
577.52215,0.9753820876322872
577.641553,0.9767446718891476
577.760955,0.9765981711761924
577.880358,0.9766606754592634
577.99976,0.9749344899855822
578.119162,0.9757127982122707
578.238565,0.9766274695608013
578.357967,0.9759225990166647
578.47737,0.9775420208155279
578.596772,0.9780935100206047
578.716174,0.97545914586097
578.835577,0.9769361326073753
578.954979,0.9804780697407484
579.074381,0.9787422010350577
579.193784,0.9794451902783385
579.313186,0.9796695089104154
579.432589,0.9817780642393183
579.551991,0.9798507645351922
579.671393,0.9801388830113061
579.790796,0.9803378714011957
579.910198,0.9822376439066363
580.029601,0.9813000547267975
580.149003,0.9815817282607228
580.268405,0.9815316688691068
580.387808,0.9825254817024788
580.50721,0.9811047954448497
580.626613,0.9824891289321861
580.746015,0.9827986617566602
580.865417,0.9817211227629112
580.98482,0.9816847997533488
581.104222,0.9804300274923758
581.223624,0.9831318869814801
581.343027,0.9828065241774039
581.462429,0.9829588709952247
581.581832,0.9810910600738614
581.701234,0.9811332478964763
581.820636,0.9826286522944188
581.940039,0.9816740012799432
582.059441,0.9818644645105276
582.178844,0.9816916715709983
582.298246,0.9819302516334938
582.417648,0.9801506447484726
582.537051,0.9824655494760464
582.656453,0.982414462595744
582.775856,0.9810096328951499
582.895258,0.9824576897830893
583.01466,0.9809419455657199
583.134063,0.9826060520953193
583.253465,0.981139134713624
583.372867,0.9809134986617806
583.49227,0.9813098677764099
583.611672,0.9810380825870224
583.731075,0.9789291586493392
583.850477,0.9808340478861888
583.969879,0.982067731492088
584.089282,0.9805633750435427
584.208684,0.9784417732973573
584.328087,0.9797008588362967
584.447489,0.982674836926407
584.566891,0.9807546035458492
584.686294,0.9818664282414203
584.805696,0.9802849345854469
584.925099,0.9822916684627128
585.044501,0.9815925257191195
585.163903,0.9813520650079582
585.283306,0.981055741431438
585.402708,0.9784593854077851
585.52211,0.9792062348056638
585.641513,0.9811293233713337
585.760915,0.9796538343236698
585.880318,0.9807908921375152
585.99972,0.981146002711605
586.119122,0.9799301356616067
586.238525,0.9805506278025244
586.357927,0.9808212971264464
586.47733,0.9813559904240692
586.596732,0.980719297015643
586.716134,0.9807153741463006
586.835537,0.9793306018946272
586.954939,0.9817525383414862
587.074341,0.9794804509398767
587.193744,0.9808448371200562
587.313146,0.9805643556074081
587.432549,0.9797194733294516
587.551951,0.9801222207919242
587.671353,0.9791651090074498
587.790756,0.9808870143548565
587.910158,0.9799183765705335
588.029561,0.9804633626800056
588.148963,0.9792865330090993
588.268365,0.9806379006919848
588.387768,0.9798997582982527
588.50717,0.9804055170480703
588.626573,0.9798439056038467
588.745975,0.9797831571649203
588.865377,0.9813049612393374
588.98478,0.9791778382366068
589.104182,0.9801722082998552
589.223584,0.98039571304192
589.342987,0.9799575740895414
589.462389,0.9795646898808801
589.581792,0.9803339500575527
589.701194,0.98180751802305
589.820596,0.9789663586641637
589.939999,0.9808438562757095
590.059401,0.9784163341419619
590.178804,0.981350102305791
590.298206,0.9814747416832167
590.417608,0.9796313025445968
590.537011,0.9812539347080542
590.656413,0.9817751189095436
590.775816,0.9801222207919242
590.895218,0.9794735946007173
591.01462,0.9780729702725625
591.134023,0.9804966990010509
591.253425,0.9806879145002614
591.372827,0.9794246221453089
591.49223,0.9809036895758394
591.611632,0.9792199437889137
591.731035,0.9806477071200238
591.850437,0.9800849768551734
591.969839,0.9806594749631161
592.089242,0.980750680535281
592.208644,0.9797723796094682
592.328047,0.9800291136036104
592.447449,0.9819597099829158
592.566851,0.9802868951572766
592.686254,0.9804859135966817
592.805656,0.9801408432910325
592.925059,0.9812892604855639
593.044461,0.9801771091731489
593.163863,0.980096737945462
593.283266,0.9809390027442974
593.402668,0.9810910600738614
593.52207,0.980506504017066
593.641473,0.9794794714599154
593.760875,0.9802114159723354
593.880278,0.9798997582982527
593.99968,0.9797439666224498
594.119082,0.980188871369032
594.238485,0.9804555190044788
594.357887,0.9799222962518791
594.47729,0.9805457250616423
594.596692,0.9797831571649203
594.716094,0.9799320955238379
594.835497,0.9808723011599904
594.954899,0.9797919752530161
595.074301,0.9806388813303758
