nu,[0]PFC-116-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
500,0.9875264477834378
500.120002,0.9902923266454964
500.240005,0.9830158842631113
500.360007,0.9858964008811548
500.48001,0.9828537000227756
500.600012,0.9524230144235079
500.720014,0.9862454699886534
500.840017,0.9290497401478854
500.960019,0.9766186799531286
501.080022,0.9931355685857637
501.200024,0.9492187510811735
501.320026,0.9362937652339766
501.440029,0.9636713169804226
501.560031,0.9255936162538456
501.680034,0.980562394480658
501.800036,0.9803192451585889
501.920038,0.9708153437411584
502.040041,0.9787647123645608
502.160043,0.9741714150627419
502.280046,0.9477391242384925
502.400048,0.9839255946322361
502.52005,0.9315019458501025
502.640053,0.9716020227315681
502.760055,0.9609201154018315
502.880058,0.9613660857925073
503.00006,0.9367863853022096
503.120062,0.9861123358369623
503.240065,0.9526325705370083
503.360067,0.9548376050777968
503.48007,0.9490127929594533
503.600072,0.951245595538384
503.720074,0.9604032794210904
503.840077,0.9510648760441273
503.960079,0.933368680723813
504.080082,0.96312121772671
504.200084,0.9484170000240374
504.320086,0.9741899244954672
504.440089,0.8996675255178838
504.560091,0.9545311513950143
504.680094,0.9527430823247504
504.800096,0.9425389822856644
504.920098,0.9243698655891037
505.040101,0.9640771080178913
505.160103,0.9585102718168745
505.280106,0.9539357097536568
505.400108,0.9532605623015515
505.52011,0.9535847259974396
505.640113,0.9591536480378463
505.760115,0.9240436206121769
505.880118,0.9744637103293585
506.00012,0.923437646778204
506.120122,0.9431414571655687
506.240125,0.9417052042875254
506.360127,0.9102964165846079
506.48013,0.9168430292039971
506.600132,0.9661424421483689
506.720134,0.9731111198272798
506.840137,0.9491190883446952
506.960139,0.915750803409085
507.080142,0.9205122227645873
507.200144,0.9289011040806642
507.320146,0.9541045713180909
507.440149,0.9285175471346402
507.560151,0.9523268245567211
507.680154,0.9360784424310443
507.800156,0.9743233976578258
507.920158,0.923916111390871
508.040161,0.9336347287078561
508.160163,0.9712892172446347
508.280166,0.9279049277401695
508.400168,0.9308491918030853
508.52017,0.9280580446850473
508.640173,0.8827440363144267
508.760175,0.9437924493374842
508.880178,0.8792728675043222
509.00018,0.9464274141203585
509.120182,0.9141176462513968
509.240185,0.9245214746786659
509.360187,0.9058858266774922
509.48019,0.9339606240936121
509.600192,0.9328927840606079
509.720194,0.9149041255648045
509.840197,0.9615497242518082
509.960199,0.9115826630010916
510.080202,0.8978250962258305
510.200204,0.9450182873334756
510.320206,0.9545072884145179
510.440209,0.975177278899554
510.560211,0.9204855282971988
510.680214,0.9193126571128872
510.800216,0.9503718024055263
510.920218,0.9046293293609262
511.040221,0.9050165935825244
511.160223,0.9381776083301657
511.280226,0.9141331863834739
511.400228,0.9068003267643173
511.52023,0.9055307890253608
511.640233,0.9259898551106689
511.760235,0.8959506013042433
511.880238,0.9117276161679801
512.00024,0.9129300654060705
512.120242,0.9085739468653296
512.240245,0.9259213343966884
512.360247,0.909326557631193
512.48025,0.8942141420478033
512.600252,0.8848563177320488
512.720254,0.9310986928181313
512.840257,0.9046745619581998
512.960259,0.9182193257121285
513.080262,0.9127064249371221
513.200264,0.8855290641447804
513.320266,0.9187566411671172
513.440269,0.9023615569891562
513.560271,0.9001084706281169
513.680274,0.8879587409176293
513.800276,0.9139567757026802
513.920278,0.9039330328858641
514.040281,0.9056793082530047
514.160283,0.9052845181451039
514.280286,0.9133647235576369
514.400288,0.8901280056722245
514.52029,0.8918297748352572
514.640293,0.9079018508508445
514.760295,0.8877900447834952
514.880298,0.9098204560332674
515.0003,0.899019998037377
515.120302,0.873375228919934
515.240305,0.9117522331459443
515.360307,0.8957983026477742
515.48031,0.8828146586621881
515.600312,0.9094556911706408
515.720314,0.9104056587089944
515.840317,0.904620283112864
515.960319,0.8911522417015851
516.080322,0.8947955701838074
516.200324,0.8860782623984161
516.320326,0.9029844013200615
516.440329,0.8879232232783502
516.560331,0.8758416230467279
516.680334,0.8745375907736884
516.800336,0.8955206482126143
516.920338,0.8913572302899605
517.040341,0.8823115976927473
517.160343,0.8733490280560814
517.280346,0.9117312630857386
517.400348,0.8811389032824637
517.52035,0.8814473558746674
517.640353,0.8950461480227192
517.760355,0.8725371910227229
517.880358,0.8792289049600198
518.00036,0.90707966428073
518.120362,0.8875414983690777
518.240365,0.8636911839964403
518.360367,0.9017752125596971
518.48037,0.8936509645578495
518.600372,0.870785152657192
518.720374,0.8760430897878156
518.840377,0.8722493012541098
518.960379,0.8886871656985259
519.080382,0.8769721877979416
519.200384,0.8815531359040472
519.320386,0.8731569124034056
519.440389,0.8612503932935788
519.560391,0.8830265596073633
519.680394,0.8951088034459951
519.800396,0.8695234291564417
519.920398,0.88068083016209
520.040401,0.8514282887356479
520.160403,0.8648147126710438
520.280406,0.8643219087472823
520.400408,0.8719527869019796
520.52041,0.8711858059706116
520.640413,0.8685501080773352
520.760415,0.8826469398108376
520.880418,0.8657405596534039
521.00042,0.8800117670073698
521.120422,0.8746600346072652
521.240425,0.8810860365342851
521.360427,0.8719702261321094
521.48043,0.8697234425458057
521.600432,0.8778583771579108
521.720434,0.8610781604387796
521.840437,0.8619913872135269
521.960439,0.8693147685737156
522.080442,0.8656972737075789
522.200444,0.8738819334828262
522.320446,0.8593749124530677
522.440449,0.8905731809596079
522.560451,0.8879765002700406
522.680454,0.859142912548102
522.800456,0.8782359374297296
522.920458,0.8599680857639185
523.040461,0.8395745529791778
523.160463,0.8965959180233235
523.280466,0.8467498198829629
523.400468,0.8937135223148646
523.52047,0.8787542495198444
523.640473,0.8672222424881859
523.760475,0.859349131592409
523.880478,0.8681680300931018
524.00048,0.8513090971188328
524.120482,0.8597617181884347
524.240485,0.8689236649327765
524.360487,0.8909383908267082
524.48049,0.8586705138677461
524.600492,0.8741703621089814
524.720494,0.885688473722758
524.840497,0.8541145164326138
524.960499,0.8714123437287963
525.080502,0.8687498975771047
525.200504,0.8639589697681292
525.320506,0.8647541777599035
525.440509,0.8829382613663882
525.560511,0.8660782643197983
525.680514,0.8756489590834706
525.800516,0.8910453098486204
525.920518,0.8741616204490686
526.040521,0.8729473798893364
526.160523,0.8754913564554976
526.280526,0.8709244894282616
526.400528,0.8577264956077231
526.52053,0.8680291343202451
526.640533,0.8747562525029592
526.760535,0.8781920267306348
526.880538,0.8790706579997807
527.00054,0.8808746012587647
527.120542,0.8708896531454148
527.240545,0.8834416796359438
527.360547,0.8680204540723032
527.48055,0.8685501080773352
527.600552,0.8741791038563111
527.720554,0.8910096687490532
527.840557,0.8774634297580195
527.960559,0.8820557644270328
528.080562,0.8855113537406022
528.200564,0.8757014995972153
528.320566,0.8714384864912477
528.440569,0.8813592155461698
528.560571,0.8784994477355281
528.680574,0.8820293031510212
528.800576,0.8759554898589064
528.920578,0.8837244262104664
529.040581,0.8776038351389117
529.160583,0.8747562525029592
529.280586,0.8896741561308019
529.400588,0.8799325695122799
529.52059,0.8777793734591864
529.640593,0.8811917732027423
529.760595,0.8784994477355281
529.880598,0.8833356729949131
530.0006,0.8767091356014046
530.120602,0.8827793467820839
530.240605,0.8803990573824874
530.360607,0.8895051340987385
530.48061,0.8826292870485697
530.600612,0.8855202088984153
530.720614,0.8898432102801024
530.840617,0.8774195576833426
530.960619,0.8834151767830994
531.080622,0.8812270215786333
531.200624,0.8803022188123942
531.320626,0.8829912392513908
531.440629,0.888225168502044
531.560631,0.8860162390908893
531.680634,0.8912235367326844
531.800636,0.889941098416982
531.920638,0.8844316886186775
