nu,[0]1-1-2-2-Tetrachloroethane-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
530,1.2358759624563713
530.119402,1.131868718501065
530.238805,0.9610777192239175
530.358207,1.000409443799239
530.47761,0.9986705844568039
530.597012,0.9834190034094371
530.716414,0.9408345297226266
530.835817,1.0408607343085827
530.955219,0.9512132537379494
531.074621,1.176389497503304
531.194024,1.0513404825581036
531.313426,0.9094929796183868
531.432829,0.9623000256162164
531.552231,0.9312299869898402
531.671633,1.0128468203875944
531.791036,0.9904993193717517
531.910438,0.9040686330105521
532.029841,1.0084082524449542
532.149243,0.8861934600602137
532.268645,0.9274503657023712
532.388048,0.9984870456711118
532.50745,1.0722904841904215
532.626853,0.8617672985856354
532.746255,1.0943964236312422
532.865657,1.038982636255436
532.98506,0.8254967109024758
533.104462,0.8358133135377588
533.223864,0.9715816193033275
533.343267,0.9846313222567069
533.462669,0.8984537938116718
533.582072,0.8591858707676759
533.701474,1.0216204059117016
533.820876,1.106542180020763
533.940279,1.0071688742259681
534.059681,0.9530184648664028
534.179084,1.0681348536185062
534.298486,0.8635875472726885
534.417888,0.9720237895262079
534.537291,1.1021017074679254
534.656693,0.9312635118728161
534.776096,1.0552281505568875
534.895498,0.9091765311267108
535.0149,0.8369591625046274
535.134303,1.0138520629512953
535.253705,0.855302561110221
535.373107,1.0242094021517218
535.49251,0.9172006677203642
535.611912,0.8754738468034656
535.731315,1.0133797179548918
535.850717,0.9398274353366023
535.970119,0.9486465447118302
536.089522,0.9371602376485284
536.208924,1.0238397292875119
536.328327,0.8573320321532937
536.447729,0.9930506591245808
536.567131,0.895449009426347
536.686534,0.9493526003612284
536.805936,1.0214457237580405
536.925339,0.9063298195019226
537.044741,0.8546955118198319
537.164143,0.908048034816325
537.283546,0.9076304287770622
537.402948,0.9424155177660876
537.52235,0.8530987246740273
537.641753,0.9044936451380933
537.761155,0.981880174467639
537.880558,0.8793607991875836
537.99996,0.9117795861232313
538.119362,1.0614883212701598
538.238765,0.9036257478960913
538.358167,0.8524079944905313
538.47757,0.8521437889662113
538.596972,1.0403830888595516
538.716374,0.9142118052180643
538.835777,0.9465883204574101
538.955179,0.8118335073933813
539.074581,0.8585503084103829
539.193984,0.9593349452093685
539.313386,1.0466232191246392
539.432789,0.9993704682383221
539.552191,0.7789254011658779
539.671593,0.7991393043818117
539.790996,0.7845068305214355
539.910398,0.7710978502866351
540.029801,0.8604584073011665
540.149203,0.8153319076452644
540.268605,0.8566635739008235
540.388008,0.8800733699871395
540.50741,0.8749312212497512
540.626813,0.8747999914090479
540.746215,0.8315864641555307
540.865617,0.886663267081909
540.98502,0.7881554003510413
541.104422,0.8636566370400242
541.223824,0.937822106388482
541.343227,0.7811016374731095
541.462629,0.859443665196137
541.582032,0.8202550093976411
541.701434,0.8099684359806868
541.820836,0.8583185311184546
541.940239,0.8363818598748111
542.059641,0.7616790547592872
542.179044,0.8810067423592883
542.298446,0.7814688415289154
542.417848,0.7868874910973043
542.537251,0.8106085638623328
542.656653,0.7609025382141947
542.776056,0.7685266797117831
542.895458,0.7953683009259465
543.01486,0.8504582135344132
543.134263,0.7885180352348315
543.253665,0.8205667655311262
543.373067,0.7860538322739757
543.49247,0.7748157653641067
543.611872,0.8242758794084881
543.731275,0.7831977974613001
543.850677,0.7506168078344634
543.970079,0.7947561030606592
544.089482,0.7607503729235882
544.208884,0.7398113926998041
544.328287,0.7696880315981557
544.447689,0.7283963078434911
544.567091,0.71880871483631
544.686494,0.6855869131854405
544.805896,0.768011939293672
544.925299,0.7431183204785199
545.044701,0.7172792816982412
545.164103,0.7493043771325605
545.283506,0.7016995205453203
545.402908,0.7593898477893217
545.52231,0.7466341297338064
545.641713,0.7748622557047248
545.761115,0.6378258469899749
545.880518,0.8341433574234495
545.99992,0.7000174609748845
546.119322,0.7096311152135748
546.238725,0.7236915596157666
546.358127,0.6784326959396906
546.47753,0.7632573633884957
546.596932,0.748540476323528
546.716334,0.689030322157485
546.835737,0.681771991739272
546.955139,0.71423017117479
547.074541,0.7129671019178588
547.193944,0.7634176642658103
547.313346,0.6896714184206469
547.432749,0.6885825979742058
547.552151,0.6522939337556781
547.671553,0.6946480253818711
547.790956,0.7080858043832089
547.910358,0.6706552898626296
548.029761,0.7169852574718301
548.149163,0.7001084691602151
548.268565,0.701531132867719
548.387968,0.6345050708349349
548.50737,0.659937595965085
548.626773,0.6717291972231981
548.746175,0.6582832296974346
548.865577,0.682003833627351
548.98498,0.7001574784683621
549.104382,0.6553407169783299
549.223784,0.6760758534422909
549.343187,0.6701524869698863
549.462589,0.679322025154826
549.581992,0.7001224714696209
549.701394,0.6656109089240475
549.820796,0.721783533600902
549.940199,0.6975158789681588
550.059601,0.6804778547744036
550.179004,0.6757108710355509
550.298406,0.670849808100471
550.417808,0.6761569874126448
550.537211,0.6854292463277916
550.656613,0.7152808615946725
550.776016,0.6733230834297136
550.895418,0.6926433906809026
551.01482,0.7111869103297324
551.134223,0.722390086485673
551.253625,0.7065367932578929
551.373027,0.6785480393019083
551.49243,0.71785333471419
551.611832,0.6716620276620098
551.731235,0.7693417499031614
551.850637,0.7071800343700746
551.970039,0.7777112248438254
552.089442,0.6998424784833636
552.208844,0.7184350314706907
552.328247,0.6834785540326526
552.447649,0.7252926865561146
552.567051,0.7171932133486416
552.686454,0.7321938336542977
552.805856,0.7459102457684463
552.925259,0.7143087408148703
553.044661,0.6946271862536981
553.164063,0.7159177449325376
553.283466,0.7443305910730277
553.402868,0.7732754151478256
553.52227,0.7618085512054824
553.641673,0.74585803387868
553.761075,0.7398705799786798
553.880478,0.7501515696523455
553.99988,0.7737395196143312
554.119282,0.7393010989104446
554.238685,0.7742039026270722
554.358087,0.7779601322588378
554.47749,0.7443082614902409
554.596892,0.7721009293521334
554.716294,0.7785360358147446
554.835697,0.7775712494215195
554.955099,0.7730357369211744
555.074501,0.7490946012769537
555.193904,0.7547943129715721
555.313306,0.7527666447061963
555.432709,0.7683038392880899
555.552111,0.7662322168707859
555.671513,0.7832369583301867
555.790916,0.7736776229286625
555.910318,0.7917655133557928
556.029721,0.7899228472493253
556.149123,0.8090779605523831
556.268525,0.7896385262051742
556.387928,0.7856687602465129
556.50733,0.8355793185707923
556.626733,0.7915201040870545
556.746135,0.8505602746435814
556.865537,0.832501712560437
556.98494,0.7908713236380406
557.104342,0.7870606253894196
557.223744,0.8088918940199276
557.343147,0.8584472885546887
557.462549,0.8772616363763036
557.581952,0.8377797845229938
557.701354,0.8379641163513466
557.820756,0.8344186701555016
557.940159,0.8670661565326955
558.059561,0.8701323086398077
558.178964,0.8645120804853309
558.298366,0.8863086726986807
558.417768,0.8929184711302615
558.537171,0.902812850581647
558.656573,0.9257593123405123
558.775976,0.8807953261120866
558.895378,0.8696016897867412
559.01478,0.8956997702538639
559.134183,0.9619728992221452
559.253585,0.9186197566257348
559.372987,0.9053768618754049
559.49239,0.9314954253593033
559.611792,0.9854213133212298
559.731195,0.9415950312238737
559.850597,0.9356292325976623
559.969999,0.9737048986945168
560.089402,0.9451354768667058
560.208804,0.9820893372198429
560.328207,0.9696753056158249
560.447609,0.9464283605482459
560.567011,0.992944507683016
560.686414,0.9498264455233443
560.805816,0.982656166281877
560.925219,0.9959766155864664
561.044621,0.9636983001550607
561.164023,0.996865024330688
561.283426,0.9467407334459201
561.402828,1.0100447128279924
561.52223,0.9910680291851729
561.641633,0.9805604333578302
561.761035,1.002046892029204
561.880438,1.0020126226115071
561.99984,0.9964528062092087
562.119242,0.9588678628348412
562.238645,0.999366330853148
562.358047,1.0052097236609558
562.47745,0.9976183406618238
562.596852,0.9989652357381458
562.716254,1.0079152613556537
562.835657,1.0117252075988368
562.955059,1.0302175566641405
563.074461,1.0153353987215659
563.193864,1.0161906711464503
563.313266,1.035353588732355
563.432669,0.9965468757941295
563.552071,1.0271428338496793
563.671473,1.0031291857120634
563.790876,1.0410866255962459
563.910278,1.0316557130365327
564.029681,1.025563276809295
564.149083,1.0593526351489426
564.268485,1.0457831180254153
564.387888,1.0309853547131163
564.50729,1.0431938324213617
564.626693,1.0439671255208958
564.746095,0.9932251534542669
564.865497,1.0230823681460224
564.9849,0.9884927210799933
565.104302,0.9777121279260392
565.223704,1.009211164049364
565.343107,1.0226660583469778
565.462509,1.0467749904945705
565.581912,1.024963497744843
565.701314,1.021203669806036
565.820716,1.0405599690190452
565.940119,1.0064058301282781
566.059521,1.0346673768074153
566.178924,1.0312369458325346
566.298326,1.0151800642889486
566.417728,1.0434317077319086
566.537131,1.0179430769368893
566.656533,1.0385453166278134
566.775936,1.039663392805615
566.895338,1.0274171176015687
567.01474,1.0188453741617012
567.134143,1.0331227378790517
567.253545,1.0255376380478607
567.372947,1.0267115244407787
567.49235,1.0227284428792458
567.611752,1.0311544501767382
567.731155,1.0111567777759078
567.850557,1.022057753031039
567.969959,1.0025491435554101
568.089362,1.0149790785344657
568.208764,1.041448986789144
568.328167,1.0253151205244289
568.447569,1.0154541999129505
568.566971,1.033349016535256
568.686374,1.041076214782044
568.805776,1.0382337997626911
568.925179,1.022654809082207
569.044581,1.0166206107261557
569.163983,1.0246847455854686
569.283386,1.0205860284411556
569.402788,1.046282075564626
569.52219,1.0169795411492346
569.641593,1.0323874162952298
569.760995,1.0148136504274214
569.880398,1.0324380045180295
569.9998,1.0275846002412021
570.119202,1.0047416060047407
570.238605,1.00115656830988
570.358007,1.0096613726175778
570.47741,0.9974814768145596
570.596812,1.027515754379348
570.716214,1.0314102081930652
570.835617,1.0131081685797214
570.955019,1.030275250462725
571.074421,1.0331764616582277
571.193824,1.0114065643473902
571.313226,0.9999525791244053
571.432629,1.0243538258590574
571.552031,1.0024830777437423
571.671433,1.0066188081342118
571.790836,1.0137506828140914
571.910238,1.021776725791972
572.029641,1.0168483592498407
572.149043,1.0225320978679373
572.268445,1.0121593308256709
572.387848,1.021878908573605
572.50725,1.0144301233587425
572.626653,1.0251859389578524
572.746055,1.0288678263888666
572.865457,1.0055394865284706
572.98486,1.014841050765886
573.104262,1.017776147960822
573.223664,1.027964876890133
573.343067,1.024472657794976
573.462469,1.030424651205334
