nu,[0]Furan-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
550,0.9006396913204819
550.119002,0.9118570906819489
550.238005,0.8774985289971899
550.357007,0.9630095021450827
550.47601,0.9332240197898127
550.595012,0.9201302894487846
550.714014,0.9565779484583706
550.833017,0.8950371976059912
550.952019,0.8438926368512151
551.071021,0.8465804868528537
551.190024,0.8730434093826495
551.309026,0.8735149801363604
551.428029,0.8920973639040611
551.547031,0.8320356421133084
551.666033,0.908378624464664
551.785036,0.8779286086373052
551.904038,0.883459348646226
552.02304,0.8765864049137689
552.142043,0.9241554366550051
552.261045,0.8192712937338081
552.380048,0.8794223565980109
552.49905,0.8531755070144014
552.618052,0.9195719398393393
552.737055,0.9200879644289528
552.856057,0.8548835655175806
552.97506,0.9028399353734342
553.094062,0.9379449691317527
553.213064,0.8804430784358737
553.332067,0.8752199961980095
553.451069,0.8591085475189053
553.570071,0.8849182598422386
553.689074,0.8819763829804531
553.808076,0.8890160407879739
553.927079,0.8983370024100819
554.046081,0.8743014974982061
554.165083,0.8979328417019768
554.284086,0.9164250440905287
554.403088,0.8993437035001578
554.52209,0.8927309779387983
554.641093,0.86029493573407
554.760095,0.9242654176957092
554.879098,0.8986874221684331
554.9981,0.9117631742383885
555.117102,0.8908760273220985
555.236105,0.906385107307173
555.355107,0.8897364355014836
555.474109,0.9245871180336795
555.593112,0.9300722571432918
555.712114,0.9183350286362995
555.831117,0.9185646410938197
555.950119,0.9287580643249796
556.069121,0.9454143329616332
556.188124,0.9211568068986489
556.307126,0.8848563177320488
556.426129,0.913523662846853
556.545131,0.8758328646742893
556.664133,0.932353727833678
556.783136,0.908312315245394
556.902138,0.9279587477867447
557.02114,0.8953415619921908
557.140143,0.9094074912963168
557.259145,0.9214055528156992
557.378148,0.8882429331830604
557.49715,0.8929006129394214
557.616152,0.8946971480844019
557.735155,0.8965600549038698
557.854157,0.8983729366088574
557.973159,0.9002705047354622
558.092162,0.910324636210924
558.211164,0.9187437786641786
558.330167,0.9175180740595256
558.449169,0.9100361090352186
558.568171,0.9155182322428076
558.687174,0.9071331835597257
558.806176,0.9223892172321955
558.925179,0.9061132325582323
559.044181,0.9099969783238464
559.163183,0.9317683935068143
559.282186,0.9167522662369468
559.401188,0.9023254632487562
559.52019,0.9213171021283298
559.639193,0.9276507166184829
559.758195,0.9329674184686693
559.877198,0.9203318200489691
559.9962,0.9139979046829819
560.115202,0.9244447425806936
560.234205,0.9462107070564308
560.353207,0.9078800614678978
560.472209,0.9137072995579565
560.591212,0.9316155960200155
560.710214,0.8863175358297234
560.829217,0.9406482629267628
560.948219,0.9377255156860305
561.067221,0.9076168144227386
561.186224,0.9445392844992766
561.305226,0.941974570493483
561.424228,0.956133243114343
561.543231,0.9368735104873009
561.662233,0.9409700196499473
561.781236,0.9379505968184506
561.900238,0.9614708804070614
562.01924,0.9277100881642156
562.138243,0.9211733878704014
562.257245,0.9175437649252697
562.376248,0.9273993573350005
562.49525,0.9135072195689118
562.614252,0.920114647366822
562.733255,0.912387945972631
562.852257,0.9196565443495522
562.971259,0.922039697956951
