nu,[0]Perfluorodecalin(cis)-HITRAN(x-sec)-X=0.01-T=300.0K-P=0.0atm-L=15cm
587.179515,0.9999976360027942
587.23978,0.9999978955022144
587.300045,0.9999978303023538
587.36031,0.9999974894031516
587.420575,0.9999976808026894
587.48084,0.9999976744027042
587.541105,0.9999975038031155
587.60137,0.9999977516025277
587.661635,0.9999977438025452
587.7219,0.9999975761029376
587.782165,0.9999973510035086
587.84243,0.9999976437027761
587.902695,0.9999975140030901
587.96296,0.9999974363032863
588.023225,0.9999974176033344
588.08349,0.9999972235038544
588.143755,0.9999975438030164
588.20402,0.999997363703475
588.264285,0.9999974845031638
588.32455,0.9999973198035917
588.384815,0.9999975100031
588.44508,0.9999972863036821
588.505345,0.9999972792037014
588.56561,0.9999969943045172
588.625875,0.9999971002042044
588.68614,0.9999969769045696
588.746405,0.9999969557046339
588.80667,0.9999971318041133
588.866935,0.999997058204327
588.9272,0.9999969812045566
588.987465,0.9999968381049988
589.04773,0.9999968260050371
589.107995,0.9999971269041273
589.16826,0.9999967960051328
589.228525,0.9999966845054963
589.28879,0.9999966712055405
589.349055,0.9999967598052495
589.40932,0.9999966778055185
589.469585,0.9999967848051687
589.52985,0.9999966753055268
589.590115,0.9999964396063382
589.65038,0.9999964340063582
589.710645,0.999996410006444
589.77091,0.9999963988064843
589.831175,0.9999960185079262
589.89144,0.9999964679062379
589.951705,0.9999960320078725
590.01197,0.9999961773073065
590.072235,0.999996152407402
590.1325,0.9999960731077102
590.192765,0.9999958370086652
590.25303,0.9999960672077335
590.313295,0.9999958267087082
590.37356,0.9999957992088233
590.433825,0.9999959773080911
590.49409,0.9999956616094109
590.554355,0.9999955544098816
590.61462,0.9999954781102238
590.674885,0.999995550509899
590.73515,0.9999955093100832
590.795415,0.999995268211195
590.85568,0.999995453810334
590.915945,0.9999951381118191
590.97621,0.9999952092114759
591.036475,0.9999947121139809
591.09674,0.9999948000135199
591.157005,0.999994720613936
591.21727,0.9999948946130325
591.277535,0.9999947650137025
591.3378,0.9999947990135252
591.398065,0.999994484215212
591.45833,0.9999943422160054
591.518595,0.9999942118167516
591.57886,0.9999943702158473
591.639125,0.9999939568182601
591.69939,0.9999938226190801
591.759655,0.999993914118519
591.81992,0.9999938498189125
591.880185,0.9999939510182951
591.94045,0.9999937190197254
592.000715,0.9999931577234085
592.06098,0.9999931794232603
592.121245,0.9999931625233757
592.18151,0.999992921725051
592.241775,0.9999930334242667
592.30204,0.9999929112251255
592.362305,0.9999923389293461
592.42257,0.9999924427285564
592.482835,0.9999922558299862
592.5431,0.999992251730018
592.603365,0.9999919634322934
592.66363,0.9999917538339999
592.723895,0.9999913648372832
592.78416,0.9999912718380907
592.844425,0.9999912860379668
592.90469,0.9999905526446266
592.964955,0.999990586744305
593.02522,0.9999900343496574
593.085485,0.9999901406486037
593.14575,0.9999901495485161
593.206015,0.9999897730522956
593.26628,0.9999893730564664
593.326545,0.9999890390600715
593.38681,0.9999887150636754
593.447075,0.9999887670630899
593.50734,0.9999880780710667
593.567605,0.9999880840709953
593.62787,0.9999877430751167
593.688135,0.9999872200816639
593.7484,0.9999867500877808
593.808665,0.9999864520917737
593.86893,0.9999861270962296
593.929195,0.999985594103766
593.98946,0.9999853981066087
594.049725,0.9999849051139289
594.10999,0.9999843161229933
594.170255,0.9999844221213364
594.23052,0.9999832831397283
594.290785,0.9999829691450267
594.35105,0.999982593151501
594.411315,0.9999822441576368
594.47158,0.9999815911694446
594.531845,0.9999808161840118
594.59211,0.9999805331894808
594.652375,0.999979896202084
594.71264,0.99997880722457
594.772905,0.9999787282262473
594.83317,0.9999780062418663
594.893435,0.9999772732582564
594.9537,0.9999764642769695
595.013965,0.9999759422893914
595.07423,0.9999750993100274
595.134495,0.9999744983251733
595.19476,0.9999737323450009
