nu,[0]Ethylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
570,0.9667861073315538
570.118602,0.9692060963257146
570.237205,0.9638640705185301
570.355807,0.9663482524065609
570.474409,0.9683254882811466
570.593012,0.9705289954532038
570.711614,0.968181218531756
570.830217,0.9688097720861492
570.948819,0.9694658783687689
571.067421,0.9688020216389743
571.186024,0.9684068310385102
571.304626,0.9692710353096001
571.423228,0.9718332915328739
571.541831,0.9709823383414058
571.660433,0.9706377007880796
571.779036,0.9705755819630528
571.897638,0.9709095173968497
572.01624,0.9708930120753496
572.134843,0.9716690655840884
572.253445,0.9717944189786689
572.372047,0.9721112756040797
572.49065,0.9728902486729034
572.609252,0.9709240811488385
572.727855,0.9724146216415893
572.846457,0.9712289991799449
572.965059,0.9714825230321543
573.083662,0.9735841667726126
573.202264,0.9730040834912053
573.320866,0.9722989111865226
573.439469,0.9702747501639823
573.558071,0.9725322909296563
573.676674,0.9728464695967498
573.795276,0.9737964312569571
573.913878,0.9736513463977903
574.032481,0.9703407310903196
574.151083,0.9745475178121169
574.269685,0.9728960860319076
574.388288,0.9724807480841344
574.50689,0.974852598927896
574.625493,0.9720937777586
574.744095,0.972048090424706
574.862697,0.972984623604135
574.9813,0.9734848662520145
575.099902,0.9735676159824596
575.218504,0.9736182428147769
575.337107,0.970118548503777
575.455709,0.9741431645013402
575.574311,0.9745406960033686
575.692914,0.9739658865781813
575.811516,0.9741548542894528
575.930119,0.9743955002570158
576.048721,0.9734556621440906
576.167323,0.9739873140633875
576.285926,0.9750485639941099
576.404528,0.9733145213060378
576.52313,0.9738782335928328
576.641733,0.9726451112188543
576.760335,0.97625446911505
576.878938,0.9731111198272798
576.99754,0.9734254854863048
577.116142,0.9749208409982656
577.234745,0.9756269392638771
577.353347,0.9737681915699281
577.471949,0.9723222466404153
577.590552,0.9756601111437309
577.709154,0.97523384082201
577.827757,0.9753011342786243
577.946359,0.9741918728772645
578.064961,0.9739960799886607
578.183564,0.9735092036778873
578.302166,0.973542303553507
578.420768,0.9750495390431614
578.539371,0.9747804625046559
578.657973,0.9731909182107946
578.776576,0.9734868132236939
578.895178,0.9750105378416289
579.01378,0.9747258763271829
579.132383,0.9753752599815706
579.250985,0.9759021048572747
579.369587,0.9761070658194425
579.48819,0.9746615465422516
579.606792,0.9753772107340413
579.725395,0.9757323126633788
579.843997,0.9757693911957477
579.962599,0.9752094602807475
580.081202,0.9746761665750997
580.199804,0.9757771973821019
580.318406,0.9763911543084665
580.437009,0.9762847334726877
580.555611,0.9755830370394177
580.674213,0.9759235749397516
580.792816,0.9767124398468069
580.911418,0.9767759282187467
581.030021,0.9753099120283326
581.148623,0.977169648247076
581.267225,0.9752309151248761
581.385828,0.9757684154268443
581.50443,0.9760211721770261
581.623032,0.9781766515024194
581.741635,0.9757059682465881
581.860237,0.9758757558561567
581.97884,0.9752474941913549
582.097442,0.9761246359047576
582.216044,0.9752036090415396
582.334647,0.9762593503995988
582.453249,0.9768814257157566
582.571851,0.9765171168917841
582.690454,0.9758367216066126
582.809056,0.9758825870103567
582.927659,0.9768120695967022
583.046261,0.9753333197471129
583.164863,0.9743536021513205
583.283466,0.9749549638248465
583.402068,0.9754523176708477
583.52067,0.9749705632290626
583.639273,0.9739142677541036
583.757875,0.9747083314193137
583.876478,0.9743925770748998
583.99508,0.9753411224448816
584.113682,0.9751294963835692
584.232285,0.974981287964244
