nu,[0]1-1-Dichloroethane-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
560,1.0015285670694984
560.119202,0.9999946153144975
560.238404,1.000267565789342
560.357606,1.0016885239538766
560.476808,0.9997881024534571
560.59601,0.9998815370172933
560.715212,0.9996549595401557
560.834414,0.9998977352293982
560.953616,1.0010583596677414
561.072818,0.9994535493585657
561.19202,1.000356073379081
561.311222,1.0015461941273964
561.430424,0.9994945277941415
561.549626,1.001881267367207
561.668828,1.0001769756583445
561.78803,1.000951692572259
561.907232,0.9994503711013321
562.026434,1.0014993228623075
562.145636,1.0005737645399386
562.264838,1.0016887242916015
562.38404,1.0000110200607204
562.503242,1.0017044509280266
562.622444,1.0003568736642598
562.741646,1.0015129433457175
562.860848,1.0005441479948352
562.98005,1.0002187239165885
563.099252,1.0017536358240464
563.218454,1.0001653836743722
563.337656,0.9998163168718118
563.456858,1.0002171335700818
563.57606,0.9997623282484067
563.695262,1.0016411452072098
563.814464,0.9996903079644816
563.933666,1.0002570130221888
564.052868,1.0013314856409476
564.17207,1.0002601138237355
564.291272,1.0000736717136274
564.410474,1.0002956436939852
564.529676,1.000219974190775
564.648878,0.9999064223786588
564.76808,1.0005758657470503
564.887282,1.0010219218066227
565.006484,1.000408133263726
565.125686,1.0010331333149312
565.244888,0.9995691328499221
565.36409,0.9994768568871014
565.483292,1.000894109477779
565.602494,1.0002886616547595
565.721696,1.0005030464854663
565.840898,1.0004650080827535
565.9601,0.9992141089742429
566.079302,1.0015285670694984
566.198504,1.000589063429758
566.317706,1.0010586599852944
566.436908,0.9993211605158507
566.55611,0.9998047390658981
566.675312,0.9991164705422053
566.794514,0.9993178327819269
566.913716,1.0001334789075167
567.032918,0.9992603536733002
567.15212,1.0014965186681293
567.271322,0.9997839633392809
567.390524,0.9990857381922374
567.509726,0.9994556682023362
567.628928,0.9994835733941471
567.74813,1.0005567949527945
567.867332,0.9996670054549947
567.986534,1.0008176240724773
568.105736,1.0006252453844575
568.224938,0.9997729657761708
568.34414,0.9997485216259886
568.463342,1.0002792989967038
568.582544,1.000256652929729
568.701746,0.9986657908495031
568.820948,1.000251321575977
568.94015,0.9997478817871395
569.059352,1.001214937439256
569.178554,0.9994277737839051
569.297756,0.9998647491472213
569.416958,0.9995083109187142
569.53616,1.0002071214466854
569.655362,1.0005848509586683
569.774564,1.0013041496645274
569.893766,0.9992498015396808
570.012968,1.0007579871271592
570.13217,1.0003325252742759
570.251372,0.9991828740294011
570.370574,0.9983427747168399
570.489776,0.9986202527277175
570.608978,0.9988656438688799
570.72818,0.9988921141591722
570.847382,1.0003132090397118
570.966584,1.000018395169189
571.085786,1.0004639876089658
571.204988,1.0000573076420203
571.32419,0.9996246504612704
571.443392,1.0007110826995165
571.562594,0.9998122276314384
571.681796,0.9994965767600237
571.800998,0.9991080680080208
571.9202,0.9996725136353697
572.039402,0.9994372384097377
572.158604,0.9997121614334712
572.277806,1.0002036207278866
572.397008,0.9995980508032316
572.51621,1.0001399597934582
572.635412,0.9999450565094489
572.754614,1.0016242176148944
572.873816,1.0009721522339523
572.993018,1.0001188770653184
573.11222,0.998433428356397
573.231422,0.9990118485435137
573.350624,1.0002544023547917
573.469826,0.9997624082293962
573.589028,0.9996495914074364
573.70823,0.9993950030844814
573.827432,0.9989542471809899
573.946634,1.0008621814649412
574.065836,1.000119257110564
574.185038,1.0005053076249064
574.30424,0.9997513809108493
574.423442,0.9997913617679838
574.542644,0.9988216947474374
574.661846,1.0004799251272303
574.781048,0.9999950918120452
574.90025,1.0007228611382757
575.019452,1.0011093148350465
575.138654,0.9995855059264134
575.257856,0.9998576001398227
575.377058,1.0009025670687373
575.49626,0.9998184264864661
575.615462,0.9999660455764645
575.734664,0.9996093163367453
575.853866,0.9987953262027625
575.973068,0.9997602087545175
576.09227,1.0005353832664883
576.211472,0.998041620133161
576.330674,0.9988193974601814
576.449876,0.9974081646202698
576.569078,0.9997552399586275
576.68828,0.9986145606084995
576.807482,0.9989987016340937
576.926684,0.9990316991061589
577.045886,1.0001695743761094
577.165088,0.9993889067935562
577.28429,0.9992189851509925
577.403492,0.9993144950659394
577.522694,0.9991620612669007
577.641896,0.9996519705762952
577.761098,0.9992135294302277
577.8803,0.9997049535347717
577.999502,1.001069371370262
578.118704,0.9992730743385694
578.237906,1.0000475591308997
578.357108,0.9987421917047986
578.47631,0.9989471546310135
578.595512,0.9999957530090184
578.714714,0.9993322830222638
578.833916,0.9997331955986264
578.953118,0.9991863911593077
579.07232,0.9991132633834824
579.191522,0.9994301324362345
579.310724,0.9994599158979525
579.429926,0.999396392244501
579.549128,0.9999889760607641
579.66833,0.9999251168038865
579.787532,0.9991508307484477
579.906734,0.9994872714902101
580.025936,1.0000455970395135
580.145138,0.9995277215585889
580.26434,0.9996554393746514
580.383542,0.9990080123453807
580.502744,0.999058543448566
580.621946,0.9999829351456063
580.741148,0.9998696484964956
580.86035,0.9998352535721834
580.979552,0.9995685131172519
581.098754,0.9996392950696712
581.217956,0.9994270142190856
581.337158,0.999129978688202
581.45636,0.9997187495583229
581.575562,0.9990027176169464
581.694764,0.9994492317285585
581.813966,0.9993331224617342
581.933168,0.9996475721173013
582.05237,0.9993640922750741
582.171572,1.0005042370848
582.290774,0.999005524818527
582.409976,1.0000258273335199
582.529178,1.0003939175651553
582.64838,1.0002258655037728
582.767582,1.0002948234518936
582.886784,1.0007758308011456
583.005986,0.9994327109693024
583.125188,0.9993641222559972
583.24439,0.9990875265573094
583.363592,0.9997305962956969
583.482794,0.9990072730797251
583.601996,0.999347892714436
583.721198,1.000807856140134
583.8404,1.0002698964154855
583.959602,0.9999286725439239
584.078804,0.9991253227533496
584.198006,0.9995058421362352
584.317208,0.9988874193772684
584.43641,0.9996487317091575
584.555612,0.9993713576784345
584.674814,1.000270676626309
584.794016,0.9991923463279455
584.913218,0.9998424024198036
585.03242,0.9984425141419354
585.151622,1.0001522415875745
