nu,[0]HFE-236ea2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
596.378373,0.9999811411778298
596.86049,0.9999792452153835
597.342606,0.999977374255966
597.824723,0.9999770332637395
598.30684,0.9999787592255884
598.788956,0.9999803391932762
599.271073,0.999979974200519
599.75319,0.9999785892292138
600.235306,0.9999776412499606
600.717423,0.9999772522587338
601.19954,0.9999769602654187
601.681656,0.9999764742767342
602.163773,0.9999759882882857
602.64589,0.9999757702935441
603.128007,0.9999757942929629
603.610123,0.9999759882882857
604.09224,0.9999761102853638
604.574357,0.999976280281317
605.056473,0.9999767422704652
605.53859,0.9999773252570758
606.020707,0.999977714248331
606.502823,0.9999782002376183
606.98494,0.9999789292219919
607.467057,0.9999794882103696
607.949173,0.9999799012019835
608.43129,0.9999804601909046
608.913407,0.9999811411778298
609.395523,0.9999820401612798
609.87764,0.9999830851430578
610.359757,0.9999840081278714
610.841873,0.9999847381164637
611.32399,0.9999854181063168
611.806107,0.9999861470959523
612.288224,0.9999869980845256
612.77034,0.9999879460726492
613.252457,0.9999890880595357
613.734574,0.9999901815482013
614.21669,0.9999912022387005
614.698807,0.9999921257310023
615.180924,0.9999928791253535
615.66304,0.9999934624213701
616.145157,0.9999939242184577
616.627274,0.9999942887163095
617.10939,0.9999947262139065
617.591507,0.9999953824106611
618.073624,0.999996087207655
618.55574,0.9999966705055428
619.037857,0.9999970836042527
619.519974,0.9999974239033181
620.002091,0.9999977155026095
620.484207,0.9999979585020838
620.966324,0.9999981286017511
621.448441,0.9999983474013655
621.930557,0.9999986876008612
622.412674,0.9999988820006249
622.894791,0.999998955000546
623.376907,0.9999989307005717
623.859024,0.9999987605007682
624.341141,0.999998566101028
624.823257,0.999998566101028
625.305374,0.9999986147009595
625.787491,0.9999984689011722
626.269607,0.9999982502015309
626.751724,0.999998323101406
627.233841,0.9999985418010632
627.715958,0.9999986390009261
628.198074,0.9999988091007092
628.680191,0.9999992223003024
629.162308,0.9999995625400957
629.644424,0.9999995625400957
630.126541,0.9999992223003024
630.608658,0.9999990278704726
631.090774,0.9999991007804043
631.572891,0.9999991736903414
632.055008,0.9999992466002838
632.537124,0.9999992223003024
633.019241,0.999998979300521
633.501358,0.9999989307005717
633.983474,0.9999992466002838
634.465591,0.9999995382401066
634.947708,0.9999995625400957
635.429825,0.9999991979903217
635.911941,0.9999988091007092
636.394058,0.9999988820006249
636.876175,0.9999991007804043
637.358291,0.9999990764804264
637.840408,0.999998955000546
638.322525,0.9999990035704964
638.804641,0.9999992223003024
639.286758,0.9999992952102483
639.768875,0.9999991493903617
640.250991,0.999998906400598
640.733108,0.9999986876008612
641.215225,0.9999984932011352
641.697341,0.9999985175010989
642.179458,0.9999986876008612
642.661575,0.9999987119008296
643.143692,0.9999986390009261
643.625808,0.9999986147009595
644.107925,0.9999986876008612
644.590042,0.9999987848007383
645.072158,0.9999988577006524
645.554275,0.9999988091007092
646.036392,0.9999986876008612
646.518508,0.9999985418010632
647.000625,0.999998323101406
647.482742,0.9999982016016171
647.964858,0.9999981773016611
648.446975,0.9999981043017968
648.929092,0.9999979585020838
649.411208,0.9999978613022871
649.893325,0.9999979342021338
650.375442,0.9999982259015737
650.857559,0.9999983717013257
651.339675,0.9999981286017511
651.821792,0.9999978127023922
652.303909,0.9999977155026095
652.786025,0.9999978127023922
653.268142,0.9999978856022353
653.750259,0.9999979585020838
654.232375,0.9999980557018902
654.714492,0.9999981043017968
655.196609,0.9999981043017968
655.678725,0.9999979828020346
656.160842,0.9999978613022871
656.642959,0.9999977155026095
657.125075,0.9999976183028363
657.607192,0.9999976426027787
658.089309,0.9999977398025542
658.571426,0.9999976669027216
659.053542,0.9999973995033813
659.535659,0.9999971322041121
660.017776,0.9999970350043956
660.499892,0.9999970593043238
660.982009,0.9999970350043956
661.464126,0.9999971079041822
661.946242,0.9999973509035088
662.428359,0.9999973509035088
662.910476,0.9999968892048385
663.392592,0.9999964517062953
663.874709,0.9999964031064689
664.356826,0.9999965975057885
664.838942,0.9999967920051456
665.321059,0.9999969135047633
665.803176,0.9999969621046144
666.285293,0.9999968649049145
666.767409,0.9999966461056243
667.249526,0.9999964031064689
667.731643,0.9999963059068232
668.213759,0.9999963545066448
668.695876,0.9999964517062953
669.177993,0.9999965732058714
669.660109,0.9999967677052238
670.142226,0.9999969135047633
670.624343,0.9999968649049145
671.106459,0.9999967191053821
671.588576,0.9999967191053821
672.070693,0.9999967677052238
672.552809,0.9999967191053821
673.034926,0.9999964760062093
673.517043,0.999996087207655
673.99916,0.9999957955088389
674.481276,0.9999957955088389
674.963393,0.999995868408535
675.44551,0.9999956740093571
675.927626,0.9999952852111147
676.409743,0.9999950178124112
676.89186,0.9999948477132731
677.373976,0.9999946290144238
677.856093,0.999994337316033
678.33821,0.9999939971180174
678.820326,0.9999935110210535
679.302443,0.9999929521248364
679.78456,0.999992271629864
680.266676,0.9999914452365922
680.748793,0.9999904488456126
681.23091,0.9999891850584819
681.713027,0.9999874110792412
682.195143,0.9999853691070325
682.67726,0.9999832551401967
683.159377,0.9999809461815263
683.641493,0.9999782242370954
684.12361,0.9999753813030451
684.605727,0.9999723913811249
685.087843,0.9999690864778328
685.56996,0.9999656595896453
686.052077,0.9999622577122581
686.534193,0.9999589768414728
687.01631,0.9999560119675018
687.498427,0.9999535090807363
687.980543,0.9999514671777555
688.46266,0.9999497422629624
688.944777,0.9999482113410789
689.426893,0.9999466804215392
689.90901,0.9999447115284639
690.391127,0.999941965684056
690.873244,0.9999386358828545
691.35536,0.9999350881068682
691.837477,0.9999321473020985
692.319594,0.9999309083869354
692.80171,0.9999313213584858
693.283827,0.999932026310316
693.765944,0.999931661335193
694.24806,0.9999298384614359
694.730177,0.9999274326331388
695.212294,0.9999254407796768
695.69441,0.999924346861843
696.176527,0.9999241038802562
696.658644,0.9999248818215116
697.14076,0.9999268016791278
697.622877,0.9999295234835863
698.104994,0.9999326092708573
698.587111,0.9999359390519902
699.069227,0.9999390488575963
699.551344,0.99994138271806
700.033461,0.9999425726490134
700.515577,0.9999436665867864
700.997694,0.9999470204034684
701.479811,0.9999527551160747
701.961927,0.9999581258767456
702.444044,0.9999615047409615
702.926161,0.9999632786742444
703.408277,0.9999643966338149
703.890394,0.9999656595896453
704.372511,0.9999674095310809
704.854627,0.999969572462927
705.336744,0.9999720763898713
705.818861,0.9999748223169632
706.300978,0.999977811246174
706.783094,0.9999807761847799
707.265211,0.9999832791397951
707.747328,0.9999852241091646
708.229444,0.9999870710835792
708.711561,0.9999888690619494
709.193678,0.9999904974451496
709.675794,0.9999919070327482
710.157911,0.999993122223652
710.640028,0.9999941186172954
711.122144,0.9999950421122904
711.604261,0.9999957955088389
