nu,[0]Diisopropylamine-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
550,0.9951560698532468
550.119602,0.9953930447242177
550.239204,0.9940341666788004
550.358806,0.9933318315642599
550.478408,0.9964257030614844
550.59801,0.9937949314479959
550.717612,0.9926915376522089
550.837214,0.9947972812679275
550.956816,0.9937982109766809
551.076418,0.9923494158472608
551.19602,0.9941439141087484
551.315622,0.9950814359468143
551.435224,0.9939627975878139
551.554826,0.9911289817432397
551.674428,0.9930263296814691
551.79403,0.9939257234669004
551.913632,0.992945401333475
552.033234,0.9927267788273227
552.152836,0.9945315069434038
552.272438,0.996407070075056
552.39204,0.9913228655332852
552.511642,0.9954512769206092
552.631244,0.9954211152038709
552.750846,0.9950603404439854
552.870448,0.9939834722290192
552.99005,0.9966502230636126
553.109652,0.9942328939708506
553.229254,0.9920768549006875
553.348856,0.9943423650387484
553.468458,0.9959291086349528
553.58806,0.9925001651726494
553.707662,0.9928768904644352
553.827264,0.9949282052047485
553.946866,0.9946368334069269
554.066468,0.9936588902341141
554.18607,0.9925343077655806
554.305672,0.9957065433517697
554.425274,0.9939770113574475
554.544876,0.9961364826622577
554.664478,0.9934160696752219
554.78408,0.9914581903401385
554.903682,0.9938419390599746
555.023284,0.9929841269592719
555.142886,0.9949506908362727
555.262488,0.9956909108817543
555.38209,0.9972535783355002
555.501692,0.9937300387577417
555.621294,0.9943066687885951
555.740896,0.9933976916479302
555.860498,0.9958653712116194
555.9801,0.9943726929433803
556.099702,0.994713224449111
556.219304,0.9949197483509459
556.338906,0.9936551143375055
556.458508,0.9947424694478092
556.57811,0.995032479144513
556.697712,0.9945917773789003
556.817314,0.9933508043834326
556.936916,0.9933935193863871
557.056518,0.9942620254214176
557.17612,0.995487213360355
557.295722,0.9926560991968949
557.415324,0.9944667650496732
557.534926,0.9948016583855948
557.654528,0.9951178565938638
557.77413,0.9935215760641115
557.893732,0.9951723905466218
558.013334,0.9944246999951938
558.132936,0.9920485811132262
558.252538,0.9952120987171773
558.37214,0.9945576634659932
558.491742,0.9927384930724268
558.611344,0.9935886410339131
558.730946,0.9959493262010656
558.850548,0.9952483250968867
558.97015,0.9944977928967746
559.089752,0.9943826367200286
559.209354,0.997249489604211
559.328956,0.9943278477461954
559.448558,0.9898558029973881
559.56816,0.9954085729768355
559.687762,0.993883681297996
559.807364,0.9945476184843194
559.926966,0.9919895559786651
560.046568,0.9937250701199695
560.16617,0.9942481058504988
560.285772,0.9929612885869941
560.405374,0.9959487286316492
560.524976,0.9939831740340223
560.644578,0.9938454175128486
560.76418,0.9917187797925141
560.883782,0.9975053169067434
561.003384,0.9949427312625844
561.122986,0.993962101814099
561.242588,0.9929181950022069
561.36219,0.9948036479909012
561.481792,0.9933380895745114
561.601394,0.9908053318727031
561.720996,0.9947997682642394
561.840598,0.9932216771723134
561.9602,0.9941107102565245
562.079802,0.9932226703944871
562.199404,0.9924520300819238
562.319006,0.9946500621647822
562.438608,0.9951352713087325
562.55821,0.9935296236214702
562.677812,0.9939192629706946
562.797414,0.993808745293549
562.917016,0.9922954335073716
563.036618,0.9936024520120096
563.15622,0.9948350842828684
563.275822,0.9937960246230217
563.395424,0.9933198123218145
563.515026,0.9947633592590098
563.634628,0.992231730185439
563.75423,0.9938381624677817
563.873832,0.9938630087324204
563.993434,0.9921942245348992
564.113036,0.9937072826004132
564.232638,0.9923046618978152
564.35224,0.9934340506688105
564.471842,0.9936069232331038
564.591444,0.9930597952326707
564.711046,0.9928924787539832
564.830648,0.9932462100507192
564.95025,0.9937944345506543
565.069852,0.992677441532457
565.189454,0.9943770681928548
565.309056,0.9929585082992785
565.428658,0.993296171591607
565.54826,0.9943399786199361
565.667862,0.9928654724458486
565.787464,0.9936623680463161
565.907066,0.9928115613143952
566.026668,0.9923523928999739
566.14627,0.9932373701987872
566.265872,0.9926149048235674
566.385474,0.9944438925771115
566.505076,0.9932880265963945
566.624678,0.9931008094491516
566.74428,0.9955802957663388
566.863882,0.9934888897419519
566.983484,0.9934905786745001
567.103086,0.9925994201518329
567.222688,0.9950578527962438
567.34229,0.9923545760776398
567.461892,0.9944928204202415
567.581494,0.9929789634552367
567.701096,0.9938703633458971
567.820698,0.9919382714443377
567.9403,0.9931164012542553
568.059902,0.9944876490710207
568.179504,0.9944744224732451
568.299106,0.9902218203418934
568.418708,0.992291464333576
568.53831,0.9937489198078475
568.657912,0.9933484203443629
568.777514,0.9938648970739309
568.897116,0.992228951940484
569.016718,0.9943750794407071
569.13632,0.9926847873727038
569.255922,0.9930744926264006
569.375524,0.9916821860446986
569.495126,0.9927503067307855
