nu,[0]PFC-1216-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
500,0.9929435147390048
500.120002,0.9779683220635224
500.240005,0.9936868124412349
500.360007,0.9761509916257276
500.48001,0.996725173978506
500.600012,0.9805614139187537
500.720014,0.9963932201130394
500.840017,0.9936503448044036
500.960019,0.9787539460119399
501.080022,0.9844659180889069
501.200024,0.9793129741024437
501.320026,0.9850695807003826
501.440029,0.9817054153506066
501.560031,0.975584988207443
501.680034,0.9912975871225153
501.800036,0.9882416758129375
501.920038,0.9855868780089122
502.040041,0.9727161169036493
502.160043,0.9788625937297839
502.280046,0.9797282908443904
502.400048,0.9768062087418672
502.52005,0.9585649084594976
502.640053,0.982202283987938
502.760055,0.9779458290507855
502.880058,0.9855395709741457
503.00006,0.9735588539133451
503.120062,0.9857159983471289
503.240065,0.979782177382253
503.360067,0.9661289162488602
503.48007,0.9763599102914354
503.600072,0.9619671274020654
503.720074,0.991444508311518
503.840077,0.9743613970113171
503.960079,0.9711192565036155
504.080082,0.967104232289552
504.200084,0.9588103324889987
504.320086,0.9647232561157046
504.440089,0.9591776271787852
504.560091,0.9786462889991228
504.680094,0.978080794887623
504.800096,0.9736416099330087
504.920098,0.951643299311617
505.040101,0.9588937526166482
505.160103,0.9583875903538631
505.280106,0.9705736408138301
505.400108,0.953914723398893
505.52011,0.9722483529576662
505.640113,0.9545301968643403
505.760115,0.9605387058308262
505.880118,0.9705949936688085
506.00012,0.980237882037857
506.120122,0.9748253034372647
506.240125,0.9706677910232003
506.360127,0.9679140373881351
506.48013,0.9607855960022529
506.600132,0.9524515875425352
506.720134,0.9496944288227898
506.840137,0.9386458757797346
506.960139,0.9615247242839786
507.080142,0.9512142049516787
507.200144,0.9585265666300009
507.320146,0.9593963446106217
507.440149,0.9554766051572878
507.560151,0.95849206029472
507.680154,0.9582563002475623
507.800156,0.9324161976261576
507.920158,0.9323928875125945
508.040161,0.9522335011008386
508.160163,0.9568697492300061
508.280166,0.9721200246449307
508.400168,0.9502387596663986
508.52017,0.9369241030228534
508.640173,0.9301401548963011
508.760175,0.9611594143020432
508.880178,0.9343006476413136
509.00018,0.9465201685518352
509.120182,0.9403096904988029
509.240185,0.9512132537379494
509.360187,0.9526420969103455
509.48019,0.9574277669401644
509.600192,0.9728737096792579
509.720194,0.9505828083664555
509.840197,0.9688359303031299
509.960199,0.9369896900055826
510.080202,0.9661163566545866
510.200204,0.9605339031493039
510.320206,0.9472918969258006
510.440209,0.9747190532699294
510.560211,0.9489482622835999
510.680214,0.9365887442267775
510.800216,0.9411789381834088
510.920218,0.9529060153222022
511.040221,0.9385707871132589
511.160223,0.9532081344124052
511.280226,0.9303978394068644
511.400228,0.9276126837187813
511.52023,0.9216221085649148
511.640233,0.9275180720503191
511.760235,0.9308594312005117
511.880238,0.9440633566437829
512.00024,0.9242071908085606
512.120242,0.9202563559337961
512.240245,0.9486465447118302
512.360247,0.9167100966026089
512.48025,0.9388786888245523
512.600252,0.9406303907795531
512.720254,0.9315364120597198
512.840257,0.9336954169375682
512.960259,0.9371733579836976
513.080262,0.9415338295359205
513.200264,0.9478784521301047
513.320266,0.9456251838668859
513.440269,0.9414792221574367
513.560271,0.9458218943623125
513.680274,0.9449124512122277
513.800276,0.9447064827492416
513.920278,0.9526020867824938
514.040281,0.9346538800428399
514.160283,0.9464065929462816
514.280286,0.9363480718472367
514.400288,0.9332912143382123
514.52029,0.9251642404387965
514.640293,0.9544853349993497
514.760295,0.9312718932821392
514.880298,0.9285974030774501
515.0003,0.9453065618707445
515.120302,0.9307551807823496
515.240305,0.92743459918017
515.360307,0.9303931874292973
515.48031,0.935533803282915
515.600312,0.9247424617180133
515.720314,0.9340175974293509
515.840317,0.9260639372623243
515.960319,0.9336515342842225
516.080322,0.9363452628072347
516.200324,0.9384684884728407
516.320326,0.9347996974215864
516.440329,0.9219244501978413
516.560331,0.9371518032443444
516.680334,0.9239613843895086
516.800336,0.932406873510802
516.920338,0.9260583808953698
517.040341,0.9374498649070688
517.160343,0.9323481337280933
517.280346,0.9247073221721236
517.400348,0.9474880066451199
517.52035,0.9271981335080336
517.640353,0.9292346394430445
517.760355,0.9247942487458928
517.880358,0.9401395098466362
518.00036,0.9384178125427256
518.120362,0.9291491537886162
518.240365,0.9407065849270276
518.360367,0.9300415652652249
518.48037,0.92727694869898
518.600372,0.9373092579731164
518.720374,0.9418700171189778
518.840377,0.9400163596373611
518.960379,0.9464113249910765
519.080382,0.9507035400494176
519.200384,0.949929032319048
519.320386,0.9397597701972322
519.440389,0.9487907499459465
519.560391,0.9464103785802247
519.680394,0.9452385022484656
519.800396,0.9521982691130937
519.920398,0.9528107294850412
520.040401,0.9469196843548696
520.160403,0.957593416272099
520.280406,0.9509288834905523
520.400408,0.9503337882937174
520.52041,0.9602054567219672
520.640413,0.9480452934192823
520.760415,0.9588371795541656
520.880418,0.9637156468805836
521.00042,0.9658410527256134
521.120422,0.9599423964677261
521.240425,0.9666169345658195
521.360427,0.9580320945063991
521.48043,0.9642603000711085
521.600432,0.965092815888976
521.720434,0.9573597919818512
521.840437,0.9666981337986431
521.960439,0.963888167421503
522.080442,0.9621624265511209
522.200444,0.9699788614904987
522.320446,0.961697814311985
522.440449,0.9690045224220916
522.560451,0.9624597806797722
522.680454,0.9692933287997864
522.800456,0.9586415967196639
522.920458,0.9681705685969269
523.040461,0.9730566271303792
523.160463,0.9783674145482549
523.280466,0.9689308808768017
523.400468,0.9762076100251597
523.52047,0.9810635899087634
523.640473,0.9672522105571411
523.760475,0.9758259874617129
523.880478,0.9736036386506661
524.00048,0.9762437303749529
524.120482,0.9724350425630627
524.240485,0.9800085332083197
524.360487,0.9774726177958863
524.48049,0.9731062542838446
524.600492,0.9854410219445818
524.720494,0.9755986464928856
524.840497,0.9834190034094371
524.960499,0.980448655839867
525.080502,0.9817299582927759
525.200504,0.9797792380401299
525.320506,0.9782020844259851
525.440509,0.976264231708554
525.560511,0.9756991383287151
525.680514,0.9818575914833316
525.800516,0.9849799434470958
525.920518,0.9752318903562789
526.040521,0.9770445785367325
526.160523,0.9825156564967878
526.280526,0.9791279014402557
526.400528,0.9848597832239179
526.52053,0.985792887193626
526.640533,0.9845761844465336
526.760535,0.9858549941018663
526.880538,0.9865986090750342
527.00054,0.9759011289556578
527.120542,0.9782940397437534
527.240545,0.9821620145198242
527.360547,0.9837662115962802
527.48055,0.9852084853038058
527.600552,0.9785670218600763
527.720554,0.9840318643349171
527.840557,0.983580297351738
527.960559,0.9843084161425044
528.080562,0.97993993501196
528.200564,0.981973457515088
528.320566,0.9852124261456288
528.440569,0.9889593997718502
528.560571,0.9848716016122268
528.680574,0.983612756037116
528.800576,0.9871107866517286
528.920578,0.9871453361338738
529.040581,0.9830345617423477
529.160583,0.9827937477756363
529.280586,0.9866203144831924
529.400588,0.9836963666747809
529.52059,0.9883187616699604
529.640593,0.9845919377915112
529.760595,0.9896251934623438
529.880598,0.9844383534291075
530.0006,0.9821502286463653
530.120602,0.9878089207392111
530.240605,0.9843920859137913
530.360607,0.9892165626455158
530.48061,0.9856499575876297
530.600612,0.9895410788958192
530.720614,0.9887754704294518
530.840617,0.9872934190402342
530.960619,0.9870693288693086
531.080622,0.9908297059836676
531.200624,0.9891987569076404
531.320626,0.9884581244402002
531.440629,0.989431245931904
531.560631,0.985684455939863
531.680634,0.9856105323778357
531.800636,0.9877259482747613
531.920638,0.9889386318425191
532.040641,0.9923385000637234
532.160643,0.9885194107437713
532.280646,0.9881566906832306
532.400648,0.9893036175333875
