nu,[0]2-Hexanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
520,0.9518602987208525
520.134603,0.9467416801871269
520.269205,0.9135775623329803
520.403808,0.9360878032622727
520.538411,0.9692312960118136
520.673013,0.9144120395282637
520.807616,0.927256548830508
520.942219,0.9283430022435127
521.076822,0.8979597800913017
521.211424,0.8944645570640428
521.346027,0.9579133058917266
521.48063,0.9070488240964305
521.615232,0.943461236319052
521.749835,0.9052564547600261
521.884438,0.9093383789532806
522.01904,0.8738120257244952
522.153643,0.8925792265717803
522.288246,0.9249117050738025
522.422848,0.8950998524027158
522.557451,0.8536448826097158
522.692054,0.8995775632635197
522.826657,0.9127182901977703
522.961259,0.9178355902402818
523.095862,0.9095784759767368
523.230465,0.9064639662418227
523.365067,0.8824616034144801
523.49967,0.9039872704949492
523.634273,0.9393538816547446
523.768875,0.9211733878704014
523.903478,0.9198432535784008
524.038081,0.8875681250134264
524.172683,0.912673568097251
524.307286,0.8997934877886095
524.441889,0.8973583485407086
524.576492,0.8788245526718945
524.711094,0.8764373978908895
524.845697,0.8367248467448634
524.9803,0.9068855700014025
525.114902,0.8992357887307534
525.249505,0.8947687267193559
525.384108,0.9236528328181034
525.51871,0.9023705806498443
525.653313,0.8425013621177112
525.787916,0.9368135525013058
525.922518,0.9064893475882146
526.057121,0.9431159926899972
526.191724,0.9232631335549819
526.326327,0.8932935756545722
526.460929,0.8786839519918214
526.595532,0.8627243913752941
526.730135,0.910854599353514
526.864737,0.9132560396223559
526.99934,0.8906444296639949
527.133943,0.9264288783422774
527.268545,0.8775424050205313
527.403148,0.9164699500178755
527.537751,0.9083114069335328
527.672353,0.8826381133855717
527.806956,0.8723975962400397
527.941559,0.8787278872877942
528.076162,0.903119859139342
528.210764,0.8712729289072828
528.345367,0.8865391429134121
528.47997,0.8974929623887759
528.614572,0.9006667109165135
528.749175,0.9169750641064872
528.883778,0.8468344990988415
529.01838,0.8592889792585537
529.152983,0.8644602113165923
529.287586,0.8926238566488516
529.422188,0.8904307006493832
529.556791,0.8923650332616285
529.691394,0.8973134817449607
529.825997,0.8937582091081409
529.960599,0.8801437786730484
530.095202,0.8645293708998442
530.229805,0.9075460230721121
530.364407,0.8880386608006527
530.49901,0.8552854552300582
530.633613,0.9084512976615102
530.768215,0.8976814557019827
530.902818,0.8966676485659488
531.037421,0.9005856545601217
531.172023,0.8800205671690406
531.306626,0.9023886282419327
531.441229,0.8881985221466864
531.575832,0.9009549703830616
531.710434,0.8945092814099954
531.845037,0.8897987192318738
531.97964,0.8937224594947736
532.114242,0.8732093033898638
532.248845,0.9120330960844255
532.383448,0.8855202088984153
532.51805,0.8876657628771619
532.652653,0.8954937829961482
532.787256,0.8854493701152925
532.921858,0.8894695546049692
533.056461,0.8951714632553041
533.191064,0.8686977741469686
533.325667,0.8740392463885899
533.460269,0.8959237231893779
533.594872,0.8725633675310992
533.729475,0.8888738096002463
533.864077,0.8865568738735793
533.99868,0.8761832678961313
534.133283,0.9109948817632827
534.267885,0.8720661481325973
534.402488,0.8839365455260566
534.537091,0.9070025657859986
534.671693,0.8877989227283327
534.806296,0.9026413324347764
534.940899,0.8912859245638043
535.075502,0.8974301400802152
535.210104,0.8995595718921687
535.344707,0.9163645620335485
535.47931,0.891312663542624
535.613912,0.8852280354407508
535.748515,0.8734188987731173
535.883118,0.8881541133308086
536.01772,0.8846439776976164
536.152323,0.898633502540708
536.286926,0.901748159709115
536.421528,0.8978969251066454
536.556131,0.8879321025549792
536.690734,0.8968290632695782
536.825337,0.9055842169180206
536.959939,0.8894873441739565
537.094542,0.8858301952159708
537.229145,0.9056793082530047
537.363747,0.8994516312201115
537.49835,0.8989930278419909
537.632953,0.8777003768704749
537.767555,0.8904574139711006
537.902158,0.903707077873196
538.036761,0.885644190406164
538.171363,0.8942767392286224
538.305966,0.9053053399284708
538.440569,0.9040053504211578
538.575172,0.9033005011747712
538.709774,0.8963897246753222
538.844377,0.8986874221684331
538.97898,0.9124855767060011
539.113582,0.9027767387898643
539.248185,0.9091338008339176
539.382788,0.9276711251587416
539.51739,0.8758416230467279
539.651993,0.9142127194303266
539.786596,0.8999824642628804
539.921198,0.9056738741934574
540.055801,0.902108931122471
540.190404,0.9027135466299004
540.325007,0.9149178492296152
540.459609,0.9043760686068654
540.594212,0.8983729366088574
540.728815,0.9033908357415418
540.863417,0.9027947945051966
540.99802,0.8955206482126143
541.132623,0.8913572302899605
541.267225,0.8957983026477742
541.401828,0.9115808398375888
541.536431,0.9046474221284405
541.671033,0.9115626084031069
541.805636,0.9149196790671434
541.940239,0.9041228787558888
542.074841,0.9153845763380186
542.209444,0.9120741384971967
542.344047,0.9147641559415423
542.47865,0.9115398196227578
542.613252,0.9038336057208409
542.747855,0.9204164944713773
542.882458,0.9015227508464696
543.01706,0.9070370325383625
543.151663,0.9281471425339654
543.286266,0.9339484826844182
543.420868,0.9138471074698215
543.555471,0.9113712003538909
543.690074,0.9135264034219525
543.824676,0.9133400630430193
543.959279,0.9211743090442498
544.093882,0.9298304697901525
544.228485,0.922473158470232
544.363087,0.9175722092228668
544.49769,0.9189551140359075
544.632293,0.9140298951694761
544.766895,0.9283949909073074
544.901498,0.9309255245664138
545.036101,0.9238551349397642
545.170703,0.9238791554855385
545.305306,0.925484402650857
545.439909,0.9080707363009628
545.574511,0.9356226832159569
545.709114,0.9071114126245725
545.843717,0.9323900903381277
545.97832,0.9316379550626275
546.112922,0.9207985465869136
546.247525,0.9312271933040698
546.382128,0.9294576825206096
546.51673,0.9163544820788061
546.651333,0.9264881716878581
546.785936,0.9236814664997405
546.920538,0.9235152187985125
547.055141,0.9326726473407243
547.189744,0.9248719347255528
547.324346,0.9331353677189728
547.458949,0.9342651448912597
547.593552,0.9378783774029787
547.728155,0.9261445083296568
547.862757,0.9210306170603051
547.99736,0.9279550359591773
548.131963,0.9311256950717538
548.266565,0.928456266998796
548.401168,0.9395088878328757
548.535771,0.9288806684811669
548.670373,0.9373392523492791
548.804976,0.937260519158922
548.939579,0.9276683421495406
549.074181,0.9381260099806752
549.208784,0.937311132593507
549.343387,0.9386261644233131
549.47799,0.9317171476544452
549.612592,0.9326456002261365
549.747195,0.9456261294925425
549.881798,0.9322474455669093
550.0164,0.943728273632928
550.151003,0.9382048158753148
550.285606,0.9370224852186457
550.420208,0.9397249997289926
550.554811,0.9365025820258307
550.689414,0.9443041234961962
550.824016,0.9380443965680417
550.958619,0.9461246057997552
551.093222,0.95106868031124
551.227825,0.9429688780703763
551.362427,0.937117129269097
551.49703,0.948792647529344
551.631633,0.9514767763054254
551.766235,0.9537230058077533
551.900838,0.9485052069065961
552.035441,0.9450466383073581
552.170043,0.950427875996023
552.304646,0.9480263327030217
552.439249,0.9489492112323366
552.573851,0.9459004008375181
552.708454,0.9456166732785287
552.843057,0.9481979409993233
552.97766,0.9429528477357073
553.112262,0.9405005927418961
553.246865,0.9446894781855937
553.381468,0.9591574846601116
553.51607,0.9530737415403732
553.650673,0.955914313670048
553.785276,0.9521849384306411
553.919878,0.9527268858300215
554.054481,0.9476670988020516
554.189084,0.9527430823247504
554.323686,0.9568113819555231
554.458289,0.9557260170980763
554.592892,0.9596103138521537
554.727495,0.9532853473983762
554.862097,0.9446327985173095
554.9967,0.9562537234930799
555.131303,0.9568295615444857
555.265905,0.9557776276964732
555.400508,0.9483563032783524
555.535111,0.9525411221998272
555.669713,0.9552329896852655
555.804316,0.956961613135329
555.938919,0.9665299429563898
556.073521,0.9616545388840454
556.208124,0.9578079412232415
556.342727,0.9619084491969974
556.47733,0.9609499043871358
556.611932,0.9655272053864327
556.746535,0.9651285249837781
556.881138,0.964167735525471
557.01574,0.9724039251395821
557.150343,0.9629218722676074
