nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
670.387768,1.0
670.628822,1.0
670.869876,1.0
671.11093,1.0
671.351984,1.0
671.593038,1.0
671.834092,1.0
672.075146,1.0
672.3162,1.0
672.557254,1.0
672.798308,1.0
673.039362,0.9188659797129305
673.280416,0.8991368782341701
673.52147,0.9087974835501433
673.762524,0.8984178563786728
674.003578,0.9039872704949492
674.244632,0.877393235491447
674.485686,0.8767266699594596
674.72674,0.8753512890441565
674.967794,0.8660522823616
675.208848,0.8581383031515185
675.449902,0.8535509868369909
675.690956,0.8399020509127857
675.93201,0.8278196188172394
676.173064,0.7955671678585088
676.414118,0.8103005911265908
676.655172,0.7870684960350266
676.896226,0.7563886103641938
677.13728,0.7621743070844494
677.378334,0.7546358228078978
677.619388,0.7369612250863392
677.860442,0.733586324385528
678.101496,0.7070456829273355
678.34255,0.7012505765295802
678.583604,0.6790503506832807
678.824658,0.6681918139716885
679.065712,0.6566264443848616
679.306766,0.6494626177208468
679.54782,0.6461329444567667
679.788874,0.6194830122499871
680.029928,0.6194768174508387
680.270982,0.5943303318310493
680.512036,0.5924966855481847
680.75309,0.5980027059749625
680.994144,0.5884578368283082
681.235198,0.5850371087508381
681.476252,0.5876463250853746
681.717306,0.5836347032495923
681.95836,0.5876463250853746
682.199414,0.590875466713874
682.440468,0.5890583700417457
682.681522,0.5916855208636654
682.922576,0.5961636911771505
683.16363,0.6002614311982817
683.404684,0.6045928637287129
683.645738,0.605010176761125
683.886792,0.6114635091261056
684.127846,0.6039704536752761
684.3689,0.5931132026344709
684.609954,0.5637975758355496
684.851008,0.5164535121453997
685.092062,0.48243455727147905
685.333116,0.48059997869969723
685.57417,0.47649883538199816
685.815224,0.44724443472098285
686.056278,0.42908939577614846
686.297332,0.4255639706354487
686.538386,0.46646606741526075
686.77944,0.5135951344880861
687.020494,0.5608734377891801
687.261548,0.5862259403374082
687.502602,0.5943184453432779
687.743656,0.5979967259778027
