nu,[0](Perfluoropropyl)methanol-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
700,1.0
700.060265,1.0
700.12053,0.9998839367358618
700.180795,0.9999008159190662
700.24106,0.9999828271474551
700.301325,1.0
700.36159,1.0
700.421855,1.0
700.48212,0.9999608067680748
700.542385,0.9999350261108946
700.60265,0.9999989138005899
700.662915,1.0
700.72318,0.9999697674570125
700.783445,1.0
700.84371,1.0
700.903975,1.0
700.96424,1.0
701.024505,0.9999845601191962
701.08477,0.9999312983600658
701.145035,0.999922101034282
701.2053,0.999988731063495
701.265565,1.0
701.32583,0.999921639070378
701.386095,0.9999241818743394
701.44636,0.999996163607359
701.506625,0.9999432376110453
701.56689,0.9998903360135346
701.627155,0.9999567069371716
701.68742,0.9999376599432221
701.747685,0.9999963483066674
701.80795,0.9999842371242355
701.868215,0.9999984319012295
701.92848,0.9999816811677918
701.988745,0.9999138807084791
702.04901,0.9999561849599069
702.109275,0.9999985749010154
702.16954,0.9999732403580456
702.229805,0.9999410787359259
702.29007,0.9999189272865701
702.350335,0.999847451636685
702.4106,0.9998936556549608
702.470865,0.9999673885317655
702.53113,0.9999813411740781
702.591395,0.9999908195421406
702.65166,0.9999735243504861
702.711925,0.9999820491611182
702.77219,0.9999986140009605
702.832455,0.9998985351479063
702.89272,0.9999133827514906
702.952985,0.999970291441308
703.01325,0.9999940009179946
703.073515,0.9999735453499304
703.13378,0.999982253157477
703.194045,0.999985468105589
703.25431,0.999956286955443
703.314575,0.9999258367502298
703.37484,0.9999425016530933
703.435105,0.9999963173067812
703.49537,1.0
703.555635,0.9999964890061636
703.6159,0.9999022297798196
703.676165,0.999912535825214
703.73643,0.9999976312028056
703.796695,1.0
703.85696,1.0
703.917225,0.9999718103973343
703.97749,0.9999722823841403
704.037755,1.0
704.09802,1.0
704.158285,1.0
704.21855,1.0
704.278815,0.9999836101343154
704.33908,0.9999503072347263
704.399345,0.9999748813154794
704.45961,1.0
704.519875,1.0
704.58014,0.9999962193071469
704.640405,0.9999452614982065
704.70067,0.9999606187754608
704.760935,0.9999942298166475
704.8212,0.9999267236848404
704.881465,0.9999452684978233
704.94173,0.999921851053788
705.001995,0.9999071883072717
705.06226,0.9999945620147859
705.122525,1.0
705.18279,1.0
705.243055,1.0
705.30332,1.0
705.363585,1.0
705.42385,1.0
705.484115,0.9999721773870561
705.54438,0.9999622437127865
705.604645,0.9999816381685805
705.66491,0.9999988804006268
705.725175,1.0
705.78544,0.9999949983125085
705.845705,0.9999532070948222
705.90597,0.9999767552701629
705.966235,1.0
706.0265,0.9999521791434536
706.086765,0.9999947647137042
706.14703,1.0
706.207295,1.0
706.26756,1.0
706.327825,0.9999815941693894
706.38809,0.9999977400025538
706.448355,1.0
706.50862,1.0
706.568885,0.9999770682629363
706.62915,0.9999838801299265
706.689415,1.0
706.74968,1.0
706.809945,1.0
706.87021,0.999989520054915
706.930475,0.9999756782957775
706.99074,0.9999430276229875
707.051005,0.9999148106288206
707.11127,0.9999496112695547
707.171535,0.9999981782016595
707.2318,0.9999810101803089
707.292065,0.9999651236081954
707.35233,0.9999942987162523
707.412595,0.9999999564610009
707.47286,1.0
707.533125,1.0
707.59339,1.0
707.653655,1.0
707.71392,1.0
707.774185,1.0
707.83445,1.0
707.894715,0.9999823331560606
707.95498,0.9999386888796036
708.015245,0.999968668490842
708.07551,0.99995109619583
708.135775,0.9999079682351827
708.19604,0.9998998550148438
708.256305,0.9999814971711795
708.31657,0.9999840931265157
708.376835,0.9999814251725142
708.4371,1.0
708.497365,1.0
708.55763,1.0
708.617895,1.0
708.67816,1.0
708.738425,0.9999940209178748
708.79869,1.0
708.858955,0.9999985059011162
708.91922,0.9999848461148213
708.979485,0.9999699814505657
709.03975,0.9999976126028498
709.100015,0.999986104096549
709.16028,0.9999739333397413
709.220545,0.9999959302082816
709.28081,0.9999717883979548
709.341075,0.9999553119985385
709.40134,0.9999393288405692
709.461605,0.9998665489053896
709.52187,0.9999069243318088
709.582135,0.9999974933031418
709.6424,0.9999573599091145
709.702665,0.9999358040606475
709.76293,0.9998991150892249
709.823195,0.9999530531020401
709.88346,0.9999998981100052
709.943725,0.9999704004380757
710.00399,0.9999573369100955
710.064255,0.9999861070965073
710.12452,0.9999670195438672
710.184785,0.999985774101189
710.24505,0.9999803191936696
710.305315,0.999990674043487
710.36558,0.99998260815124
710.425845,0.9999478033622919
710.48611,0.9999429206290893
710.546375,0.9999622307132775
710.60664,0.9999706674302082
710.666905,0.9999584628626907
710.72717,0.9998997850218564
710.787435,0.9998959954088525
710.8477,0.9999468964100455
710.907965,0.9999421086757674
710.96823,0.9999614297438515
711.028495,1.0
711.08876,1.0
711.149025,0.9999758872907161
711.20929,0.9999989721005282
711.269555,1.0
711.32982,1.0
