nu,[0]CFC-10-HITRAN(x-sec)-X=0.01-T=207.9K-P=0.2624atm-L=15cm
700,0.9573023521175454
700.119202,0.9131218008513229
700.238404,1.0
700.357606,0.9729904615293903
700.476808,1.0
700.59601,1.0
700.715212,0.9890039039461764
700.834414,0.990607487803316
700.953616,0.9973840276347447
701.072818,0.9778891098375736
701.19202,0.9679537226772109
701.311222,1.0
701.430424,1.0
701.549626,0.9649837665621835
701.668828,0.9786012723052208
701.78803,1.0
701.907232,1.0
702.026434,0.9283077258796826
702.145636,1.0
702.264838,0.9692080347398457
702.38404,1.0
702.503242,0.9838399968290615
702.622444,0.977557661612987
702.741646,1.0
702.860848,0.9242450840801906
702.98005,1.0
703.099252,0.9427407072116707
703.218454,0.998942559484671
703.337656,1.0
703.456858,0.9485697074536594
703.57606,1.0
703.695262,0.9421083403799302
703.814464,0.9105704570470204
703.933666,0.9901117137975087
704.052868,1.0
704.17207,1.0
704.291272,0.9500876837144682
704.410474,0.9904993193717517
704.529676,0.9946341478911022
704.648878,1.0
704.76808,0.9902166712018154
704.887282,0.9779732119173572
705.006484,0.957423937236756
705.125686,0.9999822941567503
705.244888,1.0
705.36409,0.9767759282187467
705.483292,1.0
705.602494,1.0
705.721696,0.9799957931801984
705.840898,0.9885866323492105
705.9601,1.0
706.079302,0.9831790784446413
706.198504,1.0
706.317706,1.0
706.436908,1.0
706.55611,1.0
706.675312,0.9774980324143376
706.794514,0.9917447631649253
706.913716,1.0
707.032918,0.9903672946121252
707.15212,1.0
707.271322,1.0
707.390524,1.0
707.509726,1.0
707.628928,1.0
707.74813,0.9684126414969279
707.867332,0.998887818932316
707.986534,0.9639749212604352
708.105736,1.0
708.224938,0.9846126144393088
708.34414,1.0
708.463342,1.0
708.582544,1.0
708.701746,0.9954447069638624
708.820948,1.0
708.94015,1.0
709.059352,0.9919304351629467
709.178554,0.9996918075010681
709.297756,0.9900634965311468
709.416958,1.0
709.53616,0.9781590444811561
709.655362,1.0
709.774564,1.0
709.893766,1.0
710.012968,1.0
710.13217,0.949866339071815
710.251372,1.0
710.370574,0.9791376927682267
710.489776,0.9976923666890325
710.608978,0.9757362156004353
710.72818,1.0
710.847382,0.9928420410971899
710.966584,0.9944909308856776
711.085786,1.0
711.204988,0.9874681854417745
711.32419,0.964068431362964
711.443392,1.0
711.562594,1.0
711.681796,0.991798418007963
711.800998,1.0
711.9202,0.9724982528951428
712.039402,1.0
712.158604,0.9850154033633346
712.277806,1.0
712.397008,1.0
712.51621,0.9815287242785171
712.635412,0.9989498517919722
712.754614,0.9941197567051492
712.873816,1.0
712.993018,1.0
713.11222,0.9847534241108252
713.231422,1.0
713.350624,0.9910281890511917
713.469826,0.9855957483307306
713.589028,1.0
713.70823,0.9931259352174703
713.827432,1.0
713.946634,0.9785748504275654
714.065836,0.9894530136587587
714.185038,0.986404268292242
714.30424,1.0
714.423442,1.0
714.542644,1.0
714.661846,1.0
714.781048,0.9777336378294617
714.90025,1.0
715.019452,1.0
715.138654,0.9571003826297789
715.257856,0.996318891951294
715.377058,0.997862188381259
715.49626,1.0
715.615462,1.0
715.734664,0.9858618951109784
715.853866,0.9977504340745182
715.973068,0.9776163168323228
716.09227,0.9744286302672316
716.211472,0.9921382663586709
716.330674,1.0
716.449876,1.0
716.569078,1.0
716.68828,1.0
716.807482,0.9702369101866103
716.926684,1.0
717.045886,0.972600370572781
717.165088,0.9797361287020685
717.28429,1.0
717.403492,1.0
717.522694,1.0
717.641896,1.0
717.761098,0.9904755476733483
717.8803,0.978973211452659
717.999502,1.0
718.118704,0.9896152972598903
718.237906,0.9971233455225574
718.357108,0.9986682875171011
718.47631,0.9994854824095954
718.595512,1.0
718.714714,1.0
718.833916,0.9839816799895477
718.953118,0.997811498269629
719.07232,0.9884334132959798
719.191522,0.9832302050860016
719.310724,1.0
719.429926,1.0
719.549128,1.0
719.66833,1.0
719.787532,0.9990046257139592
719.906734,1.0
720.025936,1.0
720.145138,0.9990370938919
720.26434,0.9860748642801647
720.383542,1.0
720.502744,0.992825162925956
720.621946,0.9937549816947471
720.741148,0.9874464613806604
720.86035,0.9815189090403506
720.979552,0.995032280138037
721.098754,0.9913647993773919
721.217956,1.0
721.337158,1.0
721.45636,0.9947335168058711
721.575562,0.9887013150500311
721.694764,1.0
721.813966,0.9970113748581257
721.933168,0.9985808080067731
722.05237,1.0
722.171572,0.9947522179717775
722.290774,0.9997934013444421
722.409976,0.9971952407075598
722.529178,0.9729116524938154
722.64838,0.9804653236086918
722.767582,0.9960224315645428
722.886784,0.9914103040660078
723.005986,0.9891354502130341
723.125188,0.9885826780105899
723.24439,1.0
723.363592,1.0
723.482794,0.9922172437079299
723.601996,0.9946081882786165
723.721198,0.9995186258977081
723.8404,1.0
723.959602,0.991897007670538
724.078804,1.0
724.198006,1.0
724.317208,1.0
724.43641,1.0
724.555612,0.9842867615955502
724.674814,1.0
724.794016,0.989664779261793
724.913218,0.9801202605494429
725.03242,1.0
725.151622,1.0
725.270824,0.9934336532952698
725.390026,0.9999670605425158
725.509228,0.9972683377976793
725.62843,1.0
725.747632,0.9921674356524883
725.866834,1.0
725.986036,1.0
726.105238,0.9996314379356905
726.22444,1.0
726.343642,0.9902504381660269
726.462844,0.9924349600538092
726.582046,0.9911923169087101
726.701248,0.9991198375703846
726.82045,1.0
726.939652,1.0
727.058854,0.9994278437438517
727.178056,1.0
727.297258,1.0
727.41646,0.9685433860285872
727.535662,0.9960496233480907
727.654864,0.9929180957103924
727.774066,0.9999868670862375
727.893268,0.9817113056007695
728.01247,0.9933128591074645
728.131672,0.9961415629712741
728.250874,1.0
728.370076,0.9921377702896617
728.489278,0.9845929223839412
728.60848,0.9936541206828879
728.727682,0.9996726935764384
728.846884,1.0
728.966086,1.0
729.085288,1.0
729.20449,0.9908379299043565
729.323692,1.0
729.442894,1.0
729.562096,0.9997323058364782
729.681298,0.9951643296829048
729.8005,0.9887487738521556
729.919702,0.9833226330693268
730.038904,1.0
730.158106,1.0
730.277308,0.9875096599765222
730.39651,1.0
730.515712,1.0
730.634914,0.9993495216528288
730.754116,0.9962715679278807
730.873318,0.9995795284229606
730.99252,1.0
731.111722,0.9798086318581761
731.230924,0.9977734823757523
731.350126,0.9959406614796192
731.469328,1.0
731.58853,1.0
731.707732,1.0
731.826934,0.9959424541744234
731.946136,0.9901178525091643
732.065338,1.0
732.18454,1.0
732.303742,1.0
732.422944,1.0
732.542146,1.0
732.661348,0.9950676044109841
732.78055,1.0
732.899752,0.981671056262357
733.018954,1.0
733.138156,0.9976346019733058
733.257358,1.0
733.37656,0.9608960926992315
733.495762,1.0
733.614964,0.9915029061128559
733.734166,1.0
733.853368,1.0
733.97257,0.9932750146084748
734.091772,1.0
734.210974,1.0
734.330176,1.0
734.449378,0.9911548505472496
734.56858,0.9945642275682335
734.687782,0.9898686712064702
734.806984,1.0
734.926186,0.989032585475271
735.045388,1.0
735.16459,0.9980772508550044
735.283792,0.9977716863851004
735.402994,0.9927047405374586
735.522196,0.9999925572276975
735.641398,0.9927559654236611
735.7606,0.9898805497017955
735.879802,1.0
735.999004,0.9824616196217082
736.118206,1.0
736.237408,1.0
736.35661,1.0
736.475812,1.0
736.595014,0.9973534084151038
736.714216,1.0
736.833418,1.0
736.95262,0.9758045195261369
737.071822,0.990171023265466
737.191024,0.9996787016273809
737.310226,0.9988377759061758
737.429428,1.0
737.54863,0.992172892588391
737.667832,0.9975234716687189
737.787034,0.995349945138494
737.906236,1.0
738.025438,1.0
738.14464,0.9825903305242587
738.263842,1.0
738.383044,1.0
738.502246,0.994601325505794
738.621448,1.0
738.74065,1.0
738.859852,1.0
738.979054,0.9826296349235624
739.098256,1.0
739.217458,0.9972293453679784
739.33666,1.0
739.455862,1.0
739.575064,0.9995500912393133
739.694266,1.0
739.813468,1.0
739.93267,0.9938199753958208
740.051872,0.9965904258441634
740.171074,0.9903783867879409
740.290276,1.0
740.409478,1.0
740.52868,0.9889643445812111
740.647882,0.9922766793009061
740.767084,0.9961128745073763
740.886286,0.9970922357594919
741.005488,1.0
741.12469,1.0
741.243892,0.993141328788766
741.363094,1.0
741.482296,1.0
741.601498,1.0
741.7207,1.0
741.839902,1.0
741.959104,1.0
742.078306,0.9959498241758532
742.197508,0.9984660776633176
742.31671,0.9667658050364747
742.435912,1.0
742.555114,1.0
742.674316,0.9959145681761122
742.793518,1.0
742.91272,0.9934228249274636
743.031922,1.0
743.151124,1.0
743.270326,0.9891087439164149
743.389528,0.9620286952683699
743.50873,1.0
743.627932,1.0
743.747134,0.9931852266056331
743.866336,0.9830139182333087
743.985538,0.9987138278293232
744.10474,0.981225478756561
744.223942,0.990573213377189
744.343144,0.9999311423707954
744.462346,0.9781707824601176
744.581548,1.0
744.70075,1.0
744.819952,0.9839777440706995
744.939154,0.9973151107795399
745.058356,0.9813923012674612
745.177558,0.9982250770421149
745.29676,1.0
745.415962,1.0
745.535164,0.9933876583819127
745.654366,1.0
745.773568,0.9776769309229837
745.89277,1.0
746.011972,0.9805878894343474
746.131174,1.0
746.250376,1.0
746.369578,1.0
746.48878,0.9967257720137899
746.607982,0.9950528775194181
746.727184,0.9798047126314872
746.846386,0.9997690766668983
746.965588,0.9760816873656526
747.08479,0.986344099467044
747.203992,0.9829726325157491
747.323194,0.9896301416006814
747.442396,1.0
747.561598,0.9872114770870919
747.6808,0.9827337991854727
747.800002,0.9966554056582473
747.919204,0.9761178030562212
748.038406,0.989056322542166
748.157608,0.9863026738848097
748.27681,0.9838006440162499
748.396012,0.9824046385002386
748.515214,0.9830896132192323
748.634416,0.9679730819452564
748.753618,0.9644348469814403
748.87282,0.9620575565621451
748.992022,0.9665541065070068
749.111224,0.9732366592588567
749.230426,0.9924736657720078
749.349628,0.9571702535079669
749.46883,0.97915433825049
749.588032,0.9506350918586984
749.707234,0.957608737889332
749.826436,0.9466602639035812
749.945638,0.9673179859437968
750.06484,0.9551680360504154
750.184042,0.9479656609592453
750.303244,0.957805067803728
750.422446,0.9670249329938199
750.541648,0.9510097158809769
750.66085,0.9443938366492356
750.780052,0.9439519637400096
750.899254,0.9442512439459216
751.018456,0.9406905930510152
751.137658,0.9443079007202446
751.25686,0.931466549448696
751.376062,0.9606904829364231
751.495264,0.9335936496835381
751.614466,0.942171463753345
751.733668,0.9287497055400153
751.85287,0.9256324920021133
751.972072,0.9270674077875889
752.091274,0.9153543691454209
752.210476,0.9142438031912081
752.329678,0.9088011187473479
752.44888,0.9168897893908611
752.568082,0.8809626931234105
752.687284,0.9040505518187044
752.806486,0.9080652878928902
752.925688,0.8853165626705826
753.04489,0.9086439097527748
753.164092,0.8953415619921908
753.283294,0.8919546397440737
753.402496,0.8853254158804752
753.521698,0.8833356729949131
753.6409,0.8800997725842761
753.760102,0.8877722891601564
753.879304,0.8803550385300987
753.998506,0.8629746177298607
754.117708,0.8696016897867412
754.23691,0.8498885973740672
754.356112,0.8676819920995897
754.475314,0.8566036095494272
754.594516,0.859890692118966
754.713718,0.8524847146623914
754.83292,0.8433358514702803
754.952122,0.8279024049183572
755.071324,0.8296511232417771
755.190526,0.8261573725006017
755.309728,0.8139307421119072
755.42893,0.809733579190133
755.548132,0.808439041369853
755.667334,0.8233367403169534
755.786536,0.7970323590098484
755.905738,0.8215931153230207
756.02494,0.798492263632143
756.144142,0.7971519228307623
756.263344,0.8085037190802365
756.382546,0.8037074051358108
756.501748,0.7812656860414756
756.62095,0.7917892666774915
756.740152,0.7825714897798067
756.859354,0.7832604557913968
756.978556,0.7943588243370865
757.097758,0.7693494433591276
757.21696,0.7774079766033868
757.336162,0.7637460044495249
757.455364,0.7632878942936453
757.574566,0.7663011808736379
757.693768,0.7526236326302795
757.81297,0.7655429181065737
757.932172,0.7582137052711734
758.051374,0.7405960085489999
758.170576,0.7483758155320881
758.289778,0.7291469425510819
758.40898,0.7372560685411335
758.528182,0.7125964554013078
758.647384,0.7013557720055231
758.766586,0.7019802564969856
758.885788,0.6986327976711943
759.00499,0.6883622867945228
759.124192,0.6686062213493632
759.243394,0.6394096181550193
759.362596,0.6350827332459281
759.481798,0.6362459987110305
759.601,0.6659904152911738
759.720202,0.6727711848106597
759.839404,0.6579607499288784
759.958606,0.6511403946761761
760.077808,0.6547904619155495
760.19701,0.6723945384179987
760.316212,0.6869869380281498
760.435414,0.6609150267274639
760.554616,0.6447065673767379
760.673818,0.6168002817129894
760.79302,0.6040610560383347
760.912222,0.641221710275343
761.031424,0.6660103953033312
761.150626,0.6613579881708844
761.269828,0.6595483476230181
761.38903,0.6297703814010032
761.508232,0.6331550133556948
761.627434,0.6329081310456658
761.746636,0.6290402713043037
761.865838,0.6430775213734157
761.98504,0.6206859757910975
762.104242,0.6173433048560367
762.223444,0.6078786534966748
762.342646,0.6104249042248879
762.461848,0.604230216815429
762.58105,0.6055488755038243
762.700252,0.6195077920660702
762.819454,0.5992957878455384
762.938656,0.6044356900176113
763.057858,0.5590759206124283
763.17706,0.5636340982439537
763.296262,0.5645817993750545
763.415464,0.6094124394621234
763.534666,0.6003754917056144
763.653868,0.6232422446857827
763.77307,0.6191857317571332
763.892272,0.5885519976148628
764.011474,0.5916204390359366
764.130676,0.5587014652021881
764.249878,0.5311769893499426
764.36908,0.4999335946900283
764.488282,0.4842761389200091
764.607484,0.4776438060020732
764.726686,0.4434988811540263
764.845888,0.43454750834031963
764.96509,0.5130356207818606
765.084292,0.5554203858365014
765.203494,0.5524678706228432
765.322696,0.5530703889146368
765.441898,0.539620049020805
765.5611,0.5645930911239591
765.680302,0.5524954947069707
765.799504,0.5864076985499801
765.918706,0.5678602098329032
766.037908,0.5490696381887334
766.15711,0.5479945156621422
766.276312,0.5363276593095146
766.395514,0.49420246380447497
766.514716,0.4651990036997313
766.633918,0.5034252694420266
766.75312,0.5560316844134997
766.872322,0.5600383586553255
766.991524,0.5629356251049751
767.110726,0.5342774530255815
767.229928,0.48592548008344993
767.34913,0.4669187590205873
767.468332,0.46101255596029644
767.587534,0.46789563971166986
767.706736,0.47097983455054904
767.825938,0.5398683313439109
767.94514,0.5279413927585629
768.064342,0.5144741334980242
768.183544,0.5098238525910459
768.302746,0.5424171088436931
768.421948,0.5135591840869507
768.54115,0.4625641633890513
768.660352,0.41352802157777835
768.779554,0.3949366131484856
768.898756,0.363636695155962
769.017958,0.34507275504338375
769.13716,0.3621850535939837
769.256362,0.3665208022710539
769.375564,0.3471494153245103
769.494766,0.30014187483465565
769.613968,0.28805610753236693
769.73317,0.21199342901558305
769.852372,0.2978396573107576
769.971574,0.3060826853404423
770.090776,0.3231624955709284
