nu,[0]3-3-3-Trifluoro-propanal-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
400.1569,0.999998605000973
400.639017,0.9999974482032559
401.121133,0.9999985904009935
401.60325,0.9999998369300133
402.085367,0.9999996476000621
402.567483,0.9999993802701921
403.0496,0.999997992502015
403.531717,0.9999973023036388
404.013833,0.9999975211030725
404.49595,0.9999978346023445
404.978067,0.9999986973008486
405.460184,0.9999998481000115
405.9423,0.9999991834103334
406.424417,0.9999995576800979
406.906534,0.9999999808980001
407.38865,0.9999998281800148
407.870767,0.9999997278000371
408.352884,0.9999994337301603
408.835,0.9999991129303935
409.317117,0.999999142090368
409.799234,0.9999993972801816
410.28135,0.9999997326600357
410.763467,0.999999385130189
411.245584,0.9999984033012748
411.7277,0.9999984981011278
412.209817,0.9999992514602801
412.691934,0.9999996160100737
413.174051,0.9999997909900219
413.656167,0.9999997521100307
414.138284,0.9999992611802729
414.620401,0.9999988820006249
415.102517,0.999998459201187
415.584634,0.9999985029011207
416.066751,0.9999995212301146
416.548867,0.9999993340902217
417.030984,0.9999992927702501
417.513101,0.9999999375410019
417.995217,0.9999992441702856
418.477334,0.9999989209005822
418.959451,0.9999989768005235
419.441567,0.9999991615403515
419.923684,0.9999995868400854
420.405801,0.9999995576800979
420.887918,0.9999990546004469
421.370034,0.9999992733302641
421.852151,0.9999996573200587
422.334268,0.9999999125080038
422.816384,0.9999995285201111
423.298501,0.9999994580401469
423.780618,0.9999994969201266
424.262734,0.999999389990186
424.744851,0.9999990740504286
425.226968,0.9999987241008139
425.709084,0.9999985928009901
426.191201,0.9999985053011171
426.673318,0.9999983644013376
427.155434,0.9999982915014595
427.637551,0.9999980606018807
428.119668,0.9999976499027615
428.601785,0.9999975697029532
429.083901,0.9999977884024456
429.566018,0.9999981554017012
430.048135,0.9999986220009495
430.530251,0.9999984446012097
431.012368,0.9999974482032559
431.494485,0.9999967920051456
431.976601,0.9999969864045409
432.458718,0.9999973995033813
432.940835,0.9999973995033813
433.422951,0.9999970350043956
433.905068,0.999996548905955
434.387185,0.9999960386078464
