nu,[0]Pentane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
570,0.9730605193646722
570.118602,0.9727666994568633
570.237205,0.9733544280194935
570.355807,0.9742688370752676
570.474409,0.9724418496321853
570.593012,0.974256171662711
570.711614,0.973115012279544
570.830217,0.9756259636374257
570.948819,0.9721880754284056
571.067421,0.9767192768578153
571.186024,0.9756757218303943
571.304626,0.9741509576778289
571.423228,0.9770103825749166
571.541831,0.9766684887759204
571.660433,0.977818704356293
571.779036,0.9737399527018382
571.897638,0.9785777861565202
572.01624,0.9771129740510451
572.134843,0.9764946572563824
572.253445,0.9759996999474336
572.372047,0.9777121279260392
572.49065,0.9753508759048732
572.609252,0.9764780569883117
572.727855,0.9775703699451919
572.846457,0.9789888751493515
572.965059,0.977459910734451
573.083662,0.9790574067691907
573.202264,0.9790995071428333
573.320866,0.977038716286848
573.439469,0.9786482462936581
573.558071,0.976549342488361
573.676674,0.9786873930064388
573.795276,0.9775156275372767
573.913878,0.9781316564113454
574.032481,0.980890937910761
574.151083,0.9787461160116918
574.269685,0.9768843563644297
574.388288,0.9778783531165275
574.50689,0.980046754286421
574.625493,0.9783321939553057
574.744095,0.9772898475059132
574.862697,0.9779360496413921
574.9813,0.9808556264726058
575.099902,0.9773602149081297
575.218504,0.9794432313899168
575.337107,0.9787696062003572
575.455709,0.9813569717805503
575.574311,0.9784535146690849
575.692914,0.9783899172575696
575.811516,0.981364822667728
575.930119,0.9792081932200919
576.048721,0.9798350870483797
576.167323,0.9800986981408981
576.285926,0.9807016442271722
576.404528,0.9807006635260184
576.52313,0.9788087577676313
576.641733,0.9791288805686468
576.760335,0.9798537040918951
576.878938,0.980890937910761
576.99754,0.9810282722552482
577.116142,0.9808252204194815
577.234745,0.9813707108743286
577.353347,0.9806271137344056
577.471949,0.9795068972690759
577.590552,0.982138442914336
577.709154,0.9804163015680726
577.827757,0.981840900046154
577.946359,0.9815483550493097
578.064961,0.9821904976312483
578.183564,0.9805800447626106
578.302166,0.9815581705819377
578.420768,0.9825382546167646
578.539371,0.9815611152608665
578.657973,0.979814510727604
578.776576,0.9831594150597068
578.895178,0.9818055544099776
579.01378,0.9814138921355878
579.132383,0.9813883757061074
579.250985,0.9799095573448309
579.369587,0.9829313485321531
579.48819,0.9813697295041084
579.606792,0.982632582816889
579.725395,0.9808389520686887
579.843997,0.9824675144091103
579.962599,0.981643569857593
580.081202,0.9828871176166722
580.199804,0.9828881005042813
580.318406,0.9833393496961799
580.437009,0.9826247217876706
580.555611,0.9821728183614049
580.674213,0.9837081711020074
580.792816,0.983275434715709
580.911418,0.9822386261447712
581.030021,0.9824930588965618
581.148623,0.9846332915213206
581.267225,0.9825834524160184
581.385828,0.9822445195942084
581.50443,0.9837750655320272
581.623032,0.9837288291905097
581.741635,0.9824812690505943
581.860237,0.9845968607635076
581.97884,0.9831387689287757
582.097442,0.9846382147000862
582.216044,0.9836757092679842
582.334647,0.9822622001546857
582.453249,0.9845427094253411
582.571851,0.9844875765773473
582.690454,0.983328533022825
582.809056,0.9841844010951825
582.927659,0.9840161199510431
583.046261,0.983055205684905
583.164863,0.9835094821197076
583.283466,0.9831132076530816
583.402068,0.9831967758273292
583.52067,0.9825785395110386
583.639273,0.9834357216745999
583.757875,0.9841607809529991
583.876478,0.9831849775368092
583.99508,0.9831289375902432
584.113682,0.98310534277888
584.232285,0.9833167331512281
584.350887,0.983503581080518
584.469489,0.9843123533840434
584.588092,0.9840495770678892
584.706694,0.9832361044849303
584.825297,0.983405235639764
584.943899,0.9827249546210806
585.062501,0.9829795133482596
585.181104,0.9829323314639932
585.299706,0.9830581548549457
585.418308,0.982810455411363
585.536911,0.9837337478469523
585.655513,0.9835635766288096
585.774115,0.9821492464966277
585.892718,0.9830896132192323
586.01132,0.9830296465818269
586.129923,0.9840928762018541
586.248525,0.9831092752081159
586.367127,0.9844816696696086
586.48573,0.9832351212493173
586.604332,0.983371800430154
586.722934,0.9828094726013991
586.841537,0.9830797823722544
586.960139,0.98340425223502
587.078742,0.9829618198762611
587.197344,0.983396385032471
587.315946,0.9835655437579299
587.434549,0.9840043118284525
587.553151,0.9833324663448237
587.671753,0.9827652471702116
587.790356,0.9830266974973109
587.908958,0.9831279544617972
588.027561,0.9832921505401833
588.146163,0.9840121838944353
588.264765,0.9845978453608606
588.383368,0.9823722196820815
588.50197,0.9832980503107858
588.620572,0.9842483751603882
588.739175,0.983584231680796
588.857777,0.9843192435946329
588.97638,0.9825755917798417
589.094982,0.9830611040338341
589.213584,0.9830394769274444
589.332187,0.9840672901196934
589.450789,0.984070242325992
589.569391,0.9835488232858105
589.687994,0.9838803350958604
589.806596,0.9836501340320228
589.925199,0.9845200652034338
590.043801,0.9834583409563191
590.162403,0.9832970670132272
590.281006,0.984116494714304
590.399608,0.9840426887449588
590.51821,0.9841519235458288
590.636813,0.9838183525872188
590.755415,0.9839846319390155
590.874017,0.9837435852336176
590.99262,0.9839305142725083
591.111222,0.9843359771640089
591.229825,0.9841784960064912
591.348427,0.9844718249021358
591.467029,0.983812449694812
591.585632,0.9834553905857218
591.704234,0.9840938602952224
591.822836,0.9835606259425057
591.941439,0.9851592261110307
592.060041,0.9839069002235356
592.178644,0.9854508764040735
592.297246,0.9845505857985218
592.415848,0.9845643696032095
592.534451,0.9847445613698906
592.653053,0.9836491503823805
592.771655,0.9842749502252793
592.890258,0.9844609957716223
593.00886,0.9847366834449114
593.127463,0.9849375902201285
593.246065,0.9850981481324488
593.364667,0.9839393696869861
593.48327,0.9846096606058963
593.601872,0.984853874082946
593.720474,0.9855533686247226
593.839077,0.9851592261110307
593.957679,0.9854489055042917
594.076282,0.9843871639656667
594.194884,0.9852035592736944
594.313486,0.9846076913885443
594.432089,0.9855188748604652
594.550691,0.9856213741533215
594.669293,0.9852961727610319
594.787896,0.985102088532922
594.906498,0.9855888491846394
595.025101,0.985387809566144
595.143703,0.9845889840201285
595.262305,0.9853001139536053
595.380908,0.986011757508289
595.49951,0.9853405120864335
595.618112,0.9853267174158271
595.736715,0.9857120554910211
595.855317,0.9857406415551263
595.973919,0.9860985303608992
596.092522,0.9861093775043923
596.211124,0.9856676994465425
596.329727,0.9856184172936343
596.448329,0.9850764762115818
596.566931,0.9863569220236835
596.685534,0.9855435131403139
596.804136,0.9864151187988709
596.922738,0.9855109907410028
597.041341,0.985889499630503
597.159943,0.986723915055148
597.278546,0.986437806607512
597.397148,0.9862790029046894
597.51575,0.9866183412445367
597.634353,0.9862849205964599
597.752955,0.9867594377554948
597.871557,0.9872401066350539
597.99016,0.9869617441759342
598.108762,0.9865177113059439
598.227365,0.986629194105981
598.345967,0.9863894723391875
598.464569,0.9872766351947736
598.583172,0.9871986434213088
598.701774,0.9866203144831924
598.820376,0.9871759381136221
598.938979,0.9873872163703457
599.057581,0.9873970902918788
599.176184,0.9866696467322126
599.294786,0.9870081324680269
599.413388,0.9871334904609144
599.531991,0.9875965646503497
599.650593,0.9877634825739429
599.769195,0.9875827383952286
599.887798,0.9874632481131906
600.0064,0.9873309369029926
600.125003,0.9878415189714633
600.243605,0.988019346448871
600.362207,0.9873812920648203
600.48081,0.9873546331298318
600.599412,0.987492872454997
600.718014,0.9880657844494386
600.836617,0.9874602857278899
600.955219,0.987477072695436
601.073821,0.9885480782223592
601.192424,0.9883662021090819
601.311026,0.9883760858205215
601.429629,0.9885154566740364
601.548231,0.9884106795889126
601.666833,0.9886914280863155
601.785436,0.9876607605133949
601.904038,0.9883543417858187
602.02264,0.9880479994253842
602.141243,0.9888001901252075
602.259845,0.988359283569882
602.378448,0.9884956865626047
602.49705,0.9882930657162058
602.615652,0.9883207383094603
602.734255,0.9888446871349383
602.852857,0.9894906135876719
602.971459,0.9890226951988678
603.090062,0.9888575421994288
603.208664,0.98882293279112
603.327267,0.9887814031000723
603.445869,0.9887774479823702
603.564471,0.9893530839509144
603.683074,0.9895470161601043
603.801676,0.9894698345029677
603.920278,0.9896162868756824
604.038881,0.9892383256492862
604.157483,0.9892571213560322
604.276086,0.9888397429238631
604.394688,0.9890573115989831
604.51329,0.9898142299267028
604.631893,0.9892680032442174
604.750495,0.989988452562312
604.869097,0.9891977677093781
604.9877,0.9893451691579019
605.106302,0.989836995915799
605.224904,0.989943904084295
605.343507,0.9896855624403801
605.462109,0.9901985504025382
605.580712,0.9898518435820949
605.699314,0.9901026048116432
605.817916,0.9896341001291649
605.936519,0.9902929208210707
606.055121,0.9903398618180104
606.173723,0.990046863604122
606.292326,0.9901958768700615
606.410928,0.9903161929781568
606.529531,0.990701104634239
606.648133,0.9900657736798075
606.766735,0.9902598455898747
606.885338,0.990380466584737
607.00394,0.9906545427765334
607.122542,0.9908347592280539
607.241145,0.9904471214330486
607.359747,0.9903846261914317
607.47835,0.990182014224824
607.596952,0.9905741048934822
607.715554,0.9912068875428626
607.834157,0.9908612148693065
607.952759,0.9910701104302195
608.071361,0.9907120024063276
608.189964,0.991156039933784
608.308566,0.9909046155409855
608.427169,0.9905802464719714
608.545771,0.9910148102609465
608.664373,0.9911069789240772
608.782976,0.9915614065100613
608.901578,0.9911942001759013
609.02018,0.9914938834774634
609.138783,0.9914043556220288
609.257385,0.9906253188985759
609.375988,0.9913201889651616
609.49459,0.9917968311317636
609.613192,0.9917814584000201
609.731795,0.9910151075654342
609.850397,0.9914234899107376
609.968999,0.9912660643604593
610.087602,0.9916292316298593
610.206204,0.9918169648117918
610.324806,0.9918863944293369
610.443409,0.9921509658097566
610.562011,0.9921002681907389
610.680614,0.9917319697399983
610.799216,0.9920059239413741
610.917818,0.991917837726414
611.036421,0.9922829306636776
611.155023,0.9917217549533163
611.273625,0.9921250710074776
611.392228,0.9920611802102105
611.51083,0.99190315745105
611.629433,0.9918570350265831
611.748035,0.992227165929978
611.866637,0.9920286411371433
611.98524,0.9924270206058865
612.103842,0.9923912938762297
612.222444,0.9924103479719909
612.341047,0.9920078087544202
612.459649,0.9920242762207251
612.578252,0.9922802515033816
612.696854,0.9926009090520798
612.815456,0.9925157475475639
612.934059,0.9924626493754589
613.052661,0.9927394858114162
613.171263,0.9926708898829633
613.289866,0.992313691911325
613.408468,0.992512372999759
613.527071,0.9924100502489311
613.645673,0.9927854507136885
613.764275,0.9926558014001098
613.882878,0.9931230551564342
614.00148,0.9929010176660178
614.120082,0.9928619974227763
614.238685,0.9925572355729051
614.357287,0.9929005212156331
614.47589,0.9932601155949986
614.594492,0.9931678460162481
614.713094,0.9932171083631066
614.831697,0.9931104425737238
614.950299,0.9927457400898778
615.068901,0.9927357134085377
615.187504,0.9935707565993349
615.306106,0.9936157663740726
615.424708,0.993422924269751
615.543311,0.9934885916953298
615.661913,0.9934165663833809
615.780516,0.9936543194137321
615.899118,0.9933675921538829
616.01772,0.9932373701987872
616.136323,0.9936309688115964
616.254925,0.9938226587133768
616.373527,0.9934824320851561
616.49213,0.9933990824056721
616.610732,0.9934682253879553
616.729335,0.9934467667060416
616.847937,0.9934706097145575
616.966539,0.994000767691906
617.085142,0.9938393550742922
617.203744,0.9938236525365325
617.322346,0.9935389628438265
617.440949,0.9935147207888874
617.559551,0.9939391415547392
617.678154,0.9938949122470494
617.796756,0.9936119906413342
617.915358,0.9939366567099913
618.033961,0.9942053541011165
618.152563,0.9940128945752458
618.271165,0.9941213472980324
618.389768,0.9937216914604748
618.50837,0.9937212939718777
618.626973,0.9941215461223217
618.745575,0.9944281804877346
618.864177,0.9941826864774549
618.98278,0.9940118011616631
619.101382,0.9936869118099212
619.219984,0.9937822109542847
619.338587,0.9941073302858556
619.457189,0.9945828260931847
619.575792,0.9946673692264348
619.694394,0.994219471917381
619.812996,0.9943227766871031
619.931599,0.9938997823440512
620.050201,0.9944302687891063
620.168803,0.9942323968545278
620.287406,0.9941913359044522
620.406008,0.99420853556334
620.52461,0.9946097796529909
620.643213,0.9949360651686164
620.761815,0.9945139038915183
620.880418,0.9942121147205105
620.99902,0.9942967257716223
621.117622,0.994747244223122
621.236225,0.9948219525464256
621.354827,0.9944735274466677
621.473429,0.9947147165200667
621.592032,0.9946422044603291
621.710634,0.9945601498632598
621.829237,0.9943883047172116
621.947839,0.9949094012393681
622.066441,0.9949970566187801
622.185044,0.9944597043607069
622.303646,0.994765149834668
622.422248,0.9948575678098361
622.540851,0.9948091194260115
622.659453,0.9944212195148346
622.778056,0.9951225336587808
622.896658,0.9951882139134268
623.01526,0.9950012356151938
623.133863,0.9947294384068129
623.252465,0.9952052317773871
623.371067,0.9950624300728944
