nu,[0]Isobutene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9998531707804651
600.241054,1.0
600.482108,0.9995255725762978
600.723162,0.9999821321596317
600.964216,0.9997421832404542
601.20527,1.0
601.446324,0.9999366270081529
601.687378,0.9995755501043544
601.928432,0.9999207551400398
602.169486,0.9996611674167298
602.41054,0.9998547205540809
602.651594,0.999584316420369
602.892648,0.9999488783067583
603.133702,0.9997731557330524
603.374756,0.9998504211880261
603.61581,0.9998439521767284
603.856864,0.9997107718345325
604.097918,1.0
604.338972,1.0
604.580026,1.0
604.82108,0.9997741854999331
605.062134,1.0
605.303188,0.9996863591955638
605.544242,0.9996070472261727
605.785296,0.9995955917950512
606.02635,0.9998919158415136
606.267404,0.9998958954192579
606.508458,0.9997614984460187
606.749512,0.9998530507980918
606.990566,0.9998269249792098
607.23162,0.9999833951378623
607.472674,0.9998247453588891
607.713728,0.9996982855249695
607.954782,0.9999777472475961
608.195836,0.9999389388643071
608.43689,1.0
608.677944,1.0
608.918998,0.9998733280235724
609.160052,0.9995637052042669
609.401106,0.9998595998570227
609.64216,0.9996650860961868
609.883214,1.0
610.124268,0.999867008844108
610.365322,0.9999556489835354
610.606376,0.9998396228617884
610.84743,0.9996939068560682
611.088484,0.9998518309781139
611.329538,0.9997073528295394
611.570592,0.9999144406604091
611.811646,0.9999010678941036
612.0527,0.9994486720371454
612.293754,0.9999410017404657
612.534808,0.9998903360135346
612.775862,0.9996471622618807
613.016916,1.0
613.25797,1.0
613.499024,0.9998425823914522
613.740078,0.9998463318081663
613.981132,1.0
614.222186,1.0
614.46324,1.0
614.704294,0.9999098790611358
614.945348,0.9999840981264362
615.186402,0.9999156405584578
615.427456,0.9999948958130264
615.66851,0.9999134387466415
615.909564,0.9999943647158783
616.150618,0.9999907251430118
616.391672,0.9998944355723164
616.632726,0.9999360240465486
616.87378,0.9998804271494032
617.114834,1.0
617.355888,0.9999742853306278
617.596942,0.9998289746265069
617.837996,0.9999860190977338
618.07905,0.9997709662322388
618.320104,0.9999060884099694
618.561158,0.9999715304052667
618.802212,1.0
619.043266,0.99987246813288
619.28432,1.0
619.525374,0.9999361000416893
619.766428,0.9998678387340697
620.007482,1.0
620.248536,0.9999813301742834
620.48959,0.999994391615727
620.730644,0.9998979452079446
620.971698,0.9997409735531443
621.212752,0.9997709762299486
621.453806,1.0
621.69486,0.9999962940068672
621.935914,1.0
622.176968,1.0
622.418022,0.999985507105023
622.659076,0.9996639464786382
622.90013,0.9999927083265844
623.141184,0.9998579000971477
623.382238,1.0
623.623292,0.9998304643727889
623.864346,1.0
624.1054,0.9997200691879432
624.346454,0.9999776632494689
624.587508,0.9998681386944662
624.828562,0.9997060532108254
625.069616,0.9999892000583198
625.31067,0.9999919183326569
625.551724,0.9998983751641535
625.792778,0.9999916959344789
626.033832,1.0
626.274886,1.0
626.51594,1.0
626.756994,0.9999908779416062
626.998048,0.9999978971022111
627.239102,0.9999971296041196
627.480156,0.9999136567277949
627.72121,0.9999253687850477
627.962264,0.9999914628364418
628.203318,0.9999472743900438
628.444372,1.0
628.685426,0.9998772275371557
628.92648,0.999999785590023
629.167534,0.9998861964761123
629.408588,1.0
629.649642,0.9998505511685893
629.890696,0.9999256067673138
630.13175,0.9999156555571925
630.372804,0.9999932406228447
630.613858,0.9999936287202967
