nu,[0]Methylmethacrylate-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
550,0.9000004640921633
550.119002,0.8859985189433096
550.238005,0.8804254697503924
550.357007,0.8880386608006527
550.47601,0.8856796168823051
550.595012,0.884077986688332
550.714014,0.883459348646226
550.833017,0.8985885719888541
550.952019,0.9031650162612176
551.071021,0.8865036820569173
551.190024,0.9143142026743992
551.309026,0.9145629299629044
551.428029,0.88206458502878
551.547031,0.8925256734247965
551.666033,0.9103337395028024
551.785036,0.9112591085900321
551.904038,0.8860339595928756
552.02304,0.8930881417579755
552.142043,0.9107361959519858
552.261045,0.8960760431691516
552.380048,0.8969546281277709
552.49905,0.8966228163043364
552.618052,0.8992807516442535
552.737055,0.8928827551057416
552.856057,0.8713774879321677
552.97506,0.9137767439515765
553.094062,0.897466038003772
553.213064,0.8998924705162165
553.332067,0.8878078007619501
553.451069,0.9010270496638251
553.570071,0.9024788716168504
553.689074,0.8869825233207335
553.808076,0.8975468135820388
553.927079,0.8920706013845838
554.046081,0.9066144517501705
554.165083,0.8791146126315373
554.284086,0.9079263645317507
554.403088,0.8981393900077129
554.52209,0.8996315395365875
554.641093,0.900468586034648
554.760095,0.9128752912453874
554.879098,0.9115708125035009
554.9981,0.907020706018716
555.117102,0.8999104685456064
555.236105,0.8985795861480635
555.355107,0.8985077026565497
555.474109,0.8897453329103256
555.593112,0.9025330219736418
555.712114,0.8829206027777473
555.831117,0.9144550179041054
555.950119,0.88206458502878
556.069121,0.8944824465340783
556.188124,0.8979956992008827
556.307126,0.8846616707541003
556.426129,0.8982471732013761
556.545131,0.919543433551054
556.664133,0.8950729998099347
556.783136,0.9054257535460094
556.902138,0.9091010726061992
557.02114,0.9139202181628078
557.140143,0.9192823202957627
557.259145,0.9069300084830665
557.378148,0.9193981571656895
557.49715,0.9144449589542328
557.616152,0.9078619040482432
557.735155,0.9038607211357418
557.854157,0.9147065276150294
557.973159,0.9183644158274084
558.092162,0.9172309358418202
558.211164,0.9137365386593654
558.330167,0.909460238460465
558.449169,0.9124244422203899
558.568171,0.9068266243551066
558.687174,0.9071803557117362
558.806176,0.9205103817419827
558.925179,0.9130396235872786
559.044181,0.9149571915429857
559.163183,0.9115361734707715
559.282186,0.9025330219736418
559.401188,0.9206291352406635
559.52019,0.935690986164859
559.639193,0.9147229924807098
559.758195,0.9231505023233331
559.877198,0.9230415769907799
559.9962,0.9295524920394299
560.115202,0.9094766088920907
560.234205,0.9031650162612176
560.353207,0.9182404449994908
560.472209,0.9195213647734751
560.591212,0.9153598612881122
560.710214,0.9195636637291232
560.829217,0.9150459466951206
560.948219,0.9112910032169855
561.067221,0.9245640036446597
561.186224,0.9009729896626615
561.305226,0.9227416372211106
561.424228,0.9204984151848029
561.543231,0.934770719080133
561.662233,0.9138123819395269
561.781236,0.9274550029657929
561.900238,0.9247554082031025
562.01924,0.9281360048350813
562.138243,0.9257241341550332
562.257245,0.9364801062335727
562.376248,0.9233933228349417
562.49525,0.9193310435498933
562.614252,0.9275060143937573
562.733255,0.9275792902632531
562.852257,0.9179934715392056
562.971259,0.9270776055851624
563.090262,0.9299318268352182
563.209264,0.9283550707809872
563.328267,0.9264066443160066
563.447269,0.9293034053506705
563.566271,0.935876271322745
563.685274,0.9259972630591415
563.804276,0.9241508158893738
563.923278,0.932834013666499
564.042281,0.9328246853730039
564.161283,0.9390993512432447
564.280286,0.9212590609792112
564.399288,0.9362638043128664
564.51829,0.9419368922642328
564.637293,0.9280506202503875
564.756295,0.9259528162572465
564.875298,0.9384844425727542
564.9943,0.9490915642902339
565.113302,0.9336048528745533
565.232305,0.9307495962680186
565.351307,0.9340203994863463
565.470309,0.936216992292961
565.589312,0.9404469857359241
565.708314,0.9433084079781981
565.827317,0.9345492046702054
565.946319,0.9419048669543292
566.065321,0.9319072373410556
566.184324,0.940201561101955
566.303326,0.92625102107248
566.422328,0.9342539337767878
566.541331,0.9342427227968485
566.660333,0.9472056972853234
566.779336,0.9413954342352825
566.898338,0.9287710670288989
567.01734,0.9378502414736978
567.136343,0.9410547107627587
567.255345,0.9497599599991782
567.374347,0.9385379377105778
567.49335,0.9453746263934927
567.612352,0.9417127379592943
567.731355,0.9406397971304926
567.850357,0.9413144777091188
567.969359,0.9451515443063855
568.088362,0.948188459067323
568.207364,0.9445997369479423
568.326367,0.9474017891594703
568.445369,0.9411318804129537
568.564371,0.9475581233518978
568.683374,0.9386909318631093
568.802376,0.9489207431830226
568.921378,0.9402636164527918
569.040381,0.9519117005648208
569.159383,0.9424560425046271
569.278386,0.9463952361353073
569.397388,0.9493706382319945
569.51639,0.9414754562480799
569.635393,0.9423985544394381
569.754395,0.9524496826412651
569.873397,0.9401489112887418
569.9924,0.9545426058375576
570.111402,0.9506930823679944
570.230405,0.9479694528294728
570.349407,0.9549235443294621
570.468409,0.9489084072935446
570.587412,0.945494696595341
570.706414,0.9566133424972493
570.825417,0.9552826630922265
570.944419,0.952103054047015
571.063421,0.9622576853465821
571.182424,0.9559554188692913
571.301426,0.9545359240627029
