nu,[0]Trifluoromethylsulfurpentafluoride-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
520,0.9940555386431318
520.119602,0.9787872242118304
520.239205,0.991323460327183
520.358807,0.9659453691922956
520.47841,0.956907067877935
520.598012,0.9982872684016555
520.717614,0.9704503857883066
520.837217,0.9886518812201346
520.956819,1.0012115333142557
521.076422,0.9723047449974911
521.196024,0.9904154276322663
521.315626,0.9743623713732013
521.435229,0.9847416071406379
521.554831,0.9781228532660519
521.674433,0.9645187564631372
521.794036,0.9987041403521776
521.913638,0.9971046994903371
522.033241,0.9918106172035294
522.152843,0.9606962470966132
522.272445,0.9735023891373125
522.392048,0.9927581494891875
522.51165,1.0017870949542473
522.631253,0.9752894307352344
522.750855,0.9904433577411382
522.870457,0.9895351416671575
522.99006,0.9880312027521662
523.109662,0.9786462889991228
523.229265,0.9664545565609468
523.348867,0.9862365938193663
523.468469,0.9673208879021076
523.588072,0.9933522944107567
523.707674,0.9716039659375568
523.827277,0.9842621547340973
523.946879,0.9642217304305036
524.066481,0.9755635255737922
524.186084,0.9728639809908046
524.305686,0.9577926164187808
524.425289,0.9778793309953695
524.544891,0.9694193451234139
524.664493,0.9873260002606496
524.784096,0.9679856656771159
524.903698,1.0046646457453363
525.0233,0.9746176877594872
525.142903,0.9718119114356422
525.262505,0.9651555489608116
525.382108,0.9867081275988071
525.50171,0.9523953945565796
525.621312,0.9829048097440181
525.740915,0.9947365010108978
525.860517,0.9713698375953643
525.98012,0.9709221393026181
526.099722,0.9725828639236711
526.219324,0.9664352276631052
526.338927,0.9532843941135055
526.458529,0.9818536640608205
526.578132,0.979251279328481
526.697734,0.9931031928939544
526.817336,0.9694726646536693
526.936939,0.9666720333013888
527.056541,1.0052941648242226
527.176144,0.9626763584945156
527.295746,0.9913761010005239
527.415348,0.9767856960268678
527.534951,0.9615872254223221
527.654553,0.9731743741058103
527.774155,0.9640076969649418
527.893758,0.9756210855198029
528.01336,0.9722269637291835
528.132963,0.9519583453809372
528.252565,0.9593147993870509
