nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
510,0.9879215373752016
510.119802,0.9910870578740081
510.239605,0.9804819916608712
510.359407,0.9776104511520187
510.47921,0.9731062542838446
510.599012,0.9932762065392075
510.718814,0.988950499177305
510.838617,0.9926202649585257
510.958419,0.9857583850463653
511.078222,0.9754435386394944
511.198024,0.9822710405542688
511.317826,0.9924855755274555
511.437629,0.9913796699609115
511.557431,0.990359668813316
511.677234,0.9903984916732567
511.797036,0.9761168269389062
511.916838,0.9818625007835623
512.036641,0.9685685684839944
512.156443,0.9909676390786611
512.276246,0.9888051341385181
512.396048,0.9897152534526162
512.51585,0.9753411224448816
512.635653,0.9858806266649347
512.755455,0.9875136100230623
512.875258,0.9856637567836302
512.99506,0.9833708170588452
513.114862,0.9892640461801185
513.234665,0.9910206572655758
513.354467,0.9917676727335589
513.474269,0.9867791731416031
513.594072,0.9859713318549627
513.713874,0.9969132737654925
513.833677,0.9872331959784948
513.953479,0.9880479994253842
514.073281,0.9745640852607427
514.193084,0.9765786394080872
514.312886,0.9880499755233592
514.432689,0.9807948153089301
514.552491,0.9951566669470678
514.672293,0.9707687457230202
514.792096,0.9863697447470173
514.911898,0.9977916420183838
515.031701,0.9888674308242938
515.151503,0.9839167393417333
515.271305,0.9757049925411078
515.391108,0.9908904457062978
515.51091,0.9933299442355729
515.630713,0.9768990097396753
515.750515,0.9877407642751052
515.870317,0.9823368549187426
515.99012,0.9901919160944755
516.109922,0.9882456287875467
516.229725,0.9925608087853849
516.349527,0.9804182624026366
516.469329,0.9835439055539884
516.589132,0.9834504733210621
516.708934,0.9793022017189768
516.828737,0.975118770018104
516.948539,0.9922182359256696
517.068341,0.9957568278018807
517.188144,0.9743165774179131
517.307946,0.9884798707581465
517.427749,0.9886083814943619
517.547551,0.9901720134369844
517.667353,0.9867140478653335
517.787156,0.9854094883364201
517.906958,0.9891344610780785
518.026761,0.975989939999234
518.146563,0.9680321301042056
518.266365,0.9900458735577534
518.386168,0.9931240482799859
518.50597,0.9826286522944188
518.625773,0.9905502323452197
518.745575,0.9891196241724394
518.865377,0.9942323968545278
518.98518,0.9826080173093887
519.104982,0.9823289962553379
519.224784,0.9871443489890313
519.344587,0.9747365983707936
519.464389,0.988603438464812
519.584192,0.982666975559157
519.703994,0.9805702390111919
519.823796,0.9747775381676549
519.943599,0.9792170061334888
520.063401,0.9881922649644285
520.183204,0.9793766315146037
520.303006,0.9844088207214974
520.422808,0.9839816799895477
520.542611,0.9878770819062753
520.662413,0.9822062128049315
520.782216,0.9837416177484146
520.902018,0.9843999610819794
521.02182,0.9826168608213403
521.141623,0.9825166390129356
521.261425,0.9839649524431724
521.381228,0.9825588881367627
521.50103,0.9795989752450163
521.620832,0.9853700727452037
521.740635,0.9763071882797869
521.860437,0.975830866603848
521.98024,0.9897033769408341
522.100042,0.988299983791879
522.219844,0.9874612731886694
522.339647,0.980049694431094
522.459449,0.986162628848551
522.579252,0.9843930703063695
522.699054,0.98576627114499
522.818856,0.9849966882484649
522.938659,0.9810645709728438
523.058461,0.9821011223626003
523.178264,0.9869903664815368
