nu,[0]Nonafluoropentanal-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
599.9981,0.8855290641447804
600.058365,0.8209361036704639
600.11863,0.7192113604468668
600.178895,0.7666614270798754
600.23916,0.8339515265126426
600.299425,0.8135808271299119
600.35969,0.7547037430883172
600.419955,0.698381335130006
600.48022,0.6226691254959231
600.540485,0.5266389866521446
600.60075,0.5012902521722411
600.661015,0.6570731022134938
600.72128,0.7823132837945103
600.781545,0.7365928365785976
600.84181,0.6423833725581638
600.902075,0.7089927345242835
600.96234,0.9011081457475638
601.022605,1.0
601.082869,1.0
601.143134,0.8436901269205346
601.203399,0.6919510934965054
601.263664,0.6663634743705297
601.323929,0.7737859453782671
601.384194,0.9003335258765078
601.444459,0.8205995888582095
601.504724,0.6501319088428561
601.564989,0.5214301260497937
601.625254,0.5826375407239784
601.685519,0.7268174015883335
601.745784,0.8334096341545049
601.806049,0.8451340712581242
601.866314,0.7113505021314442
601.926579,0.5764826702513717
601.986844,0.4677786804222623
602.047109,0.4326353731855038
602.107374,0.5800447634834683
602.167639,0.8153074480549307
602.227904,1.0
602.288169,0.9244595338149044
602.348434,0.6325601272833978
602.408699,0.567082774010568
602.468964,0.7565096422241426
602.529229,1.0
602.589494,1.0
602.649759,0.8822939516372545
602.710024,0.7012575890704081
602.770289,0.8307303710610799
602.830554,1.0
602.890819,0.9605502323644552
602.951084,0.7902862953457134
603.011349,0.5980027059749625
603.071614,0.4565395250003493
603.131878,0.3968527396417049
603.192143,0.4380027894581751
603.252408,0.7134948928318314
603.312673,0.8422486496178462
603.372938,0.5751007707854392
603.433203,0.4084401038641812
603.493468,0.6010843529316989
603.553733,1.0
603.613998,1.0
603.674263,0.7813203765536442
603.734528,0.7291834008096584
603.794793,1.0
603.855058,1.0
603.915323,0.7551944599870394
603.975588,0.5208933295176338
604.035853,0.5682464860946341
604.096118,0.6568497353332626
604.156383,0.683239378396919
604.216648,0.7986360051759476
604.276913,0.9354823503387034
604.337178,0.7923199432429632
604.397443,0.4874049411843949
604.457708,0.3664108625221595
604.517973,0.5719578380624858
604.578238,0.8598219036151733
604.638503,0.9169539739225508
604.698768,0.7514729989315946
604.759033,0.7600964088477326
604.819298,0.9246814307295848
604.879563,1.0
604.939828,1.0
605.000093,0.8624224906740174
605.060358,0.7547037430883172
605.120623,0.5984154702293766
605.180887,0.4765083654540062
605.241152,0.5751007707854392
605.301417,0.8893628246623413
605.361682,1.0
605.421947,1.0
605.482212,0.7826575773784137
605.542477,0.5723469016589993
605.602742,0.6160913690919047
605.663007,0.8642786937322293
605.723272,0.8933918433525185
605.783537,0.7620523689506268
605.843802,0.7207449132986079
605.904067,0.8071062168342192
605.964332,0.7744439430412283
606.024597,0.6624965027523967
606.084862,0.6613646017838342
606.145127,0.9197218422822503
606.205392,1.0
606.265657,0.8184688011515404
606.325922,0.5868418008449466
606.386187,0.5161024431341326
606.446452,0.5599375608228446
606.506717,0.5542164303633668
606.566982,0.5812408872807663
606.627247,0.788068708025168
606.687512,0.8912770117491229
606.747777,0.71704978904888
606.808042,0.5394150323578101
606.868307,0.6492418379655069
606.928572,0.9705348186446461
606.988837,1.0
607.049102,0.8086896963221879
607.109367,0.5731315542785903
607.169632,0.6226691254959231
607.229896,0.815503145325197
607.290161,1.0
607.350426,1.0
607.410691,0.8741703621089814
607.470956,0.6192662311346078
607.531221,0.4958261092085644
607.591486,0.6012887563583091
607.651751,0.75098470019657
607.712016,0.73153515565357
607.772281,0.6325601272833978
607.832546,0.6670501823430265
607.892811,0.7573119676022262
607.953076,0.6957603518463574
608.013341,0.502148191832807
608.073606,0.4568500774532169
608.133871,0.598206061463468
608.194136,0.8225467163184422
608.254401,1.0
608.314666,1.0
608.374931,0.9435593613900444
608.435196,0.8418697229904037
608.495461,0.7002975239681389
608.555726,0.6334273285550097
608.615991,0.7320108080750348
608.676256,0.9946364355522731
608.736521,1.0
608.796786,1.0
608.857051,0.7027036686544829
608.917316,0.6537044114200743
608.977581,0.8170704154620875
609.037846,0.842964865318572
609.098111,0.6323450933979535
609.158376,0.5259179852391697
609.218641,0.694092529189669
609.278906,0.9593339858749029
609.33917,0.7643496021827525
609.399435,0.5050842661316167
609.4597,0.5192914462293253
609.519965,0.9026503588932329
609.58023,0.9358669126068254
609.640495,0.5632058990655868
609.70076,0.3335708474686414
609.761025,0.47765335897372263
609.82129,0.8370093815609344
609.881555,1.0
609.94182,0.9632522111196696
610.002085,0.7940252636835055
610.06235,0.6919510934965054
610.122615,0.6503529912737462
610.18288,0.8633371431943258
610.243145,1.0
610.30341,1.0
610.363675,1.0
610.42394,1.0
610.484205,0.9839925038475587
610.54447,0.8008833283608096
610.604735,0.5468613402558956
610.665,0.3887806407286956
610.725265,0.5346355388644692
610.78553,0.8095473618827305
610.845795,0.9517070615486819
610.90606,0.8587048613752463
610.966325,0.7993471076142006
611.02659,0.8398852530397467
611.086855,0.8163680369708312
611.14712,0.6661369493006878
611.207385,0.607501885541642
611.26765,0.6865268109394582
611.327915,0.8723103608422582
611.388179,1.0
611.448444,0.8756927426260043
611.508709,0.683239378396919
611.568974,0.618628715293559
611.629239,0.8050346170029641
611.689504,1.0
611.749769,0.9959217387868173
611.810034,0.8968559685450535
611.870299,0.9957068420637775
611.930564,1.0
611.990829,0.8726680814179105
612.051094,0.5840317098147362
612.111359,0.5892586839389927
612.171624,0.9284590523717751
612.231889,1.0
612.292154,0.7440701209510824
612.352419,0.5776656718877673
612.412684,0.8273230760236835
612.472949,1.0
612.533214,0.8872575305268775
612.593479,0.49752473750078474
612.653744,0.5004337783348588
612.714009,0.7024647900188097
612.774274,0.9151649104006644
612.834539,0.9574622349601948
612.894804,0.9411384683591744
612.955069,0.9057780326779877
613.015334,0.7368949015606848
613.075599,0.6152479018232531
613.135864,0.7133522081222116
613.196129,0.7794786345753257
613.256394,0.5984154702293766
613.316659,0.4820921503046734
613.376924,0.7233876729813883
613.437188,1.0
613.497453,1.0
613.557718,0.6384384538073093
613.617983,0.4766751725714578
613.678248,0.6006697477834017
613.738513,0.8328680939119499
613.798778,0.8924096526287665
613.859043,0.9531423653201905
613.919308,1.0
613.979573,1.0
614.039838,0.7215309535682257
614.100103,0.4202186953539142
614.160368,0.40634610791013054
614.220633,0.5816362654974757
614.280898,0.8702280284582515
614.341163,0.9957068420637775
614.401428,1.0
614.461693,1.0
614.521958,0.9230674225167713
614.582223,0.7260473833244291
614.642488,0.7451945155379873
614.702753,0.915573164984708
614.763018,0.9597283531800272
614.823283,0.8342935167417189
614.883548,0.7746065933469514
614.943813,0.7840049067826306
615.004078,0.8078006267341548
615.064343,0.8489627234958623
615.124608,0.934873549514802
615.184873,0.9515119815974425
615.245138,0.789930746517294
615.305403,0.7423161859230306
615.365668,0.890306049077106
615.425933,1.0
615.486198,0.9878118841704184
615.546462,0.7809766712086815
615.606727,0.7444050278539119
615.666992,0.8218396302330052
615.727257,0.8308965337510072
615.787522,0.8106004578172245
615.847787,0.8908849361269155
615.908052,0.9736756879857188
615.968317,0.7519616151639722
616.028582,0.5526999558629935
616.088847,0.4959947187476927
616.149112,0.5796504671202567
616.209377,0.679736538003736
616.269642,0.641285835652586
616.329907,0.5943243885574474
616.390172,0.6499109015672154
616.450437,0.8335763327506397
616.510702,1.0
616.570967,1.0
616.631232,1.0
616.691497,0.7826575773784137
616.751762,0.5083780069223378
616.812027,0.45810356315663
616.872292,0.6629537830828672
616.932557,1.0
616.992822,1.0
617.053087,1.0
617.113352,0.8807777103817223
617.173617,0.5661082299873873
617.233882,0.4766751725714578
617.294147,0.605010176761125
617.354412,1.0
617.414677,1.0
617.474942,0.7060776935658393
617.535207,0.6116775588108095
617.595471,0.9151649104006644
617.655736,1.0
617.716001,1.0
617.776266,0.791963479478866
617.836531,0.8717435433433546
617.896796,1.0
617.957061,1.0
618.017326,0.7845146756289663
618.077591,0.5637862999967916
618.137856,0.5772729927569193
618.198121,0.6823039813418018
618.258386,0.788226337529198
618.318651,0.7897727761655523
618.378916,0.6503529912737462
618.439181,0.5418261963008947
618.499446,0.533172642571139
618.559711,0.733894495353143
618.619976,1.0
618.680241,1.0
618.740506,1.0
618.800771,0.8368085234133016
618.861036,0.6693420928479713
618.921301,0.6417220583197274
618.981566,0.8190009788112913
619.041831,1.0
619.102096,1.0
619.162361,0.8081642188182685
619.222626,0.6351652993679318
619.282891,0.6888787521599214
619.343156,0.8300162500580124
619.403421,0.8830795427904193
619.463686,0.9324749416970268
619.523951,0.9812460847079766
619.584216,0.8991638527451328
619.64448,0.7868796222617376
619.704745,0.7367401698787523
619.76501,0.7646936369057419
619.825275,0.7474484046344171
619.88554,0.6948008647591702
619.945805,0.7241838372317256
620.00607,0.8826822463945571
620.066335,0.9268699634582976
620.1266,0.8758766574123323
620.186865,0.9302731744491226
620.24713,1.0
620.307395,0.9914322144758368
620.36766,0.7981489857688111
620.427925,0.7060776935658393
620.48819,0.8151362514671101
620.548455,0.8657665322597807
620.60872,0.7384883148148513
620.668985,0.6203260823043388
620.72925,0.6955168783335615
620.789515,0.822176653566463
620.84978,0.8160089140474011
620.910045,0.7948753254175717
620.97031,0.9671999803479994
621.030575,1.0
621.09084,1.0
621.151105,0.8413226854769121
621.21137,0.6014932292939003
621.271635,0.6336427304629677
621.3319,0.8431419065289654
621.392165,1.0
621.45243,1.0
621.512695,0.8026151059966005
621.57296,0.6454742248575274
621.633225,0.6702597199462108
621.693489,0.8480632997877381
621.753754,0.8916514267156965
621.814019,0.8029442456590792
621.874284,0.6860532708300354
621.934549,0.6175717641411949
621.994814,0.607501885541642
622.055079,0.6714068445793546
622.115344,0.9451770637425926
622.175609,1.0
622.235874,1.0
622.296139,0.8834416796359438
622.356404,0.8535424513698
622.416669,0.960155527336393
622.476934,0.9181164909065054
622.537199,0.7751102513037299
622.597464,0.7147160128586403
622.657729,0.8355542515672422
622.717994,0.962856395806518
622.778259,1.0
622.838524,1.0
622.898789,0.9318680980590179
622.959054,0.7456790494295421
623.019319,0.654378073840426
623.079584,0.7969446902722263
623.139849,1.0
623.200114,1.0
623.260379,0.8266118840346915
623.320644,0.6516940993027796
623.380909,0.7459848405226988
623.441174,0.8947418840601962
623.501439,0.9130049287407885
623.561704,0.788068708025168
623.621969,0.6783445054217263
623.682234,0.6514725609726668
623.742499,0.7133522081222116
623.802763,1.0
623.863028,1.0
623.923293,1.0
623.983558,1.0
624.043823,1.0
624.104088,1.0
624.164353,0.8622155341120366
624.224618,0.6417220583197274
624.284883,0.5694182803897275
624.345148,0.7676587350448023
624.405413,0.9899389543771488
624.465678,1.0
624.525943,0.815503145325197
624.586208,0.6969511198645099
624.646473,0.6926641702943158
624.706738,0.7326406081451928
624.767003,0.8561240458184567
624.827268,1.0
624.887533,1.0
624.947798,1.0
625.008063,1.0
625.068328,0.9513159903170285
625.128593,0.8195335024989678
625.188858,0.7185715470952436
625.249123,0.6606837469444323
625.309388,0.6672770179648937
625.369653,0.672555932473731
625.429918,0.6783445054217263
625.490183,0.7808126833270579
625.550448,0.9745124347329749
625.610713,1.0
625.670978,1.0
625.731243,0.9322511745641495
625.791508,0.7326406081451928
625.851772,0.7087446304879391
625.912037,0.7877141568865459
625.972302,0.8078006267341548
626.032567,0.6874679972358488
626.092832,0.6291031784767404
626.153097,0.7362614443709763
626.213362,0.9589062183164591
626.273627,0.9124107559564039
626.333892,0.7712983617930759
626.394157,0.7843499448444219
626.454422,0.937888694121872
626.514687,0.8566807073436353
626.574952,0.6550524304905377
626.635217,0.5752963382920984
626.695482,0.7207449132986079
626.755747,0.8095473618827305
626.816012,0.6924287045078678
626.876277,0.6167262701199683
626.936542,0.75000905439349
626.996807,0.8462334599986104
627.057072,0.7445539237485759
627.117337,0.6691078641078951
627.177602,0.8081642188182685
627.237867,0.9274735522513444
627.298132,0.8241192818686379
627.358397,0.7094750135400416
627.418662,0.7884155345529397
627.478927,0.9159495428958793
627.539192,0.9492652639395321
627.599457,1.0
627.659722,1.0
627.719987,1.0
627.780252,0.9065537106167539
627.840517,0.6334273285550097
627.900781,0.7432818244938074
627.961046,0.9965633189532357
628.021311,0.9759831080935657
628.081576,0.8123532471370907
628.141841,0.8650222931107413
628.202106,0.9959217387868173
628.262371,0.871177094156111
628.322636,0.6177817742406967
628.382901,0.6184184172830468
628.443166,0.8404313559184308
628.503431,0.9884482399083785
628.563696,0.9185260621890565
628.623961,0.8218396302330052
628.684226,0.8280597213198766
628.744491,0.8216424123888372
628.804756,0.8142726648223372
628.865021,0.8928113273424817
628.925286,0.8870446142705238
628.985551,0.6795054668651344
629.045816,0.48143213627160036
629.106081,0.5584054318813906
629.166346,0.8598219036151733
629.226611,1.0
629.286876,0.870793860552258
629.347141,0.6860532708300354
629.407406,0.6914807266957649
629.467671,0.6884104738411254
629.527936,0.574118188814412
629.588201,0.5228608037285104
629.648466,0.6100038563192053
629.708731,0.7444050278539119
629.768996,0.8330346841892048
629.829261,0.8084956340834708
629.889526,0.7777967777838837
629.94979,0.8200663724395614
630.010055,0.9875985398454542
630.07032,1.0
630.130585,1.0
630.19085,1.0
630.251115,0.9294446702041407
630.31138,0.8876213806985818
630.371645,0.8398852530397467
630.43191,0.8039887519604305
630.492175,0.8991638527451328
630.55244,1.0
630.612705,1.0
630.67297,0.8537217141065162
630.733235,0.6931422734984555
630.7935,0.7343716818439311
630.853765,0.7851817965894928
630.91403,0.7323183171868194
630.974295,0.7367401698787523
631.03456,0.928267809505678
631.094825,1.0
631.15509,0.9850508645561533
631.215355,0.8887849266635072
631.27562,0.9719994892352246
631.335885,1.0
631.39615,0.9455977611341853
631.456415,0.8670661565326955
631.51668,0.9982801805872116
631.576945,1.0
631.63721,0.8259013034078866
631.697475,0.5751007707854392
631.75774,0.6514725609726668
631.818005,0.8659397028827177
631.87827,0.8821086893606306
631.938535,0.7031816696510879
631.9988,0.7226212883036663
632.059064,0.8905197481717501
632.119329,0.9130049287407885
632.179594,0.7276173406158853
632.239859,0.6962336297818741
632.300124,0.8513516636378429
632.360389,1.0
632.420654,0.9816661479193465
632.480919,0.9376955089496388
632.541184,0.9837799844196521
632.601449,0.975140222867025
632.661714,0.83127052133209
632.721979,0.7368949015606848
632.782244,0.6964703894628649
632.842509,0.6327752342927936
632.902774,0.6675106057966674
632.963039,0.9308473301065634
633.023304,1.0
633.083569,1.0
633.143834,0.6127244222495216
633.204099,0.528807927006551
633.264364,0.7296356346961786
633.324629,1.0
633.384894,1.0
633.445159,0.8029442456590792
633.505424,0.7769416717228781
633.565689,0.8798445806548449
633.625954,0.9506968851479294
633.686219,0.8972237548832042
633.746484,0.8142726648223372
633.806749,0.7115212467404893
633.867014,0.6709504431191238
633.927279,0.7995149881336371
633.987544,1.0
634.047809,1.0
634.108073,1.0
634.168338,1.0
634.228603,1.0
634.288868,0.9713737230824856
634.349133,0.9692855744841733
634.409398,0.9759831080935657
634.469663,0.9505020122616274
634.529928,0.8579666926525101
634.590193,0.8197056226064714
634.650458,0.9354823503387034
634.710723,1.0
634.770988,1.0
634.831253,0.8987952711299015
634.891518,0.8802053908939581
634.951783,0.9678259612182593
635.012048,0.9692855744841733
635.072313,0.8449650613454271
635.132578,0.8093773747860049
635.192843,0.8377295192438959
635.253108,0.8109328721452101
635.313373,0.8005310172104678
635.373638,0.9640771080178913
635.433903,1.0
635.494168,1.0
635.554433,1.0
635.614698,1.0
635.674963,1.0
635.735228,1.0
635.795493,1.0
635.855758,0.9852636585238186
635.916023,1.0
635.976288,1.0
636.036553,0.6767184306789213
636.096818,0.40412542147694896
636.157082,0.45311016192768
636.217347,0.8246633801273459
636.277612,1.0
636.337877,1.0
636.398142,0.9112554635608878
636.458407,0.880416665539716
636.518672,0.7933506289697465
636.578937,0.7019802564969856
636.639202,0.7000594632825996
636.699467,0.8151362514671101
636.759732,0.9340727060932889
636.819997,0.9703290870714107
636.880262,0.9861113497251196
636.940527,0.9086993387218361
637.000792,0.7653515562982699
637.061057,0.7434379300674626
637.121322,0.8713600605566835
637.181587,1.0
637.241852,0.9376955089496388
637.302117,0.8717435433433546
637.362382,1.0
637.422647,1.0
637.482912,1.0
637.543177,0.8043506283148858
637.603442,0.7022189703632522
637.663707,0.7384883148148513
637.723972,0.7302852994689988
637.784237,0.6771787557045539
637.844502,0.7529172130914741
637.904767,1.0
637.965032,1.0
638.025297,0.9028670209777775
638.085562,0.7875566298084015
638.145827,0.9690772004866666
638.206091,1.0
638.266356,0.9079209169899062
638.326621,0.5876463250853746
638.386886,0.5297129621462422
638.447151,0.812848933786902
638.507416,1.0
638.567681,1.0
638.627946,0.9061503839623658
638.688211,0.8264383137645605
638.748476,0.9059637362086482
638.808741,0.908107967964395
638.869006,0.7362614443709763
638.929271,0.6559504673350879
638.989536,0.7591089255194644
639.049801,0.9931385479969385
639.110066,1.0
639.170331,0.9527507042998968
639.230596,0.8526381757221116
639.290861,0.8876213806985818
639.351126,0.9655310675029785
639.411391,0.9208887892662982
639.471656,0.83127052133209
639.531921,0.8027836728677618
639.592186,0.8783413320657728
639.652451,0.9537630630151926
639.712716,0.9224989880802821
639.772981,0.812848933786902
639.833246,0.7342248221940167
639.893511,0.7704504000595598
639.953776,0.8438588818208461
640.014041,0.8717435433433546
640.074306,0.8685587936218436
640.134571,0.9294446702041407
640.194836,1.0
640.255101,1.0
640.315365,0.8544818646488861
640.37563,0.7855352079095412
640.435895,0.8738120257244952
640.49616,0.9878118841704184
640.556425,0.9535675616268515
640.61669,0.9391096813929241
640.676955,1.0
640.73722,1.0
640.797485,1.0
640.85775,0.8637170951206251
640.918015,0.7640362830806626
640.97828,0.8384418920508054
641.038545,0.8575892703467395
641.09881,0.7788085711181758
641.159075,0.8587048613752463
