nu,[0]Chloroform-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
580,0.9994368886067656
580.132403,0.9986734806056983
580.264805,0.9988452672175875
580.397208,0.9992215131782228
580.529611,0.9997991401750362
580.662013,0.9987460868069417
580.794416,0.9990058944506396
580.926819,0.999287384031451
581.059221,0.9992407683623049
581.191624,0.9989276753514218
581.324026,0.9992532489574429
581.456429,0.9997174299304444
581.588832,0.9997088024062519
581.721234,0.9990198806310648
581.853637,0.9994113833028174
581.98604,0.9985522490040598
582.118442,0.9990598322349183
582.250845,0.9987593702182307
582.383248,0.9994690609980217
582.51565,0.999772145962675
582.648053,0.9993915351898374
582.780456,0.9995776492152136
582.912858,0.9995400258205739
583.045261,0.9994560180118813
583.177664,1.0001157566992898
583.310066,0.9997859629092071
583.442469,0.9991679563404526
583.574871,0.9990253053237448
583.707274,0.9987115307901607
583.839677,0.9994974363274494
583.972079,0.9995526001131909
584.104482,0.9999692314733608
584.236885,0.9990942304571042
584.369287,0.9999023297700476
584.50169,1.0001805562983266
584.634093,0.9989669339804901
584.766495,0.9999215020811228
584.898898,0.9998473916458397
585.031301,0.9989116926364782
585.163703,0.9990354854434736
585.296106,0.9989076969976989
585.428509,0.9995787887343833
585.560911,0.9993236188489293
585.693314,0.9998592699034092
585.825717,0.999976845268075
585.958119,0.9990652771258414
586.090522,0.999651670680749
586.222924,0.9986770758366998
586.355327,0.9995669537915877
586.48773,0.9990730898468562
586.620132,0.9988003201918784
586.752535,0.9995385065208894
586.884938,0.9991123342085796
587.01734,0.9999996378600656
587.149743,0.999019630876126
587.282146,0.9999071973064364
587.414548,0.99963644610174
587.546951,0.9995382066593824
587.679354,0.9990262044469241
587.811756,0.9990947699681343
587.944159,0.9990198706408662
588.076562,0.9995252927091767
588.208964,0.9993877075275877
588.341367,0.9995792185533549
588.473769,0.9997094222259015
588.606172,0.9996716839075277
588.738575,0.9989273756731641
588.870977,0.9996706042626922
589.00338,1.0001111861807253
589.135783,0.999390375896329
589.268185,0.9994509507827154
589.400588,0.9993989307145612
589.532991,0.9990128975065053
589.665393,0.9999520581492473
589.797796,0.9991016037997326
589.930199,1.0000505842793415
590.062601,1.0001950990293407
590.195004,0.99880571372817
590.327407,0.9993264469387724
590.459809,0.9987382966178464
590.592212,0.9990671653609995
590.724614,0.9995138382149565
590.857017,0.9989959044416452
590.98942,0.9992255700258018
591.121822,0.9991460847932733
591.254225,0.9986008796827337
591.386628,0.9995508209111462
591.51903,0.9990541575911872
591.651433,0.9999774762536634
591.783836,0.9997703863652466
591.916238,0.9989431588503865
592.048641,0.9987964248782255
592.181044,1.00007720898046
592.313446,0.9990425486493241
592.445849,0.999904665544618
592.578252,0.9992012191953763
592.710654,0.999182424397209
592.843057,0.9990944003031378
592.97546,0.9994809147713779
593.107862,0.998958542693488
593.240265,0.9984802559822863
593.372667,0.9994342600912051
593.50507,0.9990267439212202
593.637473,0.999221902874689
593.769875,0.9992908016001485
593.902278,0.9994364388602669
594.034681,0.998698647494511
594.167083,0.9990919525248556
594.299486,0.9992231219261541
594.431889,0.9990704323159717
594.564291,0.9986413238373495
594.696694,0.9993462437917734
594.829097,0.999198821115328
594.961499,0.999811967680293
595.093902,0.9985089127768559
595.226305,0.9989455563168447
595.358707,0.9985821061626673
595.49111,0.9989799206350449
595.623512,0.999253119054529
595.755915,0.9992898123027446
595.888318,0.9992419474671073
596.02072,0.9988855214929746
596.153123,0.9990565653146083
596.285526,0.9992419474671073
596.417928,0.9987324040792793
596.550331,0.9996638465122486
596.682734,0.9997022743290864
596.815136,0.9994319913780096
596.947539,0.999804319147996
597.079942,0.9988204961621229
597.212344,0.9988928133838969
597.344747,0.9990696830134285
597.47715,0.9989939064518343
597.609552,0.9989639370841835
597.741955,0.9985499523365283
