nu,[0]HFC-43-10-mee-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
500,0.9801124196187222
500.241054,0.9913049227518017
500.482108,0.9907902717461159
500.723162,0.9960058977294101
500.964216,0.9971759950251357
501.20527,0.9724369874350927
501.446324,0.9839108358590077
501.687378,0.9849533493476447
501.928432,0.9946202231105054
502.169486,0.9665425079273203
502.41054,0.9783732847703528
502.651594,0.9974655172386074
502.892648,0.9928529624197091
503.133702,0.9972040160642895
503.374756,0.9985900948514713
503.61581,0.9695987042924733
503.856864,0.9738529130879273
504.097918,0.9807810842776332
504.338972,0.9766137968719365
504.580026,0.9856637567836302
504.82108,0.9950502903852998
505.062134,0.991961780659954
505.303188,0.9800095132173429
505.544242,0.9870387301943957
505.785296,0.9842916830416617
506.02635,0.9817731553612693
506.267404,0.9926097432394825
506.508458,0.9739074503780901
506.749512,0.9698973866881232
506.990566,0.9935771154725255
507.23162,0.9886578131492177
507.472674,0.9958742344528646
507.713728,0.9829834452741768
507.954782,0.9739405637943279
508.195836,0.987363519361518
508.43689,0.9903714541634976
508.677944,0.9874257252227018
508.918998,0.962507904871901
509.160052,0.9721472443866954
509.401106,0.9958198612040666
509.64216,0.9895272254176892
509.883214,0.9930872040612593
510.124268,0.9687458327512127
510.365322,0.966552173400727
510.606376,0.9854922662100624
510.84743,0.9849119821756888
511.088484,0.9790094341315982
511.329538,0.9713513817437811
511.570592,0.9711707271881713
511.811646,0.9782803437230693
512.0527,0.9710270045562845
512.293754,0.9828242148540547
512.534808,0.9712396827576953
512.775862,0.983454407130823
513.016916,0.9693224080358367
513.25797,0.9726130144597835
513.499024,0.9732970018023304
513.740078,0.9797723796094682
513.981132,0.959712997649221
514.222186,0.9485014128933564
514.46324,0.9544166145291963
514.704294,0.9458956713473378
514.945348,0.9591507705812183
515.186402,0.9570553999688961
515.427456,0.9578893583584247
515.66851,0.9627408599713101
515.909564,0.9532453102545715
516.150618,0.9492197003003991
516.391672,0.9488372418317358
516.632726,0.9226955012926573
516.87378,0.9559496831539852
517.114834,0.9556791876705688
517.355888,0.9417588830139989
517.596942,0.9255334546240632
517.837996,0.941659061863014
518.07905,0.9155136546630903
518.320104,0.9297830496454171
518.561158,0.9028760496931307
518.802212,0.9195802160240406
519.043266,0.9079790257880552
519.28432,0.9096994579591653
519.525374,0.9005136105895541
519.766428,0.917374035029258
520.007482,0.9016219238034753
520.248536,0.9040415113583886
520.48959,0.8878877070597481
520.730644,0.8960670824535235
520.971698,0.8712206540998083
521.212752,0.8756051777300594
521.453806,0.8918386931775971
521.69486,0.8726244491046565
521.935914,0.8537217141065162
522.176968,0.8621810461804352
522.418022,0.8627330186623443
522.659076,0.8620775906623488
522.90013,0.8402884947314696
523.141184,0.8403557205000429
523.382238,0.831245583590518
523.623292,0.8291949405857242
523.864346,0.8145169832677183
524.1054,0.8503646682760079
524.346454,0.8150465914108421
524.587508,0.8225631674172791
524.828562,0.80087531956757
525.069616,0.7924863479029219
525.31067,0.8054211263739536
525.551724,0.812540109872323
525.792778,0.7983245978623023
526.033832,0.8047448567008268
526.274886,0.7866986607599878
526.51594,0.8183705907881419
526.756994,0.8000348418100656
526.998048,0.7934855100412376
527.239102,0.795153580473262
527.480156,0.7793617215488357
527.72121,0.7894648248372601
527.962264,0.7729661668355523
528.203318,0.7871078504436804
528.444372,0.769249434432212
528.685426,0.7831743018798117
528.92648,0.7720932083814448
529.167534,0.7578574285612811
529.408588,0.7694186879249887
529.649642,0.7500840590490996
529.890696,0.7749242471648065
530.13175,0.7454181074297556
530.372804,0.7495816710483104
530.613858,0.7726338628342935
530.854912,0.762456363755337
531.095966,0.7347463069229466
531.33702,0.7446879555173479
531.578074,0.7560936763220283
531.819128,0.7564793824436533
532.060182,0.7503166211526684
532.301236,0.7468730908870665
532.54229,0.7721009293521334
532.783344,0.7334616253101042
533.024398,0.7449262937952041
533.265452,0.7354961305010231
533.506506,0.7411738987835605
533.74756,0.7300370446728862
533.988614,0.7529925085774948
534.229668,0.7159893402867389
534.470722,0.729008417792266
534.711776,0.7022119482086594
534.95283,0.6981927976232296
535.193884,0.7019311195988422
535.434938,0.7190028193922517
535.675992,0.7239086996530284
535.917046,0.6974461308677252
536.1581,0.7049629716722006
536.399154,0.6995066347026472
536.640208,0.7171358401865309
536.881262,0.7087942443485381
537.122316,0.7310598123057193
537.36337,0.6952109182232551
537.604424,0.7065155974720335
537.845478,0.6998354800935708
538.086532,0.6986258113781492
538.327586,0.7001084691602151
538.56864,0.7100002193522448
538.809694,0.7119055719722026
539.050748,0.7008509775974732
539.291802,0.7044978496180586
539.532856,0.716798865536889
539.77391,0.7079937592117048
540.014964,0.7079583604087217
540.256018,0.7213794479766203
540.497072,0.7352019908806686
540.738126,0.7332929485348555
540.97918,0.7503391309889489
541.220234,0.7361583749837898
541.461288,0.75388156417726
541.702342,0.755761068283581
541.943396,0.7617780794728729
542.18445,0.769087909011744
542.425504,0.7688649058551512
542.666558,0.7892990546305252
542.907612,0.7909741435932658
543.148666,0.8000108411248233
543.38972,0.796211838320764
543.630774,0.8060899034129217
543.871828,0.813906324555909
544.112882,0.828092844371186
544.353936,0.8281176875291627
544.59499,0.8330430145776986
544.836044,0.8407507805205104
545.077098,0.8489542339110754
545.318152,0.8544305972750438
545.559206,0.860251922062634
545.80026,0.8657319022910943
546.041314,0.875981768917786
546.282368,0.8810948474387048
546.523422,0.8836360581863203
546.764476,0.8887049396195784
547.00553,0.8958162187929879
547.246584,0.9007657897039477
547.487638,0.9016850395471668
547.728692,0.9086311888270849
547.969746,0.9134989980409326
548.2108,0.9152289741865988
548.451854,0.9174887139509199
548.692908,0.919221649664776
548.933962,0.9254677440815369
549.175016,0.9254788497610997
549.41607,0.9293015467457184
549.657124,0.9313100762125085
549.898178,0.9346968751102008
550.139232,0.9390862039443586
550.380286,0.9377405194143109
550.62134,0.9400201197103197
550.862394,0.9419048669543292
551.103448,0.9429113587231719
551.344502,0.9433640648161294
551.585556,0.9427388217321417
551.82661,0.9428529000311693
552.067664,0.94350463653412
552.308718,0.942983965693126
552.549772,0.9453453202343223
552.790826,0.9447404927947977
553.03188,0.9427935021695196
553.272934,0.9427218525860733
553.513988,0.9411243513880265
553.755042,0.9421045719541056
553.996096,0.9371761695079889
554.23715,0.9390411288883792
554.478204,0.9361533317019697
554.719258,0.9381832374127029
554.960312,0.935837901182214
555.201366,0.934693136330178
555.44242,0.9358743995720741
555.683474,0.9365943637761015
555.924528,0.9350072459914529
556.165582,0.9354187397016666
556.406636,0.9326885029105011
556.64769,0.9342427227968485
556.888744,0.9329720833174238
557.129798,0.931035380259671
557.370852,0.9306053412606489
557.611906,0.9285138330718797
557.85296,0.9297718923157655
558.094014,0.9285936886952665
558.335068,0.9273873012217201
558.576122,0.927161046324442
558.817176,0.9295720128467305
559.05823,0.9252650888371422
559.299284,0.9239355138329352
559.540338,0.9248913572401178
559.781392,0.9238458964346075
560.022446,0.9236075749381224
560.2635,0.9197512738521059
560.504554,0.9192060230295586
560.745608,0.9218497773416668
560.986662,0.918777772812877
561.227716,0.9161785589074118
561.46877,0.9146607934320127
561.709824,0.9135035655473416
561.950878,0.9119282183089634
562.191932,0.9087847604744353
562.432986,0.9056258747501216
562.67404,0.9049785836838075
562.915094,0.9057209704594077
563.156148,0.9001984859758722
563.397202,0.8984268406021576
563.638256,0.8918030203433315
563.87931,0.8893895059472984
564.120364,0.8876480097394364
564.361418,0.885024456405086
564.602472,0.8822410155882536
564.843526,0.8792113205577652
