nu,[0]trans-1-2-Dichloroethene-PNNL(x-sec)-X=0.01-T=278.23K-P=1.0atm-L=15cm
540,0.9952455384054778
540.119202,0.995797555089005
540.238405,0.9962523400721691
540.357607,0.9949282052047485
540.47681,0.9975244691926893
540.596012,0.9962903976384547
540.715214,0.9962795381323049
540.834417,0.9941604170346965
540.953619,0.9954688965641441
541.072821,0.9960271128809722
541.192024,0.9958174712392677
541.311226,0.9966131483649083
541.430429,0.9963951132619562
541.549631,0.9996081268023667
541.668833,0.994903431800869
541.788036,0.9962873091430092
541.907238,0.9969256355667303
542.026441,0.9975120002147557
542.145643,0.9944160485379377
542.264845,0.99599743171526
542.384048,0.9992292571749579
542.50325,0.9938781155649647
542.622452,0.9969137722222541
542.741655,0.9967627512258918
542.860857,0.9957704697638687
542.98006,0.9962067127598673
543.099262,0.9969615255356262
543.218464,0.9961453483164054
543.337667,0.9958622840337538
543.456869,0.9948584631820501
543.576072,0.9957214790619375
543.695274,0.9960503205830711
543.814476,0.9959724324934655
543.933679,0.9938999811240274
544.052881,0.9954109619602775
544.172083,0.9964593828194325
544.291286,0.9952557894873163
544.410488,0.9956884216575886
544.529691,0.9957717642663209
544.648893,0.995733129071395
544.768095,0.9975515024721038
544.887298,0.9957126171802093
545.0065,0.9954629237686832
545.125703,0.9947427678705948
545.244905,0.9940515624289297
545.364107,0.9955849750047251
545.48331,0.995572928499409
545.602512,0.9941803998599056
545.721714,0.995860989413626
545.840917,0.9938820910853781
545.960119,0.9949880021867625
546.079322,0.9935502892525634
546.198524,0.9950197428102926
546.317726,0.9954733761842578
546.436929,0.9955339028055205
546.556131,0.9954606342065915
546.675334,0.9938486972081378
546.794536,0.9963789717918676
546.913738,0.9940221389381515
547.032941,0.9960974348774789
547.152143,0.9939233380480267
547.271345,0.9951701016527557
547.390548,0.9950641216804634
547.50975,0.9951885124699358
547.628953,0.9944819805075764
547.748155,0.996205118830402
547.867357,0.9952805716650114
547.98656,0.9928008390074335
548.105762,0.9953422809734235
548.224964,0.9969481663406908
548.344167,0.9959579909978954
548.463369,0.9938433304396632
548.582572,0.9954811409068745
548.701774,0.9935816859377687
548.820976,0.9945698966004873
548.940179,0.9921914463949599
549.059381,0.9937583604674287
549.178584,0.993397294288933
549.297786,0.9948982583164747
549.416988,0.9960904622198391
549.536191,0.9947937994835362
549.655393,0.9944464781345934
549.774595,0.9935177013375206
549.893798,0.9942269285913828
550.013,0.9951796553315891
550.132203,0.99361238808621
550.251405,0.9949834252524795
550.370607,0.9943137283910051
550.48981,0.9940799927101662
550.609012,0.9940003700916785
550.728215,0.9944527431671405
550.847417,0.9935610196536313
550.966619,0.9940063341117912
551.085822,0.9946256935367761
551.205024,0.9949394479569887
551.324226,0.9942011784473982
551.443429,0.993491373467281
551.562631,0.9950784507069843
551.681834,0.9945331976484026
551.801036,0.9948272251167464
551.920238,0.993997785694076
552.039441,0.9937813165506972
552.158643,0.9943208874756221
552.277846,0.9943411718286264
552.397048,0.9930789614716723
552.51625,0.9957994471061572
552.635453,0.9935109454401215
552.754655,0.9940283018945181
552.873857,0.9952393679022683
552.99306,0.994875077457114
553.112262,0.9933593472370845
553.231465,0.9945841190516991
553.350667,0.995131788341378
553.469869,0.9944780025876103
553.589072,0.9949396469448982
553.708274,0.9955235493067696
553.827477,0.9944902347422697
553.946679,0.9948804497970376
554.065881,0.9933312355653398
554.185084,0.9938997823440512
554.304286,0.9938212673626285
554.423488,0.993674590168609
554.542691,0.994275547476913
554.661893,0.9937090712751316
554.781096,0.9948435404170234
554.900298,0.9941641948514591
555.0195,0.9938829855796626
555.138703,0.9930435091855748
555.257905,0.9944796932016516
555.377108,0.9932890198849178
555.49631,0.9933544797882083
555.615512,0.9934376270378305
555.734715,0.9946554332896199
555.853917,0.9936684294052484
555.973119,0.9940539481555424
556.092322,0.9947606734015657
556.211524,0.9935327035680773
556.330727,0.9943745822532918
556.449929,0.9939676680174546
556.569131,0.9942928480219535
556.688334,0.9939426203478225
556.807536,0.9925183280918622
556.926739,0.9944947099583953
557.045941,0.9940401309016931
557.165143,0.9936503448044036
557.284346,0.9934125927250628
557.403548,0.9940849631225558
557.52275,0.9933930226897515
557.641953,0.992914719794606
557.761155,0.9931592054935741
557.880358,0.9934238183507852
557.99956,0.9930875019874651
558.118762,0.992593960870035
558.237965,0.9926694008777452
558.357167,0.9932780937657928
558.47637,0.993554064750836
558.595572,0.9933056079500598
558.714774,0.9946301693624676
558.833977,0.9921958120469285
558.953179,0.9931799627378813
559.072381,0.9950011361150752
559.191584,0.9935189929113719
559.310786,0.9944475720263211
559.429989,0.9932291263628266
559.549191,0.992877883341822
559.668393,0.993990827733929
559.787596,0.9932901125034406
559.906798,0.9927777070173734
560.026001,0.993541247986069
560.145203,0.9934747822998807
560.264405,0.9933167330351692
560.383608,0.9937583604674287
560.50281,0.9932631947061296
560.622012,0.9920552278609862
560.741215,0.9931013059996804
560.860417,0.9938292179645698
560.97962,0.9935099519296728
561.098822,0.9952500170204774
561.218024,0.993620038931054
561.337227,0.9939866529812196
561.456429,0.993322394956684
561.575632,0.9935704585281526
561.694834,0.9935444273231495
561.814036,0.9939956983009178
561.933239,0.993611791918956
562.052441,0.9937615404992702
562.171643,0.9941556450761474
562.290846,0.9942618265690324
562.410048,0.993513826626041
562.529251,0.9938725498631016
562.648453,0.9949174600381563
562.767655,0.9939804902830754
562.886858,0.9937050964467962
563.00606,0.9939176727011461
563.125263,0.994683781373427
563.244465,0.9948271256340288
563.363667,0.9943954643387802
563.48287,0.9935341938682505
563.602072,0.9943759743786814
563.721274,0.993453919548512
563.840477,0.9942867828540793
563.959679,0.9935244572808599
564.078882,0.994972480494998
564.198084,0.9942799222989466
564.317286,0.9928765926014127
564.436489,0.99539135255748
564.555691,0.9939889391531505
564.674893,0.9949963601210843
564.794096,0.9946417071393512
564.913298,0.9949579540028264
565.032501,0.9940485802787156
565.151703,0.9939198593224313
565.270905,0.9945586580241539
565.390108,0.9955503292504345
565.50931,0.9946442932111517
565.628513,0.9950421310063721
565.747715,0.9954551591881596
565.866917,0.9944767097670473
565.98612,0.9956648241216273
566.105322,0.9948992532152305
566.224524,0.9955502296954065
566.343727,0.9951629364538186
566.462929,0.9952214537548738
566.582132,0.9960417545871478
566.701334,0.9957200850528426
566.820536,0.9943194954273541
566.939739,0.9953871719225786
567.058941,0.9954390329452038
567.178144,0.9958094051504184
567.297346,0.995837487371601
567.416548,0.9963300507853732
567.535751,0.995733129071395
567.654953,0.9959239298170528
567.774155,0.9960601815300564
567.893358,0.9958587985218593
568.01256,0.9960629705024693
568.131763,0.9948463259828363
568.250965,0.9952151838794653
568.370167,0.99558477588775
568.48937,0.9962010343977878
568.608572,0.9955403737969194
568.727775,0.9955133950183536
568.846977,0.9954184275704882
568.966179,0.9952227475436046
569.085382,0.9969109808675998
569.204584,0.9960837884360995
569.323786,0.9955715346982847
569.442989,0.9959191493936627
569.562191,0.9958558109499451
569.681394,0.9964774188974875
569.800596,0.9963932201130394
569.919798,0.9956845384803164
570.039001,0.996524752699054
570.158203,0.996747201848258
570.277406,0.9956842397749996
570.396608,0.9964635679576291
570.51581,0.9954979646803163
570.635013,0.996458386360548
570.754215,0.9961458463892041
570.873417,0.9958382840419097
570.99262,0.9962183684465922
571.111822,0.9965278419305758
571.231025,0.9960644645980457
571.350227,0.9963406119398855
571.469429,0.9969438794727924
571.588632,0.9962349058087681
571.707834,0.9967506904695697
571.827037,0.9966826147222237
571.946239,0.9964508133055893
572.065441,0.9964325784225554
572.184644,0.997004894305251
572.303846,0.9965603292677634
572.423048,0.9963587455040377
572.542251,0.9972999517050654
572.661453,0.9968694105464447
572.780656,0.9973083290598445
572.899858,0.99629986244219
573.01906,0.9964297884152419
573.138263,0.9967575680730616
573.257465,0.9963880388817661
573.376668,0.9968158800964039
573.49587,0.9969329131504331
573.615072,0.9963820605714677
573.734275,0.9971314222543668
573.853477,0.9970518543416729
573.972679,0.9965893295952978
574.091882,0.9964084650459306
574.211084,0.9970929337243012
574.330287,0.9965267457505526
574.449489,0.996948963899543
574.568691,0.9969436800840364
574.687894,0.9966275993603291
574.807096,0.996812291565695
574.926299,0.9966154405777856
575.045501,0.9963614356762823
575.164703,0.9971060954378935
575.283906,0.9965938142573715
575.403108,0.9966813190356668
575.52231,0.9973270786326762
575.641513,0.9976577473645571
575.760715,0.9967033459362139
575.879918,0.9974455681277544
575.99912,0.9973786417755373
576.118322,0.9973351570147305
576.237525,0.9969518550557305
576.356727,0.9978944198504791
576.47593,0.9969732897510363
576.595132,0.9972886822792835
576.714334,0.9973205960277336
576.833537,0.9979645742940945
576.952739,0.9979040994732978
577.071941,0.9971151691446473
577.191144,0.9978896299687596
577.310346,0.9971171633769799
577.429549,0.9978009215238042
577.548751,0.9974724995216661
577.667953,0.9979789450874337
577.787156,0.9972948654882815
577.906358,0.9978141923643113
578.025561,0.9979006068150618
578.144763,0.9973361543503863
578.263965,0.9974515528191172
578.383168,0.9972618555745509
578.50237,0.9979006068150618
578.621572,0.9976318086003311
578.740775,0.997776775033677
578.859977,0.9971682170827084
578.97918,0.9974088628062294
579.098382,0.997365177254759
579.217584,0.9970793733526133
579.336787,0.9977090282906802
579.455989,0.9980714620237371
579.575192,0.997688176389892
579.694394,0.9978470209912681
579.813596,0.9981180730493726
579.932799,0.9970538484473757
580.052001,0.9975843224564208
580.171203,0.9972426086064722
580.290406,0.997491451679202
580.409608,0.997949505142795
580.528811,0.9977015455010285
580.648013,0.9979511018632806
580.767215,0.9980578883441548
580.886418,0.9980740570129119
581.00562,0.9971943432322471
581.124822,0.998212499485383
581.244025,0.9979700631143473
581.363227,0.9981863466605
581.48243,0.9972878844486567
581.601632,0.9978715683299154
581.720834,0.9978156890867224
581.840037,0.9982548245926471
581.959239,0.9977192049746697
582.078442,0.9980758535478313
582.197644,0.9976296138127664
582.316846,0.9976799953803878
582.436049,0.9978760587620764
582.555251,0.9987108316923339
582.674453,0.9982621118794652
582.793656,0.9977173093099811
582.912858,0.9981640873531616
583.032061,0.9980845368455294
583.151263,0.9980421191540959
583.270465,0.9982635094474002
583.389668,0.997896315851678
583.50887,0.9980992087960597
583.628073,0.9983992825170445
583.747275,0.9977397582019897
583.866477,0.998143126127421
583.98568,0.9977803670365327
584.104882,0.998023954952822
584.224084,0.9977336720080275
584.343287,0.9985328772783355
584.462489,0.9976750069928819
584.581692,0.9978349471153611
584.700894,0.9981146794536933
584.820096,0.998254025989107
584.939299,0.9974584352585761
585.058501,0.9983416765403916
585.177704,0.9978912265934449
585.296906,0.9970945290742714
585.416108,0.9978555027269939
585.535311,0.9977780721443277
585.654513,0.9985619350078522
585.773715,0.998107093810955
585.892918,0.9978589952273652
586.01212,0.9980061902845299
586.131323,0.9979111846175562
586.250525,0.9981182726730071
586.369727,0.9978482184084116
586.48893,0.9987497821742993
586.608132,0.9978719674786226
586.727335,0.9980304421296124
586.846537,0.9983280991859169
586.965739,0.9984995268371899
587.084942,0.9980280468594257
587.204144,0.9982655059764156
587.323346,0.9981661834999461
587.442549,0.997882445189289
587.561751,0.9985801090004521
587.680954,0.9979956114749806
587.800156,0.9979850327775662
587.919358,0.9987457871831606
588.038561,0.9980503031330272
588.157763,0.9983394801911193
588.276966,0.9988208956904012
588.396168,0.9982788828238204
588.51537,0.9982177900256503
588.634573,0.9983606452124477
588.753775,0.998401678678198
588.872977,0.9983203122571124
588.99218,0.9980802450912484
589.111382,0.9983431740540296
589.230585,0.9981991235275091
589.349787,0.9985082138208616
589.468989,0.9985155029574279
589.588192,0.9980585869849211
589.707394,0.9978623879537166
589.826597,0.9980296437055781
589.945799,0.9985418641146717
590.065001,0.9987096332400549
590.184204,0.9983526583592335
590.303406,0.9991131035253731
590.422608,0.998679472664558
590.541811,0.9981669820332123
590.661013,0.9987979230739865
590.780216,0.9982903630969843
590.899418,0.9987748511084457
591.01862,0.9981970273115507
591.137823,0.9980193640531883
591.257025,0.9985443604724524
591.376228,0.9982811788678913
591.49543,0.9982393517627807
591.614632,0.9980646751608707
591.733835,0.9982671032025029
591.853037,0.9980875311036314
591.972239,0.9977046383806135
592.091442,0.9983346881731152
592.210644,0.998374822034265
592.329847,0.9980700647246683
592.449049,0.9983756207344421
592.568251,0.9988712375321478
592.687454,0.9987790459716296
592.806656,0.9979758513574992
592.925859,0.9984388199114674
593.045061,0.9986529081438948
593.164263,0.9985951876739417
593.283466,0.9984165549740384
593.402668,0.9982912615587154
593.52187,0.998721717699728
593.641073,0.9982482361325468
593.760275,0.9983486649565869
593.879478,0.9987400943483983
593.99868,0.9982876677166427
594.117882,0.9989012041187704
594.237085,0.9985967854275203
594.356287,0.9978648826128048
594.47549,0.9982318649957179
594.594692,0.9983631411171806
594.713894,0.9987503814243484
594.833097,0.9981629893732695
594.952299,0.9986118643528258
595.071501,0.9985959865504115
595.190704,0.9986221501080002
595.309906,0.9988352788148575
595.429109,0.9986697855206559
595.548311,0.9986856644964832
595.667513,0.9982901634389316
595.786716,0.9989350674435701
595.905918,0.9985594386061352
596.025121,0.998725512849466
596.144323,0.9980211604896604
596.263525,0.9979690651447831
596.382728,0.9983892985741392
596.50193,0.9984408167911041
596.621132,0.9985216937727377
596.740335,0.9984100652875225
596.859537,0.9984053727712431
596.97874,0.997994314081529
597.097942,0.9984738657290968
597.217144,0.9986438204437799
597.336347,0.9988624475039337
597.455549,0.9984516998553197
597.574751,0.9987037408706013
597.693954,0.9975649695082894
597.813156,0.9982649070172916
597.932359,0.9981709747091257
598.051561,0.9981213668444484
598.170763,0.9980846366539882
598.289966,0.9981598950727986
598.409168,0.9987256127220222
598.528371,0.9988189979325023
598.647573,0.9982646075378645
598.766775,0.9985465572724619
598.885978,0.9983615437374328
599.00518,0.9984550945968703
599.124382,0.9986075703310412
599.243585,0.9985146042938796
599.362787,0.9984769610028782
599.48199,0.9985884971085978
599.601192,0.998732304206044
599.720394,0.9986324359691184
599.839597,0.9984836508209278
599.958799,0.9986108657414607
600.078002,0.9982973511539841
600.197204,0.9984711698532988
600.316406,0.9985668279733215
600.435609,0.9986112651858869
600.554811,0.9986816697618147
600.674013,0.9987205192343858
600.793216,0.9985987826230883
600.912418,0.9986356315980265
601.031621,0.9981828530144006
601.150823,0.9987136280865776
601.270025,0.9985911933011798
601.389228,0.9983601460322499
601.50843,0.9988395738157906
601.627633,0.9988763317884496
601.746835,0.9986361309159671
601.866037,0.998335187340584
601.98524,0.9988578527472431
602.104442,0.9984885434028037
602.223644,0.9985119083080876
602.342847,0.9985783115578737
602.462049,0.9984920381188213
602.581252,0.9984850486990174
602.700454,0.9983152208365029
602.819656,0.9986755778222096
602.938859,0.9980357317049732
603.058061,0.9984582896582851
603.177264,0.9981213668444484
603.296466,0.9985329771316283
603.415668,0.9985464574178112
603.534871,0.9983293970132895
603.654073,0.9982320646421109
603.773275,0.9989457561059759
603.892478,0.998536372149522
604.01168,0.9986058726996146
604.130883,0.9988204961621229
604.250085,0.9990019683651891
604.369287,0.9987333029388475
604.48849,0.9985113092011223
604.607692,0.9986965502295534
604.726895,0.998645817733418
604.846097,0.9987680594625498
604.965299,0.9985191974716237
605.084502,0.9991398301583595
605.203704,0.9988921141591722
605.322906,0.9985898951334723
605.442109,0.9984527981527936
605.561311,0.9986684872507786
605.680514,0.9987434900704918
