nu,[0]Glyoxal-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
669.50339,0.9985352737601167
669.621392,0.9993613240403725
669.739395,0.9996713140290732
669.857397,0.9995326092610978
669.9754,0.9995371471494449
670.093402,0.9992823876070219
670.211404,0.9999974875031563
670.329407,0.9999886100648658
670.447409,1.0
670.565411,1.0
670.683414,1.0
670.801416,1.0
670.919418,1.0
671.037421,1.0
671.155423,1.0
671.273425,1.0
671.391428,1.0
671.50943,1.0
671.627433,1.0
671.745435,0.9999354400840811
671.863437,1.0
671.98144,1.0
672.099442,0.9999178093778343
672.217444,1.0
672.335447,0.9999911264393703
672.453449,1.0
672.571451,1.0
672.689454,1.0
672.807456,1.0
672.925459,1.0
673.043461,1.0
673.161463,1.0
673.279466,1.0
673.397468,1.0
673.51547,1.0
673.633473,1.0
673.751475,1.0
673.869477,1.0
673.98748,1.0
674.105482,1.0
674.223484,1.0
674.341487,1.0
674.459489,1.0
674.577492,1.0
674.695494,1.0
674.813496,1.0
674.931499,1.0
675.049501,1.0
675.167503,1.0
675.285506,1.0
675.403508,1.0
675.52151,1.0
675.639513,1.0
675.757515,1.0
675.875518,1.0
675.99352,1.0
676.111522,1.0
676.229525,1.0
676.347527,1.0
676.465529,1.0
676.583532,1.0
676.701534,1.0
676.819536,1.0
676.937539,1.0
677.055541,1.0
677.173543,1.0
677.291546,0.9999716434020559
677.409548,1.0
677.527551,1.0
677.645553,1.0
677.763555,1.0
677.881558,1.0
677.99956,1.0
678.117562,1.0
678.235565,1.0
678.353567,1.0
678.471569,1.0
678.589572,1.0
678.707574,1.0
678.825577,1.0
678.943579,1.0
679.061581,1.0
679.179584,1.0
679.297586,1.0
679.415588,1.0
679.533591,0.9999089871419214
679.651593,0.9998215559230386
679.769595,0.9997829835514769
679.887598,0.9997882424238012
680.0056,1.0
680.123602,1.0
680.241605,1.0
680.359607,1.0
680.47761,1.0
680.595612,1.0
680.713614,1.0
680.831617,1.0
680.949619,1.0
681.067621,1.0
681.185624,1.0
681.303626,1.0
681.421628,1.0
681.539631,1.0
681.657633,1.0
681.775636,1.0
681.893638,1.0
682.01164,1.0
682.129643,1.0
682.247645,1.0
682.365647,1.0
682.48365,0.9998731080514645
682.601652,0.9997626581700295
682.719654,0.9999997286700368
682.837657,1.0
682.955659,0.9999762402822666
683.073661,1.0
683.191664,1.0
683.309666,1.0
683.427669,1.0
683.545671,1.0
683.663673,1.0
683.781676,1.0
683.899678,1.0
684.01768,1.0
684.135683,1.0
684.253685,1.0
684.371687,1.0
684.48969,1.0
684.607692,1.0
684.725695,1.0
684.843697,1.0
684.961699,1.0
685.079702,1.0
685.197704,0.9998505011760631
685.315706,0.9999417146986542
685.433709,0.9998865164397465
685.551711,0.9999781782380981
685.669713,0.9999348141246915
685.787716,1.0
685.905718,1.0
686.02372,1.0
686.141723,1.0
686.259725,1.0
686.377728,1.0
686.49573,1.0
686.613732,1.0
686.731735,1.0
686.849737,1.0
686.967739,1.0
687.085742,1.0
687.203744,1.0
687.321746,1.0
687.439749,1.0
687.557751,1.0
687.675754,1.0
687.793756,1.0
687.911758,0.9999787572256309
688.029761,0.9998517609884883
688.147763,1.0
688.265765,0.9999140376949707
688.383768,1.0
688.50177,1.0
688.619772,1.0
688.737775,1.0
688.855777,1.0
688.973779,1.0
689.091782,1.0
689.209784,1.0
689.327787,1.0
689.445789,1.0
689.563791,1.0
689.681794,1.0
689.799796,1.0
689.917798,1.0
690.035801,0.9999810021804608
690.153803,1.0
690.271805,1.0
690.389808,0.9999890100603899
690.50781,1.0
690.625813,1.0
690.743815,1.0
690.861817,1.0
690.97982,1.0
691.097822,1.0
691.215824,1.0
691.333827,1.0
691.451829,0.9999563709517746
691.569831,1.0
691.687834,1.0
691.805836,1.0
691.923838,1.0
692.041841,1.0
692.159843,0.9998914058967665
692.277846,1.0
692.395848,0.9999873590798971
692.51385,1.0
692.631853,1.0
692.749855,1.0
692.867857,1.0
692.98586,0.9999957064092175
693.103862,0.9999973738034484
693.221864,1.0
693.339867,1.0
693.457869,1.0
693.575872,1.0
693.693874,1.0
693.811876,1.0
693.929879,1.0
694.047881,1.0
694.165883,1.0
694.283886,1.0
694.401888,1.0
694.51989,1.0
694.637893,0.999990402946052
694.755895,0.9999131017758695
694.873897,1.0
694.9919,0.9999645216293723
695.109902,0.9999422676665753
695.227905,1.0
695.345907,0.9999987071008358
695.463909,1.0
695.581912,1.0
695.699914,1.0
695.817916,1.0
695.935919,1.0
696.053921,1.0
696.171923,1.0
696.289926,1.0
696.407928,1.0
696.525931,1.0
696.643933,0.9999003209682849
696.761935,1.0
696.879938,0.9999209591238947
696.99794,1.0
697.115942,0.9999985086011122
697.233945,1.0
697.351947,1.0
697.469949,1.0
697.587952,0.9999901533484786
697.705954,1.0
697.823956,1.0
697.941959,1.0
698.059961,1.0
698.177964,1.0
698.295966,1.0
698.413968,1.0
698.531971,1.0
698.649973,1.0
698.767975,1.0
698.885978,0.9999157875460678
699.00398,1.0
699.121982,1.0
699.239985,1.0
699.357987,1.0
699.47599,1.0
699.593992,1.0
699.711994,1.0
699.829997,0.9999588068484612
699.947999,1.0
700.066001,1.0
700.184004,1.0
700.302006,1.0
700.420008,1.0
700.538011,1.0
700.656013,0.9999528721105538
700.774015,0.9999916582347927
700.892018,1.0
701.01002,1.0
701.128023,1.0
701.246025,1.0
701.364027,1.0
701.48203,1.0
701.600032,1.0
701.718034,0.999994120717283
701.836037,0.9999950886120609
701.954039,0.9999844011216638
702.072041,1.0
702.190044,0.99979200163466
702.308046,1.0
702.426049,1.0
702.544051,1.0
702.662053,1.0
702.780056,1.0
702.898058,1.0
703.01606,1.0
703.134063,1.0
703.252065,1.0
703.370067,1.0
703.48807,1.0
703.606072,0.9999962925068727
703.724074,1.0
703.842077,0.9999871540825095
703.960079,0.9999626876961213
704.078082,1.0
704.196084,1.0
704.314086,1.0
704.432089,1.0
704.550091,0.9999964929061499
704.668093,1.0
704.786096,1.0
704.904098,1.0
705.0221,1.0
705.140103,1.0
705.258105,1.0
705.376108,1.0
705.49411,1.0
705.612112,1.0
705.730115,0.9999544580370667
705.848117,1.0
705.966119,1.0
706.084122,1.0
706.202124,0.9998313342256713
706.320126,1.0
706.438129,1.0
706.556131,1.0
706.674133,1.0
706.792136,1.0
706.910138,1.0
707.028141,1.0
707.146143,1.0
707.264145,1.0
707.382148,1.0
707.50015,1.0
707.618152,1.0
707.736155,1.0
707.854157,1.0
707.972159,0.9999576738957748
708.090162,1.0
708.208164,1.0
708.326167,1.0
708.444169,1.0
708.562171,1.0
708.680174,1.0
708.798176,1.0
708.916178,1.0
709.034181,1.0
709.152183,1.0
709.270185,1.0
709.388188,1.0
709.50619,1.0
709.624192,1.0
709.742195,1.0
709.860197,1.0
709.9782,1.0
710.096202,1.0
710.214204,1.0
710.332207,1.0
710.450209,1.0
710.568211,1.0
710.686214,0.9999164374915409
710.804216,1.0
710.922218,1.0
711.040221,1.0
711.158223,1.0
711.276226,1.0
711.394228,1.0
711.51223,1.0
711.630233,1.0
711.748235,0.9999133967502779
711.866237,1.0
711.98424,1.0
712.102242,1.0
712.220244,0.9999587858493264
712.338247,1.0
712.456249,0.9999144546592114
712.574251,1.0
712.692254,1.0
712.810256,1.0
712.928259,1.0
713.046261,1.0
713.164263,0.9999933927218282
713.282266,1.0
713.400268,0.9999529981046237
713.51827,1.0
713.636273,1.0
713.754275,1.0
713.872277,1.0
713.99028,1.0
714.108282,1.0
714.226285,1.0
714.344287,1.0
714.462289,1.0
714.580292,1.0
714.698294,1.0
714.816296,1.0
714.934299,1.0
715.052301,1.0
715.170303,0.9998565302927629
715.288306,1.0
715.406308,1.0
715.52431,1.0
715.642313,1.0
715.760315,1.0
715.878318,1.0
715.99632,1.0
716.114322,1.0
716.232325,1.0
716.350327,1.0
716.468329,1.0
716.586332,1.0
716.704334,1.0
716.822336,1.0
716.940339,1.0
717.058341,1.0
717.176344,1.0
717.294346,1.0
717.412348,0.9999451095065383
717.530351,1.0
717.648353,0.9999539230615747
717.766355,0.9999968557049433
717.884358,1.0
718.00236,1.0
718.120362,1.0
718.238365,1.0
718.356367,1.0
718.474369,1.0
718.592372,1.0
718.710374,1.0
718.828377,1.0
718.946379,1.0
719.064381,1.0
719.182384,1.0
719.300386,1.0
719.418388,1.0
719.536391,1.0
719.654393,1.0
719.772395,1.0
719.890398,1.0
720.0084,1.0
720.126403,1.0
720.244405,1.0
720.362407,1.0
720.48041,1.0
720.598412,1.0
720.716414,1.0
720.834417,1.0
720.952419,1.0
721.070421,1.0
721.188424,1.0
721.306426,1.0
721.424428,1.0
721.542431,1.0
721.660433,1.0
721.778436,1.0
721.896438,1.0
722.01444,1.0
722.132443,1.0
722.250445,1.0
722.368447,1.0
722.48645,1.0
722.604452,1.0
722.722454,1.0
722.840457,1.0
722.958459,1.0
723.076462,1.0
723.194464,1.0
723.312466,1.0
723.430469,1.0
723.548471,1.0
723.666473,1.0
723.784476,1.0
723.902478,1.0
724.02048,1.0
724.138483,1.0
724.256485,1.0
724.374487,1.0
724.49249,1.0
724.610492,1.0
724.728495,1.0
724.846497,1.0
724.964499,1.0
725.082502,1.0
725.200504,1.0
725.318506,1.0
725.436509,1.0
725.554511,1.0
725.672513,1.0
725.790516,1.0
725.908518,1.0
726.026521,1.0
726.144523,0.9999867210881656
726.262525,1.0
726.380528,0.99999483281335
726.49853,1.0
726.616532,1.0
726.734535,1.0
726.852537,1.0
726.970539,1.0
727.088542,0.999860369749211
727.206544,1.0
727.324546,1.0
727.442549,0.9999513071855336
727.560551,1.0
727.678554,1.0
727.796556,1.0
727.914558,1.0
728.032561,1.0
728.150563,1.0
728.268565,1.0
728.386568,1.0
728.50457,1.0
728.622572,1.0
728.740575,1.0
728.858577,1.0
728.97658,1.0
729.094582,1.0
729.212584,1.0
729.330587,1.0
729.448589,1.0
729.566591,1.0
729.684594,1.0
729.802596,1.0
729.920598,1.0
730.038601,1.0
730.156603,1.0
730.274605,1.0
730.392608,1.0
730.51061,1.0
730.628613,1.0
730.746615,1.0
730.864617,1.0
730.98262,1.0
731.100622,1.0
731.218624,1.0
731.336627,1.0
731.454629,1.0
731.572631,1.0
731.690634,1.0
731.808636,1.0
731.926639,1.0
732.044641,0.9999682785031373
732.162643,1.0
732.280646,1.0
732.398648,1.0
732.51665,1.0
732.634653,1.0
732.752655,1.0
732.870657,1.0
732.98866,1.0
733.106662,1.0
733.224664,1.0
733.342667,1.0
733.460669,0.9999625807001195
733.578672,1.0
733.696674,1.0
733.814676,1.0
733.932679,1.0
734.050681,1.0
734.168683,1.0
734.286686,0.9999013898622993
734.404688,0.9999993686601993
734.52269,1.0
734.640693,1.0
734.758695,1.0
734.876698,1.0
734.9947,1.0
735.112702,1.0
735.230705,0.9998190963650363
735.348707,1.0
735.466709,1.0
735.584712,1.0
735.702714,1.0
735.820716,0.9998604397394394
735.938719,1.0
736.056721,1.0
736.174723,1.0
736.292726,1.0
736.410728,0.9999404937705659
736.528731,0.9999969303047115
736.646733,0.9999317343302069
736.764735,1.0
736.882738,0.9999706064319994
737.00074,1.0
737.118742,0.9999647146225435
737.236745,1.0
737.354747,0.9996566089721998
737.472749,0.9997311461476761
737.590752,0.9998587599753116
737.708754,0.999737634423869
737.826757,0.9997187895470736
737.944759,0.9995131885311729
738.062761,0.9999061544037735
738.180764,0.9996796313290057
738.298766,1.0
738.416768,0.9998956454453154
738.534771,1.0
738.652773,0.9998211459962847
738.770775,1.0
738.888778,1.0
739.00678,0.9998967053352613
739.124782,1.0
739.242785,0.9999628906885676
739.360787,0.9999432906080383
739.47879,0.9998957254369703
739.596792,0.9999412037285685
739.714794,0.9998520609440615
739.832797,0.9999959410082377
739.950799,0.9999012628748308
740.068801,0.999721268852746
740.186804,0.9998064487334637
740.304806,0.9997887123243856
740.422808,0.9999723873812354
740.540811,0.9997936612907603
740.658813,0.9996762824078502
740.776816,0.9996924273101809
740.894818,0.9996902079954557
741.01282,0.9995400258205739
741.130823,0.9996594380044062
741.248825,0.9994385676621489
741.366827,0.9994580169259163
741.48483,0.9994748279511413
741.602832,0.9997572694638246
741.720834,0.9999865250907874
741.838837,0.9997479217770555
741.956839,0.9994425754188407
742.074841,0.9998399428105189
742.192844,0.9999025767459535
742.310846,0.9999197482203463
742.428849,0.9998550005134419
742.546851,0.9998744478823269
742.664853,0.9997455723722
742.782856,0.999928111584096
742.900858,0.9996369359237186
743.01886,0.9998716482377923
743.136863,0.9994939780723024
743.254865,0.9994728889718558
743.372867,0.9995801681540636
743.49087,0.9996458427284974
743.608872,0.9995296006724719
743.726875,0.9995175963940536
743.844877,0.9997898720799645
743.962879,0.9995158272494737
744.080882,0.9993737861537844
744.198884,0.9995225040375002
744.316886,0.9993017838664056
744.434889,0.999199010963122
744.552891,0.9992277483399188
744.670893,0.9988908156002679
744.788896,0.998634932553329
744.906898,0.9991526691876677
745.0249,0.9994615849974057
745.142903,0.9995024838022476
745.260905,0.9995085308105668
745.378908,0.9995990803897542
745.49691,0.999516836760969
745.614912,0.9996908877850282
745.732915,0.9994820541802701
745.850917,0.9996530002183551
745.968919,0.9991075584630361
746.086922,0.9994750778198795
746.204924,0.9992874739673197
746.322926,0.9993404276135597
746.440929,0.9992411980359277
746.558931,0.9993287254056689
746.676934,0.9992271987648084
746.794936,0.9993258273565674
746.912938,0.9993979712920482
747.030941,0.9991595733564655
747.148943,0.9990739390593434
747.266945,0.9990767864241272
747.384948,0.9989018034596726
747.50295,0.9991471738630993
747.620952,0.9991607823402808
747.738955,0.9990909734152219
747.856957,0.9989459558951471
747.974959,0.998740294096437
748.092962,0.9981751670360235
748.210964,0.9983052377342102
748.328967,0.9985373706863934
748.446969,0.9988762319008214
748.564971,0.9988690400178425
748.682974,0.9988022179142896
748.800976,0.999170793981478
748.918978,0.9993948831570881
749.036981,0.9991918067642241
749.154983,0.998933069575433
749.272985,0.9991888291770766
749.390988,0.9992472334709909
749.50899,0.9988818256233825
749.626993,0.9985738179655822
749.744995,0.9990155149237256
749.862997,0.998928774172469
749.981,0.9986230488683397
750.099002,0.9990684741398433
750.217004,0.9988170002965041
750.335007,0.998599082202768
750.453009,0.9987289085219823
750.571011,0.9982234798832694
750.689014,0.9985049187491929
750.807016,0.9985869992269756
750.925019,0.9985381695166095
751.043021,0.9984918384204337
751.161023,0.9981223649663142
751.279026,0.9982050129197115
751.397028,0.9978107000207497
751.51503,0.9976126542534882
751.633033,0.9973168062166693
751.751035,0.9975937995525003
751.869037,0.9980318393732095
751.98704,0.9985403663029989
752.105042,0.9983094306250138
752.223044,0.9985646311287165
752.341047,0.9983793147310727
752.459049,0.998609168104432
752.577052,0.9988892173762415
752.695054,0.9983604455403386
752.813056,0.9985946883764728
752.931059,0.9985397671789589
753.049061,0.9985164016217849
753.167063,0.9982762873020992
753.285066,0.9985053181512403
753.403068,0.9980225577202632
753.52107,0.9985070156117241
753.639073,0.9978792519705736
753.757075,0.9978521100240522
753.875078,0.9979424197264617
753.99308,0.9974189366866167
754.111082,0.9979086898427132
754.229085,0.9981437250134763
754.347087,0.9977048379215612
754.465089,0.9976514621405472
754.583092,0.9976219320943147
754.701094,0.9974580362752818
754.819096,0.9973923059565291
754.937099,0.9967342442188588
755.055101,0.996334633914148
755.173103,0.9963824591243717
755.291106,0.997462923831634
755.409108,0.9979149766872627
755.527111,0.9983110279213806
755.645113,0.9979839349946339
755.763115,0.9979719592592685
755.881118,0.9978151901790026
755.99912,0.9975559914639651
756.117122,0.9974002851268934
756.235125,0.9977112232529568
756.353127,0.9978015202045367
756.471129,0.9978554029414485
756.589132,0.9976660279582247
756.707134,0.9975133967325336
756.825137,0.9976707169995753
756.943139,0.9972865879752496
757.061141,0.9970492620102216
757.179144,0.9966454391540233
757.297146,0.9967419191020875
757.415148,0.9968124909281731
757.533151,0.9971776902257681
757.651153,0.9971716074604101
757.769155,0.99724510171611
757.887158,0.9965519581961562
758.00516,0.9963918251635078
758.123162,0.9964602796332807
758.241165,0.9959790059332122
758.359167,0.9955367898580247
758.47717,0.9945736759732753
758.595172,0.9949368611177869
758.713174,0.9960903626107979
758.831177,0.9969175605017863
758.949179,0.997195440146628
759.067181,0.9968590431584856
759.185184,0.996863628720631
759.303186,0.9968651240171955
759.421188,0.9969943261093829
759.539191,0.997088945360543
759.657193,0.9971859668349449
759.775196,0.9970286233041094
759.893198,0.9971217501264809
760.0112,0.996911977779079
760.129203,0.9966431468721494
760.247205,0.9966564023141513
760.365207,0.9962652914367738
760.48321,0.9957897878983675
760.601212,0.9956829453863293
760.719214,0.9959981289137062
760.837217,0.9965568413127149
760.955219,0.9966145436242927
761.073221,0.9969190558792486
761.191224,0.9965029290459398
761.309226,0.9965520578513569
761.427229,0.9961524209734864
761.545231,0.9953203836841131
761.663233,0.9948727892470673
