nu,[0]Pentafluoropropionaldehyde-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
599.9981,0.6846483022097014
600.058365,0.615038753093932
600.11863,0.5472333324302748
600.178895,0.6679646673720483
600.23916,0.7782791613095502
600.299425,0.7882815153040247
600.35969,0.7797670950320122
600.419955,0.808633090024689
600.48022,0.7774779464698779
600.540485,0.6860532708300354
600.60075,0.6454742248575274
600.661015,0.7737317822578219
600.72128,0.8400868496911068
600.781545,0.7863683166995774
600.84181,0.6995835846646348
600.902075,0.7253724731398173
600.96234,0.7503916565664919
601.022605,0.7237132706882196
601.082869,0.7616866715879189
601.143134,0.9097895226636326
601.203399,0.9431395708845407
601.263664,0.8427625780263416
601.323929,0.7319668887441434
601.384194,0.8223739996439009
601.444459,0.9437216675581338
601.504724,0.9609777723384464
601.564989,0.8233367403169534
601.625254,0.759838019997318
601.685519,0.8011636865855631
601.745784,0.8246881203998518
601.806049,0.752119543685071
601.866314,0.6723273023260176
601.926579,0.6169359927026278
601.986844,0.5069869577909671
602.047109,0.44101340816289014
602.107374,0.5963664212943177
602.167639,0.8392220057070361
602.227904,1.0
602.288169,0.7396486520955331
602.348434,0.4629945481589012
602.408699,0.4169203844467019
602.468964,0.482917233126455
602.529229,0.6675106057966674
602.589494,0.743742802113289
602.649759,0.7731439695004471
602.710024,0.9451770637425926
602.770289,1.0
602.830554,0.8160089140474011
602.890819,0.6609084176102422
602.951084,0.7106181883206041
603.011349,0.9410744731191887
603.071614,0.8423328786941916
603.131878,0.6757919612053881
603.192143,0.7229682297813455
603.252408,1.0
603.312673,1.0
603.372938,0.7453510228189396
603.433203,0.4650594649304833
603.493468,0.46157071877340977
603.553733,0.5943243885574474
603.613998,0.5820377330110329
603.674263,0.533172642571139
603.734528,0.6962336297818741
603.794793,0.8922311885452439
603.855058,0.8604756166414055
603.915323,0.7144230393570402
603.975588,0.6386555597875291
604.035853,0.6505806546594605
604.096118,0.6355973586550109
604.156383,0.6519157129687309
604.216648,0.7774002025624911
604.276913,0.7797670950320122
604.337178,0.6974252077976467
604.397443,0.7424943631880686
604.457708,1.0
604.517973,1.0
604.578238,0.8621206956194969
604.638503,0.6423833725581638
604.698768,0.7130811857806314
604.759033,0.8922311885452439
604.819298,0.9143507759739673
604.879563,0.8526125969605233
604.939828,0.8385928251749483
605.000093,0.8338931519489202
605.060358,0.7961561054427551
605.120623,0.8216424123888372
605.180887,0.965895141339033
605.241152,0.9713338975762678
605.301417,0.9020638268035323
605.361682,0.9286809806046593
605.421947,1.0
605.482212,0.9179595064091175
605.542477,0.7036670324340504
605.602742,0.607915127310088
605.663007,0.8580610741795908
605.723272,1.0
605.783537,0.9216147356175381
605.843802,0.6962336297818741
605.904067,0.6624965027523967
605.964332,0.7259239657600541
606.024597,0.7099647202287627
606.084862,0.6959969505854916
606.145127,0.8079137267387132
606.205392,0.834518806403975
606.265657,0.7316887941677366
606.325922,0.6604591526536642
606.386187,0.8136052349208408
606.446452,0.9162005474566871
606.506717,0.8503306543695596
606.566982,0.7454479247503952
606.627247,0.7912826836706714
606.687512,0.8030004537235346
606.747777,0.6867602697409249
606.808042,0.6106324839788829
606.868307,0.8113222133582556
606.928572,0.9892165626455158
606.988837,0.9119108918374176
607.049102,0.6702597199462108
607.109367,0.6443714071109234
607.169632,0.7476278137797656
607.229896,0.7804613966649877
607.290161,0.7221300728597989
