nu,[0]HFC-329p-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
672.112556,1.0
672.35361,1.0
672.594664,1.0
672.835718,1.0
673.076772,1.0
673.317826,1.0
673.55888,1.0
673.799934,1.0
674.040988,1.0
674.282042,1.0
674.523096,1.0
674.76415,1.0
675.005204,1.0
675.246258,1.0
675.487312,1.0
675.728366,1.0
675.96942,1.0
676.210474,1.0
676.451528,1.0
676.692582,1.0
676.933636,1.0
677.17469,1.0
677.415744,1.0
677.656798,1.0
677.897852,1.0
678.138906,1.0
678.37996,1.0
678.621014,1.0
678.862068,1.0
679.103122,1.0
679.344176,1.0
679.58523,1.0
679.826284,1.0
680.067338,1.0
680.308392,1.0
680.549446,1.0
680.7905,1.0
681.031554,1.0
681.272608,1.0
681.513662,1.0
681.754716,1.0
681.99577,1.0
682.236824,1.0
682.477878,1.0
682.718932,1.0
682.959986,1.0
683.20104,1.0
683.442094,1.0
683.683148,1.0
683.924202,1.0
684.165256,1.0
684.40631,1.0
684.647364,1.0
684.888418,1.0
685.129472,1.0
685.370526,1.0
685.61158,1.0
685.852634,1.0
686.093688,1.0
686.334742,1.0
686.575796,1.0
686.81685,1.0
687.057904,1.0
687.298958,1.0
687.540012,1.0
687.781066,1.0
688.02212,1.0
688.263174,1.0
688.504228,1.0
688.745282,1.0
688.986336,1.0
689.22739,1.0
689.468444,1.0
689.709498,1.0
689.950552,1.0
690.191606,1.0
690.43266,1.0
690.673714,1.0
690.914768,1.0
691.155822,1.0
691.396876,1.0
691.63793,1.0
691.878984,1.0
692.120038,1.0
692.361092,1.0
692.602146,1.0
692.8432,1.0
693.084254,1.0
693.325308,1.0
693.566362,1.0
693.807416,1.0
694.04847,1.0
694.289524,1.0
694.530578,1.0
694.771632,1.0
695.012686,1.0
695.25374,1.0
695.494794,1.0
695.735848,1.0
695.976902,1.0
696.217956,1.0
696.45901,1.0
696.700064,1.0
696.941118,1.0
697.182172,1.0
697.423226,1.0
697.66428,1.0
697.905334,1.0
698.146388,1.0
698.387442,1.0
698.628496,1.0
698.86955,1.0
699.110604,1.0
699.351658,1.0
699.592712,1.0
699.833766,1.0
700.07482,1.0
700.315874,1.0
700.556928,1.0
700.797982,1.0
701.039036,1.0
701.28009,1.0
701.521144,1.0
701.762198,1.0
702.003252,1.0
702.244306,1.0
702.48536,1.0
702.726414,1.0
702.967468,1.0
703.208522,1.0
703.449576,1.0
703.69063,1.0
703.931684,1.0
704.172738,1.0
704.413792,1.0
704.654846,1.0
704.8959,1.0
705.136954,1.0
705.378008,1.0
705.619062,1.0
705.860116,1.0
706.10117,0.9510401486788073
706.342224,0.8964435096723364
706.583278,0.9190598808905047
706.824332,1.0
