nu,[0]HFC-1141-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
500,0.9997552999439436
500.120002,0.9871571819489822
500.240005,1.0132631859880434
500.360007,1.0206717612682732
500.48001,1.0160890571601198
500.600012,0.9927045419965304
500.720014,0.9829795133482596
500.840017,0.9932618041386303
500.960019,0.9981641871695754
501.080022,0.9854213133212298
501.200024,1.005675344090072
501.320026,0.9985316790396017
501.440029,1.0000858966889092
501.560031,1.000636352386325
501.680034,1.0119123940764578
501.800036,0.9948564734671134
501.920038,0.9983803131108866
502.040041,0.9997870426786302
502.160043,1.0053263347522132
502.280046,1.0126402207101188
502.400048,1.0000584217064814
502.52005,1.001351011795297
502.640053,1.003757943429051
502.760055,0.9991561662281296
502.880058,0.9988937123878334
503.00006,1.0027998121735706
503.120062,0.9870663676657638
503.240065,0.9967406233384349
503.360067,0.999133765397997
503.48007,1.0086794498848983
503.600072,0.9885164451899874
503.720074,0.9891928217329045
503.840077,0.9892521750827911
503.960079,1.0182892364268266
504.080082,0.9907203244221002
504.200084,1.0012332598402607
504.320086,1.017606193535702
504.440089,0.9982069095110379
504.560091,1.0035081391663616
504.680094,0.9972293453679784
504.800096,0.9999591528342682
504.920098,0.9936085130054528
505.040101,0.9981108866251177
505.160103,1.0025322006180524
505.280106,1.0018324769375428
505.400108,1.0031618882565663
505.52011,0.9990930415356774
505.640113,1.0003206313912598
505.760115,0.9938712578296266
505.880118,0.9970916375043299
506.00012,1.0024132071082434
506.120122,0.9971434876175714
506.240125,0.9960944465896567
506.360127,0.9926496469532199
506.48013,0.9930364586016892
506.600132,0.9994695407432861
506.720134,0.9928418425288015
506.840137,1.004686145798805
506.960139,1.0024215271723906
507.080142,0.9951372615812654
507.200144,0.9931010080693333
507.320146,0.994893482816296
507.440149,1.002118039884257
507.560151,1.0003325552842521
507.680154,0.9919966983291806
507.800156,1.0023468495503922
507.920158,1.0068578078074015
508.040161,1.0029968816981094
508.160163,1.0004167568190023
508.280166,1.005687211129148
508.400168,1.0080793633177396
508.52017,1.0023863427942763
508.640173,1.0010449455755965
508.760175,1.0021832798921928
508.880178,1.0050359379239449
509.00018,1.0010452458891252
509.120182,1.000496223077957
509.240185,0.9976362979535708
509.360187,1.0016840163656608
509.48019,0.9961431567990499
509.600192,1.0040524892174072
509.720194,0.994820559796667
509.840197,1.0095116509381556
509.960199,1.0032629117451608
510.080202,0.9897914644612184
510.200204,0.9906803991975247
510.320206,0.9888605087765052
