nu,[0]Geraniol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
600,0.9649895564821527
600.118002,0.9751363223139345
600.236005,0.9761187791745124
600.354007,0.9693689366280998
600.472009,0.9670268670456199
600.590012,0.9753323444142807
600.708014,0.9679895376275224
600.826017,0.9664700199575587
600.944019,0.9736756879857188
601.062021,0.9698818684540824
601.180024,0.9749305902554217
601.298026,0.9767573696524174
601.416028,0.9684755903644411
601.534031,0.9733534546655521
601.652033,0.9697635500836983
601.770035,0.9699817714314481
601.888038,0.9716476890997878
602.00604,0.9760221481986863
602.124042,0.9766343059770156
602.242045,0.970581405434015
602.360047,0.9754493913182842
602.47805,0.9708396144281342
602.596052,0.9718877157210628
602.714054,0.9733544280194935
602.832057,0.977637824627878
602.950059,0.9662158717642622
603.068061,0.975820132523353
603.186064,0.9831289375902432
603.304066,0.9835380043082588
603.422068,0.977265415565126
603.540071,0.9705435534973207
603.658073,0.9750407636367995
603.776076,0.977602630299693
603.894078,0.9789144748220884
604.01208,0.9776554222670994
604.130083,0.9777864368714657
604.248085,0.9754659740988899
604.366087,0.9757840278463902
604.48409,0.9729116524938154
604.602092,0.9784486224137422
604.720094,0.9794422519471752
604.838097,0.972728762295364
604.956099,0.9820647852933129
605.074101,0.9775146500221379
605.192104,0.9774608881948506
605.310106,0.9820804984555824
605.428109,0.9725721655710089
605.546111,0.9742279186434035
605.664113,0.98585992338916
605.782116,0.9742883226468642
605.900118,0.9796920415682449
606.01812,0.9815758387880216
606.136123,0.9825785395110386
606.254125,0.9763862723648997
606.372127,0.9771891918354761
606.49013,0.9767964407286199
606.608132,0.9813294941700287
606.726135,0.980039893983152
606.844137,0.9808467988116921
606.962139,0.98226023563225
607.080142,0.9782050190366403
607.198144,0.9746517999755191
607.316146,0.9747707147487698
607.434149,0.9798007934204751
607.552151,0.9838075306448612
607.670153,0.9829244680367952
607.788156,0.9847435766258216
607.906158,0.9849169067479111
608.02416,0.9776045855069088
608.142163,0.9830404599674128
608.260165,0.9874168384311655
608.378168,0.9801957327151463
608.49617,0.9782011062243897
608.614172,0.9853129229383448
608.732175,0.9820588929222782
608.850177,0.9812980921286506
608.968179,0.9809772601114182
609.086182,0.9825264642284517
609.204184,0.979556853394707
609.322186,0.9810665331039479
609.440189,0.9840682741874756
609.558191,0.9879650068791682
609.676194,0.9796156285691483
609.794196,0.9851099693811537
609.912198,0.9850085082796438
610.030201,0.9787363285994688
610.148203,0.9839757761171793
610.266205,0.9796704885804141
610.384208,0.9789761483766988
610.50221,0.9834032688312595
610.620212,0.9842355800146798
610.738215,0.9801957327151463
610.856217,0.9883543417858187
610.974219,0.9892521750827911
611.092222,0.9852203078765648
611.210224,0.9854193424805741
611.328227,0.9796606919245117
611.446229,0.982401691290744
611.564231,0.9771002716649482
611.682234,0.9902066700639421
611.800236,0.9835586588232209
611.918238,0.9844363845543694
612.036241,0.9843645233212639
612.154243,0.9886765978261214
612.272245,0.9881240820504834
612.390248,0.9869923404642437
612.50825,0.99170975519268
612.626253,0.9827662299359502
612.744255,0.9851602112707494
612.862257,0.985198633268213
612.98026,0.9868472632536317
613.098262,0.9853503655408214
613.216264,0.9880391070334053
613.334267,0.9822975622304048
613.452269,0.9854222987430359
613.570271,0.9926092469347348
613.688274,0.9877743480320111
613.806276,0.9913182063267664
613.924278,0.9825117264420219
614.042281,0.9875698999030799
614.160283,0.9874691729104538
614.278286,0.989173038074307
614.396288,0.9884136448253992
614.51429,0.9847455461149444
614.632293,0.9893431904695423
614.750295,0.9865058731644372
614.868297,0.9893797968448035
614.9863,0.990153695424178
615.104302,0.9864871297309102
615.222304,0.9873743804199666
615.340307,0.987912646121376
615.458309,0.9867693053992105
615.576312,0.9834514567720272
615.694314,0.98882293279112
615.812316,0.9871996306204458
615.930319,0.985368102007029
616.048321,0.9896915005715691
616.166323,0.9939582253694611
616.284326,0.9787010947258528
616.402328,0.9967403243162928
616.52033,0.9922587192555498
616.638333,0.9884205637451292
616.756335,0.9932296229775138
616.874337,0.9825186040481786
616.99234,0.9956753782246995
617.110342,0.9856716421252257
617.228345,0.9874760852188571
617.346347,0.9920306251964096
617.464349,0.9905174456751514
617.582352,0.9901370609818245
617.700354,0.9907295381639613
617.818356,0.9877071816600275
617.936359,0.9901378530917901
618.054361,0.9922188312567898
618.172363,0.9889247867985888
618.290366,0.9883691672121359
618.408368,0.9882950423043138
618.526371,0.9922097028855328
618.644373,0.9865364553205263
618.762375,0.989897377814179
618.880378,0.9912713180845227
618.99838,0.9917982196482993
619.116382,0.987364506725531
619.234385,0.9854558036707737
619.352387,0.9893530839509144
619.470389,0.9886676997767823
619.588392,0.9893699030963038
619.706394,0.9870713030099406
619.824396,0.9892640461801185
619.942399,0.9862937972006899
620.060401,0.9983684324558506
620.178404,0.9940874483380701
620.296406,0.9916531301823179
620.414408,0.9913810578934211
620.532411,0.9961760300656302
620.650413,0.9916281408383044
620.768415,0.992558228130637
620.886418,0.9938782149527813
621.00442,0.9907100209843043
621.122422,0.9924417086344827
621.240425,0.9916352805866214
621.358427,0.9902459820490814
621.47643,0.9934583901012087
621.594432,0.9955476412681743
621.712434,0.9892135950002794
621.830437,0.9941712534423005
621.948439,0.9937074813418896
622.066441,0.9907512353784307
622.184444,0.9949431292397565
622.302446,0.992889003636389
622.420448,0.9860492266669838
622.538451,0.99050318232663
622.656453,0.9938627105735626
622.774455,0.9918956190156993
622.892458,0.992555349715949
623.01046,0.9913086897176654
623.128463,0.9868373948303414
623.246465,0.9896222245912167
623.364467,0.9902705404539592
623.48247,0.9934435876814746
623.600472,0.9898270975953315
623.718474,0.9881250701750596
623.836477,0.9932924964025712
623.954479,0.9934800477301803
624.072481,0.9944972956480026
624.190484,0.9902250880792923
624.308486,0.9899755827960824
624.426489,0.9926343602663646
624.544491,0.9906700961749488
624.662493,0.9923937748575656
624.780496,0.9872746606434777
624.898498,0.9917898885782447
625.0165,0.9942607328816246
625.134503,0.9904895134770292
625.252505,0.9880074902878507
625.370507,0.9993200312835774
625.48851,0.9975246686976031
625.606512,0.9943465412854517
625.724514,0.9942714709555253
625.842517,0.9922197242541397
625.960519,0.9967440122623155
626.078522,0.991058217660251
626.196524,0.9912891611288353
626.314526,0.993725964472935
626.432529,0.9929048899875377
626.550531,0.9952242403788456
626.668533,0.9926131181183467
626.786536,0.993786086712465
626.904538,0.9902157800072124
627.02254,0.9924074699861548
627.140543,0.9951211404882089
627.258545,0.9926986850570106
627.376548,0.9895618594766713
627.49455,0.991727705301697
627.612552,0.991573503633013
627.730555,0.9954636205929737
627.848557,0.9910483071276273
627.966559,0.9976064690742059
628.084562,0.9996289188676409
628.202564,0.9927254882833491
628.320566,0.9871897586734995
628.438569,0.9910591096130483
628.556571,0.997416842109049
628.674573,0.9947314278676792
628.792576,0.9938270315426954
628.910578,0.9930350683516204
629.028581,0.9926159967005632
629.146583,0.9934835249164324
629.264585,0.9915981941206488
629.382588,0.9931856238798031
629.50059,0.9917162013270386
629.618592,0.9927334301190226
629.736595,0.9929795592427936
629.854597,0.9940567315104939
629.972599,0.9924922252030879
630.090602,0.9945031631993562
630.208604,0.9926939201147582
630.326607,0.995934088292945
630.444609,0.993375439788859
630.562611,0.9923987368388448
630.680614,0.9899270751809717
630.798616,0.990125377433438
630.916618,0.9978430296111669
631.034621,0.992171602764469
631.152623,0.9920924306295786
631.270625,0.9901918170752889
631.388628,0.9909973685537734
631.50663,0.9941416275803754
631.624632,0.9920089991645049
631.742635,0.992449945934849
631.860637,0.9905576614998215
631.97864,0.9908342638107981
632.096642,0.9926407131465995
632.214644,0.9950792467700633
632.332647,0.9951904033299058
632.450649,0.9947817625513861
632.568651,0.9909616932906641
632.686654,0.9976908701516048
632.804656,0.9948319008156923
632.922658,0.995879413012348
633.040661,0.9927562632504954
633.158663,0.9957520481805783
633.276666,0.9969738879351896
633.394668,0.9948779625990221
633.51267,0.9873921533187698
633.630673,0.990602039477116
633.748675,0.9899953825057348
633.866677,0.9991167802683593
633.98468,0.9935731411720122
634.102682,0.9904501918238842
634.220684,0.9923242104922076
634.338687,0.9928415446762934
634.456689,0.9981512111194867
634.574691,0.992209802106508
634.692694,0.9964991423420042
634.810696,0.9933968969300948
634.928699,0.9938229568602192
635.046701,0.9925532653519032
635.164703,0.9936356388881246
635.282706,0.9944268877319403
635.400708,0.992466718480663
635.51871,0.9948980593368429
635.636713,0.9972521821814678
635.754715,0.9922568339657741
635.872717,0.9928629902852701
635.99072,0.9929270320134671
636.108722,0.9946134597159837
636.226725,0.9940202502978818
636.344727,0.9914490689667457
636.462729,0.9912954062702225
636.580732,0.9943972542522269
636.698734,0.992315974235441
636.816736,0.9946469787543688
636.934739,0.9973042401040777
637.052741,0.9903387724447615
637.170743,0.9950721817324921
637.288746,0.9929670477791694
637.406748,0.9960733296112297
637.52475,0.9916093000826162
637.642753,0.9952868419523643
637.760755,0.9962192650435272
637.878758,0.9950231258831693
637.99676,0.9933010387547724
638.114762,0.9933345135638257
638.232765,0.996499740241669
638.350767,0.9938118261054346
638.468769,0.9926737686327182
638.586772,0.99244617463222
638.704774,0.9960723335383982
638.822776,0.9949558645933169
638.940779,0.9961730415420227
639.058781,0.9883909115730016
639.176784,0.9921332064664152
639.294786,0.9943803496425943
639.412788,0.9928978403878449
639.530791,0.9962914935584949
639.648793,0.9889406097217607
639.766795,0.9924531217797574
639.884798,0.9906696999069896
640.0028,0.996591721412559
640.120802,0.995186422576254
640.238805,0.9951695045508738
640.356807,0.9934883929976313
640.474809,0.9967466038001164
640.592812,0.9954808422625769
640.710814,0.9926264192232467
640.828817,0.9943391831482713
640.946819,0.9925762928547774
641.064821,0.9963122166370803
641.182824,0.9892571213560322
641.300826,0.9913418991150252
641.418828,0.9945652221329584
641.536831,0.9918959165844297
641.654833,0.9933417649322422
641.772835,0.9989474543152048
641.890838,0.9929956456419528
642.00884,0.9953880677714365
642.126843,0.9919898535755766
642.244845,0.9971280320132946
642.362847,0.9947102403139139
642.48085,0.9951736842715704
642.598852,0.9936730002905366
642.716854,0.9983196134331384
642.834857,0.9916070193838488
642.952859,0.9939928157175725
643.070861,0.9946056023006888
643.188864,0.9940150814060194
643.306866,0.9962485543204698
643.424868,0.9935130318152977
643.542871,0.9956800579099745
643.660873,0.9976124547309774
643.778876,0.9948916920096387
643.896878,0.9986494128648331
644.01488,0.9946166424841473
644.132883,0.9922733055659319
644.250885,0.9926784342103948
644.368887,0.9941885521726089
644.48689,0.9971154682792429
644.604892,0.9945971481889992
644.722894,0.9924855755274555
644.840897,0.9961900762466794
644.958899,0.9944545331836893
645.076902,0.9975881132840487
645.194904,0.9979009061852887
645.312906,0.9933318315642599
645.430909,0.995576512568403
645.548911,0.9973671719871083
645.666913,0.9949612373694922
645.784916,0.9914376673680119
645.902918,0.9974827735413223
646.02092,0.9956811531586406
646.138923,0.9940158766184025
646.256925,0.9965014342926674
646.374927,0.9942421403797602
646.49293,0.9943222795258391
