nu,[0]Trifluoroaceticacid-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
540,0.9159284762986594
540.130203,0.897466038003772
540.260405,0.9247914743673081
540.390608,0.9101698941762137
540.52081,0.9297756114107729
540.651013,0.9321840548959179
540.781216,0.9129008521113927
540.911418,0.8988402120169708
541.041621,0.9201109669155935
541.171823,0.9065346731887246
541.302026,0.9074126236118211
541.432229,0.897098152349903
541.562431,0.9071168553093764
541.692634,0.9023886282419327
541.822836,0.9099669489190496
541.953039,0.9011351793974389
542.083242,0.8945629535770289
542.213444,0.9189643036329957
542.343647,0.9077157500474042
542.473849,0.9164772818068027
542.604052,0.9119592243954865
542.734255,0.9177080199595783
542.864457,0.8953326086213378
542.99466,0.9111360969138474
543.124862,0.9039601512836246
543.255065,0.9002705047354622
543.385268,0.9049803936427847
543.51547,0.9135949204715663
543.645673,0.9060479947540773
543.775876,0.9004775907655319
543.906078,0.8994426367487717
544.036281,0.9061431347882908
544.166483,0.9053913480210838
544.296686,0.9082550933720415
544.426889,0.8995595718921687
544.557091,0.8940174365749481
544.687294,0.8990829316398901
544.817496,0.8920438396679701
544.947699,0.8930077674421157
545.077902,0.9049333358858276
545.208104,0.883706751898686
545.338307,0.8936777744889333
545.468509,0.8937313967640548
545.598712,0.8784203863430479
545.728915,0.8843609369136939
545.859117,0.8839630640201979
545.98932,0.8765864049137689
546.119522,0.8909651193793593
546.249725,0.8834328452633193
546.379928,0.8962015025971503
546.51013,0.8983549693297986
546.640333,0.9035263545305581
546.770535,0.9011802372828466
546.900738,0.8847678365244096
547.030941,0.8917227616831944
547.161143,0.8859896590024199
547.291346,0.8900300969766776
547.421548,0.8838304795046821
547.551751,0.8888471437859475
547.681954,0.8900211967202091
547.812156,0.8915800974547677
547.942359,0.88488286381977
548.072561,0.8791673610907331
548.202764,0.8914909439027742
548.332967,0.8890516021408278
548.463169,0.8728688181604771
548.593372,0.8930166975644407
548.723574,0.8825851566874855
548.853777,0.8846705174150411
548.98398,0.8807600950036689
549.114182,0.8769020328291539
549.244385,0.8756752289462891
549.374587,0.8731394494397878
549.50479,0.8835918774879375
549.634993,0.8754738468034656
549.765195,0.8619396692818475
549.895398,0.8728513609586865
550.025601,0.8675952282386451
550.155803,0.8663814447657933
550.286006,0.8677861201862019
550.416208,0.8677167000734286
550.546411,0.8649011984665287
550.676614,0.852229007605969
550.806816,0.8769546485295789
550.937019,0.8553709880521511
551.067221,0.8611212154231672
551.197424,0.8573320321532937
551.327627,0.8568349237500174
551.457829,0.8596155711191956
551.588032,0.8477834850707757
551.718234,0.8613795905421242
551.848437,0.8483856250795843
551.97864,0.8429901546438695
552.108842,0.8568434921420968
552.239045,0.8437998137665247
552.369247,0.8462334599986104
552.49945,0.8480378582703691
552.629653,0.8294271476765639
552.759855,0.8395325753009795
552.890058,0.8344353586957896
553.02026,0.8368671020601692
553.150463,0.836758316408122
553.280666,0.8399608461141576
553.410868,0.8301241591844611
553.541071,0.8292198168070832
553.671273,0.8265622888095211
553.801476,0.8281756577962254
553.931679,0.8296760131488211
554.061881,0.8245644264590694
554.192084,0.8138167997841605
554.322286,0.8242346666448453
554.452489,0.8197302141440208
554.582692,0.8165803202560749
554.712894,0.8189845989555141
554.843097,0.8124751092635922
554.973299,0.831145840105216
555.103502,0.8059448202881804
555.233705,0.8120770939817608
555.363907,0.8014762013597514
555.49411,0.8018930773628257
555.624312,0.8075502473506768
555.754515,0.7916546739428629
555.884718,0.7992751696117739
556.01492,0.799914845583736
556.145123,0.7890307385682661
556.275326,0.7995069930237314
556.405528,0.8009554111040368
556.535731,0.7939935033081699
556.665933,0.7945494933342918
556.796136,0.7863132728439658
556.926339,0.7875881327036476
557.056541,0.781828399888101
557.186744,0.7880056650502786
557.316946,0.7792370336486858
557.447149,0.7764057668778229
557.577352,0.7748777531048123
557.707554,0.7692725122614107
557.837757,0.7629597510549515
557.967959,0.7677201502001793
558.098162,0.7677585371673554
558.228365,0.7634940098494525
558.358567,0.7698573815929236
558.48877,0.7598988094704643
558.618972,0.7546207302423678
558.749175,0.7528042839794056
558.879378,0.7583274458572947
