nu,[0]HFE-449s1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
700,0.9998710083201422
700.241054,0.9999146146455369
700.482108,1.0
700.723162,1.0
700.964216,0.9999620527200163
701.20527,0.9999863470932018
701.446324,0.9999905723444407
701.687378,0.999991073439842
701.928432,1.0
702.169486,0.9999323972851665
702.41054,0.9998718782082978
702.651594,0.9998917958544908
702.892648,1.0
703.133702,0.9999939864180817
703.374756,0.9999295784797116
703.61581,0.9999666195571394
703.856864,1.0
704.097918,0.9999503752313496
704.338972,0.9998125575695279
704.580026,0.9999936018204685
704.82108,0.9999969391046846
705.062134,0.9999989293005732
705.303188,0.9999538510648949
705.544242,0.9999290975137001
705.785296,0.9999945678147544
706.02635,1.0
706.267404,0.9999315403434692
706.508458,0.9999545600324266
706.749512,1.0
706.990566,1.0
707.23162,0.9999366720053021
707.472674,0.9999955391099498
707.713728,0.9998978852140697
707.954782,0.9999863610930108
708.195836,0.9998737079755092
708.43689,0.9998550605047437
708.677944,0.9999349381166162
708.918998,1.0
709.160052,0.9999791472174223
709.401106,0.9999982508015298
709.64216,1.0
709.883214,1.0
710.124268,0.9999210851139434
710.365322,1.0
710.606376,0.99987136827377
710.84743,0.9999473303870927
711.088484,1.0
711.329538,1.0
711.570592,0.9999767422704652
711.811646,0.999892515776843
712.0527,0.9999636856593817
712.293754,1.0
712.534808,0.9999608957645906
712.775862,1.0
713.016916,0.9999548300201943
713.25797,1.0
713.499024,0.9999738803411242
713.740078,1.0
713.981132,0.9999277726085236
714.222186,0.9999808781828243
714.46324,1.0
714.704294,0.9999052884854187
714.945348,0.9999988564006539
715.186402,0.9999993943401834
715.427456,0.9998727680946655
715.66851,1.0
715.909564,1.0
716.150618,0.9999709074231973
716.391672,0.9999540450559607
716.632726,0.9999951415118025
716.87378,0.9999465814268228
717.114834,0.9999931987231288
717.355888,1.0
717.596942,1.0
717.837996,0.9999209101277688
718.07905,0.9999515061758635
718.320104,0.9999599508019905
718.561158,0.9999568239321133
718.802212,1.0
719.043266,1.0
719.28432,1.0
719.525374,0.9999930992238104
719.766428,0.9999436955851531
720.007482,0.9999394788314798
720.248536,1.0
720.48959,0.9999478863579631
720.730644,0.9999876080767806
720.971698,0.9999878410739204
721.212752,0.9999561949594689
721.453806,0.9999699224523385
721.69486,0.999941424715599
721.935914,0.9999416257038455
722.176968,1.0
722.418022,0.9999126378162978
722.659076,0.9999398178110206
722.90013,0.9999503562322927
723.141184,1.0
723.382238,0.9999729783650909
723.623292,0.999988229069278
723.864346,0.9998842067045612
724.1054,0.999985917099165
724.346454,0.9999564569480263
724.587508,0.9999633786705773
724.828562,0.9999434016017498
725.069616,0.9999231519529624
725.31067,0.9998988051205473
725.551724,0.9999101900331565
725.792778,0.9999596198153016
726.033832,0.9999229809661181
726.274886,0.9998951055018126
726.51594,0.9999170364416664
726.756994,0.9999498272586941
726.998048,0.9999020687955735
727.239102,0.9999000649938354
727.480156,0.9999171304338722
727.72121,0.9998893761192728
727.962264,0.999915026610443
728.203318,0.9999508952056799
728.444372,0.9999202231823395
728.685426,0.9999228919729768
728.92648,0.9999465194301367
729.167534,0.9998813970338879
729.408588,0.9998688985945404
729.649642,0.9999269186705705
729.890696,0.9998996350368999
730.13175,0.9999049795147323
730.372804,0.9998449020289341
730.613858,0.9998685986339159
730.854912,0.9999283435674449
731.095966,0.9998972052837389
731.33702,0.9998674187896656
731.578074,0.9998923557940533
731.819128,0.9998511710761233
732.060182,0.9998907259708417
732.301236,0.9999384698930547
732.54229,0.9998979752048834
732.783344,0.9999217580610602
733.024398,0.9999111349487326
733.265452,0.9998165368314258
733.506506,0.9999017718247032
733.74756,0.9999285055558496
733.988614,0.9999425516502196
734.229668,0.9998776674832326
734.470722,0.9998619295326044
734.711776,0.9998944855670394
734.95283,0.9999184763232356
735.193884,0.9998977552273531
735.434938,0.999803559297002
735.675992,0.9999469314081876
735.917046,0.9998799572057129
736.1581,0.9998951654955207
736.399154,0.9999103290206827
736.640208,0.9999166064774332
736.881262,0.9999137047236516
737.122316,0.9999114719188419
737.36337,0.9999199442046363
737.604424,0.9998996250379036
737.845478,0.999933307224062
738.086532,0.9999278925998636
738.327586,0.9999510551978359
738.56864,0.9999776382500276
738.809694,0.9998407826764236
739.050748,0.999896575348698
739.291802,0.9999351741012894
739.532856,0.9999456914747613
739.77391,0.9999105849977596
740.014964,0.9998960554026141
740.256018,0.9999121668575564
740.497072,0.9999367210022002
740.738126,0.9999612757498031
740.97918,0.9999066063614575
741.220234,0.9999066473576291
741.461288,0.9999327492614323
741.702342,0.9999272366473811
741.943396,0.9998952254892325
742.18445,0.9999456424774237
742.425504,0.999905655450727
742.666558,0.9998968853166844
742.907612,0.9999280785864689
743.148666,0.9999415507082264
743.38972,0.9999320843063751
743.630774,0.9999288325325244
743.871828,0.9998798772153196
744.112882,0.9999205041599618
744.353936,0.9999181703482286
744.59499,0.9999557359796807
744.836044,0.9999451235057699
745.077098,0.9999479983521325
745.318152,0.9999281415819398
745.559206,0.9998890561547237
745.80026,0.9999300614458148
746.041314,0.9999235799201631
746.282368,0.9999228519760619
746.523422,0.9999316023392266
746.764476,0.9998591199245299
747.00553,0.999883006844233
747.246584,0.9998930857157395
747.487638,0.9999329172501483
747.728692,0.9998990250983086
747.969746,0.9999502342383566
748.2108,0.9999461194516089
748.451854,0.9999030766973668
748.692908,0.9999134697439586
748.933962,0.9999095390918348
749.175016,0.9998846866490956
749.41607,0.999867008844108
749.657124,0.9999269966648732
749.898178,0.9999373259640995
750.139232,0.9999280935853901
750.380286,0.9999012808730537
750.62134,0.9999033736686247
750.862394,0.9998813670374465
751.103448,0.9999487733121316
751.344502,0.9999665525593782
751.585556,0.9999391998484042
751.82661,0.9999448945183629
752.067664,0.9999085831787723
752.308718,0.9999094411007047
752.549772,0.9999348211242353
752.790826,0.9999159695307577
753.03188,0.9999389198654673
753.272934,0.9999237659059662
753.513988,0.999916918451463
753.755042,0.999969402468114
753.996096,0.9999380479191095
754.23715,0.9999157085527237
754.478204,0.9999375129523969
754.719258,0.999968518495553
754.960312,0.9999541640504992
755.201366,0.9999971606040311
755.44242,0.9999678585165486
755.683474,0.9999157095526394
755.924528,0.999968273503296
756.165582,0.9999551720048047
756.406636,0.9999911532391328
756.64769,0.9999501702415436
756.888744,0.999950818209464
757.129798,0.9999546850267544
757.370852,0.9999629746854539
757.611906,0.9999832831397283
757.85296,0.9999766362729361
758.094014,0.9999820701607415
758.335068,0.9999747123197388
758.576122,0.9999881900697378
758.817176,0.9999646356253342
