nu,[0]HCFC-123-PNNL(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
500,0.9465050243502924
500.120002,0.9928762947384796
500.240005,0.974554339668618
500.360007,0.9928947624093105
500.48001,0.9369119230886839
500.600012,0.9884245174352916
500.720014,0.9847652412228171
500.840017,1.0002985645615292
500.960019,0.9821767470605357
501.080022,0.9674272990522828
501.200024,1.0003434689719644
501.320026,0.9850410140967601
501.440029,0.9942461173562757
501.560031,1.0010063059864462
501.680034,0.9848223592632152
501.800036,0.9516099923790157
501.920038,0.9969809664749227
502.040041,0.9955836807450988
502.160043,0.9825412022359499
502.280046,0.9859900654882369
502.400048,0.9588141677379991
502.52005,0.9940955998885678
502.640053,0.9698071904253525
502.760055,0.9680882775960132
502.880058,0.9984560930524641
503.00006,0.9722493252065053
503.120062,0.9992117708159635
503.240065,0.979820389632305
503.360067,0.9967511888450394
503.48007,0.9701893697427615
503.600072,0.9991382015617637
503.720074,0.9865551996912483
503.840077,0.9998174666612374
503.960079,0.9817044336456822
504.080082,0.9938790100556714
504.200084,0.9998970453001989
504.320086,0.9699982612617256
504.440089,0.9707337986772248
504.560091,0.9997001449655099
504.680094,1.001825363952208
504.800096,0.9360550407625056
504.920098,0.9345809798833398
505.040101,0.9895836300770555
505.160103,0.9852971580576972
505.280106,0.9640751798656033
505.400108,0.9764946572563824
505.52011,0.9996355564256989
505.640113,0.9563550917601934
505.760115,0.9736805563763298
505.880118,0.9938750345475821
506.00012,0.9892482180820048
506.120122,0.9813785618714196
506.240125,0.9997041237800046
506.360127,0.9703378200724928
506.48013,0.9727472443174262
506.600132,0.9813383261752202
506.720134,0.9534369318192547
506.840137,1.006551366933372
506.960139,0.9472549532622266
507.080142,0.962985427208467
507.200144,0.950093384257672
507.320146,1.001130538577492
507.440149,0.9941125990686684
507.560151,0.9759040566634363
507.680154,1.0012321584842805
507.800156,0.9815051678718124
507.920158,0.9819223962229023
508.040161,0.9916012680798152
508.160163,0.9763208566761014
508.280166,0.9923695607448725
508.400168,0.9988558550335354
508.52017,0.9905288366912749
508.640173,0.9478604426106051
508.760175,0.9963398148677147
508.880178,0.9557413088366834
509.00018,0.9989264766389305
509.120182,0.999878577372324
509.240185,0.9732785093349751
509.360187,0.9726519197584628
509.48019,0.9812225350845403
509.600192,0.9753469745091724
509.720194,0.9682896609008909
509.840197,0.9776563999230106
509.960199,0.9608739923432544
510.080202,0.9569577852965322
510.200204,0.9554995368709911
510.320206,0.9678288647004981
510.440209,0.991076155976332
510.560211,0.9653099862032952
510.680214,0.993705692670033
510.800216,0.9854863532742039
510.920218,0.9708638857218849
511.040221,1.0040785949214996
511.160223,0.9470730977698861
511.280226,0.9351493778945945
511.400228,0.998295254731748
511.52023,0.9943769687551529
511.640233,0.9580378427162107
511.760235,0.9923459426303834
511.880238,0.9385276138500444
512.00024,0.9485004643924179
512.120242,0.9831446677790858
512.240245,0.9386158395922911
512.360247,0.9906519670780706
512.48025,0.9586502245328594
512.600252,0.9853809118756189
512.720254,0.9765503190381918
512.840257,1.0037150838799245
512.960259,0.9701961610921195
513.080262,0.9611613366227941
513.200264,0.950889896205574
513.320266,0.9528078710571404
513.440269,0.9373533125435154
513.560271,0.9283773515700543
513.680274,0.9876103910990398
513.800276,0.9401376295694968
513.920278,0.9571022968324584
514.040281,0.9560146899426454
514.160283,0.9632175346642493
514.280286,0.9662149055488735
514.400288,0.9524477777438046
514.52029,0.9340045212745202
514.640293,0.9450154522828662
514.760295,0.9701398913466145
514.880298,0.9335292339440785
515.0003,0.9411629382774592
515.120302,0.9258833724002044
515.240305,0.9435235068155529
515.360307,0.9663182960750617
515.48031,0.9245603053960417
515.600312,0.9797596426513236
515.720314,0.9355431586677248
515.840317,0.9488552699105968
515.960319,0.9522754002966626
516.080322,0.9560376345705385
516.200324,0.9532567492669285
516.320326,0.9366187155461313
516.440329,0.9417004957732752
516.560331,0.9444344464573161
516.680334,0.9388533394421722
516.800336,0.9389181225575854
516.920338,0.9454805142812597
517.040341,0.9525811297671126
517.160343,0.9294846371842433
517.280346,0.9438302017905017
517.400348,0.9625781705136213
517.52035,0.9154184461939316
517.640353,0.9319305353132126
517.760355,0.9407150513243907
517.880358,0.9263121556572899
518.00036,0.9375651783320826
518.120362,0.9390974730464204
518.240365,0.9348716797695727
518.360367,0.9113146970910881
518.48037,0.9177217856831204
518.600372,0.9271888615730584
518.720374,0.9273390783358624
518.840377,0.9411459974970378
518.960379,0.9205499645394217
519.080382,0.9271582648454751
519.200384,0.9353850652331814
519.320386,0.9041861695725545
519.440389,0.9212480059368098
519.560391,0.9039511117273096
519.680394,0.9652433821121148
519.800396,0.9273186771005535
519.920398,0.9336506006331551
520.040401,0.9182514639509444
520.160403,0.8946613609142267
520.280406,0.928475764785129
520.400408,0.9088501953328162
520.52041,0.91690079213435
520.640413,0.9066579702882911
520.760415,0.9290738957551508
520.880418,0.9262973347813667
521.00042,0.9175703740802834
521.120422,0.9115070047799221
521.240425,0.9363209181468837
521.360427,0.9141341005171173
521.48043,0.8989750481612314
521.600432,0.9160466386934125
521.720434,0.9076948728252421
521.840437,0.9005046054984738
521.960439,0.9133683770238381
522.080442,0.8943303974427064
522.200444,0.8854582246532663
522.320446,0.8935079918416426
522.440449,0.8936152192341785
522.560451,0.9044303327988913
