nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
191.193689,1.0
191.469185,1.0
191.74468,1.0
192.020175,1.0
192.29567,1.0
192.571166,1.0
192.846661,1.0
193.122156,1.0
193.397651,1.0
193.673147,1.0
193.948642,1.0
194.224137,1.0
194.499632,1.0
194.775128,1.0
195.050623,1.0
195.326118,1.0
195.601614,1.0
195.877109,1.0
196.152604,1.0
196.428099,1.0
196.703595,1.0
196.97909,1.0
197.254585,1.0
197.53008,1.0
197.805576,1.0
198.081071,1.0
198.356566,1.0
198.632061,1.0
198.907557,1.0
199.183052,1.0
199.458547,1.0
199.734042,1.0
200.009538,0.9931555308113119
200.285033,0.9846391993387932
200.560528,0.9822346971981245
200.836023,0.9711707271881713
201.111519,0.9641098871968067
201.387014,0.9626253379995705
201.662509,0.9608134591885512
201.938005,0.9603523793961436
202.2135,0.9600566364100475
202.488995,0.9593339858749029
202.76449,0.9600892788906044
203.039986,0.9588736160592778
203.315481,0.959596879401801
203.590976,0.9624270576035245
203.866471,0.9612411163245457
204.141967,0.9628236592455853
204.417462,0.9675675861812164
204.692957,0.969256496353113
204.968452,0.9777463484493722
205.243948,0.9910994465396605
205.519443,0.9924005231581788
205.794938,0.9988240919223814
206.070433,0.9922578262231042
206.345929,0.9804388514023308
206.621424,0.9756620624659045
206.896919,0.9743993978468121
207.172415,0.9733154946210458
207.44791,0.9710668174796306
207.723405,0.9722493252065053
207.9989,0.9728416053765624
208.274396,0.9736318735655913
208.549891,0.97586209369121
208.825386,0.9756113293577285
209.100881,0.9786042081134413
209.376377,0.982934297330622
209.651872,0.9796567732895812
209.927367,0.9808124697744954
210.202862,0.9799017180997291
210.478358,0.9821030865668092
210.753853,0.9839925038475587
211.029348,0.9872371449191766
211.304843,0.9873013174191799
211.580339,0.9906378008562301
211.855834,0.9860640175163149
212.131329,0.9756054757073134
212.406824,0.9751509494684726
212.68232,0.9703387904107981
212.957815,0.9680950542376746
213.23331,0.9671864396430596
213.508806,0.9670674830269654
213.784301,0.9662922058332876
214.059796,0.9657299873909291
214.335291,0.9655310675029785
214.610787,0.9679121015619961
214.886282,0.9722493252065053
215.161777,0.9735354887812339
215.437272,0.9745631106971446
215.712768,0.9788518263004738
215.988263,0.9803555176416966
216.263758,0.979411889707982
216.539253,0.9820392519408302
216.814749,0.9836717745730166
217.090244,0.9874395492796231
217.365739,0.9859427391009359
217.641234,0.9877575560108272
217.91673,0.9863815812549732
218.192225,0.9877308869168493
218.46772,0.9875175600854025
218.743216,0.9842218008130142
219.018711,0.9835773466152721
219.294206,0.9793923016660689
219.569701,0.9765415301248705
219.845197,0.9758220841655696
220.120692,0.9737185306585221
220.396187,0.9732648835312252
220.671682,0.9696879114767358
