nu,[0]2-2-Difluoroethanol-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.0atm-L=15cm
69.9069,1.0
70.389017,1.0
70.871133,1.0
71.35325,1.0
71.835367,1.0
72.317484,1.0
72.7996,1.0
73.281717,1.0
73.763834,1.0
74.245951,1.0
74.728067,1.0
75.210184,1.0
75.692301,1.0
76.174417,1.0
76.656534,1.0
77.138651,1.0
77.620768,1.0
78.102884,1.0
78.585001,1.0
79.067118,1.0
79.549235,1.0
80.031351,1.0
80.513468,1.0
80.995585,1.0
81.477701,1.0
81.959818,1.0
82.441935,1.0
82.924052,1.0
83.406168,1.0
83.888285,1.0
84.370402,1.0
84.852519,1.0
85.334635,1.0
85.816752,1.0
86.298869,1.0
86.780985,1.0
87.263102,1.0
87.745219,1.0
88.227336,1.0
88.709452,1.0
89.191569,1.0
89.673686,1.0
90.155802,1.0
90.637919,1.0
91.120036,1.0
91.602153,1.0
92.084269,1.0
92.566386,1.0
93.048503,1.0
93.53062,1.0
94.012736,1.0
94.494853,1.0
94.97697,1.0
95.459086,1.0
95.941203,1.0
96.42332,1.0
96.905437,1.0
97.387553,1.0
97.86967,1.0
98.351787,1.0
98.833904,1.0
99.31602,1.0
99.798137,1.0
100.280254,0.9999967125054038
100.76237,0.9999959462082166
101.244487,0.9999957485090376
101.726604,0.9999958227087249
102.208721,0.9999959215083171
102.690837,0.9999961934072451
103.172954,0.9999967125054038
103.655071,0.9999969350046971
104.137188,0.9999964653062471
104.619304,0.9999957979088289
105.101421,0.9999953036110281
105.583538,0.9999949081129637
106.065654,0.9999948834130897
106.547771,0.9999952789111444
107.029888,0.9999954025105685
107.512005,0.9999948587132165
107.994121,0.9999944137156034
108.476238,0.9999948834130897
108.958355,0.9999955508098977
109.440472,0.9999955260100083
109.922588,0.9999947845136007
110.404705,0.9999937216197091
110.886822,0.9999929801246394
111.368938,0.9999929801246394
111.851055,0.9999934744212917
112.333172,0.999993869918789
112.815289,0.9999939688181877
113.297405,0.9999939688181877
113.779522,0.9999938452189407
114.261639,0.9999934992211301
114.743756,0.999993202523103
115.225872,0.9999930790239501
115.707989,0.9999930048244664
116.190106,0.9999929554248131
116.672222,0.9999930295242939
117.154339,0.9999929801246394
117.636456,0.9999927082265851
118.118573,0.9999924363286047
118.600689,0.9999924363286047
119.082806,0.9999925104280469
119.564923,0.9999923621291686
120.04704,0.9999920161318713
120.529156,0.9999918678330663
121.011273,0.999992065531478
121.49339,0.9999921644306983
121.975506,0.9999919172326658
122.457623,0.9999914723363608
122.93974,0.9999912498382829
123.421857,0.9999913240376364
123.903973,0.9999917195342832
124.38609,0.9999921397308921
124.868207,0.999992189130505
125.350324,0.9999922385301203
125.83244,0.9999926588269465
126.314557,0.9999927576262261
126.796674,0.9999922138303123
127.27879,0.999991373437209
127.760907,0.9999904341457531
128.243024,0.9999896430536336
128.725141,0.999989668053375
129.207257,0.9999906072441123
129.689374,0.9999916700346944
130.171491,0.9999923621291686
130.653607,0.9999926093273112
131.135724,0.9999927329264053
131.617841,0.9999929554248131
132.099958,0.9999930295242939
132.582074,0.9999928565255147
133.064191,0.9999928318256914
133.546308,0.9999930048244664
134.028425,0.9999927823260475
134.510541,0.9999921644306983
134.992658,0.9999916453349004
135.474775,0.9999914229367832
135.956891,0.9999913981369962
136.439008,0.9999915959353144
136.921125,0.9999919172326658
137.403242,0.9999920902312824
137.885358,0.9999923374293577
138.367475,0.9999927329264053
138.849592,0.9999928318256914
