nu,[0]Dimethylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9995429744679993
600.119602,0.9999808631831112
600.239204,0.9997804541037283
600.358806,0.9997777047112599
600.478408,0.9998944955659843
600.59801,0.9998092082030703
600.717612,0.9997935013237872
600.837214,0.9998388029936338
600.956816,0.9994615350243277
601.076418,0.999486961649204
601.19602,0.9999899100509039
601.315622,0.9996584983249761
601.435224,0.9996495914074364
601.554826,0.999970474435888
601.674428,0.9999807611850684
601.79403,1.0
601.913632,0.9995740607378943
602.033234,1.0
602.152836,0.9998718982057356
602.272438,0.9997797742532506
602.39204,0.9998124875826513
602.511642,0.9996518706111032
602.631244,0.999644853079603
602.750846,0.9992061352774684
602.870448,0.9999777652471957
602.99005,0.9998923557940533
603.109652,0.9997785645204557
603.229254,0.9999128977936175
603.348856,0.9999341851658913
603.468458,0.999857850104254
603.58806,0.9996160137416011
603.707662,0.9999433356054874
603.827264,0.9999512071904079
603.946866,0.9996642263845824
604.066468,0.9997785345270992
604.18607,0.9998358934669505
604.305672,0.9999712174142266
604.425274,0.9999042155876198
604.544876,0.9997890822462776
604.664478,0.9997308262337605
604.78408,0.9999394138354158
604.903682,0.9997306862714546
605.023284,0.9997627581463003
605.142886,0.999730306373866
605.262488,0.9998871463684502
605.38209,0.9997520607420194
605.501692,0.9997339054094472
605.621294,0.9999007509255153
605.740896,0.9998284247207221
605.860498,0.9999280405892026
605.9801,0.9997963907311813
606.099702,0.9998970952950524
606.219304,0.9996776819556253
606.338906,0.9998117977122729
606.458508,0.9999074462833595
606.57811,0.9998541006443463
606.697712,0.9998002099606885
606.817314,0.9998815570149243
606.936916,0.9998277148427925
607.056518,0.9996814007635192
607.17612,0.9995546491981214
607.295722,1.0
607.415324,0.999998389401297
607.534926,0.9999849171137478
607.654528,0.9999734993511484
607.77413,0.9996648861631895
607.893732,0.999509180491323
608.013334,0.9998927557510756
608.132936,0.9998430123238551
608.252538,0.9996552694332412
608.37214,0.9995418549804949
608.491742,0.9997112117073689
608.611344,0.9999925818275148
608.730946,0.9999972513037777
608.850548,0.9997045636499159
608.97015,0.999942839633716
609.089752,0.999907736256561
609.209354,0.9998201661720417
609.328956,0.9994878012186044
609.448558,0.9998282447516218
609.56816,0.9998183065082621
609.687762,0.999979470210739
609.807364,0.9999632176764862
609.926966,0.9999837471320793
610.046568,0.9998682186839205
610.16617,0.9997859529113475
610.285772,0.9997980903864903
610.405374,0.9997858729284745
610.524976,0.9998852965789405
610.644578,0.9998296745070341
610.76418,0.9997701364226812
610.883782,0.9996737132431058
611.003384,0.9997891822251908
611.122986,0.9997848131560109
611.242588,0.9995821973038644
611.36219,0.9998724281379822
611.481792,0.9996655159522662
611.601394,0.9998126875451688
611.720996,0.9999692184737609
611.840598,0.999800129976675
611.9602,0.9998511110850548
612.079802,0.9997787144872516
612.199404,0.9998960754005354
612.319006,1.0
612.438608,0.9997938312556971
612.55821,0.9999150076120576
612.677812,0.9999497352633142
612.797414,1.0
612.917016,0.9995726013608309
613.036618,0.9997946710828681
613.15622,0.9997110917420307
613.275822,0.99983453369106
613.395424,0.9998479515605359
613.515026,0.9997824236731628
613.634628,0.9999082542089025
613.75423,0.9998137473471793
613.873832,0.9999746053224503
613.993434,0.9999115919082256
614.113036,0.9995246430179475
614.232638,0.9999088511543085
614.35224,0.9999993435502155
614.471842,0.9997533304279428
614.591444,0.999906353385118
614.711046,0.9997302263954447
614.830648,0.9996913676367696
614.95025,0.99993913285248
615.069852,0.9998902860190191
615.189454,0.9998323940474473
615.309056,0.9998809070921234
615.428658,0.9998560803574256
615.54826,0.9997176898570099
615.667862,1.0
615.787464,1.0
615.907066,0.9998149171299481
616.026668,1.0
616.14627,0.9997534903884884
616.265872,0.9999388558693786
616.385474,0.9999978522023065
616.505076,1.0
616.624678,0.9999842901234014
616.74428,0.9998515410211251
616.863882,0.9999401087935499
616.983484,0.9997609185845178
617.103086,0.9999286845430682
617.222688,0.999931577340937
617.34229,0.9995333489155024
617.461892,0.999947124397964
617.581494,0.9998727780933933
617.701096,1.0
617.820698,0.9997809739896996
617.9403,0.9997716260812943
618.059902,0.9999614317437743
618.179504,0.9998733580197727
618.299106,0.9999877970744563
618.418708,0.9999571729171057
618.53831,0.9999247408321132
618.657912,0.9996703043615558
618.777514,0.9999171404330436
618.897116,0.9999168984531248
619.016718,0.9996522304858413
619.13632,0.9997706163124619
619.255922,0.9999177853798071
619.375524,0.9999691574756404
619.495126,0.9999476943679872
619.614728,0.9999520811481448
619.73433,0.9999104730077804
619.853932,0.9998560203660625
619.973534,0.9998430723144376
620.093136,0.9997650676009391
620.212738,0.9996505610680104
620.33234,0.9997602987329404
620.451942,0.9996032887107411
620.571544,0.9998745878647594
620.691146,0.9997853530399557
620.810748,1.0
620.93035,0.9999725833758425
621.049952,0.9996842598564138
621.169554,0.9997737955880768
621.289156,0.9998373232333004
621.408758,0.9999552360019377
621.52836,0.9998785373771818
621.647962,0.9999978715022653
621.767564,0.9999470624012441
621.887166,0.9998255652155165
622.006768,0.9999394008362035
622.12637,0.9999736483472109
622.245972,0.9999506732166058
622.365574,1.0
622.485176,1.0
622.604778,0.9997746653916574
622.72438,0.9999237039106946
622.843982,0.9999007039301812
622.963584,0.9997341653402964
623.083186,0.9999812681754429
623.202788,0.9996193324722759
623.32239,0.9998641292312691
623.441992,0.9995495614779053
623.561594,1.0
623.681196,0.999877527500369
623.800798,1.0
623.9204,0.9998736479830885
624.040002,0.9997674170516085
624.159604,0.9999676765224148
624.279206,1.0
624.398808,0.9996611874099535
624.51841,0.9999969057047874
624.638012,0.999987524077825
624.757614,0.9998674587843631
624.877216,0.9999936859199339
624.996818,0.9998205561019826
625.11642,0.999849331351661
625.236022,0.9999606057759728
625.355624,0.999957283912358
625.475226,0.9999791122181527
625.594828,1.0
625.71443,1.0
625.834032,0.999869198555255
625.953634,0.9999793472132718
626.073236,0.9996405846051936
626.192838,0.999959225831289
626.31244,0.9998144472170475
626.432042,0.9998658390003919
626.551644,0.9999125308256513
626.671246,0.9999404797713991
626.790848,0.9999193722505917
626.91045,0.9999378259328874
627.030052,1.0
627.149654,0.999873947945228
627.269256,1.0
627.388858,0.9998251052958622
627.50846,0.9997177498400731
627.628062,0.9998392729179817
627.747664,0.9999470434022502
627.867266,0.9999450065121973
627.986868,0.9998307043321292
628.10647,0.9999822331578322
628.226072,0.9999870860833854
628.345674,0.9999199872011948
628.465276,0.999836583353955
628.584878,0.9999404567727683
628.70448,0.9999904722453894
628.824082,0.9998867564125392
628.943684,0.9999406127634918
629.063286,1.0
629.182888,0.9999551830043115
629.30249,0.9998946455501698
629.422092,0.9998814970220327
629.541694,0.9999968278050314
629.661296,0.9997541602235513
629.780898,0.9999441185614257
629.9005,0.9998396128633922
630.020102,0.9999518791578449
630.139704,0.9997562097216806
630.259306,0.9998245853869426
630.378908,0.9998094281611203
630.49851,1.0
630.618112,0.9998898560662886
630.737714,0.999751540871083
630.857316,0.999990091349091
630.976918,0.9997581892409355
631.09652,1.0
631.216122,0.9999344761467814
631.335724,0.9999946025145665
631.455326,0.9998505911626122
631.574928,0.9999118928816602
631.69453,0.9999444635422061
631.814132,1.0
631.933734,0.9999179343675683
632.053336,0.9999905582445736
632.172938,0.9999493282838547
632.29254,0.9998975052529455
632.412142,1.0
632.531744,0.9999337281960731
632.651346,0.9999912983378597
632.770948,0.9999953312108988
632.89055,0.9996102259816371
633.010152,0.999751540871083
633.129754,0.9999123008457956
633.249356,0.9998462518204629
633.368958,0.9999408557490902
633.48856,0.9999549620142405
633.608162,0.9999864030924388
633.727764,0.9998333838820074
633.847366,0.9999048205298532
633.966968,0.9999785432301997
634.08657,0.9999816371685989
634.206172,0.9999218620529284
634.325774,0.9997368646261868
634.445376,0.9999167044692654
634.564978,0.9997608585988644
634.68458,0.9998748278346893
634.804182,0.9998546505642529
634.923784,0.9997762450368766
635.043386,0.9998123876014076
635.162988,0.9997258275921259
635.28259,0.9998124975807763
635.402192,0.9998367733229239
635.521794,0.9998966653393939
635.641396,0.9996668355116182
635.760998,0.9999348581218243
635.8806,0.9998446420692934
636.000202,0.9998730080641586
636.119804,0.9999273746373494
636.239406,0.9998541806326776
636.359008,0.9998056788827946
636.47861,0.9997921715993148
636.598212,0.9999264377058382
636.717814,0.9999057114454452
636.837416,0.9998767675937369
636.957018,1.0
637.07662,1.0
637.196222,1.0
637.315824,0.9998711383033818
637.435426,0.999982663150285
637.555028,0.9999022777751277
637.67463,0.9998559503761435
637.794232,1.0
637.913834,1.0
638.033436,0.9998097680963837
638.153038,0.9998645791702284
638.27264,0.9997880224704121
638.392242,1.0
638.511844,0.9997692666230409
638.631446,1.0
638.751048,0.9998975452488466
638.87065,0.9999894590555561
638.990252,0.9998578701014111
639.109854,0.9999897650523775
639.229456,0.9999369859854664
639.349058,0.9998410726302926
639.46866,0.9998760676802445
639.588262,0.9998536707071755
639.707864,0.99999847030117
639.827466,0.9999996586800582
639.947068,0.9999556239846445
640.06667,0.9998774875052687
640.186272,0.9999874650785627
640.305874,1.0
640.425476,0.9999795052100211
640.545078,1.0
640.66468,0.9999997337700355
640.784282,0.9999844701205898
640.903884,0.999763437985207
641.023486,0.9999991571003553
641.143088,0.9999870680836179
641.26269,0.9999574349059194
641.382292,0.9998333138936729
641.501894,0.9999173074192199
641.621496,1.0
641.741098,0.9998027294603923
641.8607,0.9999559629696585
641.980302,1.0
642.099904,0.9998472616656873
642.219506,0.9999123238437788
642.339108,0.9999898390516228
642.45871,0.9998303043999275
642.578312,0.999927107656776
642.697914,0.999906921332088
642.817516,0.9999195662349687
642.937118,0.9999497322634651
643.05672,0.9999706944294167
643.176322,0.9999629626858982
643.295924,1.0
643.415526,0.9999117698925049
643.535128,0.9997148006770611
643.65473,0.9997156804264729
643.774332,0.999961107756323
643.893934,0.9999280575879794
644.013536,0.9999393778375976
644.133138,1.0
644.25274,0.9998892061380933
644.372342,0.9999440505652281
644.491944,0.9998180065628152
644.611546,0.9999722363854163
644.731148,0.9999804281915303
644.85075,0.9999453374940492
644.970352,1.0
645.089954,1.0
645.209556,0.9999355280784037
645.329158,0.9999579448843412
645.44876,0.999991672234676
645.568362,0.9999714694070051
645.687964,0.9999884400668165
645.807566,0.9999964067064558
645.927168,0.999845461942236
646.04677,1.0
646.166372,0.9999666245569725
646.285974,0.9998996150389075
646.405576,0.9998943555807647
646.525178,1.0
646.64478,0.9999020567967487
646.764382,0.9999967350053302
646.883984,0.9998937856411445
647.003586,0.9998819169723496
647.123188,1.0
647.24279,0.9999676275239999
647.362392,1.0
647.481994,0.9999989230005799
647.601596,0.999933512210411
647.721198,0.9996808209484749
647.8408,1.0
647.960402,0.9999482293401468
648.080004,0.9999080332292027
648.199606,1.0
648.319208,0.9998958354255061
648.43881,0.9998638392707137
648.558412,0.9996924073163326
648.678014,0.9999939433183418
648.797616,1.0
648.917218,1.0
649.03682,0.9999662955680071
649.156422,0.9999812481758177
649.276024,0.9999606517741617
649.395626,0.9999272306478177
649.515228,1.0
649.63483,1.0
649.754432,0.9999385798862924
649.874034,0.9997980004046662
649.993636,0.9998036092871813
650.113238,1.0
650.23284,0.9999320173109277
650.352442,1.0
650.472044,0.9999801661966925
650.591646,0.9998950955028616
650.711248,1.0
650.83085,1.0
650.950452,0.9999106189947201
651.070054,0.9999616647348151
651.189656,0.9999458664652727
651.309258,1.0
651.42886,0.9999982036016135
651.548462,1.0
651.668064,0.9998962953776961
651.787666,1.0
651.907268,1.0
652.02687,0.9999314583490863
652.146472,1.0
652.266074,0.9999830941429056
652.385676,1.0
652.505278,0.9997827536014171
652.62488,1.0
652.744482,0.999840472725829
652.864084,0.9999605907765639
652.983686,0.9999883580677679
653.103288,1.0
653.22289,1.0
653.342492,0.9999586598545274
653.462094,0.9999963407066952
653.581696,0.9999232799431341
653.701298,0.9999574049071968
653.8209,0.9998963953673307
653.940502,0.999897335270384
654.060104,0.9999858750997573
654.179706,0.9999876460763103
654.299308,0.9999557949770708
654.41891,1.0
654.538512,0.9998610296572729
654.658114,0.9998875663211398
654.777716,1.0
654.897318,0.9999885350657228
655.01692,0.9999626366980255
655.136522,0.9999999282500026
655.256124,0.9998365033670314
655.375726,0.9999580438801826
655.495328,1.0
655.61493,1.0
655.734532,1.0
655.854134,0.9999941340172049
655.973736,0.9999861710956202
656.093338,1.0
656.21294,1.0
656.332542,1.0
656.452144,1.0
656.571746,0.9999782492365513
656.691348,1.0
656.81095,0.9999808791828052
656.930552,0.9999312483635021
657.050154,0.9999697904563175
657.169756,0.9999066253596831
657.289358,1.0
657.40896,0.9998881162594526
657.528562,0.9998570002254425
657.648164,0.9999728703680151
657.767766,0.9999596158154631
657.887368,0.9997327057294805
658.00697,0.9999935566207586
