nu,[0]HCFO-1233zd-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
600,1.0
600.119002,1.0
600.238004,1.0
600.357006,1.0
600.476008,1.0
600.59501,1.0
600.714012,1.0
600.833014,0.989286799514843
600.952016,1.0
601.071018,1.0
601.19002,1.0
601.309022,1.0
601.428024,1.0
601.547026,1.0
601.666028,0.9990351457714663
601.78503,1.0
601.904032,0.995906501300781
602.023034,0.9946121667193265
602.142036,0.9985777124110665
602.261038,0.9987240147623203
602.38004,1.0
602.499042,0.9964418452886257
602.618044,0.998507814417656
602.737046,0.988958410812945
602.856048,0.9975471132551491
602.97505,0.9977295813083583
603.094052,0.997331267415203
603.213054,0.9955439577487162
603.332056,0.9848341772024338
603.451058,0.9987290083948781
603.57006,0.9922656650908949
603.689062,0.9922088098972021
603.808064,0.996683810742079
603.927066,1.0
604.046068,0.9931495718960038
604.16507,1.0
604.284072,1.0
604.403074,1.0
604.522076,0.9939295003918258
604.641078,0.9959290090420468
604.76008,0.9955784041655739
604.879082,0.9914685015589363
604.998084,1.0
605.117086,0.9946471776837844
605.236088,0.9995312199117365
605.35509,1.0
605.474092,0.9926229450368593
605.593094,0.9990985865174452
605.712096,1.0
605.831098,1.0
605.9501,1.0
606.069102,0.9996302183860801
606.188104,0.9908853921779113
606.307106,0.9937344111795315
606.426108,1.0
606.54511,0.9881695368037091
606.664112,1.0
606.783114,1.0
606.902116,0.9919370811191262
607.021118,0.9808124697744954
607.14012,0.9923205388994213
607.259122,0.9985777124110665
607.378124,1.0
607.497126,0.9967214861021849
607.616128,1.0
607.73513,0.9898666914711075
607.854132,1.0
607.973134,1.0
608.092136,1.0
608.211138,0.9959692453867809
608.33014,0.9915911537984637
608.449142,1.0
608.568144,1.0
608.687146,1.0
608.806148,1.0
608.92515,1.0
609.044152,1.0
609.163154,0.9908102859117476
609.282156,0.9893036175333875
609.401158,0.9999569679259063
609.52016,1.0
609.639162,1.0
609.758164,1.0
609.877166,0.9973594922894509
609.996168,0.9932320067314695
610.11517,1.0
610.234172,0.9987431904474897
610.353174,1.0
610.472176,0.990085476184743
610.591178,1.0
610.71018,1.0
610.829182,1.0
610.948184,1.0
611.067186,1.0
611.186188,1.0
611.30519,1.0
611.424192,0.9982957538795001
611.543194,1.0
611.662196,0.9993576064231617
611.781198,1.0
611.9002,0.9964627707870937
612.019202,1.0
612.138204,1.0
612.257206,1.0
612.376208,0.9963260654731406
612.49521,1.0
612.614212,1.0
612.733214,0.9958495370780989
612.852216,0.9945764607834667
612.971218,1.0
613.09022,0.999652400426735
613.209222,0.9955640679397749
613.328224,1.0
613.447226,1.0
613.566228,1.0
613.68523,1.0
613.804232,1.0
613.923234,1.0
614.042236,1.0
614.161238,1.0
614.28024,1.0
614.399242,1.0
614.518244,1.0
614.637246,0.9986990469740499
614.756248,0.9995276116105456
614.87525,1.0
614.994252,0.9993112772784459
615.113254,1.0
615.232256,1.0
615.351258,1.0
615.47026,1.0
615.589262,0.9939385451914332
615.708264,0.9940474868258786
615.827266,0.9990594625828488
615.946268,1.0
616.06527,1.0
616.184272,0.9949116895336225
616.303274,0.9919495796050886
616.422276,0.9966909868913505
616.541278,1.0
616.66028,1.0
616.779282,0.9993479226948733
616.898284,0.9805427834288795
617.017286,1.0
617.136288,0.9941155814109391
617.25529,1.0
617.374292,0.9990567251636716
617.493294,1.0
617.612296,1.0
617.731298,1.0
617.8503,0.9924704898613589
617.969302,1.0
618.088304,1.0
618.207306,1.0
618.326308,1.0
618.44531,0.9970108763525629
618.564312,0.9973788412512856
618.683314,1.0
618.802316,1.0
618.921318,1.0
619.04032,1.0
619.159322,1.0
619.278324,0.9947440610370335
619.397326,0.9994339102892752
619.516328,1.0
619.63533,0.9963788721539754
619.754332,0.9835576752650539
619.873334,0.9994282834921997
619.992336,0.9988993062082855
620.111338,1.0
620.23034,0.9989714293418075
620.349342,0.9945862076805421
620.468344,0.9909621887716346
620.587346,0.9969893411502146
620.706348,1.0
620.82535,1.0
620.944352,0.9991877500537238
621.063354,1.0
621.182356,0.9970434791412723
621.301358,0.9843783045210586
621.42036,1.0
621.539362,0.9987364988905304
621.658364,1.0
621.777366,0.9983219095708898
621.896368,0.9982028168710988
622.01537,1.0
622.134372,0.9977434498459246
622.253374,0.990908579167375
622.372376,0.9907431112516095
622.491378,0.9956910104508504
622.61038,1.0
622.729382,1.0
622.848384,1.0
622.967386,1.0
623.086388,1.0
623.20539,0.9991116747946566
623.324392,0.989396616444316
623.443394,1.0
623.562396,1.0
623.681398,1.0
623.8004,1.0
623.919402,0.9856913557552038
624.038404,1.0
624.157406,1.0
624.276408,1.0
624.39541,0.9976240271025718
624.514412,1.0
624.633414,1.0
624.752416,1.0
624.871418,1.0
624.99042,1.0
625.109422,1.0
625.228424,1.0
625.347426,1.0
625.466428,0.9937140398329094
625.58543,1.0
625.704432,0.9913212794179692
625.823434,0.9946784100955101
625.942436,0.9964042801391657
626.061438,0.9926361470098212
626.18044,1.0
626.299442,0.9943364984361012
626.418444,1.0
626.537446,0.9994603156819988
626.656448,0.9952388702827087
626.77545,0.9952321026814006
626.894452,1.0
627.013454,1.0
627.132456,1.0
627.251458,1.0
627.37046,0.9982909620713818
627.489462,1.0
627.608464,1.0
627.727466,0.9950363597787488
627.846468,1.0
627.96547,0.9902968820006762
628.084472,1.0
628.203474,1.0
628.322476,1.0
628.441478,1.0
628.56048,1.0
