nu,[0]HG-10-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.0atm-L=15cm
25.073,0.9999983827013078
25.555173,0.9999983827013078
26.037347,0.9999983827013078
26.51952,0.9999983803013117
27.001693,0.9999983803013117
27.483867,0.9999983778013157
27.96604,0.9999983778013157
28.448213,0.9999982090016039
28.930386,0.9999983142014209
29.41256,0.9999985050011175
29.894733,0.9999987106008312
30.376906,0.9999989210005821
30.85908,0.9999991265103815
31.341253,0.999999356510207
31.823426,0.9999995277801115
32.3056,0.9999996011800796
32.787773,0.9999996917100475
33.269946,0.999999743090033
33.752119,0.9999996329900673
34.234293,0.9999994935201283
34.716466,0.999999393210184
35.198639,0.9999993589502054
35.680813,0.9999993418202165
36.162986,0.9999993149102346
36.645159,0.9999993638502024
37.127333,0.9999994372501584
37.609506,0.999999486180132
38.091679,0.9999995718200917
38.573852,0.9999997039400438
39.056026,0.9999998556400104
39.538199,0.9999999070240043
40.020372,0.9999998727700081
40.502546,0.9999998287300147
40.984719,0.9999997015000446
41.466892,0.9999995326701092
41.949066,0.9999994005501797
42.431239,0.9999993222502297
42.913412,0.999999283100257
43.395585,0.999999192570326
43.877759,0.9999991167203901
44.359932,0.9999991216203857
44.842105,0.9999991632103501
45.324279,0.9999992317202951
45.806452,0.9999992904402517
46.288625,0.9999993271402263
46.770799,0.9999993271402263
47.252972,0.999999261080273
47.735145,0.9999991656603481
48.217318,0.9999990164104837
48.699492,0.999998847600664
49.181665,0.9999986861008632
49.663838,0.9999985173010992
50.146012,0.9999983998012804
50.628185,0.9999983484013639
51.110358,0.9999984194012491
51.592532,0.9999986592008989
52.074705,0.9999989283005742
52.556878,0.9999991632103501
53.039052,0.9999993295902248
53.521225,0.9999993809701916
54.003398,0.9999993491602118
54.485571,0.9999992684202677
54.967745,0.9999991876803299
55.449918,0.9999991216203857
55.932091,0.9999990164104837
56.414265,0.9999989234005795
56.896438,0.9999988549006557
57.378611,0.9999988256006896
57.860785,0.9999988769006307
58.342958,0.99999904087046
58.825131,0.9999992953402482
59.307304,0.9999995131001186
59.789478,0.9999995938400825
60.271651,0.9999995791600885
60.753824,0.9999994641601435
61.235998,0.9999992684202677
61.718171,0.9999990506604506
62.200344,0.9999988623006472
62.682518,0.9999986983008472
63.164691,0.9999985760010139
63.646864,0.9999985466010561
64.129037,0.999998602900976
64.611211,0.9999987571007724
65.093384,0.9999990066204933
65.575557,0.9999993051202414
66.057731,0.9999995840500865
66.539904,0.9999997161800402
67.022077,0.9999996941600467
67.504251,0.9999995987300805
67.986424,0.9999994519301502
68.468597,0.999999310020238
68.95077,0.9999992317202951
69.432944,0.9999992268302988
69.915117,0.999999261080273
70.39729,0.999999261080273
70.879464,0.999999261080273
71.361637,0.999999261080273
71.84381,0.9999992243803008
72.325984,0.9999992243803008
72.808157,0.999999229270297
73.29033,0.9999992072503142
73.772504,0.9999991632103501
74.254677,0.9999990898104142
74.73685,0.9999990482104529
75.219023,0.9999990041704958
75.701197,0.9999989748005255
76.18337,0.9999990164104837
76.665543,0.9999990604504414
77.147717,0.9999991534303584
77.62989,0.999999283100257
78.112063,0.9999993760801946
78.594237,0.9999994445901542
79.07641,0.9999994666101423
79.558583,0.9999994886301308
80.040756,0.9999995155401173
80.52293,0.9999994568201476
81.005103,0.9999994054401767
81.487276,0.9999993760801946
81.96945,0.9999993222502297
82.451623,0.9999992635302712
82.933796,0.9999991656603481
83.41597,0.9999990506604506
83.898143,0.9999989063005981
84.380316,0.9999987032008408
84.862489,0.9999985466010561
85.344663,0.9999984365012222
85.826836,0.99999833870138
86.309009,0.9999982971014499
86.791183,0.9999983191014127
87.273356,0.9999983656013356
87.755529,0.9999983851013039
88.237703,0.9999983851013039
88.719876,0.9999983974012842
89.202049,0.9999983974012842
89.684222,0.9999983729013238
90.166396,0.9999983607013436
90.648569,0.9999983998012804
91.130742,0.9999984585011881
91.612916,0.9999984879011432
92.095089,0.9999984830011507
92.577262,0.9999984757011617
93.059436,0.9999984634011806
93.541609,0.9999984488012031
94.023782,0.9999984585011881
94.505955,0.9999985050011175
94.988129,0.9999985466010561
95.470302,0.9999985638010314
95.952475,0.9999985760010139
96.434649,0.9999985417010633
96.916822,0.999998468301173
97.398995,0.9999984316012299
97.881169,0.9999984390012183
98.363342,0.9999985124011065
98.845515,0.9999986200009522
99.327689,0.9999987179008218
99.809862,0.9999988182006984
100.292035,0.9999988647006445
100.774208,0.9999988525006583
101.256382,0.9999988060007128
101.738555,0.9999986983008472
102.220728,0.9999985784010105
102.702902,0.9999984488012031
103.185075,0.9999983142014209
103.667248,0.9999982334015605
104.149422,0.9999981649016838
104.631595,0.9999981307017471
105.113768,0.9999981600016928
105.595941,0.9999981821016524
106.078115,0.999998228601569
106.560288,0.9999983166014169
107.042461,0.9999984218012453
107.524635,0.9999985442010597
108.006808,0.9999986078009692
108.488981,0.9999986543009054
108.971155,0.9999987081008345
109.453328,0.9999987228008156
109.935501,0.9999987571007724
110.417674,0.9999988158007012
110.899848,0.9999988965006088
111.382021,0.9999990041704958
111.864194,0.9999990482104529
112.346368,0.9999990433204576
112.828541,0.999999009070491
113.310714,0.999998945500556
113.792888,0.9999988231006925
114.275061,0.9999986323009353
114.757234,0.999998446301207
115.239407,0.9999982775014835
115.721581,0.9999981087017885
116.203754,0.9999979765020472
116.685927,0.9999978958022139
117.168101,0.9999978738022604
117.650274,0.9999978982022087
118.132447,0.9999979765020472
118.614621,0.9999980964018118
119.096794,0.9999982848014709
119.578967,0.999998468301173
120.06114,0.9999986127009624
120.543314,0.99999868850086
121.025487,0.9999986812008697
121.50766,0.9999985711010209
121.989834,0.9999984145012569
122.472007,0.9999982432015432
122.95418,0.9999981087017885
123.436354,0.9999979814020373
123.918527,0.9999978566022971
124.4007,0.9999977612025062
124.882874,0.9999976976026506
125.365047,0.9999976389027874
125.84722,0.9999976364027933
126.329393,0.9999976560027471
126.811567,0.9999976707027128
127.29374,0.9999976364027933
127.775913,0.9999975288030534
128.258087,0.9999974064033634
128.74026,0.9999973086036218
129.222433,0.9999973086036218
129.704607,0.9999973330035564
130.18678,0.9999974309033002
130.668953,0.9999975777029337
131.151126,0.9999977294025778
131.6333,0.9999978615022866
132.115473,0.999997966802067
132.597646,0.9999980769018492
133.07982,0.9999981576016972
133.561993,0.9999981943016303
134.044166,0.9999981772016613
134.52634,0.9999980940018164
135.008513,0.9999979790020422
135.490686,0.999997846902318
135.972859,0.9999977392025556
136.455033,0.9999977025026392
136.937206,0.9999977172026056
137.419379,0.9999977539025224
137.901553,0.9999978199023765
138.383726,0.9999979031021985
138.865899,0.999998003501993
139.348073,0.9999980842018351
139.830246,0.9999981649016838
140.312419,0.9999982653015046
140.794592,0.9999983338013881
141.276766,0.9999983607013436
141.758939,0.9999983803013117
142.241112,0.9999983803013117
142.723286,0.9999983191014127
143.205459,0.9999982090016039
143.687632,0.9999981038017978
144.169806,0.999998003501993
144.651979,0.9999979080021882
145.134152,0.9999978346023445
145.616325,0.9999978028024138
146.098499,0.9999978028024138
146.580672,0.9999978004024191
147.062845,0.9999977906024408
147.545019,0.9999977759024733
148.027192,0.9999977588025115
148.509365,0.9999977294025778
148.991539,0.9999976829026844
149.473712,0.9999976462027702
149.955885,0.9999975875029101
150.438059,0.9999974798031757
150.920232,0.9999973820034269
151.402405,0.9999973086036218
151.884578,0.9999972596037549
152.366752,0.999997284103688
152.848925,0.9999973330035564
153.331098,0.9999974309033002
153.813272,0.9999975288030534
154.295445,0.9999975948028925
154.777618,0.9999976609027357
155.259792,0.9999977319025721
155.741965,0.9999977857024516
156.224138,0.999997822402371
156.706311,0.999997846902318
157.188485,0.9999978542023022
157.670658,0.9999978322023497
158.152831,0.9999977906024408
158.635005,0.9999977539025224
159.117178,0.9999977294025778
159.599351,0.9999977025026392
160.081525,0.9999976878026732
160.563698,0.9999976854026786
161.045871,0.9999976829026844
161.528044,0.9999976707027128
162.010218,0.9999976560027471
162.492391,0.9999976609027357
162.974564,0.9999976682027186
163.456738,0.9999976658027242
163.938911,0.9999976756027014
164.421084,0.9999976829026844
164.903258,0.99999768050269
165.385431,0.9999976731027073
165.867604,0.9999976560027471
166.349777,0.9999976389027874
166.831951,0.9999976120028513
167.314124,0.9999975704029515
167.796297,0.9999975288030534
168.278471,0.9999975043031143
168.760644,0.9999974798031757
169.242817,0.9999974798031757
169.724991,0.9999975043031143
170.207164,0.9999975288030534
170.689337,0.9999975802029277
171.171511,0.9999976511027586
171.653684,0.9999977196026001
172.135857,0.99999779550243
172.61803,0.9999978713022657
173.100204,0.9999979301021422
173.582377,0.999997964302072
174.06455,0.9999979619020769
174.546724,0.9999979301021422
175.028897,0.9999978664022762
175.51107,0.9999977710024842
175.993244,0.9999976903026674
176.475417,0.9999976364027933
176.95759,0.999997604602869
177.439763,0.999997604602869
177.921937,0.9999976193028338
178.40411,0.9999976707027128
178.886283,0.9999977270025833
179.368457,0.9999977661024951
179.85063,0.9999978248023658
180.332803,0.9999978689022708
180.814977,0.9999978836022396
181.29715,0.9999978909022241
181.779323,0.9999978836022396
182.261496,0.9999978762022552
182.74367,0.9999978518023074
183.225843,0.9999978248023658
183.708016,0.9999978273023603
184.19019,0.9999978322023497
184.672363,0.9999978346023445
185.154536,0.9999978493023127
185.63671,0.9999978664022762
186.118883,0.9999978738022604
186.601056,0.9999978640022813
187.083229,0.9999978420023284
187.565403,0.9999978102023976
188.047576,0.9999977661024951
188.529749,0.9999977221025944
189.011923,0.9999976854026786
189.494096,0.9999976560027471
189.976269,0.9999976267028162
190.458443,0.9999975948028925
190.940616,0.9999975557029873
191.422789,0.9999975043031143
191.904962,0.9999974554032375
192.387136,0.9999974064033634
192.869309,0.9999973575034914
193.351482,0.9999973086036218
193.833656,0.9999972596037549
194.315829,0.9999972107038901
194.798002,0.9999971618040276
195.280176,0.9999971128041679
195.762349,0.9999970884042387
196.244522,0.9999970639043103
196.726696,0.9999970150044551
197.208869,0.9999970150044551
197.691042,0.9999970150044551
198.173215,0.9999969905045285
198.655389,0.9999969660046025
199.137562,0.9999968926048279
199.619735,0.9999968437049811
200.101909,0.9999967458052949
200.584082,0.9999966724055365
201.066255,0.9999965990057834
201.548429,0.9999965746058667
202.030602,0.9999965501059509
202.512775,0.9999965501059509
202.994948,0.9999965746058667
203.477122,0.9999966480056179
203.959295,0.9999967214053747
204.441468,0.9999967948051367
204.923642,0.9999968682049041
205.405815,0.9999969416046769
205.887988,0.9999969905045285
206.370162,0.9999969660046025
206.852335,0.9999969416046769
207.334508,0.9999969171047521
207.816681,0.9999968682049041
208.298855,0.9999968192050588
208.781028,0.9999968192050588
209.263201,0.9999967948051367
209.745375,0.9999967948051367
210.227548,0.9999967703052155
210.709721,0.9999967458052949
211.191895,0.9999967214053747
211.674068,0.9999966969054552
212.156241,0.9999966480056179
212.638414,0.9999965990057834
213.120588,0.9999965256060357
213.602761,0.9999964767062068
214.084934,0.9999964277063806
214.567108,0.9999963788065566
215.049281,0.9999963299067348
215.531454,0.9999962565070069
216.013628,0.9999962075071915
216.495801,0.9999961341074726
216.977974,0.9999960852076628
217.460147,0.9999960118079528
217.942321,0.9999959629081491
218.424494,0.9999958895084481
218.906667,0.9999958405086508
219.388841,0.9999957916088553
219.871014,0.9999957427090623
220.353187,0.9999957182091669
220.835361,0.9999957182091669
221.317534,0.9999957182091669
221.799707,0.9999957182091669
222.281881,0.9999957427090623
222.764054,0.9999957916088553
223.246227,0.9999958161087525
223.7284,0.9999958650085491
224.210574,0.9999958895084481
224.692747,0.9999959139083481
225.17492,0.9999959384082483
225.657094,0.9999959873080508
226.139267,0.9999960363078555
226.62144,0.9999961097075672
227.103614,0.9999961586073781
227.585787,0.9999962565070069
228.06796,0.9999963299067348
228.550133,0.9999964277063806
229.032307,0.9999965501059509
229.51448,0.9999966480056179
229.996653,0.9999967703052155
230.478827,0.9999968926048279
230.961,0.9999969905045285
231.443173,0.9999970394043826
231.925347,0.9999971128041679
232.40752,0.9999971373040976
232.889693,0.9999971862039587
233.371866,0.9999972352038221
233.85404,0.999997284103688
234.336213,0.9999973330035564
234.818386,0.9999973575034914
235.30056,0.9999973820034269
235.782733,0.9999973820034269
236.264906,0.9999973820034269
236.74708,0.9999973820034269
237.229253,0.9999973575034914
237.711426,0.9999973575034914
238.193599,0.9999973575034914
238.675773,0.9999973330035564
239.157946,0.9999973330035564
239.640119,0.9999973330035564
240.122293,0.9999973330035564
240.604466,0.9999973330035564
241.086639,0.9999973575034914
241.568813,0.9999973575034914
242.050986,0.9999973330035564
242.533159,0.9999973086036218
243.015333,0.999997284103688
243.497506,0.9999972596037549
243.979679,0.9999972352038221
244.461852,0.9999972352038221
244.944026,0.9999972107038901
245.426199,0.9999972107038901
245.908372,0.9999972107038901
246.390546,0.9999972107038901
246.872719,0.9999972596037549
247.354892,0.999997284103688
247.837066,0.999997284103688
248.319239,0.9999973330035564
248.801412,0.9999974798031757
249.283585,0.9999976854026786
249.765759,0.9999979031021985
250.247932,0.9999981013018026
250.730105,0.9999982481015346
251.212279,0.999998282401475
251.694452,0.9999981772016613
252.176625,0.9999980548018919
252.658799,0.999997942302117
253.140972,0.9999978102023976
253.623145,0.9999976903026674
254.105318,0.9999975802029277
254.587492,0.9999974798031757
255.069665,0.9999974064033634
255.551838,0.9999973330035564
256.034012,0.9999974309033002
256.516185,0.9999976144028455
256.998358,0.9999978151023869
257.480532,0.9999980132019737
257.962705,0.9999981552017017
258.444878,0.9999982383015518
258.927051,0.9999982261015734
259.409225,0.9999981698016748
259.891398,0.999998184501648
260.373571,0.999998213901595
260.855745,0.9999982188015863
261.337918,0.999998235901556
