nu,[0]Acrolein-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
540,0.7702347041463802
540.119202,0.7821490152537138
540.238404,0.7730821204568818
540.357606,0.7714603514573719
540.476808,0.7553304072247213
540.59601,0.7704041744223392
540.715212,0.7818127634764679
540.834414,0.7718461780817186
540.953616,0.7564718176876527
541.072818,0.7815157310660792
541.19202,0.7659028078455475
541.311222,0.7675052186499445
541.430424,0.7790656203574365
541.549626,0.790547132859
541.668828,0.7532109080713782
541.78803,0.7275227565097053
541.907232,0.7574331472111527
542.026434,0.7590178379137678
542.145636,0.7806643430100022
542.264838,0.7471046574362022
542.38404,0.812832676970795
542.503242,0.7750017434642734
542.622444,0.7569863934596145
542.741646,0.7658645136625178
542.860848,0.7950820198712948
542.98005,0.7643419587249481
543.099252,0.793112659478264
543.218454,0.7664161346720882
543.337656,0.7719542441110956
543.456858,0.7879583861287575
543.57606,0.7628224306589679
543.695262,0.787344018222209
543.814464,0.7865020106770824
543.933666,0.7704272868942572
544.052868,0.7709359367395924
544.17207,0.7835111392444634
544.291272,0.7847029817469474
544.410474,0.7793773089391399
544.529676,0.8000028410564125
544.648878,0.7776023528935616
544.76808,0.7939299863686168
544.887282,0.7817345861090538
545.006484,0.800819260257299
545.125686,0.7910295137212492
545.244888,0.7714217794041084
545.36409,0.7773768809062408
545.483292,0.7907052580975685
545.602494,0.762342003877979
545.721696,0.7624411147805522
545.840898,0.7837227158136109
545.9601,0.7708434299777004
546.079302,0.7780145913741427
546.198504,0.7693032837773274
546.317706,0.7912747708833988
546.436908,0.7743665025190148
546.55611,0.7723712119741063
546.675312,0.7868166744099043
546.794514,0.8018529837113072
546.913716,0.7864548219721171
547.032918,0.7890938635523173
547.15212,0.7940570253292816
547.271322,0.7837854161388556
547.390524,0.7914013849755974
547.509726,0.7671445759548512
547.628928,0.7959650509049104
547.74813,0.8015884158827751
547.867332,0.7945812759496733
547.986534,0.7861953346986212
548.105736,0.7989475339621309
548.224938,0.7800088603031531
548.34414,0.780453592090044
548.463342,0.7764523526213939
548.582544,0.7774779464698779
548.701746,0.7783414261330147
548.820948,0.7823132837945103
548.94015,0.7838559600007342
549.059352,0.7671215619627841
549.178554,0.7727574941425879
549.297756,0.7810235312147402
549.416958,0.7946289522565052
549.53616,0.798731847246978
549.655362,0.8030406047499881
549.774564,0.7965383521052274
549.893766,0.7793851027511983
550.012968,0.7883603473970939
550.13217,0.7943905993255556
550.251372,0.7848285442687608
550.370574,0.7920426797867633
550.489776,0.7896543191336269
550.608978,0.7970243887261098
550.72818,0.8061140864727683
550.847382,0.7956387721257597
550.966584,0.7847186759635241
551.085786,0.7888098408885854
551.204988,0.7796033611347164
551.32419,0.7645407134712139
551.443392,0.7701191776054654
551.562594,0.7747925212398094
551.681796,0.7693571368920288
551.800998,0.7560558725833135
551.9202,0.7751102513037299
552.039402,0.7841381989462965
552.158604,0.7862503702982737
552.277806,0.8024786730257122
