nu,[0]PFC-218-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
600,0.9890978637800727
600.118002,0.9887823918819698
600.236005,0.9888407317641005
600.354007,0.9888763306712205
600.472009,0.9890474210753198
600.590012,0.9888021677275654
600.708014,0.9887606389086321
600.826017,0.9891868865937795
600.944019,0.9890968746827035
601.062021,0.9889277535773994
601.180024,0.9891542439651282
601.298026,0.9890157720642323
601.416028,0.9890761038664295
601.534031,0.9889831350822673
601.652033,0.9891285262891163
601.770035,0.9890830274233889
601.888038,0.989032585475271
602.00604,0.9891403959026493
602.124042,0.9890859946769222
602.242045,0.9890355525774781
602.360047,0.9890128050213667
602.47805,0.98903456354242
602.596052,0.989085005591422
602.714054,0.9889178643493098
602.832057,0.9890622568979044
602.950059,0.9890513772729166
603.068061,0.9890939073965304
603.186064,0.9889900579884431
603.304066,0.9891117112470977
603.422068,0.9890226951988678
603.540071,0.9891146785866824
603.658073,0.9889069863126313
603.776076,0.9889969809430793
603.894078,0.9888397429238631
604.01208,0.9888268880907617
604.130083,0.9888387540846146
604.248085,0.9888219439686816
604.366087,0.988785358233595
604.48409,0.9888535867771708
604.602092,0.9888338099032047
604.720094,0.9887932685481021
604.838097,0.9886854959555433
604.956099,0.9886153017772533
605.074101,0.9887201005534787
605.192104,0.9887023037518404
605.310106,0.988603438464812
605.428109,0.9885866323492105
605.546111,0.9886538585258744
605.664113,0.9885243533531815
605.782116,0.988613324548627
605.900118,0.9884403323540896
606.01812,0.9884057375478698
606.136123,0.9884116680000864
606.254125,0.9884393439142514
606.372127,0.9883909115730016
606.49013,0.9883968419362622
606.608132,0.9882298169839809
606.726135,0.988228828754658
606.844137,0.9881418684440374
606.962139,0.9881804067283985
607.080142,0.988014406364489
607.198144,0.9879827904093433
607.316146,0.9878652274524193
607.434149,0.9879324045718823
607.552151,0.9877269360012034
607.670153,0.9876894030907652
607.788156,0.987653846912269
607.906158,0.9875886639094356
608.02416,0.987529410367225
608.142163,0.9873990650880342
608.260165,0.9873220509645472
608.378168,0.9873487090198054
608.49617,0.9871206578089508
608.614172,0.9869558224232344
608.732175,0.9869242403422329
608.850177,0.9868709478721641
608.968179,0.9866143947790647
609.086182,0.9865630921644157
609.204184,0.9864851567586238
609.322186,0.986344099467044
609.440189,0.9861231831323166
609.558191,0.9861182525287274
609.676194,0.9859811916175799
609.794196,0.9858135890616259
609.912198,0.9856174316757098
610.030201,0.9856795275299043
610.148203,0.9853336147269895
610.266205,0.9852735112096672
610.384208,0.9851247461415198
610.50221,0.9850055532585515
610.620212,0.9848194048005691
610.738215,0.9846195067517329
610.856217,0.9844422911903967
610.974219,0.9843802732796364
611.092222,0.9840968125812317
611.210224,0.9838941095169724
611.328227,0.9837937574358449
611.446229,0.9835960347623945
611.564231,0.9834199868289322
611.682234,0.9832567526599295
611.800236,0.9831839943523232
611.918238,0.9829313485321531
612.036241,0.9826984214055058
612.154243,0.9826031042815847
612.272245,0.9826040868851803
612.390248,0.9825215516084121
612.50825,0.9824606371605797
612.626253,0.9822965799333337
612.744255,0.9822013017861451
612.862257,0.9822091594279898
612.98026,0.9819577460654597
613.098262,0.9818251907174282
613.216264,0.9817191593226291
613.334267,0.9814080036699004
613.452269,0.9812146853356586
613.570271,0.9810930222579437
613.688274,0.9809399836837907
613.806276,0.9809046704800195
613.924278,0.9806575136461275
614.042281,0.9804927770220988
614.160283,0.9803721838271586
614.278286,0.9800839967706866
614.396288,0.9799154368198134
614.51429,0.9797596426513236
614.632293,0.9796930212607763
614.750295,0.97952158998273
614.868297,0.979356064821293
614.9863,0.9793345192248694
615.104302,0.9791465050471169
615.222304,0.9788038637360776
615.340307,0.9786531395471226
615.458309,0.978480911751053
615.576312,0.9781971934277904
615.694314,0.9780749264204591
615.812316,0.9780514529039084
615.930319,0.9778011037780203
616.048321,0.9776563999230106
616.166323,0.9773631469931725
616.284326,0.9770523949246264
616.402328,0.9768990097396753
616.52033,0.9767231837427366
616.638333,0.9768169536692604
616.756335,0.9766841155967549
616.874337,0.9765161403751556
616.99234,0.9765122343184062
617.110342,0.9764350928990212
617.228345,0.976268136773291
617.346347,0.9760016519487855
617.464349,0.9756503545914023
617.582352,0.9756366955820513
617.700354,0.9754962140128032
617.818356,0.9753898907202005
617.936359,0.9753430731290772
618.054361,0.9753713584883337
618.172363,0.9752748015034929
618.290366,0.975197757837439
618.408368,0.9751168197825142
618.526371,0.9749988377853753
618.644373,0.9750193129759576
618.762375,0.9748360265745797
618.880378,0.9747024831868699
618.99838,0.9745757800999346
619.116382,0.974432527989548
619.234385,0.9741071218710464
619.352387,0.9739902360297126
619.470389,0.9739541990576677
619.588392,0.9739123199275159
619.706394,0.9737876671285145
619.824396,0.9737087935219013
619.942399,0.973598770644643
620.060401,0.9734722110310122
620.178404,0.973373895302726
620.296406,0.9732133018593244
620.414408,0.973079980769673
620.532411,0.9730118675550093
620.650413,0.9730060295013182
620.768415,0.9727521080658071
620.886418,0.972691799304698
621.00442,0.9725692478588888
621.122422,0.9725497966684442
621.240425,0.9723125234665649
621.358427,0.972216269291402
621.47643,0.9721346065546644
621.594432,0.9718614751069883
621.712434,0.971722508852372
621.830437,0.9714796085889569
621.948439,0.9712911598250118
622.066441,0.9709755414888264
622.184444,0.9707085599265644
622.302446,0.9705047325316053
622.420448,0.9704668835850958
622.538451,0.9703038588431152
622.656453,0.9702136247801918
622.774455,0.9701748170113611
622.892458,0.9700603431370453
623.01046,0.9701864591790181
623.128463,0.9701408614869909
623.246465,0.9701709363198545
623.364467,0.970577523116158
623.48247,0.9707318572115688
623.600472,0.97087747791143
623.718474,0.9710590489761649
623.836477,0.9711221698657551
623.954479,0.971376637208026
624.072481,0.9714232644056559
624.190484,0.9715009813754456
624.308486,0.9717885882296473
624.426489,0.971981021420374
624.544491,0.9720024052380664
624.662493,0.9722930774105568
624.780496,0.9723815601065028
624.898498,0.9725108954546069
625.0165,0.972730707754834
625.134503,0.9728318770091505
625.252505,0.973118904747378
625.370507,0.973181186350272
625.48851,0.9732950552102734
625.606512,0.9735861139428933
625.724514,0.9739132938403228
625.842517,0.9738821291135582
625.960519,0.9740827694974056
626.078522,0.9742883226468642
626.196524,0.9745445941739489
626.314526,0.974589424256365
626.432529,0.9749491141126126
626.550531,0.9749471642163343
626.668533,0.9751655768424197
626.786536,0.9753430731290772
626.904538,0.9754962140128032
627.02254,0.975679624541087
627.140543,0.9756854786363967
627.258545,0.9759050325679809
627.376548,0.9760768069694168
627.49455,0.9762993778535224
627.612552,0.9764370457711599
627.730555,0.9766772788318745
627.848557,0.9767642069779356
627.966559,0.9770563031420224
628.084562,0.9771198138658028
628.202564,0.9771784428134856
628.320566,0.9774198356996547
