nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
520,0.9127338065405922
520.135603,0.8660522823616
520.271205,0.9605531140194749
520.406808,0.8753775499767398
520.542411,0.8682895821257587
520.678014,0.8614398892238914
520.813616,0.9921442192061275
520.949219,0.9081333953434796
521.084822,0.788186927197588
521.220424,0.9868285133337547
521.356027,0.8498121108422492
521.49163,0.8863795802287601
521.627233,0.9078083417760069
521.762835,0.8950282472787668
521.898438,0.8709157802269134
522.034041,0.8175526292462881
522.169643,0.8158130954072064
522.305246,0.9255204972464004
522.440849,0.8933471748770722
522.576452,0.8759992887283619
522.712054,0.8261738958132844
522.847657,0.8050909713985351
522.98326,0.9780455846127959
523.118862,0.8923293393741806
523.254465,0.8309131518478627
523.390068,0.8771300569995472
523.525671,0.892980977610942
523.661273,0.8498121108422492
523.796876,0.8623362527369187
523.932479,0.7800478617211956
524.068081,0.7813672571826421
524.203684,0.8853873908286848
524.339287,0.8521097038963587
524.474889,0.8498206090058483
524.610492,0.7406552585996542
524.746095,0.8383245184022654
524.881698,0.8275464834128502
525.0173,0.8259343401207528
525.152903,0.8535083103545701
525.288506,0.8403977393365302
525.424108,0.8855379194796984
525.559711,0.8969187506602
525.695314,0.7814532123083775
525.830917,0.8158702043226737
525.966519,0.7936839062172366
526.102122,0.8235920142718703
526.237725,0.8186325112822381
526.373327,0.7844754508758117
526.50893,0.8861491514949341
526.644533,0.8414488933450871
526.780136,0.7310598123057193
526.915738,0.9120558971968403
527.051341,0.8165884861001066
527.186944,0.7693956057105859
527.322546,0.8954221463590122
527.458149,0.7995709561416638
527.593752,0.877665269557551
527.729355,0.8748612295517565
527.864957,0.8000428421984855
528.00056,0.7503316276351558
528.136163,0.8624138664922316
528.271765,0.8409946336038494
528.407368,0.8808569839429133
528.542971,0.7568728540162667
528.678574,0.8855999093036806
528.814176,0.9059709839475288
528.949779,0.7862896837996179
529.085382,0.85617541480226
529.220984,0.8060495999253467
529.356587,0.857212014070254
529.49219,0.8464450448106097
529.627793,0.8231473946422678
529.763395,0.8417182000777367
529.898998,0.8400616474636513
530.034601,0.8292281090467124
530.170203,0.8478513104625609
530.305806,0.8351031740732804
530.441409,0.9098586692948937
530.577012,0.8433442848709619
530.712614,0.8143133794734361
530.848217,0.8351031740732804
530.98382,0.8106085638623328
531.119422,0.8087463065822665
531.255025,0.8597961093449809
531.390628,0.81867344393111
531.526231,0.8336763679125595
531.661833,0.8254719463726186
531.797436,0.8344437030910984
531.933039,0.836758316408122
532.068641,0.8055741709267368
532.204244,0.8211249406897329
532.339847,0.8208950578914334
532.47545,0.8471309430481909
532.611052,0.8869647838476624
532.746655,0.8711161138938541
532.882258,0.8651780111377032
533.01786,0.8551999309608199
533.153463,0.8343352324604403
533.289066,0.814989540146261
533.424668,0.8519733772501578
533.560271,0.8365575185088958
533.695874,0.8485977480001143
533.831477,0.8563809215616371
533.967079,0.8502711333070152
534.102682,0.8169968824337317
534.238285,0.8252656041798742
534.373887,0.8608370923049704
534.50949,0.8021256600781246
534.645093,0.8626726294646845
534.780696,0.8882606982193737
534.916298,0.7522850281873095
535.051901,0.8231967849676413
535.187504,0.879782993689768
535.323106,0.80918314752426
535.458709,0.8348025910388065
535.594312,0.8910185788902913
535.729915,0.8352618587509213
535.865517,0.8623534996344419
536.00112,0.8479869775253105
536.136723,0.8882518156568044
536.272325,0.8329014093020098
536.407928,0.7700883734544484
536.543531,0.8756051777300594
536.679134,0.8114195778656123
536.814736,0.828838463409358
536.950339,0.8924453497288088
537.085942,0.7952012911193954
537.221544,0.8257774275033006
537.357147,0.8283744438074636
537.49275,0.8397760750535744
537.628353,0.9025149714937077
537.763955,0.8339932251314249
537.899558,0.8632249166605932
538.035161,0.8325350132949496
538.170763,0.8233696744452442
538.306366,0.8659137250813002
538.441969,0.8502541280544021
538.577572,0.8531243180196657
538.713174,0.8884205995357399
538.848777,0.8670314745800779
