nu,[0]Methylpivalate-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
550,0.9834426057487459
550.119002,0.9902839091964941
550.238005,0.977464798046223
550.357007,0.9916278433499067
550.47601,0.9963076336114246
550.595012,0.9897766177006023
550.714014,0.9960958411228581
550.833017,0.9824527775069212
550.952019,0.9952667373612138
551.071021,0.9802182774762624
551.190024,0.9872568898595236
551.309026,0.9829460926129615
551.428029,0.9998227857043087
551.547031,0.9896222245912167
551.666033,1.0029972828969425
551.785036,0.9836599705825457
551.904038,0.9972604594089304
552.02304,0.9978262659890842
552.142043,0.9890919292106938
552.261045,0.9937627330138344
552.380048,0.991109952249474
552.49905,0.9904489042394717
552.618052,0.9937629317664008
552.737055,0.986660766745352
552.856057,0.9830689685541244
552.97506,1.0032373288670944
553.094062,0.9940356577311686
553.213064,0.9974480617447917
553.332067,0.9903275816798609
553.451069,1.0045692071373962
553.570071,0.9939082305281058
553.689074,0.9923897060514298
553.808076,0.9946376291167118
553.927079,0.9993884070992277
554.046081,0.993561317721982
554.165083,0.9941392416433323
554.284086,0.9868255528526554
554.403088,0.9933128591074645
554.52209,0.987794103716528
554.641093,0.9841223994309864
554.760095,0.992685382983755
554.879098,0.9913553814565329
554.9981,0.9845909532000657
555.117102,0.9895361312027939
555.236105,0.9884284711412686
555.355107,0.9890434648935479
555.474109,0.989055333486338
555.593112,0.9967069340747179
555.712114,0.9963704029695561
555.831117,0.9992016788280429
555.950119,0.9917937565663527
556.069121,1.0029179489495643
556.188124,0.983382617579453
556.307126,0.998125958213296
556.426129,0.983803595422609
556.545131,0.9990042660723587
556.664133,0.9940976874915195
556.783136,0.9790270564600131
556.902138,0.996890943158264
557.02114,0.9954761635136133
557.140143,0.9973503166243299
557.259145,0.9883820160948272
557.378148,0.9973234882616558
557.49715,0.9952136910578091
557.616152,0.9940703501810032
557.735155,0.9925926704987247
557.854157,0.99310309358364
557.973159,0.9927217159336611
558.092162,0.9938145094009876
558.211164,0.9892343687038975
558.330167,0.9897983930257195
558.449169,0.9866410337273479
558.568171,0.9982277722534615
558.687174,0.9932399526193069
558.806176,0.9897538531001892
558.925179,0.9962455655792899
559.044181,0.9935922179594593
559.163183,0.9962140847168178
559.282186,0.9931561267048091
559.401188,0.9953869728451642
559.52019,0.993230914176863
559.639193,0.9974934466641002
559.758195,0.9930990218693034
559.877198,0.9883395165818812
559.9962,0.9934488529464423
560.115202,0.9975325491736137
