nu,[0]Octane-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
600,0.9980459117213545
600.118002,0.9925669626814765
600.236005,0.9932455147786156
600.354007,0.9979166731441651
600.472009,0.9975480110479551
600.590012,0.9963657200396671
600.708014,0.9973070325598594
600.826017,0.9987289085219823
600.944019,0.9934691195097606
601.062021,1.0005819592726275
601.180024,1.002430148034594
601.298026,0.995874334040293
601.416028,0.9914053470268801
601.534031,0.9979788452895442
601.652033,0.9982495338560973
601.770035,0.9959098873886417
601.888038,0.9997077527125605
602.00604,0.9997467620701389
602.124042,0.9940817820557635
602.242045,1.0024639304998142
602.360047,1.0005651296256102
602.47805,0.9962529378237525
602.596052,0.99148148988138
602.714054,0.9946115699522056
602.832057,1.0014942152287853
602.950059,0.9961838002689684
603.068061,0.9898102706777016
603.186064,0.9932613075078525
603.304066,0.9973302700844342
603.422068,0.9955030417328825
603.540071,0.9920306251964096
603.658073,0.9966486284245314
603.776076,0.9964096607368061
603.894078,0.9980978114581455
604.01208,0.9990974375547313
604.130083,0.9972459992371054
604.248085,1.0002594436496837
604.366087,0.9978502141068442
604.48409,1.0001753353694494
604.602092,1.0004456192587752
604.720094,1.000152271592142
604.838097,0.9973258818409
604.956099,0.9990581038629036
605.074101,0.9940953016599325
605.192104,1.0009405220137018
605.310106,0.9954078761910783
605.428109,0.9880163823952778
605.546111,0.9974639212950566
605.664113,0.9921504697343977
605.782116,0.9916862519499965
605.900118,1.002653714884383
606.01812,0.9956561618753382
606.136123,1.0038444710930634
606.254125,1.0012013210086987
606.372127,0.9959202449053295
606.49013,0.9980590860143393
606.608132,0.9948246385693236
606.726135,0.9995480921411298
606.844137,0.9992500113821612
606.962139,0.9943885035948925
607.080142,0.9962395881238288
607.198144,0.9988764316760878
607.316146,0.9956008049316752
607.434149,0.9962776452029808
607.552151,0.9994091346297347
607.670153,0.9984991274374589
607.788156,0.9917724332298132
607.906158,0.9984547950603868
608.02416,0.9950311856031309
608.142163,0.9993315435166481
608.260165,0.9977702895057172
608.378168,0.998039923463849
608.49617,1.002159127566184
608.614172,0.9975223743935036
608.732175,0.9989000054380446
608.850177,0.9939537525675107
608.968179,0.9942845954255632
609.086182,0.9979143779384564
609.204184,0.9978482184084116
609.322186,0.9990295911514977
609.440189,0.9965591333960858
609.558191,0.9993122865833456
609.676194,1.0008148117789049
609.794196,1.001896796647203
609.912198,0.9969707973209274
610.030201,0.9934522306782844
610.148203,0.9914747478301718
610.266205,0.9996047981128467
610.384208,0.9957086343377063
610.50221,0.9974011827875539
610.620212,0.9991263918180169
610.738215,0.9980884293828136
610.856217,0.9968155810516847
610.974219,0.999114392382108
611.092222,0.9971280320132946
611.210224,0.9972703323363494
611.328227,0.9959018205512246
611.446229,0.9964499165002608
611.564231,0.9997779546557173
