nu,[0]1-1-2-2-Tetrafluoro-3-methoxy-propane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
770.422482,0.9999986876008612
770.904599,0.9999987119008296
771.386716,0.9999986633008934
771.868832,0.999998566101028
772.350949,0.9999984932011352
772.833066,0.9999983474013655
773.315182,0.9999981773016611
773.797299,0.9999980800018432
774.279416,0.9999982259015737
774.761532,0.999998566101028
775.243649,0.9999985904009935
775.725766,0.9999982502015309
776.207882,0.9999981286017511
776.689999,0.9999980314019377
777.172116,0.9999976183028363
777.654233,0.9999972780037046
778.136349,0.9999973509035088
778.618466,0.9999975211030725
779.100583,0.9999976669027216
779.582699,0.9999978613022871
780.064816,0.9999980071019858
780.546933,0.9999979585020838
781.029049,0.9999979585020838
781.511166,0.9999979828020346
781.993283,0.9999978127023922
782.475399,0.9999975211030725
782.957516,0.9999974482032559
783.439633,0.9999973995033813
783.92175,0.9999972294038381
784.403866,0.9999971808039739
784.885983,0.9999972780037046
785.3681,0.9999972780037046
785.850216,0.9999972537037711
786.332333,0.9999973509035088
786.81445,0.9999974239033181
787.296566,0.9999973023036388
787.778683,0.9999971322041121
788.2608,0.9999971079041822
788.742916,0.9999972537037711
789.225033,0.9999973266035735
789.70715,0.9999972294038381
790.189266,0.9999971565040428
790.671383,0.9999973509035088
791.1535,0.9999976183028363
791.635617,0.9999975211030725
792.117733,0.9999971808039739
792.59985,0.9999970350043956
793.081967,0.9999972294038381
793.564083,0.999997496803133
794.0462,0.9999975940028945
794.528317,0.9999975211030725
795.010433,0.9999975211030725
795.49255,0.9999975697029532
795.974667,0.9999973995033813
796.456783,0.9999971322041121
796.9389,0.9999972780037046
797.421017,0.9999976426027787
797.903134,0.9999977641024996
798.38525,0.9999977641024996
798.867367,0.9999976912026652
799.349484,0.9999975211030725
799.8316,0.9999974725031942
800.313717,0.9999977155026095
800.795834,0.9999979828020346
801.27795,0.9999978370023392
801.760067,0.9999975211030725
802.242184,0.9999973995033813
802.7243,0.9999974482032559
803.206417,0.9999974725031942
803.688534,0.9999974482032559
804.17065,0.9999977398025542
804.652767,0.9999981043017968
805.134884,0.9999978856022353
805.617001,0.9999973752034448
806.099117,0.9999972537037711
806.581234,0.9999975211030725
807.063351,0.9999977155026095
807.545467,0.9999977155026095
808.027584,0.9999975697029532
808.509701,0.9999972780037046
808.991817,0.9999970836042527
809.473934,0.9999969864045409
809.956051,0.9999968892048385
810.438167,0.999996816305068
810.920284,0.9999968649049145
811.402401,0.9999968649049145
811.884518,0.9999966705055428
812.366634,0.999996500306124
812.848751,0.9999965246060392
813.330868,0.9999965246060392
813.812984,0.9999963545066448
814.295101,0.9999960629077503
814.777218,0.9999957469090445
815.259334,0.9999954553103272
815.741451,0.999995212311461
816.223568,0.9999947748136513
816.705684,0.9999941672170107
817.187801,0.9999937298196576
817.669918,0.9999935353208961
818.152035,0.9999934138216889
818.634151,0.9999929277250087
819.116268,0.9999920285317723
819.598385,0.9999912508382741
820.080501,0.9999907648426444
820.562618,0.9999903516465457
821.044735,0.9999898170518465
821.526851,0.9999890880595357
822.008968,0.9999883100683278
822.491085,0.9999875810771155
822.973201,0.9999867060883648
823.455318,0.9999855881038524
823.937435,0.9999844461209628
824.419551,0.9999833281389771
824.901668,0.9999821131599714
825.383785,0.9999807281857038
825.865902,0.9999791722169012
826.348018,0.9999774952532356
826.830135,0.9999759402894395
827.312252,0.9999744823255814
827.794368,0.9999728293691282
828.276485,0.9999710314195974
828.758602,0.9999694754658831
829.240718,0.9999681635067919
829.722835,0.999966923547038
830.204952,0.9999655875921205
830.687068,0.9999640806451154
831.169185,0.9999623307095056
831.651302,0.9999604107836737
832.133419,0.9999585638585007
832.615535,0.9999570569220804
833.097652,0.9999557689782205
833.579769,0.9999544570371123
834.061885,0.9999529011091876
834.544002,0.9999513941813011
835.026119,0.9999503252338321
835.508235,0.9999494022801078
835.990352,0.9999483573335284
836.472469,0.999947312388041
836.954585,0.9999466074254343
837.436702,0.9999464124358648
837.918819,0.9999463884371512
838.400935,0.9999462424449892
838.883052,0.9999461944475707
839.365169,0.9999465344293346
839.847286,0.9999471413970652
840.329402,0.9999477983625529
840.811519,0.9999485513235286
841.293636,0.9999495232739928
841.775752,0.9999505922206046
842.257869,0.999951905156594
842.739986,0.9999535090807363
843.222102,0.9999551610052978
843.704219,0.9999569359272839
844.186336,0.9999590008404885
844.668452,0.9999610907569842
845.150569,0.9999631086805014
845.632686,0.9999649066157872
846.114803,0.9999663895648433
846.596919,0.9999680175114507
847.079036,0.9999700584482573
847.561153,0.9999722463851387
848.043269,0.999974166333695
848.525386,0.9999758182923822
849.007503,0.9999775922510573
849.489619,0.999979342213375
849.971736,0.9999808491833793
850.453853,0.9999822341578144
850.935969,0.9999837171325673
851.418086,0.9999852481088102
851.900203,0.9999868280867504
852.382319,0.9999884070671986
852.864436,0.999989720052839
853.346553,0.9999907891424202
853.82867,0.9999917126343404
854.310786,0.9999924417285638
854.792903,0.9999930736239875
855.27502,0.9999938027192032
855.757136,0.9999944589153519
856.239253,0.9999948234133986
856.72137,0.9999952852111147
857.203486,0.9999960143079429
857.685603,0.9999965246060392
858.16772,0.9999966218057061
858.649836,0.9999966948054622
859.131953,0.9999969621046144
859.61407,0.9999971808039739
860.096187,0.9999972294038381
860.578303,0.9999972051039058
861.06042,0.9999972537037711
861.542537,0.9999973266035735
862.024653,0.9999973023036388
862.50677,0.9999972780037046
862.988887,0.9999974239033181
863.471003,0.9999976669027216
863.95312,0.9999979342021338
864.435237,0.9999981043017968
864.917353,0.9999982016016171
865.39947,0.9999982016016171
865.881587,0.9999980071019858
866.363704,0.9999977398025542
