nu,[0]1-3-Butadiene-PNNL(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
530,0.9356788222611044
530.119202,0.9270942931322503
530.238404,0.9366683576535595
530.357606,0.9288620910535721
530.476808,0.916740348534951
530.59601,0.927639584876674
530.715212,0.9132076383349014
530.834414,0.919035066608715
530.953616,0.9142447174354685
531.072818,0.9284915490072959
531.19202,0.929479060293151
531.311222,0.9158991670563682
531.430424,0.9123094839831912
531.549626,0.9206696438137961
531.668828,0.9287469192950781
531.78803,0.9116100108911979
531.907232,0.9165551856866242
532.026434,0.9120896438893465
532.145636,0.9282891599108253
532.264838,0.9161648163320978
532.38404,0.9480822679067235
532.503242,0.9184130904313128
532.622444,0.9197926635906913
532.741646,0.9300638865306453
532.860848,0.922134672936968
532.98005,0.9228745215843149
533.099252,0.9150047705539895
533.218454,0.9000994695884159
533.337656,0.903707077873196
533.456858,0.913094407608198
533.57606,0.9231957378062071
533.695262,0.9233443842857144
533.814464,0.9119017727740947
533.933666,0.9076104611272742
534.052868,0.9199508815351821
534.17207,0.9161684809986924
534.291272,0.9171135377956677
534.410474,0.9137228327140804
534.529676,0.9238625258104073
534.648878,0.9195811356047163
534.76808,0.935227933741637
534.887282,0.9298806819912384
535.006484,0.9265780453993164
535.125686,0.9310372423322936
535.244888,0.9318187103586064
535.36409,0.9201312095795341
535.483292,0.9164809477232617
535.602494,0.8974391144264876
535.721696,0.8827087272591599
535.840898,0.9004145595402969
535.9601,0.914633354019803
536.079302,0.9235863322081911
536.198504,0.9159028306603637
536.317706,0.9122282920522112
536.436908,0.9171062009167129
536.55611,0.9218553084569242
536.675312,0.9203686340580464
536.794514,0.9163453185798028
536.913716,0.9148922318884812
537.032918,0.9154715420035744
537.15212,0.9219493424940411
537.271322,0.9309329720003999
537.390524,0.9291277836038371
537.509726,0.9285676884359884
537.628928,0.9332118879564125
537.74813,0.9179870456073956
537.867332,0.9121370737839954
537.986534,0.9034540753134029
538.105736,0.8911611532685598
538.224938,0.87899154520069
538.34414,0.8972416995377478
538.463342,0.9158689428825569
538.582544,0.912209135459223
538.701746,0.9139586036180595
538.820948,0.9109320252850145
538.94015,0.9244419692506259
539.059352,0.9193558658231683
539.178554,0.9264446277670789
539.297756,0.924288524619987
539.416958,0.9243365888729269
539.53616,0.92829658625381
539.655362,0.9292783144974541
539.774564,0.9271758810198604
539.893766,0.932153293329675
540.012968,0.9301922442034622
540.13217,0.926635495019051
540.251372,0.9229086685733289
540.370574,0.9234708911318827
540.489776,0.9053696188894819
540.608978,0.8876657628771619
540.72818,0.8812622713644874
540.847382,0.9044484215864346
540.966584,0.912141634480766
541.085786,0.9086748041709085
541.204988,0.9171410516145069
541.32419,0.9217336315870579
541.443392,0.9187851230644605
541.562594,0.9263427244628091
541.681796,0.9256528561409421
541.800998,0.9308650163738544
541.9202,0.9344099672121577
542.039402,0.9273001309124739
542.158604,0.9251670159356811
542.277806,0.9315392066731479
542.397008,0.9348885076112587
542.51621,0.9359548882313999
542.635412,0.9301671293519208
542.754614,0.92606301119885
542.873816,0.918096292565888
542.993018,0.8993077304714832
543.11222,0.881323961882626
543.231422,0.8872664031465458
543.350624,0.9065328601211914
543.469826,0.9096157694587631
543.589028,0.9143580908094344
543.70823,0.9235734020900512
543.827432,0.9230028100586576
543.946634,0.9277184375925814
544.065836,0.928611332142964
544.185038,0.9307086441867352
544.30424,0.9322129530495388
544.423442,0.9350558676323961
544.542644,0.9347940886402283
544.661846,0.9311722525204339
544.781048,0.9299169480450195
544.90025,0.9363227907905927
545.019452,0.9323919551201733
545.138654,0.9348679402903326
545.257856,0.9298044349014885
545.377058,0.9225617201443375
545.49626,0.9038968762876854
545.615462,0.8863707164772766
545.734664,0.8987413450314329
545.853866,0.9071776341747513
545.973068,0.9171300459879214
546.09227,0.9293740350933734
546.211472,0.9294028461350301
546.330674,0.9335152311105909
546.449876,0.9364417113363178
546.569078,0.9429528477357073
546.68828,0.9409766064631386
546.807482,0.9385567086570409
546.926684,0.938241406576648
547.045886,0.9377095744877644
547.165088,0.9341166085421747
547.28429,0.9315615638823935
547.403492,0.9373476884405125
547.522694,0.94037739523386
547.641896,0.9361449063598984
547.761098,0.9384290736240425
547.8803,0.9248386399352126
547.999502,0.9059691720073728
548.118704,0.8923828807407679
548.237906,0.9060661158951832
548.357108,0.9212784076226308
548.47631,0.9264659362385641
548.595512,0.9371583633299274
548.714714,0.9353345558034257
548.833916,0.937120877745111
548.953118,0.9451099585533292
549.07232,0.9433555745777522
549.191522,0.9435650227631969
549.310724,0.9419811643385548
549.429926,0.9442096978052098
549.549128,0.942876471648314
549.66833,0.9409606099967991
549.787532,0.9424108057002789
549.906734,0.9423363581873441
550.025936,0.9408270030764955
550.145138,0.9421300091209485
550.26434,0.9371518032443444
550.383542,0.9252345555930118
550.502744,0.9011351793974389
550.621946,0.903408903738936
550.741148,0.9204984151848029
550.86035,0.9361589486388107
550.979552,0.9389059167013304
551.098754,0.9440274829178357
551.217956,0.9469234720411823
551.337158,0.9478462248105998
551.45636,0.9489444664981423
551.575562,0.9459401294886493
551.694764,0.9481457915466914
551.813966,0.9512741333343149
551.933168,0.9512579618115066
552.05237,0.9474785318124277
552.171572,0.9437867865997764
552.290774,0.9446498020607142
552.409976,0.9425606609315604
552.529178,0.9443655052591091
552.64838,0.9429962245643626
552.767582,0.9376345607223959
552.886784,0.9231828131563506
553.005986,0.9037432268792863
553.125188,0.918719891636466
553.24439,0.9388533394421722
553.363592,0.95011428654205
553.482794,0.9496763848000609
553.601996,0.951194229663116
553.721198,0.9514025640111907
553.8404,0.9532281519934117
553.959602,0.9528431256005746
554.078804,0.9540883516782458
554.198006,0.9546590671394648
554.317208,0.9526535286840989
554.43641,0.9529336499973474
554.555612,0.9548175536986304
554.674814,0.9499233327619528
554.794016,0.9464614861205591
554.913218,0.9471621268253766
555.03242,0.9511885225148595
555.151622,0.948134413865459
555.270824,0.9374554896231324
555.390026,0.9210177227219268
555.509228,0.9187033548272483
555.62843,0.9402260066603345
555.747632,0.9483619934332426
555.866834,0.9561284624600791
555.986036,0.9577322773846458
556.105238,0.9578127302749203
556.22444,0.9578864846946602
556.343642,0.9595402648560619
556.462844,0.9547955931474427
556.582046,0.9544786536253895
556.701248,0.9588832048433823
556.82045,0.9599519959396879
556.939652,0.9608259498447098
557.058854,0.9571223961917343
557.178056,0.9567788509215672
557.297258,0.9550830298780378
557.41646,0.9555014478719758
557.535662,0.9546504752465241
557.654864,0.950552390203281
557.774066,0.9407376287565505
557.893268,0.9281332204312434
558.01247,0.9413173016567878
558.131672,0.9540072576148997
558.250874,0.9587508880911797
558.370076,0.9612939860398474
558.489278,0.9627909237976768
558.60848,0.9646586218228179
558.727682,0.9634949812646253
558.846884,0.9642217304305036
558.966086,0.9621489563714407
559.085288,0.9597254739992865
559.20449,0.9631924913339127
559.323692,0.9645650544745908
559.442894,0.96768757200087
559.562096,0.9613718540063266
559.681298,0.9591239147356256
559.8005,0.95826779939216
559.919702,0.9608711097256013
560.038904,0.9579928159957393
560.158106,0.9490317734051162
560.277308,0.9413709582721813
560.39651,0.9426473805014052
560.515712,0.9588975881993298
560.634914,0.9638438295855797
560.754116,0.9651034319683391
560.873318,0.9661946152489059
560.99252,0.9668218790792984
561.111722,0.9685114246242144
561.230924,0.9664004366211518
561.350126,0.9686150608910905
561.469328,0.9676004840384069
561.58853,0.9703387904107981
561.707732,0.9675288842518129
561.826934,0.9686896471223122
561.946136,0.9661772239023539
562.065338,0.9637329939183503
562.18454,0.9642574072945476
562.303742,0.9644107364116491
562.422944,0.9643548022110447
562.542146,0.961168064775699
562.661348,0.9542152538678276
562.78055,0.9503090799364319
562.899752,0.9588937526166482
563.018954,0.9672889668395073
563.138156,0.9695211394987631
563.257358,0.9697276694961402
563.37656,0.9706852632006879
563.495762,0.971713763389147
563.614964,0.9719917132704147
563.734166,0.9716972443955811
563.853368,0.9723621126697757
563.97257,0.9700477324345542
564.091772,0.9721307180240153
564.210974,0.9736318735655913
564.330176,0.9733875226326513
564.449378,0.9702155652093818
564.56858,0.9687148333805573
564.687782,0.9679517867717015
564.806984,0.9704338882719774
564.926186,0.9685007710571382
565.045388,0.9636626439775984
565.16459,0.960666465974563
565.283792,0.9603715866358034
565.402994,0.9712260854973178
565.522196,0.9738051954642774
565.641398,0.9738840768797642
565.7606,0.9769029173435294
565.879802,0.9762378729301431
565.999004,0.9758718523609402
566.118206,0.9760123880260053
566.237408,0.9760436209221458
566.35661,0.9742883226468642
566.475812,0.975324541786736
566.595014,0.9784222046575783
566.714216,0.9765044222517799
566.833418,0.9744110907097432
566.95262,0.9742103826986919
567.071822,0.9732035697749664
567.191024,0.9737652702697354
567.310226,0.9732025965718832
567.429428,0.9696597909350528
567.54863,0.9682083279854055
567.667832,0.9651150132790105
567.787034,0.9722901605356998
567.906236,0.9762242056955929
568.025438,0.9767319742909476
568.14464,0.9772566202159652
568.263842,0.9785357082163978
568.383044,0.9794892663036042
568.502246,0.9791846925054642
568.621448,0.9792277775797992
568.74065,0.9781336126766145
568.859852,0.9771716025883268
568.979054,0.9797233922151828
569.098256,0.9783409989846739
569.217458,0.9790035600926156
569.33666,0.9772683473657705
569.455862,0.9786394384990765
569.575064,0.9776827970021674
569.694266,0.9761363494706697
569.813468,0.9768355133676966
569.93267,0.9761773480583118
570.051872,0.972908733763236
570.171074,0.9735997442439004
570.290276,0.9785719147074177
570.409478,0.9812765038080962
570.52868,0.9800839967706866
570.647882,0.9829883602036905
570.767084,0.9812872979090055
570.886286,0.9816681112536056
571.005488,0.9822906861715355
571.12469,0.9826178434386924
571.243892,0.982886134730046
571.363094,0.9816327718377138
571.482296,0.9822877393038972
571.601498,0.9798350870483797
571.7207,0.9826306175536886
571.839902,0.981790827437114
571.959104,0.9801780893507481
572.078306,0.9811950612381936
572.197508,0.980272190964131
572.31671,0.9809978608501876
572.435912,0.977876397361777
572.555114,0.979052511494395
572.674316,0.9818860657663597
572.793518,0.9823957968982794
572.91272,0.9829795133482596
573.031922,0.9833363996825558
573.151124,0.9831250050823579
573.270326,0.9842227850353071
573.389528,0.9826011390773414
573.50873,0.9839039485072625
573.627932,0.984329086836285
573.747134,0.9829156217563911
573.866336,0.9833855677317309
573.985538,0.9828340431453446
574.10474,0.9843891327419634
574.223942,0.9835557081516705
574.343144,0.9832439704052297
574.462346,0.9834239205167469
574.581548,0.9835134161655041
574.70075,0.9829018610340119
574.819952,0.9810714384488768
574.939154,0.9802741515104735
575.058356,0.9832115238895768
575.177558,0.9868887117090999
575.29676,0.9849385751582111
575.415962,0.9877595315279147
575.535164,0.9860127435205395
575.654366,0.98615572573431
575.773568,0.9850685956312945
575.89277,0.9853060257720244
576.011972,0.986445698141531
576.131174,0.9847386529202478
576.250376,0.9862178555020984
576.369578,0.9849050878159439
576.48878,0.9853326293938676
576.607982,0.9866380738086866
576.727184,0.9870150415491359
576.846386,0.9840289122437522
576.965588,0.9849228162670801
577.08479,0.9842631389967441
577.203992,0.9849090274441744
577.323194,0.9830502904211648
577.442396,0.9862464562346165
577.561598,0.9855602675224491
577.6808,0.9868610792120287
577.800002,0.9868008825222145
577.919204,0.9878998033404547
578.038406,0.9875165725683361
578.157608,0.9870624194081897
578.27681,0.9877417520163633
578.396012,0.9859299219286393
578.515214,0.9874069643121518
578.634416,0.9862681538953271
578.753618,0.9880746770815154
578.87282,0.9873852415978877
578.992022,0.98577612885699
579.111224,0.9867742392580721
579.230426,0.9880667725157171
579.349628,0.986782133483563
579.46883,0.9863145095879104
579.588032,0.9874583108092934
579.707234,0.9862878794556599
579.826436,0.9865660518581317
579.945638,0.988090486402823
580.06484,0.988297018896375
580.184042,0.9893748499581865
580.303244,0.9873575951981743
580.422446,0.9883523650791118
580.541648,0.9882110407958326
580.66085,0.9890266512975607
580.780052,0.9874385618405676
580.899254,0.9881744776637452
581.018456,0.9880391070334053
581.137658,0.9876321187666474
581.25686,0.9882841711186401
581.376062,0.9879956342691036
581.495264,0.9869202926531669
581.614466,0.9882930657162058
581.733668,0.9895885780075758
581.85287,0.9906092708983988
581.972072,0.989212605787179
582.091274,0.9887378976754623
582.210476,0.9888911639274297
582.329678,0.9882792297101379
582.44888,0.9899013374116095
582.568082,0.9894777502933068
582.687284,0.9894955610531084
582.806486,0.9894480664060585
582.925688,0.990275689874158
583.04489,0.9895252463652174
583.164092,0.9897192123215478
583.283294,0.9891740272478396
583.402496,0.989688531501521
583.521698,0.9900151826113853
583.6409,0.9899399443165983
583.760102,0.9897835461611758
583.879304,0.9906029310193527
583.998506,0.9897795870349094
584.117708,0.9891858974073875
584.23691,0.9904949611843346
584.356112,0.9899538035728332
584.475314,0.9897093151789104
584.594516,0.9892076597365151
584.713718,0.9901801328807842
584.83292,0.9904699019788168
584.952122,0.9898963879172961
585.071324,0.9921733886749613
585.190526,0.9915126228889479
585.309728,0.9904472204777657
585.42893,0.9922037496451752
585.548132,0.9911655550774399
585.667334,0.99174515986291
585.786536,0.9916285374896401
585.905738,0.9913846268716536
586.02494,0.992362812654803
586.144142,0.99160235884181
586.263344,0.9918724089297735
586.382546,0.9915484171407166
586.501748,0.9920128680071459
586.62095,0.9922340123210429
586.740152,0.9906254179611127
586.859354,0.9912396970338343
586.978556,0.9908113758036615
587.097758,0.99183461931089
587.21696,0.9921732894576274
587.336162,0.9922503843173147
587.455364,0.9927417691148593
587.574566,0.9925155490444343
587.693768,0.9923342330173472
587.81297,0.9920901488196122
587.932172,0.9929697287938178
588.051374,0.9927570574558237
588.170576,0.9912366241955364
588.289778,0.9923304621544264
588.40898,0.9920422320226242
588.528182,0.9939783035284022
588.647384,0.9942949360391268
588.766586,0.9932213792058548
588.885788,0.9934889890908459
589.00499,0.9940121987664631
589.124192,0.9939651831013907
589.243394,0.9934335539519094
589.362596,0.9930067672554649
589.481798,0.9938685743808531
589.601,0.9941978975889227
589.720202,0.9939142933868037
589.839404,0.9942255366746572
589.958606,0.9932424357222923
590.077808,0.9938820910853781
590.19701,0.9938217642733864
590.316212,0.9936723047196799
590.435414,0.9933263682542104
590.554616,0.9940439082613675
590.673818,0.993991523527752
590.79302,0.9930784649323158
590.912222,0.9943112426097913
591.031424,0.9942987143670625
591.150626,0.99381778899428
591.269828,0.9938205716879849
591.38903,0.9943771676305666
591.508232,0.9943319244987284
591.627434,0.9924199743990543
591.746636,0.9938021861774752
591.865838,0.993723778278218
591.98504,0.9938974963771806
592.104242,0.9936342477992038
592.223444,0.9945598514952596
592.342646,0.9934052414990762
592.461848,0.9942139043039276
592.58105,0.9943023932791116
592.700252,0.9946104758800803
592.819454,0.9936638585409862
592.938656,0.9940402303057112
593.057858,0.9942409472899076
593.17706,0.9935386647821823
593.296262,0.9934549130029283
593.415464,0.9939871499746703
593.534666,0.9945219594867649
593.653868,0.9943969559330954
593.77307,0.9942799222989466
593.892272,0.9939213502033384
594.011474,0.9942365726393638
594.130676,0.9938809978156792
594.249878,0.9940555386431318
