nu,[0](Perfluoro-n-octyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
650.018,0.5350634184245646
650.078265,0.5356094615460077
650.13853,0.5418424513306078
650.198795,0.5505761519787378
650.25906,0.5613559964161466
650.319325,0.5770421297354991
650.37959,0.5960027487087436
650.439855,0.6089129260902363
650.50012,0.6109867535478343
650.560385,0.6060213878825886
650.62065,0.6031375492854151
650.680915,0.6054035612121159
650.74118,0.6054035612121159
650.801445,0.5962054240961681
650.86171,0.5825676284139141
650.921975,0.5731315542785903
650.98224,0.5700164835858548
651.042505,0.5682748991292588
651.10277,0.5613559964161466
651.163035,0.5503889879067603
651.223299,0.5409221016821978
651.283564,0.5370683024055579
651.343829,0.5377992122028341
651.404094,0.5381650400344982
651.464359,0.5365207720250692
651.524624,0.5361560619155828
651.584889,0.5401869476419692
651.645154,0.5444277695749393
651.705419,0.5422110294998878
651.765684,0.5341545833419409
651.825949,0.526038960287372
651.886214,0.5210496209590331
651.946479,0.5157567703105596
652.006744,0.506713258739155
652.067009,0.4954593336114582
652.127274,0.4841308778685802
652.187539,0.4735394756150142
652.247804,0.4642881066232233
652.308069,0.4575450175916518
652.368334,0.45320532505346334
652.428599,0.44997646391351576
652.488864,0.44814430009651224
652.549129,0.44921215377255397
652.609394,0.4519742815474653
652.669659,0.45459425733072745
652.729924,0.4569186101046552
652.790189,0.4609802862108336
652.850454,0.4672971164294579
652.910719,0.47418392742975307
652.970984,0.47921304983877305
653.031249,0.4811722330981862
653.091514,0.4821548263580682
653.151779,0.48396630134969854
653.212044,0.4861101668541457
653.272309,0.4849546003266664
653.332574,0.47888729573383076
653.392839,0.47033033063964413
653.453104,0.46317978302266766
653.513368,0.45957184255283356
653.573633,0.45676328418412243
653.633898,0.4502825519671206
653.694163,0.4393890674385039
653.754428,0.4284633823593104
653.814693,0.42252781501367537
653.874958,0.42224059376575795
653.935223,0.4241110278042998
653.995488,0.4241110278042998
654.055753,0.4231028437730192
654.116018,0.42339065155033895
654.176283,0.42497709739164674
654.236548,0.42324672319801826
654.296813,0.4168161673782665
654.357078,0.40978608473033346
654.417343,0.4076974189234503
654.477608,0.40950752491378833
654.537873,0.40950752491378833
654.598138,0.4036932385350764
654.658403,0.39352526788879233
654.718668,0.38282779971698494
654.778933,0.37508973061312906
654.839198,0.3701451696084531
654.899463,0.3662643274861116
654.959728,0.3615698620638331
655.019993,0.3571497919177403
655.080258,0.3552263809249515
655.140523,0.3548713320980274
655.200788,0.35292489737361543
655.261053,0.3508838577055971
655.321318,0.3528190357844357
655.381583,0.35800798083311075
655.441848,0.3597305499997781
655.502113,0.35568847551656013
655.562378,0.3518325242449154
655.622643,0.35292489737361543
655.682908,0.3549778094684638
655.743173,0.3516214880475588
655.803437,0.34321438428304124
655.863702,0.33604842747993807
655.923967,0.3324053902423845
655.984232,0.3295919186191463
656.044497,0.3261493088040938
656.104762,0.3217437042203702
656.165027,0.3173976102694278
656.225292,0.3148055916654229
656.285557,0.3141451935836077
656.345822,0.31320417024363423
656.406087,0.3084486191731464
656.466352,0.3022200151099495
656.526617,0.30047221254940787
656.586882,0.30479983393575333
656.647147,0.308849863130135
656.707412,0.30749390901901213
656.767677,0.3026131566162041
656.827942,0.2980184147270063
656.888207,0.2942869403572507
656.948472,0.29159191662401085
657.008737,0.2910966314774058
657.069002,0.29179610242233944
657.129267,0.2897316874405821
657.189532,0.28473396237911774
657.249797,0.28060704632311656
657.310062,0.2796546024377438
657.370327,0.2789005534353998
