nu,[0]2-3-Butanedione-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
580,0.976909755687885
580.119202,0.9747580428118457
580.238404,0.9767739746688439
580.357606,0.9749559387802978
580.476808,0.9770250378405694
580.59601,0.9764800099463787
580.715212,0.9773172120047445
580.834414,0.9753996446678774
580.953616,0.9751499743180108
581.072818,0.9760475251044378
581.19202,0.9763218329974461
581.311222,0.9793668377972573
581.430424,0.9773670564535795
581.549626,0.9798184299934853
581.668828,0.9783889388681416
581.78803,0.9774041971073927
581.907232,0.9775928543222699
582.026434,0.9776974623541124
582.145636,0.9791621715165291
582.264838,0.9784437301828607
582.38404,0.9814570752968644
582.503242,0.9825775569329904
582.622444,0.9811352101649343
582.741646,0.9828163522917861
582.860848,0.9816151026068443
582.98005,0.9817800277974104
583.099252,0.9828055413713711
583.218454,0.9806830110729474
583.337656,0.9820363058274936
583.456858,0.9799595340066495
583.57606,0.9829972071387435
583.695262,0.9822366616694834
583.814464,0.9815081123917327
583.933666,0.981840900046154
584.052868,0.9825294118122657
584.17207,0.9819194504601324
584.291272,0.9826925252326659
584.410474,0.9808703394173498
584.529676,0.9842129428566678
584.648878,0.9820245214625299
584.76808,0.9831997254220811
584.887282,0.9844216181193497
585.006484,0.9833462330957196
585.125686,0.983275434715709
585.244888,0.9826630448991162
585.36409,0.9834711259978541
585.483292,0.9824832340150973
585.602494,0.983220372833112
585.721696,0.9856460149956846
585.840898,0.9838911578390713
585.9601,0.9857682426795038
586.079302,0.984586030257607
586.198504,0.9849109972641991
586.317706,0.9832479033889773
586.436908,0.9846451071917128
586.55611,0.9835684944589873
586.675312,0.9844619802331103
586.794514,0.9855849068371273
586.913716,0.983229221856288
587.032918,0.9831407352082798
587.15212,0.9846037529656556
587.271322,0.9834308045082845
587.390524,0.9845092355422798
587.509726,0.9844068519058248
587.628928,0.9846579076613091
587.74813,0.985378941115766
587.867332,0.9848686470018538
587.986534,0.9860127435205395
588.105736,0.9859624581529077
588.224938,0.9830670024181535
588.34414,0.9858066883906548
588.463342,0.983381634197327
588.582544,0.9858855560803916
588.701746,0.9852902610017306
588.820948,0.9856607997967952
588.94015,0.9855898347739813
589.059352,0.985054804767492
589.178554,0.9853838680227889
589.297756,0.9870624194081897
589.416958,0.9849474396452778
589.53616,0.9866222877257946
589.655362,0.986502913651257
589.774564,0.9858165465068293
589.893766,0.9863283180877039
590.012968,0.9866597800850785
590.13217,0.9867663450957347
590.251372,0.9863805948738852
590.370574,0.9860561290357287
590.489776,0.9853375560693312
