nu,[0]Sulfurylfluoride-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
500,1.2260038772139428
500.120002,1.1859806676749816
500.240005,1.009619472540047
500.360007,1.046929924658009
500.48001,1.0706329332575975
500.600012,1.2400478901997505
500.720014,1.1196543258111729
500.840017,1.1586088289359435
500.960019,1.1140477453864677
501.080022,0.9980928209815644
501.200024,1.0374035448691186
501.320026,1.0430311068764264
501.440029,1.1045301047969787
501.560031,1.0997193380263994
501.680034,1.1821561300717047
501.800036,1.1012457070404549
501.920038,1.0449144332428535
502.040041,1.1092898102804847
502.160043,1.1065089842533014
502.280046,1.027033962479576
502.400048,1.222808179294317
502.52005,1.0346766888557106
502.640053,1.0883926773489363
502.760055,1.0504839891332982
502.880058,1.0496659807613908
503.00006,1.097213736940778
503.120062,1.117417254976076
503.240065,1.081210233152154
503.360067,1.009537090952302
503.48007,1.0009841239324835
503.600072,1.098167630084722
503.720074,1.0630254066841378
503.840077,1.0567223552904632
503.960079,1.0070757154137637
504.080082,1.1656979426070033
504.200084,1.1484348323445785
504.320086,1.0962705387603588
504.440089,1.0041782044586671
504.560091,0.9945077379244287
504.680094,1.1511828741958037
504.800096,1.1497792874512904
504.920098,0.9979233592082735
505.040101,1.1705339356878266
505.160103,1.0885755426789885
505.280106,1.2199989523313484
505.400108,1.0554054437783946
505.52011,1.0477981894115653
505.640113,1.0561465985148026
505.760115,1.0323492186674872
505.880118,0.9863815812549732
506.00012,1.0166450099136022
506.120122,1.0360195351687447
506.240125,0.9756786488619503
506.360127,1.0095347690196632
506.48013,1.0791481716809683
506.600132,1.047352969796935
506.720134,1.0575342297792247
506.840137,1.0830498537830069
506.960139,1.038436275094348
507.080142,0.9684232940945734
507.200144,1.033496796010601
507.320146,1.0006537135776468
507.440149,1.0100511771348402
507.560151,0.9251152080334235
507.680154,1.0702561367851606
507.800156,1.0512910707166108
507.920158,1.1065311146542898
508.040161,1.0210413113303778
508.160163,1.0427797666673808
508.280166,1.115508104259142
508.400168,0.9748516240757845
508.52017,1.058332969609052
508.640173,1.0287464271480489
508.760175,1.1075606672586742
508.880178,0.9982281715446503
509.00018,0.9527002098506837
509.120182,1.0112447522424082
509.240185,0.93677327038462
509.360187,0.9837573577402182
509.48019,0.9047378913940413
509.600192,1.0298446854023984
509.720194,1.0407243904831038
509.840197,1.0407285533889916
509.960199,1.0203962170928682
510.080202,0.982739695605957
510.200204,1.0386637175426328
510.320206,0.9238745361013095
510.440209,0.9177098553774536
510.560211,1.0463626423862273
510.680214,0.9178594542758591
510.800216,0.9965208662600972
510.920218,0.9684523472291912
511.040221,0.9941920318386309
511.160223,0.9995236135080954
511.280226,1.0064605800946227
511.400228,0.9983395800250723
511.52023,0.9444703356481718
511.640233,1.000961541985373
511.760235,1.0674247800664736
511.880238,1.0403477164358648
512.00024,1.0203972374895955
512.120242,1.0214835179490078
512.240245,0.9435480387456437
512.360247,0.9220295555760566
512.48025,0.9781199189018936
512.600252,1.0026377728170561
512.720254,0.9729904615293903
