nu,[0]Hexane-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
600,1.0006317494696908
600.119002,0.9999304594180584
600.238004,0.9997877025382961
600.357006,0.9991674467649249
600.476008,1.0002889017240673
600.59501,1.0008684869165465
600.714012,1.001031431560051
600.833014,1.0004649380502055
600.952016,1.0001513714555028
601.071018,0.9998876763087782
601.19002,1.0002857908304204
601.309022,1.0005041870595894
601.428024,1.0001104961042449
601.547026,0.9997419832920376
601.666028,1.0000199761995217
601.78503,1.0004182274327158
601.904032,1.000157142345565
602.023034,1.0000025831033361
602.142036,0.9999773652561696
602.261038,1.0009261886480536
602.38004,1.0007605991089141
602.499042,1.0007085208824238
602.618044,1.0006952615823652
602.737046,1.0008983032328835
602.856048,0.999559577014689
602.97505,1.000232376995352
603.094052,0.9996519205936979
603.213054,1.0005516921261524
603.332056,1.0006095356914264
603.451058,1.0000176341554798
603.57006,1.0002583333623174
603.689062,0.9993998501620004
603.808064,1.00039835932401
603.927066,0.9998055089158436
604.046068,1.0005359835878984
604.16507,1.0008242194823518
604.284072,1.000303185951573
604.403074,1.0001340389824218
604.522076,1.0007591780298724
604.641078,0.9995550590156116
604.76008,1.0002786388125844
604.879082,1.0005559544854397
604.998084,1.0004298423557607
605.117086,1.0001849471006066
605.236088,1.0006531131855987
605.35509,1.0006126175735424
605.474092,1.000397038799047
605.593094,1.0002467304329477
605.712096,0.9998718982057356
605.831098,0.999882696880549
605.9501,0.9998959054182169
606.069102,1.0010359362116286
606.188104,1.000077007964961
606.307106,0.999812937498372
606.426108,1.0000022355024987
606.54511,0.9997521107296237
606.664112,0.999432870878549
606.783114,1.0002800892176622
606.902116,0.9992779508030707
607.021118,1.0006515121418984
607.14012,1.0009997193866227
607.259122,1.001224148659052
607.378124,1.0014112949407117
607.497126,1.001582651072375
607.616128,0.9998053489469749
607.73513,1.0002898720047724
607.854132,0.9998443021221729
607.973134,1.0000353366243238
608.092136,1.0003639162014402
608.211138,0.9998297444951137
608.33014,1.0005049974683091
608.449142,0.9995737908529343
608.568144,1.0001310885913586
608.687146,0.9998563803142946
608.806148,1.0003706686806642
608.92515,0.9996493914775382
609.044152,1.0002240650988352
609.163154,0.9996907978128524
609.282156,1.0016255197272237
609.401158,1.0004932616135198
609.52016,1.001384858031494
609.639162,1.0003352961992087
609.758164,1.0002454701228611
609.877166,0.9991895785689795
609.996168,1.0011179244121753
610.11517,1.0006265361918567
610.234172,0.9996153439990962
610.353174,0.9997837933760215
610.472176,0.999670054444011
610.591178,0.9986711836593344
610.71018,1.0001346390630252
610.829182,1.0004230494601931
610.948184,0.9998802871661532
611.067186,1.0002743176181985
611.186188,1.0005782471204447
611.30519,1.0005514419882606
611.424192,1.0004075830394041
611.543194,1.0008852516041062
611.662196,1.000488299179249
611.781198,1.0003359764274413
611.9002,0.9997992501529477
612.019202,1.0003726294090962
612.138204,0.9997534204057466
612.257206,1.0004650481013546
612.376208,1.0004130152673285
612.49521,1.0008727806515654
612.614212,1.0001753053641897
612.733214,1.0000439989679262
612.852216,0.9999377229392966
612.971218,0.999595351892138
613.09022,1.0003187507902405
613.209222,0.9999797742045442
613.328224,1.0001620631308106
613.447226,1.0000999669963673
613.566228,1.000762410487238
613.68523,1.0007646622051947
613.804232,1.0009146580447768
613.923234,0.999859049934394
614.042236,1.0005346128545398
614.161238,1.0002157432692325
614.28024,1.0007730186250121
614.399242,1.000534292683515
614.518244,1.0012163391411497
614.637246,0.9995242232176856
614.756248,0.9997849831194435
614.87525,0.9993235488962784
614.994252,0.9998023795294981
615.113254,1.0002587934812566
615.232256,1.000329904406493
615.351258,1.0004921410616943
615.47026,1.0001033553407952
615.589262,1.0002196941292212
615.708264,1.0003229921507355
615.827266,1.0005601868460785
615.946268,1.0000300894526786
616.06527,1.0004122949702168
616.184272,1.0000917692105364
616.303274,1.0001836868683671
616.422276,1.0002000099993333
616.541278,1.0007939650234952
616.66028,0.9995561585267813
616.779282,1.000735060024305
616.898284,1.000669113756803
617.017286,1.0005854112863417
617.136288,1.0007927540635302
617.25529,1.0005160731199347
617.374292,1.0003318850616647
617.493294,1.0005242473696438
617.612296,1.0009642746141125
617.731298,0.9997848931387991
617.8503,1.0000091345417197
617.969302,1.0008744921454837
618.088304,1.0002582933519848
618.207306,0.9997636079450058
618.326308,1.0007971975932228
618.44531,1.0009459170976551
618.564312,0.9998981951824621
618.683314,1.0004510416887265
618.802316,1.0001578624589669
618.921318,1.000606964128224
619.04032,1.000416256610749
619.159322,0.9995040730124602
619.278324,0.9998382930759743
619.397326,1.0005846608475646
619.516328,1.0010309310444605
619.63533,1.0009402817880053
619.754332,1.0004787945855538
619.873334,1.0003768409867313
619.992336,1.0006659316340807
620.111338,0.9998882562437986
620.23034,1.000488139101134
620.349342,0.9998999950008334
620.468344,1.0010912950295583
620.587346,0.9997704063606545
620.706348,1.0005636988184978
620.82535,1.000648199990875
620.944352,1.0001539518493698
621.063354,1.0005272189310714
621.182356,1.0000322365195855
621.301358,1.0001667439002189
621.42036,1.0004534827922462
621.539362,1.0004098939835901
