nu,[0]1-2-Dichlorobenzene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
600,0.9900894365345685
600.119202,0.9926068646754009
600.238404,0.9936126861699711
600.357606,0.9981491150041443
600.476808,0.9983244053787835
600.59601,1.0
600.715212,0.885865629132453
600.834414,1.0
600.953616,0.9389162447232182
601.072818,1.0
601.19202,0.9759333342242974
601.311222,0.9433197277470123
601.430424,0.9983592475085228
601.549626,0.9922570324171608
601.668828,1.0
601.78803,1.0
601.907232,0.9482681102431872
602.026434,0.9299392663195908
602.145636,0.9912293881945912
602.264838,0.9962092032797623
602.38404,0.9714873804569131
602.503242,0.979641098906604
602.622444,0.9176951721372338
602.741646,0.972693744690242
602.860848,1.0
602.98005,0.9996495714144448
603.099252,0.9432310598600601
603.218454,1.0
603.337656,0.9888298545758757
603.456858,1.0
603.57606,0.9834878451491085
603.695262,0.9626744331437239
603.814464,0.9633832223289422
603.933666,0.9517622621590539
604.052868,1.0
604.17207,1.0
604.291272,0.999775505202729
604.410474,1.0
604.529676,0.9337131573190232
604.648878,1.0
604.76808,1.0
604.887282,0.9371658606268233
605.006484,0.9315131239405211
605.125686,0.9559860099321494
605.244888,0.9825638009434855
605.36409,1.0
605.483292,0.9142255184979919
605.602494,0.9433659515461458
605.721696,1.0
605.840898,0.9727394623705995
605.9601,0.9844718249021358
606.079302,1.0
606.198504,0.9981911379664631
606.317706,0.9953494474636457
606.436908,1.0
606.55611,1.0
606.675312,0.9926023979545601
606.794514,0.9152134154262874
606.913716,1.0
607.032918,0.9988797279737511
607.15212,0.9844934835205276
607.271322,0.9770504408217906
607.390524,0.9966312868892686
607.509726,0.9869627311381719
607.628928,0.9049233816738811
607.74813,1.0
607.867332,0.962543518323226
607.986534,0.9514815337012004
608.105736,0.9807663726717064
608.224938,0.9892116165750677
608.34414,0.9934870021148547
608.463342,0.972655810373923
608.582544,0.9961992412375398
608.701746,0.9818310816862454
608.820948,1.0
608.94015,0.9579487493397444
609.059352,1.0
609.178554,0.9464435035231581
609.297756,0.9774775051711937
609.416958,0.9876222424948412
609.53616,0.9421149351613946
609.655362,1.0
609.774564,1.0
609.893766,1.0
610.012968,1.0
610.13217,1.0
610.251372,0.989315489248028
610.370574,1.0
610.489776,0.9984261398189733
610.608978,0.9978156890867224
610.72818,0.9981114854918294
610.847382,0.9725459064770379
610.966584,0.9840348164349382
611.085786,0.9986233484552993
611.204988,0.9436508910872178
611.32419,0.9999797732045644
611.443392,0.9690306858974023
611.562594,0.9986721823310173
611.681796,1.0
611.800998,0.9840977966785364
611.9202,0.9952524056233847
612.039402,0.9627995889549841
612.158604,1.0
612.277806,0.9590260890855156
612.397008,0.9121087979729854
612.51621,0.9110367884916911
612.635412,0.9999973211035883
612.754614,0.9976046733841777
612.873816,0.9264140555988062
612.993018,0.9378530550286425
613.11222,0.9850764762115818
613.231422,0.9632955584444776
613.350624,0.9900673577863127
613.469826,0.9445543972487302
613.589028,0.9488998671563096
613.70823,0.9239632323141254
613.827432,1.0
613.946634,1.0
614.065836,0.9586406380785465
614.185038,1.0
614.30424,0.9758162292506294
614.423442,1.0
614.542644,0.9888199663267713
614.661846,0.9795029792493228
614.781048,1.0
614.90025,0.9722872436695935
615.019452,0.9993759348097344
615.138654,1.0
615.257856,0.915882681019736
615.377058,0.9732921353294876
615.49626,1.0
615.615462,0.9521973169153006
615.734664,1.0
615.853866,0.9979632769409911
615.973068,0.9933402749207124
616.09227,0.9813510836563839
616.211472,0.9564344725270658
616.330674,0.9972258550713776
616.449876,0.9791014653438058
616.569078,1.0
616.68828,0.9711231409884105
616.807482,0.9161840559952565
616.926684,0.9176960898328649
617.045886,0.9961693557085878
617.165088,1.0
617.28429,0.995452371917616
617.403492,0.9347043527151121
617.522694,0.9085530499048676
617.641896,0.9939229404787709
617.761098,0.9983439727288883
617.8803,0.9991769488925261
617.999502,0.9865019271488366
618.118704,0.9806457458265708
618.237906,0.975201658636272
618.357108,0.987975874554016
618.47631,0.9672909014193755
618.595512,1.0
618.714714,0.9817888638574227
618.833916,0.9987228162942217
618.953118,0.9911534629314303
619.07232,0.9421394304681464
619.191522,0.9936594864296272
619.310724,1.0
619.429926,0.97096583178196
619.549128,0.9404996522417737
619.66833,1.0
619.787532,1.0
619.906734,0.9798801604990655
620.025936,0.9188025801476405
620.145138,0.9888684196922191
620.26434,0.9909326585384118
620.383542,0.9610729138473348
620.502744,1.0
620.621946,1.0
620.741148,0.9404667353299945
620.86035,1.0
620.979552,1.0
621.098754,0.9958499354179934
621.217956,1.0
621.337158,0.9258694842537798
621.45636,0.8994696204326273
621.575562,0.9891888649695311
621.694764,0.9352232576136587
621.813966,0.9636751716733999
621.933168,0.9990233072751321
622.05237,0.991989258381843
622.171572,0.9998262251006073
622.290774,0.9293470836371537
622.409976,0.9653765948903165
622.529178,1.0
622.64838,1.0
622.767582,0.9935754263928649
622.886784,0.9590903459860665
623.005986,1.0
623.125188,0.9878267014598104
623.24439,0.983506531595687
623.363592,0.9910994465396605
623.482794,1.0
623.601996,1.0
623.721198,0.9787598185532335
623.8404,1.0
623.959602,0.9860699339181692
624.078804,0.9926471653322045
624.198006,0.979082862592691
624.317208,1.0
624.43641,0.9801202605494429
624.555612,0.9934502437758099
624.674814,0.9608615010625475
