nu,[1]HFC-245fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
640.02,1.0
640.261054,1.0
640.502108,1.0
640.743161,1.0
640.984215,1.0
641.225269,1.0
641.466323,1.0
641.707377,1.0
641.94843,1.0
642.189484,1.0
642.430538,1.0
642.671592,1.0
642.912646,1.0
643.1537,1.0
643.394753,0.9590711643709635
643.635807,0.9717730397366239
643.876861,1.0
644.117915,0.997573648361277
644.358969,0.9544824715476399
644.600022,1.0
644.841076,0.9629883161690821
645.08213,0.9606155520010986
645.323184,1.0
645.564238,0.9642419792994551
645.805291,0.943688637877792
646.046345,0.9980979112679317
646.287399,1.0
646.528453,1.0
646.769507,1.0
647.010561,0.9995602667110352
647.251614,0.9755947441061045
647.492668,1.0
647.733722,0.9947523174470042
647.974776,0.988807111750764
648.21583,1.0
648.456883,0.9946160457143408
648.697937,0.9719489465759049
648.938991,0.9879847663769001
649.180045,0.9910077740807721
649.421099,0.9850242685418581
649.662152,0.9949602424087522
649.903206,0.9999144016637467
650.14426,0.975331369082424
650.385314,0.9933221962922248
650.626368,1.0
650.867422,1.0
651.108475,1.0
651.349529,0.9715534438449138
651.590583,0.9900746843118684
651.831637,0.9861251553806551
652.072691,0.9966732459496787
652.313744,1.0
652.554798,0.9541551402004342
652.795852,0.9760631419897743
653.036906,0.9843999610819794
653.27796,0.9814443164378183
653.519013,1.0
653.760067,0.9645071823075048
654.001121,0.9541226994771629
654.242175,1.0
654.483229,0.9618016832847542
654.724283,0.9679885696384688
654.965336,1.0
655.20639,0.9899221255579699
655.447444,0.9928663660251759
655.688498,1.0
655.929552,1.0
656.170605,1.0
656.411659,1.0
656.652713,0.9520982935436461
656.893767,0.9356741438786891
657.134821,1.0
657.375874,1.0
657.616928,0.9227194916875647
657.857982,0.9555291578157563
658.099036,1.0
658.34009,0.9665270433709103
658.581143,0.9507948119702444
658.822197,0.9332734819735979
659.063251,0.9144449589542328
659.304305,0.9833314830128491
659.545359,0.9828232320303313
659.786413,0.9233526944225686
660.027466,0.961044082092398
660.26852,0.9503062290134684
660.509574,0.9052818022956233
660.750628,0.9110677642690851
660.991682,0.920762636143855
661.232735,0.9589062183164591
661.473789,0.932282871642932
661.714843,0.8703150556123826
661.955897,0.9233526944225686
662.196951,0.9493630432972684
662.438004,0.9042856355217344
662.679058,0.9286809806046593
662.920112,0.9206365003032057
663.161166,0.8800293674187135
663.40222,0.8978071399034698
663.643274,0.904168086029999
663.884327,0.8974121916568983
664.125381,0.9125987319329917
664.366435,0.8806015724540258
664.607489,0.8488778314681849
664.848543,0.8897898212891713
665.089596,0.874974968904496
665.33065,0.8101304458683316
665.571704,0.8202960231734469
665.812758,0.8177079790036046
666.053812,0.8023984291706692
666.294865,0.8564751286443035
666.535919,0.8784291705908325
666.776973,0.8425940423648642
667.018027,0.8265540232279609
667.259081,0.816898848689982
667.500135,0.915573164984708
667.741188,0.8816589286277922
667.982242,0.7982048581533255
668.223296,0.7916150921987176
668.46435,0.7888492823666585
668.705404,0.7456566793936115
668.946457,0.7360405990661171
669.187511,0.7621590637507416
669.428565,0.735032913867368
669.669619,0.7157960492603243
669.910673,0.7144730507201724
670.151726,0.6898231628239717
670.39278,0.6839434775054605
670.633834,0.6693420928479713
670.874888,0.6430453683011805
671.115942,0.6481325831057886
671.356996,0.6591000071996544
671.598049,0.6519157129687309
671.839103,0.6428267700397684
672.080157,0.6443714071109234
672.321211,0.6470252234510184
672.562265,0.6481325831057886
672.803318,0.6375643919946457
673.044372,0.5980027059749625
673.285426,0.5910763985290297
673.52648,0.6158819336324591
673.767534,0.6006697477834017
674.008587,0.5768748117801519
674.249641,0.5886520599595156
674.490695,0.5988225311341547
674.731749,0.5906746032039231
674.972803,0.5812408872807663
675.213857,0.5694182803897275
675.45491,0.5639836597377305
675.695964,0.5564989472513239
675.937018,0.5580258452617887
676.178072,0.5666916218595117
676.419126,0.5616648271348381
676.660179,0.5672756149348309
676.901233,0.5616648271348381
677.142287,0.5457359654290102
677.383341,0.5620525096006305
677.624395,0.579453419461436
677.865448,0.5709806259139082
678.106502,0.5616648271348381
678.347556,0.5626317219286608
678.58861,0.5717634054529612
678.829664,0.5870413609805346
679.070717,0.5842361566892873
679.311771,0.559361122052126
679.552825,0.5599375608228446
679.793879,0.5337220933115426
680.034933,0.5146902580170654
680.275987,0.5668843297694323
680.51704,0.5862376649734609
680.758094,0.5678602098329032
680.999148,0.5764826702513717
681.240202,0.5758891987912825
681.481256,0.5655310939822005
681.722309,0.5641754467839917
681.963363,0.5838331727866065
682.204417,0.5894590659545443
682.445471,0.5802478146825746
682.686525,0.5992358612631329
682.927578,0.6004655547839323
683.168632,0.5996434802235315
683.409686,0.6056276019747495
683.65074,0.6127244222495216
683.891794,0.6467988042484824
684.132848,0.6256651219374523
684.373901,0.6056276019747495
684.614955,0.6421649993370453
684.856009,0.63625236120283
685.097063,0.6137730773561535
685.338117,0.6388727395963322
685.57917,0.6494626177208468
685.820224,0.6355973586550109
686.061278,0.641285835652586
686.302332,0.6450290012621803
686.543386,0.6417220583197274
686.784439,0.6483529856503539
687.025493,0.6723273023260176
687.266547,0.7010192020182195
687.507601,0.7115425926980793
687.748655,0.7005426709997558
687.989709,0.6820720374208465
688.230762,0.7186505943129414
688.471816,0.7653515562982699
688.71287,0.7211630666010566
688.953924,0.7124468258573255
689.194978,0.7662168923796939
689.436031,0.7609329749244534
689.677085,0.7667380970560183
689.918139,0.8048977727501646
690.159193,0.7872337977752691
690.400247,0.8041817324176296
690.6413,0.8672482595457145
690.882354,0.8542768136084795
691.123408,0.8275713101797523
691.364462,0.8354623456544876
691.605516,0.8344103260105208
691.84657,0.8459796280373089
692.087623,0.8891494031960228
692.328677,0.8987323576629195
692.569731,0.8859807991501293
692.810785,0.9027135466299004
693.051839,0.8756402026376621
693.292892,0.868081217630788
693.533946,0.9151026813025704
693.775,0.9088238390593193
694.016054,0.9415903232604874
694.257108,0.9414293250809466
694.498161,0.8933561083934884
