nu,[0]Trichloroethene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
595,0.9998182965100791
595.118102,0.9982259754450886
595.236205,0.9998608596809122
595.354307,0.9979653726660732
595.472409,0.9991151517093347
595.590512,0.998015272182184
595.708614,0.998695251924882
595.826717,0.9994915692947178
595.944819,0.9989457561059759
596.062921,0.9982581188390038
596.181024,0.9990936110188733
596.299126,0.9993399179500716
596.417228,0.9992677082565681
596.535331,0.9984961319445699
596.653433,0.9980444146536097
596.771535,0.9992725747021571
596.889638,0.99880571372817
597.00774,0.9995830769365851
597.125843,0.9995590872306163
597.243945,0.9978235718618031
597.362047,0.9995230837607206
597.48015,0.9988282869923771
597.598252,0.9979913201030778
597.716354,0.9993478727274784
597.834457,0.9986612968635559
597.952559,0.9975765413290522
598.070661,0.9987697573696941
598.188764,0.9984050732496762
598.306866,0.9989195840700211
598.424968,0.9985980836041851
598.543071,0.9982890653203558
598.661173,0.9983503621507599
598.779276,0.9997985003037912
598.897378,0.9984173537076019
599.01548,0.997725789943153
599.133583,0.9977446471387827
599.251685,0.998098809556456
599.369787,0.9983988831574113
599.48789,0.9976754060629645
599.605992,0.999196562928544
599.724094,0.998295254731748
599.842197,0.9992017987322516
599.960299,0.9981525087169046
600.078402,0.9980270488318779
600.196504,0.998287967202988
600.314606,0.9982713957602757
600.432709,0.9983072343466822
600.550811,0.9982536266875763
600.668913,0.9980221585113199
600.787016,0.9966553059927117
600.905118,0.9961631794777288
601.02322,0.9984942348037216
601.141323,0.9994351196050383
601.259425,0.9980811433638731
601.377528,0.9990805129874907
601.49563,0.9974535477242178
601.613732,0.9980517004044297
601.731835,0.9974947434064237
601.849937,0.9965233575653769
601.968039,0.9970305176602933
602.086142,0.9981970273115507
602.204244,0.9980467101584033
602.322346,0.9970957255884243
602.440449,0.9965467761394469
602.558551,0.9965988968987849
602.676654,0.9978402356545955
602.794756,0.996303349497811
602.912858,0.9964706428740776
603.030961,0.9975958945016791
603.149063,0.9970427812110811
603.267165,0.99631550447282
603.385268,0.9964196248832341
603.50337,0.9960765170509844
603.621472,0.9973847258038084
603.739575,0.9967868731763458
603.857677,0.9956668154532669
603.97578,0.994853090960854
604.093882,0.9970167587340864
604.211984,0.9946240026745343
604.330087,0.9967801947266683
604.448189,0.9956215136437877
604.566291,0.9939203562824852
604.684394,0.9948636364595091
604.802496,0.9950246184189776
604.920598,0.9955654617304457
605.038701,0.9941183649384641
605.156803,0.9945725819428334
605.274905,0.9940707478092228
605.393008,0.9937104624688052
605.51111,0.9938231556248304
605.629213,0.9944831738866691
605.747315,0.9938874580631608
605.865417,0.9948273245994739
605.98352,0.9947275484226754
606.101622,0.9931867163845903
606.219724,0.9947287420964497
606.337827,0.9940552404265149
606.455929,0.9953663685480815
606.574031,0.9922578262231042
606.692134,0.9922732063386063
606.810236,0.9926609632236978
606.928339,0.9921460050673294
607.046441,0.9919798345286518
607.164543,0.9918141877281783
607.282646,0.9911701144494798
607.400748,0.9915949218520074
607.51885,0.9901033968940439
607.636953,0.9908228692822829
607.755055,0.9905414164873824
607.873157,0.9908067190011388
607.99126,0.9912569447546175
608.109362,0.9894025528418239
608.227465,0.9896984284363206
608.345567,0.9896420172336343
608.463669,0.9892620676540047
608.581772,0.9881813949092992
608.699874,0.9889109419484878
608.817976,0.9869992494348083
608.936079,0.9888634753624814
609.054181,0.9876745878608334
609.172283,0.9869005544446966
609.290386,0.9867959485301369
609.408488,0.9860995164599227
609.526591,0.9861281137605589
609.644693,0.9850242685418581
609.762795,0.9862227866037035
609.880898,0.9831889102845848
609.999,0.9840505611179583
610.117102,0.9836304612260709
610.235205,0.984467887022712
610.353307,0.9831456509242452
610.471409,0.982700386804314
610.589512,0.9812912230660474
610.707614,0.9820019351582798
610.825717,0.9804437536088433
610.943819,0.9794912252840958
611.061921,0.980374144573487
611.180024,0.9786247590175955
611.298126,0.9788802134150477
611.416228,0.9774413391725775
611.534331,0.9777717701849131
611.652433,0.9760241002449348
611.770535,0.976898032841154
611.888638,0.9764106823268321
612.00674,0.9757401185531036
612.124842,0.9747034578898404
612.242945,0.9738100645024272
612.361047,0.9730108945436283
612.47915,0.9719518624271184
612.597252,0.971674895615972
612.715354,0.9703155025592836
612.833457,0.970917284704058
612.951559,0.9721948807687522
613.069661,0.9685327321099375
613.187764,0.9691014277195179
613.305866,0.9670481418707171
613.423968,0.9672222262033737
613.542071,0.9666034020234636
613.660173,0.9655841731720836
613.778276,0.965710672984326
613.896378,0.9635527926978269
614.01448,0.9633427610832965
614.132583,0.9616160734718033
614.250685,0.9610383158452042
614.368787,0.960229462158452
614.48689,0.9595239528102121
614.604992,0.9584173008296741
614.723094,0.9577322773846458
614.841197,0.9575761797457354
614.959299,0.9554909374138568
615.077402,0.9544891529483256
615.195504,0.9534111893696202
615.313606,0.9537039315383804
615.431709,0.9505362309500015
615.549811,0.9505942154285981
615.667913,0.9483477681100312
615.786016,0.9481429471135834
615.904118,0.9468761270512149
616.02222,0.9452706409038961
616.140323,0.9452432284527924
616.258425,0.9447253770678391
616.376528,0.94282838617445
616.49463,0.9413596618884604
616.612732,0.9387388063214226
616.730835,0.9372951984396936
616.848937,0.936540979418835
616.967039,0.9355478363952124
617.085142,0.9331726938801997
617.203244,0.9324217921401268
617.321346,0.930984174721922
617.439449,0.9288797396009628
617.557551,0.9277202930313121
617.675654,0.9260028190593879
617.793756,0.9248349405880516
617.911858,0.9226918105180337
618.029961,0.9214636031940943
618.148063,0.9182303444101492
618.266165,0.916563434720416
618.384268,0.9157883499617239
618.50237,0.9134204405051235
618.620472,0.9115917788733008
618.738575,0.9096803544711355
618.856677,0.9076903343622241
618.974779,0.9061875368897381
619.092882,0.9045298256075033
619.210984,0.9013514777952638
619.329087,0.8998024857684772
619.447189,0.8976814557019827
619.565291,0.8964704033810302
619.683394,0.8927666878921101
619.801496,0.8908403929936969
619.919598,0.8881629949163498
620.037701,0.8864416289710567
620.155803,0.8832385114148685
620.273905,0.8835565345197022
620.392008,0.8801173747557489
620.51011,0.8767354372699957
620.628213,0.8741441373914909
620.746315,0.8725546419410519
620.864417,0.8690713945124735
620.98252,0.8669967940147105
621.100622,0.8642095542023488
621.218724,0.861310682931222
621.336827,0.8589453324008038
621.454929,0.8569720283058894
621.573031,0.8539010144923602
621.691134,0.8508410058523156
621.809236,0.8461742257296342
621.927339,0.8453791956801123
622.045441,0.8435635828925359
622.163543,0.8396417216301263
622.281646,0.8375871173301301
622.399748,0.8344186701555016
622.51785,0.8319025270600584
622.635953,0.8292032325765899
622.754055,0.8278361753751808
622.872157,0.825018061631859
622.99026,0.8215356058178043
623.108362,0.8204518942251308
623.226465,0.8150547419175087
623.344567,0.8140691221000319
623.462669,0.8096688030948761
623.580772,0.8097497740236645
623.698874,0.8052600582560275
623.816976,0.8045276049198279
623.935079,0.8008833283608096
624.053181,0.7991632789205594
624.171283,0.796872968477631
624.289386,0.7937394660352427
624.407488,0.7938982298042975
624.525591,0.7891017545304077
624.643693,0.7858809194519834
624.761795,0.7851503899457662
624.879898,0.7825323621835159
624.998,0.7810938264957897
625.116102,0.7781390836678804
625.234205,0.7771670174812334
625.352307,0.7741961606267559
625.470409,0.7715529322542835
625.588512,0.7705659762875692
625.706614,0.7676280293095192
625.824716,0.7675666215235187
625.942819,0.7645712957113935
626.060921,0.7630284205226261
626.179024,0.7604005082270928
626.297126,0.7587674033512317
626.415228,0.7582288696969225
626.533331,0.7587598157151364
626.651433,0.7567290618346934
626.769535,0.7538514095177902
626.887638,0.7528645107311618
627.00574,0.7514955434597287
627.123842,0.7487950233560214
627.241945,0.7499865544593588
627.360047,0.7495292021677693
627.47815,0.7474334558158131
627.596252,0.7454777432637515
627.714354,0.7432520938154452
627.832457,0.7418709298016708
627.950559,0.7393454583071478
628.068661,0.7401813908879928
628.186764,0.7430811654913785
628.304866,0.7420267390563283
628.422968,0.7420267390563283
628.541071,0.7398187908507219
628.659173,0.7380674964200431
628.777276,0.735400522218731
628.895378,0.7363571645804233
629.01348,0.7388650399121413
629.131583,0.7415297476518727
629.249685,0.7425611906879479
629.367787,0.7413147352033655
629.48589,0.7385990963704826
