nu,[0]HFC-152a-HITRAN(x-sec)-X=0.01-T=253.0K-P=0.0atm-L=15cm
830,1.0
830.060265,1.0
830.12053,1.0
830.180795,1.0
830.24106,1.0
830.301325,1.0
830.36159,1.0
830.421855,1.0
830.48212,1.0
830.542385,1.0
830.60265,1.0
830.662915,1.0
830.72318,1.0
830.783445,1.0
830.84371,1.0
830.903975,1.0
830.96424,1.0
831.024505,1.0
831.08477,1.0
831.145035,1.0
831.2053,1.0
831.265565,1.0
831.32583,1.0
831.386095,1.0
831.44636,1.0
831.506625,1.0
831.56689,1.0
831.627155,1.0
831.68742,1.0
831.747685,1.0
831.80795,1.0
831.868215,1.0
831.92848,1.0
831.988745,1.0
832.04901,1.0
832.109275,1.0
832.16954,1.0
832.229805,1.0
832.29007,1.0
832.350335,1.0
832.4106,1.0
832.470865,1.0
832.53113,1.0
832.591395,1.0
832.65166,1.0
832.711925,1.0
832.77219,1.0
832.832455,1.0
832.89272,1.0
832.952985,1.0
833.01325,1.0
833.073515,1.0
833.13378,1.0
833.194045,1.0
833.25431,1.0
833.314575,1.0
833.37484,1.0
833.435105,0.9999978811022449
833.49537,0.9999985860009997
833.555635,0.9999966537055989
833.6159,1.0
833.676165,0.9999971089041793
833.73643,0.9999973340035537
833.796695,1.0
833.85696,0.999996625405694
833.917225,0.999999852170011
833.97749,0.9999999954933
834.037755,1.0
834.09802,1.0
834.158285,0.9999975151030873
834.21855,0.9999994691901409
834.278815,0.9999986192009533
834.33908,0.9999983567013502
834.399345,0.9999948997130065
834.45961,0.9999992738202637
834.519875,0.9999986336009336
834.58014,1.0
834.640405,0.9999971929039398
834.70067,0.9999970087044739
834.760935,1.0
834.8212,0.9999997661300274
834.881465,0.9999991365503728
834.94173,0.9999994228301665
835.001995,0.9999988360006774
835.06226,0.9999989452005563
835.122525,0.9999998021500196
835.18279,0.9999965470059616
835.243055,0.9999995188201157
835.30332,0.9999972514037774
835.363585,0.9999954788102207
835.42385,0.9999990681304342
835.484115,0.9999988068007118
835.54438,1.0
835.604645,1.0
835.66491,0.9999992770602614
835.725175,0.999998066601869
835.78544,1.0
835.845705,0.9999935830205889
835.90597,0.9999979524020963
835.966235,0.9999990976204072
836.0265,0.9999995179301162
836.086765,0.9999966313056741
836.14703,0.9999994889901306
836.207295,0.9999989036006011
836.26756,1.0
836.327825,0.9999984100012641
836.38809,0.9999978005024189
836.448355,1.0
836.50862,0.9999988782006293
836.568885,1.0
836.62915,1.0
836.689415,1.0
836.74968,0.9999989443005572
836.809945,0.9999991240203837
836.87021,0.9999988091007092
836.930475,0.9999952134114557
836.99074,1.0
837.051005,0.9999948645131866
837.11127,0.9999972623037475
837.171535,0.9999987168008233
837.2318,0.9999992941402491
837.292065,0.9999965167060667
837.35233,0.999997490803148
837.412595,1.0
837.47286,0.9999992091403127
837.533125,0.9999971383040946
837.59339,1.0
837.653655,0.9999976736027061
837.71392,0.9999988612006484
837.774185,0.9999983651013364
837.83445,0.9999999458620015
837.894715,0.9999974517032469
837.95498,0.9999952468112965
838.015245,0.9999981270017541
838.07551,0.9999989892005109
838.135775,1.0
838.19604,0.999998082201839
838.256305,0.999998313601422
838.31657,1.0
838.376835,0.999995660409416
838.4371,0.9999962875068913
838.497365,1.0
838.55763,0.9999965539059378
838.617895,0.9999997384800342
838.67816,0.9999999918583
838.738425,0.9999978680022727
838.79869,1.0
838.858955,0.9999993481502124
838.91922,1.0
838.979485,1.0
839.03975,1.0
839.100015,1.0
839.16028,0.99999380001922
839.220545,0.9999998951700055
839.28081,0.999998845000667
839.341075,0.9999997942600212
839.40134,0.999996043007829
839.461605,0.9999997825900236
839.52187,0.9999956220095835
839.582135,0.9999998625800094
839.6424,0.9999952559112533
839.702665,1.0
839.76293,1.0
839.823195,0.9999992142403087
839.88346,0.9999999144860037
839.943725,0.9999990998104051
840.00399,0.9999978443023235
840.064255,0.9999988691006395
840.12452,0.9999997392800339
840.184785,0.9999989298005727
840.24505,0.9999978970022113
840.305315,0.9999991549403571
840.36558,0.9999988986006065
840.425845,0.9999993071002401
840.48611,0.9999978908022243
840.546375,0.9999979947020106
840.60664,0.9999987497007816
840.666905,0.9999938689187952
840.72717,0.99999913977037
840.787435,0.9999977554025191
840.8477,0.9999943029162285
840.907965,0.9999987176008223
840.96823,0.9999968394049947
841.028495,1.0
841.08876,0.9999968327050159
841.149025,0.9999986567009023
841.20929,0.9999999750820003
841.269555,1.0
841.32982,0.9999990291704712
841.390085,0.9999993594602051
841.45035,0.9999992750402628
841.510615,0.9999995514301006
841.57088,0.9999980318019369
841.631145,1.0
841.69141,0.9999942571164904
841.751675,0.9999967389053174
841.81194,0.999998712300829
841.872205,0.9999984813011532
841.93247,0.9999994813901345
841.992735,1.0
842.053,0.9999995234301136
842.113265,0.9999982491015328
842.17353,0.9999957201091587
842.233795,1.0
842.29406,1.0
842.354325,0.9999991174903894
842.41459,1.0
842.474855,0.9999995126401188
842.53512,0.9999958712085235
842.595385,0.9999962931068705
842.65565,1.0
842.715915,0.9999956667093888
842.77618,0.999999302910243
842.836445,0.9999983779013156
842.89671,0.9999978377023377
842.956975,0.999996040707838
843.01724,0.9999992825002574
843.077505,1.0
843.13777,0.9999968740048859
843.198035,0.9999972042039083
843.2583,0.9999948980130152
843.318565,0.9999990804204228
843.37883,0.9999985691010237
843.439095,0.9999973273035717
843.49936,0.9999989328005695
843.559625,0.9999990604604414
843.61989,0.9999986881008606
843.680155,0.9999999966084
843.74042,0.9999998049700191
843.800685,0.9999946470143273
843.86095,0.999998742200791
843.921215,0.9999965230060448
